Id	DrawId	IsUp	Name	Type	ProbShow
81	307	1	【5星】猎隼E-3320		12.00%
82	307		【6星】红莲狂士		0.50%
83	307		【6星】斩魂者		0.50%
84	307		【5星】九字之定		1.50%
85	307		【5星】石之心		1.50%
86	307		紫色武器		33.40%
87	307		蓝色武器		27.90%
88	307		螺母箱		9.35%
89	307		突破材料		9.35%
90	308	1	【6星】奇美拉-逆断		4.00%
91	308	1	【5星】电光石火		12.00%
92	308		【6星】影打—逆断		0.50%
93	308		【6星】斩魂者		0.50%
94	308		【5星】九字之定		1.50%
95	308		【5星】石之心		1.50%
96	308		紫色武器		33.40%
97	308		蓝色武器		27.90%
98	308		螺母箱		9.35%
99	308		突破材料		9.35%
100	309	1	【6星】大神威		4.00%
101	309	1	【5星】动轮大剑		12.00%
102	309		【6星】零式		0.50%
103	309		【6星】噬狼枪		0.50%
104	309		【5星】卫士挂载		1.50%
105	309		【5星】暗影紫光		1.50%
106	309		紫色武器		33.40%
107	309		蓝色武器		27.90%
108	309		螺母箱		9.35%
109	309		突破材料		9.35%
110	310	1	【6星】漆黑		4.00%
111	310	1	【5星】动轮大剑		12.00%
112	310		【6星】神赐者		0.50%
113	310		【6星】奇美拉-逆断		0.50%
114	310		【5星】卫士挂载		1.50%
115	310		【5星】电光石火		1.50%
116	310		紫色武器		33.40%
117	310		蓝色武器		27.90%
118	310		螺母箱		9.35%
119	310		突破材料		9.35%
120	311	1	【6星】狂乱融合炮		4.00%
121	311	1	【5星】熔岩之柱		12.00%
122	311		【6星】天龙之风		0.50%
123	311		【6星】影打—逆断		0.50%
124	311		【5星】卫士挂载		1.50%
125	311		【5星】九字之定		1.50%
126	311		紫色武器		33.40%
127	311		蓝色武器		27.90%
128	311		螺母箱		9.35%
129	311		突破材料		9.35%
130	312	1	【6星】斩魂者		4.00%
131	312	1	【5星】石之心		12.00%
132	312		【6星】漆黑		0.50%
133	312		【6星】零式		0.50%
134	312		【5星】动轮大剑		1.50%
135	312		【5星】卫士挂载		1.50%
136	312		紫色武器		33.40%
137	312		蓝色武器		27.90%
138	312		螺母箱		9.35%
139	312		突破材料		9.35%
140	313	1	【6星】零度定标		4.00%
141	313	1	【5星】暗影紫光		12.00%
142	313		【6星】狂乱融合炮		0.50%
143	313		【6星】神赐者		0.50%
144	313		【5星】熔岩之柱		1.50%
145	313		【5星】卫士挂载		1.50%
146	313		紫色武器		33.40%
147	313		蓝色武器		27.90%
148	313		螺母箱		9.35%
149	313		突破材料		9.35%
150	314	1	【6星】核基红龙		4.00%
151	314	1	【5星】熔岩之柱		12.00%
152	314		【6星】天龙之风		0.50%
153	314		【6星】影打—逆断		0.50%
154	314		【5星】卫士挂载		1.50%
155	314		【5星】九字之定		1.50%
156	314		紫色武器		33.40%
157	314		蓝色武器		27.90%
158	314		螺母箱		9.35%
159	314		突破材料		9.35%
160	315	1	【6星】机韵		4.00%
161	315	1	【5星】电光石火		12.00%
162	315		【6星】漆黑		0.50%
163	315		【6星】斩魂者		0.50%
164	315		【5星】动轮大剑		1.50%
165	315		【5星】石之心		1.50%
166	315		紫色武器		33.40%
167	315		蓝色武器		27.90%
168	315		螺母箱		9.35%
169	315		突破材料		9.35%
170	501		初始家具图纸		7.50%
171	501		咖啡厅家具图纸		7.50%
172	501		赛博朋克家具图纸		7.00%
173	501		家具币X5		15.00%
174	501		家具币X10		10.00%
175	501		家具币X15		8.00%
176	501		家具币X20		5.00%
177	501		咖啡厅家具		10.00%
178	501		赛博朋克家具		10.00%
179	501		涂装设计草稿		15.00%
180	501		宿舍入住凭证		5.00%
181	1001	1	【6星】红樱		4.00%
182	1001	1	【5星】九字之定		12.00%
183	1001		【6星】噬狼枪		0.50%
184	1001		【6星】零式		0.50%
185	1001		【5星】暗影紫光		1.50%
186	1001		【5星】卫士挂载		1.50%
187	1001		紫色武器		33.40%
188	1001		蓝色武器		27.90%
189	1001		螺母箱		9.35%
190	1001		突破材料		9.35%
191	1002		S级构造体(含保底)		1.90%
192	1002		S级构造体(基础掉落)		0.50%
193	1002		B、A级构造体		13.95%
194	1002		角色碎片		22.11%
195	1002		紫色装备		28.39%
196	1002		突破材料		14.42%
197	1002		经验材料		4.81%
198	1002		螺母箱		14.42%
199	1003		S级构造体(含保底)		1.90%
200	1003		S级构造体(基础掉落)		0.50%
201	1003		B、A级构造体		13.95%
202	1003		角色碎片		22.11%
203	1003		紫色装备		28.39%
204	1003		突破材料		14.42%
205	1003		经验材料		4.81%
206	1003		螺母箱		14.42%
207	1004		S级构造体(含保底)		1.90%
208	1004		S级构造体(基础掉落)		0.50%
209	1004		B、A级构造体		13.95%
210	1004		角色碎片		22.11%
211	1004		紫色装备		28.39%
212	1004		突破材料		14.42%
213	1004		经验材料		4.81%
214	1004		螺母箱		14.42%
215	1005		S级构造体(含保底)		1.90%
216	1005		S级构造体(基础掉落)		0.50%
217	1005		B、A级构造体		13.95%
218	1005		角色碎片		22.11%
219	1005		紫色装备		28.39%
220	1005		突破材料		14.42%
221	1005		经验材料		4.81%
222	1005		螺母箱		14.42%
223	316	1	【6星】红樱		4.00%
224	316	1	【5星】九字之定		12.00%
225	316		【6星】噬狼枪		0.50%
226	316		【6星】零式		0.50%
227	316		【5星】暗影紫光		1.50%
228	316		【5星】卫士挂载		1.50%
229	316		紫色武器		33.40%
230	316		蓝色武器		27.90%
231	316		螺母箱		9.35%
232	316		突破材料		9.35%
233	2000		S级构造体(含保底)		1.90%
234	2000		S级构造体(基础掉落)		1.50%
235	2000		B、A级构造体		13.95%
236	2000		角色碎片		22.11%
237	2000		紫色装备		28.39%
238	2000		突破材料		14.42%
239	2000		经验材料		4.81%
240	2000		螺母箱		14.42%
241	2010		S级构造体(含保底)		1.90%
242	2010		S级构造体(基础掉落)		1.50%
243	2010		B、A级构造体		13.95%
244	2010		角色碎片		22.11%
245	2010		紫色装备		28.39%
246	2010		突破材料		14.42%
247	2010		经验材料		4.81%
248	2010		螺母箱		14.42%
249	1017		S级构造体(含保底)		1.90%
250	1017		S级构造体(基础掉落)		0.50%
251	1017		B、A级构造体		13.95%
252	1017		角色碎片		22.11%
253	1017		紫色装备		28.39%
254	1017		突破材料		14.42%
255	1017		经验材料		4.81%
256	1017		螺母箱		14.42%
257	1018		S级构造体(含保底)		1.90%
258	1018		S级构造体(基础掉落)		0.50%
259	1018		B、A级构造体		13.95%
260	1018		角色碎片		22.11%
261	1018		紫色装备		28.39%
262	1018		突破材料		14.42%
263	1018		经验材料		4.81%
264	1018		螺母箱		14.42%
265	1019		S级构造体(含保底)		1.90%
266	1019		S级构造体(基础掉落)		0.50%
267	1019		B、A级构造体		13.95%
268	1019		角色碎片		22.11%
269	1019		紫色装备		28.39%
270	1019		突破材料		14.42%
271	1019		经验材料		4.81%
272	1019		螺母箱		14.42%
273	1020		S级构造体(含保底)		1.90%
274	1020		S级构造体(基础掉落)		0.50%
275	1020		B、A级构造体		13.95%
276	1020		角色碎片		22.11%
277	1020		紫色装备		28.39%
278	1020		突破材料		14.42%
279	1020		经验材料		4.81%
280	1020		螺母箱		14.42%
281	1021		S级构造体(含保底)		1.90%
282	1021		S级构造体(基础掉落)		0.50%
283	1021		B、A级构造体		13.95%
284	1021		角色碎片		22.11%
285	1021		紫色装备		28.39%
286	1021		突破材料		14.42%
287	1021		经验材料		4.81%
288	1021		螺母箱		14.42%
289	2011		S级构造体(含保底)		1.90%
290	2011		S级构造体(基础掉落)		1.50%
291	2011		B、A级构造体		13.95%
292	2011		角色碎片		22.11%
293	2011		紫色装备		28.39%
294	2011		突破材料		14.42%
295	2011		经验材料		4.81%
296	2011		螺母箱		14.42%
297	2012		S级构造体(含保底)		1.90%
298	2012		S级构造体(基础掉落)		1.50%
299	2012		B、A级构造体		13.95%
300	2012		角色碎片		22.11%
301	2012		紫色装备		28.39%
302	2012		突破材料		14.42%
303	2012		经验材料		4.81%
304	2012		螺母箱		14.42%
305	2013		S级构造体(含保底)		1.90%
306	2013		S级构造体(基础掉落)		1.50%
307	2013		B、A级构造体		13.95%
308	2013		角色碎片		22.11%
309	2013		紫色装备		28.39%
310	2013		突破材料		14.42%
311	2013		经验材料		4.81%
312	2013		螺母箱		14.42%
313	2014		S级构造体(含保底)		1.90%
314	2014		S级构造体(基础掉落)		1.50%
315	2014		B、A级构造体		13.95%
316	2014		角色碎片		22.11%
317	2014		紫色装备		28.39%
318	2014		突破材料		14.42%
319	2014		经验材料		4.81%
320	2014		螺母箱		14.42%
321	2015		S级构造体(含保底)		1.90%
322	2015		S级构造体(基础掉落)		1.50%
323	2015		B、A级构造体		13.95%
324	2015		角色碎片		22.11%
325	2015		紫色装备		28.39%
326	2015		突破材料		14.42%
327	2015		经验材料		4.81%
328	2015		螺母箱		14.42%
329	317	1	【6星】镇命者		4.00%
330	317	1	【5星】石之心		12.00%
331	317		【6星】核基红龙		0.50%
332	317		【6星】机韵		0.50%
333	317		【5星】熔岩之柱		1.50%
334	317		【5星】电光石火		1.50%
335	317		紫色武器		33.40%
336	317		蓝色武器		27.90%
337	317		螺母箱		9.35%
338	317		突破材料		9.35%
339	318	1	【6星】魏紫		4.00%
340	318	1	【5星】褪色		12.00%
341	318		【6星】大神威		0.50%
342	318		【6星】雷米尔		0.50%
343	318		【5星】动轮大剑		1.50%
344	318		【5星】猎隼E-3320		1.50%
345	318		紫色武器		33.40%
346	318		蓝色武器		27.90%
347	318		螺母箱		9.35%
348	318		突破材料		9.35%
