Id	IsMask	MaskTarget	Type	Icon	Name	DescriptionType	Text	Duration
110	1	ExSkillButton	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	攻击命中敌人，会获得能量，使用能量释放<color=#ff5656>【必杀技】</color>。	
111	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	任意<color=#ffda58>【三消】</color>后，释放<color=#ff5656>【红球】</color>，即可触发<color=#ff5656>【红莲双刀】</color>	
112	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	<color=#49e7ff>蓝色信号</color>：露西亚攻击获得的蓝色信号可以强化所有攻击，造成额外的火焰属性伤害	
113	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	朝目标点前进吧，指挥官。	
114	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	在触发<color=#ff5656>【红莲双刀】</color>的状态下，按下<color=#ff5656>普通攻击键</color>即可使用红莲双刀术攻击敌人。	
151	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	好惊人的能量……通路被打开了！	
152	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	指挥官，穿过这里就能和感染体们拉开距离了。	
153	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	现在我们必须尽快和其他成员汇合，应该就在支援攻击来的方向。	
154	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	下一步的作战计划就在那之后再说明吧。	
155	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	还有，指挥官……谢谢你刚才保护我……	
251	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	这里很安静，不过……	
252	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	还是有一些感染体潜伏在角落。	
253	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	没关系，我们争取一次性通过这里，不要再被分散了。	
254	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	感染体行动了！	
255	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	丽芙，这次你就暂时退到后面吧。	
256	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	嗯……	
257	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	战斗很顺利……接下来只要通过这扇大门，就接近汇合点了。	
258	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	等等！有脚步声！	
259	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1SS.png	不明构造体α	1	……	
260	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	那是……？	
261	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1SS.png	不明构造体α	1	露西亚…… 	
262	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	居然不理会我的攻击，啧。	
263	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	她好像只对露西亚感兴趣，可露西亚现在……	
264	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	我没关系……你们不要离开指挥官……	
265	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1SS.png	不明构造体α	1	……	
266	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1SS.png	不明构造体α	1	这就是你现在的实力吗，露西亚……	3
267	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	视觉影像……消失了？	3
268	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1SS.png	不明构造体α	1	这份熟悉的执着……	3
269	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1SS.png	不明构造体α	1	原来也可以建立在这样不堪一击的“过去”之上……	3
270	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	什么……过去？	3
271	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1SS.png	不明构造体α	1	露西亚，你早该察觉到了……不是吗？	
3001	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	进入<color=#ff5656>【红色区域】</color>的敌人超过<color=#ff5656>【3/3】</color>个，任务失败……	
3002	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	阻止敌人进入<color=#ff5656>【红色区域】</color>，全区域进入超过<color=#ff5656>【3】</color>个敌人时，任务将会失败！	
3003	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	本区域危机已解除，下一区域敌人已出现，立刻前往！	
3004	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	已进入的敌人超过<color=#ff5656>【1/3】</color>个，达到3个将会失败！	
3005	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	已进入的敌人超过<color=#ff5656>【2/3】</color>个，达到3个将会失败！	
3006	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	已进入的敌人超过<color=#ff5656>【3/5】</color>个，达到5个将会失败！	
3007	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	已进入的敌人超过<color=#ff5656>【4/5】</color>个，达到5个将会失败！	
3008	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	进入能量区域获取增益效果，能提高对同色敌人的攻击伤害。	
3009	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	通过传送门进入不同的区域进行限时挑战，2个区域全通将召唤最终BOSS。	
3010	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	本区域挑战已完成，请通过传送门返回初始区域。	
3011	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	消灭敌人，阻止它们破坏终端机！	
3021	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	这里有一台废弃的激光原虫……	
3022	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	等等，让我研究下……	
3023	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	哈哈！初号机——出发！！！	
3024	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	咳——咳、咳！	
3025	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	有感染体出现了，正好测试一下性能	
8110001	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	敌人正在释放全范围轰炸，小心躲避！	
8110002	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	散开！小心追踪热弹！	
8110003	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	敌人发怒了，小心躲避！	
8110004	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	注意远离热弹留下的灼烧区域！	
8120001	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	激光射线伤害极高！！小心躲避！！	
8120002	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	敌人正在释放全范围轰炸，小心躲避！	
8120003	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	散开！小心追踪热弹！	
8120004	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	敌人瘫痪了！上！！	
8210001	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	模拟战准备开始！	
8210002	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	注意利用“暴君”泄露在地面的能量！	
8210003	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	“暴君”被泄露区强化！请拉开“暴君”	
8210004	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	在能量泄露区域中我方伤害会大幅提升。	
8210005	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	请进入护罩躲避！	
8210006	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	请进入护罩躲避！	
8210007	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	“暴君”被泄露区强化！请拉开“暴君”	
8210009	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	黄色的球形电浆体在平静时可以提升我方武器的破坏力。	
8210010	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	电浆体开始变的不稳定了，在找到新的宿体之前它会持续追踪当前的目标。	
8701001	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	欧西里斯	1	以前被人崇拜的时候也会摆出这样的动作……好了，快点记录下来！	3
8701002	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	欧西里斯	1	送你们去废品站！	3
8701003	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	欧西里斯	1	你以为打败外面那个废铜烂铁就能挑战我了？让你们见识一下我的全部力量！	3
8701004	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	欧西里斯	1	<color=#ff5656>风暴会将你们撕碎</color>	3
8701005	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	欧西里斯	1	审 判 开 始！	3
8701006	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	欧西里斯	1	废铜烂铁！	3
8701007	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	欧西里斯	1	柔弱的小鸡！	3
8701008	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	欧西里斯	1	让我来帮你解脱！	3
8701009	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	欧西里斯	1	你的求生欲就是在浪费时间！	3
8701010	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	欧西里斯	1	你会让他承受更多的痛苦！	3
8701011	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	欧西里斯	1	让我来打爆你的狗头！末 日 降 临！	3
8701012	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	<color=#ff5656>贴近欧西里斯</color>阻止他释放远程技能。	3
8701013	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	<color=#ff5656>小心周围的龙卷风！</color>	3
8701014	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	<color=#ff5656>尽快摧毁处刑之眼！</color>它快充能完成了	3
8701015	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	<color=#ff5656>尽快破坏殉道者！</color>	3
8701016	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	<color=#ff5656>快靠近修女</color>只有她身体周围才是比较安全的！	3
101010101	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	那些感染体在……?	
101010102	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	它们在拆解构造体，然后用这些部件改造强化自身。	
101010103	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	等级越是低的感染体，就越会单纯追求外部的强大，这是他们的生态特性。	
101010104	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	同伴的身体，就这样被它们利用……	
101010105	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	必须阻止它们！	
101010106	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	很遗憾，他……刚刚失去了意识活动……	
101010107	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	前方还有幸存者！	
101010201	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	露西亚，抛开顾忌使出全力吧，现在是新手臂的极限测试。	
101010202	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	那么我上了——	
101010203	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	读数正常……露西亚，你感觉如何？	
101010204	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	重获新生。	
101010205	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	很好，解决最后一波敌人吧！	
101010211	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	【红莲双刀】指令：	2	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1luxiya02.png	
101010212	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	【红莲双刀】指令：	2	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1luxiya03.png	
101010213	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	【红莲双刀】指令：	2	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1luxiya01.png	
101010214	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	先释放一次任意<color=#ffda58>【三消】</color>	
101010215	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	再释放一次<color=#ff5656>【红色信号】</color>就可以进入【红莲双刀】的状态了。	
101010216	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	很好！接下来利用双刀状态消灭敌人吧！	
101010217	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	在触发<color=#ff5656>【红莲双刀】</color>的状态下，按下<color=#ff5656>普通攻击键</color>即可使用红莲双刀术攻击敌人。	
101010301	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	需要收集的浮游炮替换部件有……能源核心，等离子体集束器和超导线圈组，一共三个部分。	
101010302	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	我把有这些部件的补给箱位置都标记出来了。	
101010303	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	那个……接下来就拜托各位了！	
101010304	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	应该就是这些了	
101010305	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	谢谢……请稍等我一下——核心重启，功率限制解除，透镜组重新校准……	
101010306	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	调试完成！太好了，这两个孩子终于恢复运作了……	
101010307	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	报告指挥官！构造体丽芙重新加入战斗！	
101010401	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	指挥官，趁现在先熟悉丽芙的性能吧，丽芙！	
101010402	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	嗯！	
101010403	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	指挥官，点击右边我的机体框，我就可以上阵了。	
101010404	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	我一定会帮上忙的……！	
101010405	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	任意<color=#ffda58>【三消】</color>后，释放<color=#ff5656>【红色信号】</color>，即可触发核心技能	
101010406	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	这些构造体士兵的意识海果然已经被感染了。	
101010407	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	好在感染情况还不是很严重，整理之后应该可以获得比较完整的记忆片段。	
101010421	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	【激光束群】指令：	2	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Lifu01.png	
101020101	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	给我站住……	
101020102	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/XixiNomal01.png	画家	1	嘻嘻嘻嘻！这是……你们人类……没有资格理解的……艺术……	
101020103	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	露西亚，我从来没见过里先生这么生气的样子……	
101020104	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	……	
101020105	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	我也没有。	
101020106	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/TongyongganrantiNomal01.png	感染体	1	保护……领袖……	
101020107	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/TongyongganrantiNomal01.png	感染体	1	挣脱……束缚……	
101020108	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/XixiNomal01.png	画家	1	咦……为什么……还在……追我……	
101020109	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/XixiNomal01.png	画家	1	呼——呼——“颜料”……装得太多了……	
101020110	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/XixiNomal01.png	画家	1	噫——！	
101020111	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	啧……就差一点！	
101020201	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	之前的攻击应该是打中它的颜料罐了。	
101020202	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	跟着地面上颜料泄露的痕迹前进，应该就能把它给揪出来。	
101020203	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	不过注意别太靠近那些颜料，极低的温度会降低你的行动能力。	
101020204	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	如果在雾中迷失方向的话，跟着我就行了。	
101020205	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	居然……不在这里？	
101020206	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/XixiNomal01.png	新种	1	嘻嘻嘻……果然是欣赏不了……我的作品……的家伙……没有创意……嘻嘻嘻……	
101020207	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	到底有完没完……	
101020301	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	丽芙？	
101020302	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	腰上别着玩偶战斗的露西亚，感觉一下子温柔了很多。	
101020303	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	是吗……	
101020304	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	……	
101020305	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	怎么了露西亚？	
101020306	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	对不起……指挥官，我好像把自己的那只玩偶弄丢了……	
101020307	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	我得……把它找回来……	
101020308	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	你好像精神很恍惚的样子，没问题吗？	
101020309	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	露西亚，我……也一起去！	
101020310	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	找到了……	
101020311	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	嗯，太好了……	
101020321	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	【激光束群】指令：	2	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Lifu01.png	
101020322	0	PanelBallBox/TopThreeBalls	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	先释放一次任意<color=#ffda58>【三消】</color>	
101020323	0	PanelBallBox/FirstBall	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	再释放一次<color=#ff5656>【红色信号】</color>就可以释放【激光束群】了。	
101020324	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	丽芙	1	就是这样！【激光束群】的伤害很高，一定会帮到您的！	
101020401	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	刚才耽搁了一些时间，现在被感染体包围，只能用紧急方案了。	
101020402	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	我们需要启动电磁迷彩才能绕过感染体的防线。	
101020403	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	虽然电磁迷彩拥有暗物质涂层，可以隐藏大部分电磁相互作用，	
101020404	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	降低我们被侦测到的概率——	
101020405	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	这种装备的使用条件很苛刻，并不能经常使用，	
101020406	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	1	而且如果距离感染体的扫描区域太近，还是会被识别出来。	
