Key	Text
EquipReplaceTip	该武器已被{0}装备，继续装备会将此装备从原始角色上卸下，是否继续?
EquipPutOnNotChar	卡牌不存在
EquipPutOnEquipTypeError	强化素材不可装备
EquipPutOnSiteError	装备部位错误
EquipTakeOffNotChar	该装备未装备
EquipTakeOffWeapon	武器不能卸下
EquipWeaponMax	武器已满级
EquipChipMax	意识已满级
EquipStrengthenPreciousTipTitle	强化提示
EquipStrengthenPreciousTipContent	强化材料中包含5★或以上装备，是否继续。
EquipResonancePreciousTipTitle	共鸣提示
EquipResonancePreciousTipContent	共鸣材料中包含5★或以上装备，是否继续。
EquipResonanceWeaponRepeatTipTitle	重复共鸣提示
EquipResonanceWeaponRepeatTipContent	共鸣技能已经解锁后，再次共鸣只能更换绑定对象，是否继续？
EquipResonancePosText	位置{0}
EquipSuitPrefabCount	 <color=#ff4e4e>{0}</color>/{1}
EquipSuitPrefabCountMax	{0}/{1}
EquipSuitPrefabCurName	当前组合
EquipSuitPrefabRenameLengthError	请输入组合名称
EquipSuitPrefabSaveNotEquipIds	组合内没有装备意识
EquipSuitPrefabSaveNotName	请输入组合名称
EquipSuitPrefabSaveOverMaxNum	组合数量超过上限
EquipSuitPrefabEquipSame	已装备相同意识
EquipSuitPrefabRenameSuc	组合改名成功
EquipSuitPrefabDeleteSuc	组合删除成功
EquipSuitPrefabSaveSuc	组合保存成功
EquipSuitPrefabEquipSuc	组合装备成功
EquipSuitPrefabNum	{0}/{1}
EquipGridUsingWords	装备中
EquipGridInPrefabWords	预设中
StoryReviewTip	选项
StoryGetRewardTip	获得{0}x{1}
OnlineInstanceQuitRoom	确定退出协同作战房间？
OnlineInstanceCancelMatch	确定取消匹配？
OnlineInstanceLeastPlayer	最少需要{0}名队员
OnlineInstanceLimitPlayer	最多不超过{0}名队员
MultiplayerRoomCanNotSelectDifficulty	仅队长可选择难度
MultiplayerRoomCanNotChangeAutoMatch	仅队长可修改快速匹配
MultiplayerRoomCanNotSetAbilityLimit	仅队长可设置战力限制
MultiplayerRoomTeamHasSameCharacter	队伍中有相同角色
MultiplayerRoomRecommendAbility	推荐战斗参数{0}
MultiplayerRoomAbilityNotLegal	战斗参数不合法
DrawUseTicketToDraw	是否花费{0}{1}购买{2}张标准补给卡？
DrawDrawCountIsNotEnough	抽卡次数不足
DrawNoneMallError	已经没有可以研发的资源了
DrawNotOpen	暂未开放
DailyActiveRewardTitle	奖励详情
WeekActiveRewardTitle	周活跃奖励详情
SuitSkillTip	({0}件套装)
SettingCheckSave	当前更改尚未保存，是否保存？
SettingSave	设置已保存
TeamLevelToOpen	指挥官等级达到{0}级开启
CopyToOpen	通关关卡{0}后开启
FinishToOpen	完成{0}后开启
FunctionOpenStage	关卡  <color=#ff7e4b>{0}</color>  已开启
FunctionOpen	功能系统  <color=#ff7e4b>{0}</color>  已开启
LevelUnit	级
Draw01	本次研发综合概率如下：
Draw02	◆创世级装备：11.5%【橙色】
Draw03	◆稀有级装备：8.5%【紫色】
Draw04	◆优良级装备：30%【蓝色】
Draw05	◆材料道具：50%
Draw06	每七次研发至少有一次会出现创世级装备。
Draw101	研发规则：
Draw102	◆每消耗360张黑卡可进行一次研发
Draw103	◆当前研究院正在建设中，不代表最终品质
Draw104	◆创世级装备为最高级装备
ExtraExperience	额外{0}%经验
WeaponSkill	武器技能
ChipSkill	意识技能
ReformSkill	改造技能
LoginPhoneEmpty	请输入手机号
LoginCodeEmpty	请输入验证码
ActivateCodeEmpty	请输入激活码
LoginSignOut	是否确定登出当前账号
NetworkError	网络错误
GetServerListFail	获取服务器列表失败\n是否重试
ConnetGameServerFail	连接游戏服失败\n是否重试
MallNotOpen	暂未开放
WeaponBagFull	武器已达到上限
ChipBagFull	意识已达到上限
CharacterLevelFull	不能超过指挥官等级
CharacterSignTip	请多多指教
EquipCoinLack	螺母不足
FubenBuyCountTitle	购买挑战次数
FubenBuyCountDesc	是否花费{0}钻石购买{1}次挑战次数？
FubenPreStage	请先通关前置关卡【{0}】
Liveness	活跃度:{0}/{1}
Finish	活跃度:已完成
DifficultMode	难度:
Difficult1	普通
Difficult2	隐藏
Difficult3	据点
FubenDifficultyNormal	【{0}-{1}】普通剧情
FubenDifficultyHard	【{0}-{1}】隐藏剧情
FubenDifficultyNightmare	【{0}-{1}】据点模式
FubenNotUnlock	副本未解锁
FubenNeedLevel	指挥官等级需达到{0}级
FubenActionPointNotEnough	免疫力下降
FubenChallengeCountNotEnough	挑战次数不足
FubenChallengeResetTime	重置时间
FubenNeedComplatePreChapter	需完成该难度前置章节
PlayerLevelUp	指挥官等级提升{0}级
FightExitMsg	是否退出本次战斗?
Award	奖励
CongratulationsToObtain	恭喜获得
Zero	零
One	一
Two	二
Three	三
Four	四
Five	五
Six	六
Seven	七
Eight	八
Nine	九
Ten	十
Hundred	百
Thousand	千
TenThousand	万
AHundredMillion	亿
Diary	日
Mouth	个月
Week	周
Year	年
Day	天
Second	秒
Minute	分
Snap	折
Hour	小时
Aha	啊哈
IsExpire	已到期
Diamond	黑卡
UpperLimit	上限
Recycle	回收
Residue	剩余
Preheat	预热
Buy	购买
Success	成功
Acquire	获得
AtPresent	已拥有
ComingSoon	敬请期待
NotUnlock	未解锁
FubenMainLineSectionName	第{0}章
ComeFrom	来自
CharacterNotMoreLevel	构造体等级不能超过指挥官等级
ErrorInValidationCode	效验码错误
AssetsBuyConsumeNotEnough	{0}不足
LoginPhoneError	请输入正确的手机号
LoginCodeError	请输入正确的四位验证码
LoginActivationCodeError	请输入正确的八位激活码
MailGetRewardEmpty	没有可领取邮件
ToolMonthBefore	月前
ToolDayBrfore	天前
ToolHourBefore	小时前
ToolMinuteBefore	分钟前
FriendCount	好友数
FriendDayCharge	今日收取
FriendChargeCoin	今日螺母收获
FriendMyId	我的识别码 : 
FriendLatelyLogin	最近登录 : 
FriendOnLine	在线
FriendOffLine	离线
FriendRemoveTip	删除好友后，与该玩家的羁绊值和聊天记录都会被清除，确定删除？
FriendSelectRemoveTip	请选择要删除的好友
FriendHaveApply	已申请过好友
ChatSystemMsg	系统消息
ChatWorldMsg	广域聊天
ChatGuilyMsg	公会聊天
ChatPrivateMsg	私聊
ChatWorldNewMsg	有【<color=#34aff9>{0}</color>】条新的消息
CurrentlyHas	当前拥有:{0}
DifferentRefreshTimes	刷新次数不足
RefreshShopItemNotEnough	重置需要的物资不足
BuyNeedItemInsufficient	购买所需材料不足
CanBuy	可购: {0}
DayCanBuy	本日可购: {0}
WeekCanBuy	本周可购: {0}
MonthCanBuy	本月可购: {0}
GainCount	获得 x {0}
TimeLimit	限时
RecommendLevelDesc	推荐等级：{0}
Recommend	推荐
HotSell	热销
TimeSoldOut	距离下架：{0} 
InputChatMsgTip	请输入聊天消息 ...
SendMessageCooling	距离下次联系还有  <color=red>%d</color> s..
RefreshRecommended	刷新推荐
UseSuccess	更换成功
BuySuccess	购买成功
EmojiText	[表情]
GiftText	[礼物]
FashionNoGet	此【涂装】暂未解锁
FashionNoWay	暂时没有获取途径
CharacterLock	角色暂未解锁
ApplyForTip	无法向对方发送好友请求，请在{0}小时后再发送
ApplyButtonName1	申请
ApplyButtonName2	好友
ActiveTime	<size=26><color=#626c78>开放剩余时间：</color></size>{0}
BuyCount	<size=26><color=#626c78>可购次数：</color></size>{0}/{1}
ShopResetTimes	<size=26><color=#626c78>次数：</color></size>{0}/{1}
AlreadyFriends	对方已经是你的好友
FriendNotAddSelf	无法将自己加为好友
NewPlayerTaskGetAward	【可领奖励】
NewPlayerTaskLock	【锁定】
NewPlayerTaskFinish	【已达成】
NewPlayerTaskLockMsg	【这个挑战还不能进行】无法进入查看任务详情
NewPlayerTaskGroupLockMsg	构造体尚未与您联络
EquipReformItemDisplay	拥有:{0}
EquipSkillDesc	<size=42><color=#0F70BCFF>{0}</color></size>\n{1}
EquipReformSelectItemDisplay	x{0}
TipsEquipReformNeedSelectItem	请先选择改造的物品
EquipReformItemNotEnough	物品不足
GiftMoneySendNotReceive	你给{0}丢了一箱螺母，你们之间产生了{1}点羁绊
GiftMoneySendHaveReceive	{0}收到了你丢的{1}个螺母
GiftMoneySendOverdue	今日给{0}丢的螺母已经过期
GiftMoneyReceiveNotReceive	{0}给你丢了一箱螺母，你们之间产生了{1}点羁绊
GiftMoneyReceiveHaveReceive	领取了{0}丢来的{1}个螺母
GiftMoneyReceiveOverdue	今日{0}给你丢的螺母已经过期
TowerOpenDesc	/{0}重置
TowerTimeIsOver	已重置
TowerDowngrade	降级预定
TowerRelegation	保级成功
TowerUpgrade	进级确认
TowerStage	行
TowerTimes	次
TowerTImesStart	第
TowerStageInfo	第<color=red>{0}</color>行
TowerFriend	好友
TowerGuild	军团
TowerStranger	路人
TowerOpenAssist	开启助战
TowerCloseAssist	关闭助战
TowerStrabger	路人
TowerCannotEnter	已经达到本段位最高层
AssistDistanceDesc	距离{0}Km
AssistPlayerDefaultSign	我就是这么强大！
ShopCannotFindActiveShop	暂无活动商店
ShopActivityItemCount	{0}<size=20>/拥有</size>
ShopNoGoodsDesc	暂无商品可购买
ShopHaveNotBuyCount	超过商店可购买的数量
ShopGridCommonCount	x{0}
NoLimit	无限
HostelFloorLock	【区域未解锁】
HostelSelectChar	【点击右方选择伙伴入住】
HostelCharInWork	【执勤中的伙伴不可离开楼层】
HostelFullElectric	已满
HostelFullVitality	已满
TeamSelectError	此角色已经在编队中
ChallengeFightNumTitleCH	阶段{0}
ChallengeFightNumTitleEN	STAGE{0}
ChallengeRewardIsGetted	奖励已领取
ChallengeRewardIsTips	可领奖励
HostelMaxElectric	储存上限
HostelPerElectric	产量
HostelWorkElectric	执勤产量
HostelWorkSlot	槽位数量
HostelDeviceUp	提升到
HostelDeviceLevel	等级
HostelDeviceNeedEle	需要{0}个{1}作为能源
HostelSelectCharWork	请先选择伙伴
CharacterVitality	集中力{0}
HostelProductElectric	产出粒子
HostelSlotProduct	产出{0}
HostelWorkTime	执勤时间
TipsNeedSelectCharacterStoryStage	请先选择剧情任务
HostelWorkReward	完成生产获得
HostelPerSlot	{0}/人
HostelWorkSlotLock	执勤位未解锁
BuyChallegeCount	挑战 <color=#FF6B3EFF>{0}</color> 次
CanChallegeCount	可挑战次数: 
BuyChallegeDesc	挑战机会
BattleWinSelectStage	返 回
BattleWinAgain	再 次 挑 战
BattleWinNext	进 入 下 一 关
BattleWinMain	主 界 面
BattleWinMainCannotEnter	无法进入下一关
GraphicDownLevel	检测到当前帧数较低，是否降低画质？
FubenEmexProgress	<color=#0f70bcFF>{0}</color>/{1}
NewRoomSingleCannotSetRobot	无法编辑试玩队伍
CharacterShowLevel	{0}<color=#000000FF><size=40>/{1}</size></color>
World	世界
Team	部队
System	系统
None	无
Attack	攻击
Defense	防御
Life	生命
Blast	暴击
Score	评分
EvaMaxDes	最大值
Evaluation	评估
PutOn	装备
Obtain	获取
StorySkipDesc	是否跳过该剧情？
InputTips	请输入聊天内容......
CountDownTips	还有({0}S)可发送
Clipboard	已复制到剪贴板
WrongDate	输入日期错误
Birthday	{0}月{1}日
CopySuccess	复制成功
RecycleTips	选择中有评分较高的物品是否确认分解?
BossSingleChallengeCount	<size=58><color=#0f70bc>{0}</color></size>/{1}
BossSingleScore	讨伐值{0}
BossSingleNoNeedScore	全部获得
BossSingleScore2	当前讨伐值：{0}
BossSingleMinute	{0}分钟
BossSingleBossScore	<size=50><color=#0f70bc>{0}</color></size>/{1}
BossSingleOpenTip	高级区开放第三个Boss
BossSinglePrecentDesc	{0}<size=42>%</size>
BossSingleRankDesc	等级：{0} - {1}
BossSingleLeftTime	<size=34><color=#000000FF>距离重置还有:</color></size>{0}
BossSingleLeftTimeIos	(ios榜单)
BossSingleLeftTimeWin	(win榜单)
BossSingleLeftTimeAndroid	(Android榜单)
BossSingleLeftTimeAll	(全平台榜单)
BossSingleStamina	耐力：{0}/{1}
BossSingleNoStamina	{0}耐力值不足
BossSingleSocreReward	您的讨伐奖励已经发送到邮箱
BossSingleBossNotEnough	Boss尚未开启
BossSingleBossRankSocre	<size=22>讨伐值 </size>{0}
BossSingleLeftTimeIcon	距离重置还有:{0}
BossSingleProgress	进度：{0}/{1}
NotSelEquiping	无法选择正在装备中的部件
PleaseSelMorePart	至少选择一个物品
IsSureRecycle	回收列表中有评分高于当前装备的装备，是否确认回收？
EvaNorSuccess	鉴定成功
EvaBigSuccess	鉴定大成功
CoureDesc	完成关卡<color=#0E70BDFF>{0}</color>即可获得奖励
IsSureDelete	是否确认删除？
DorType1	内存-装甲
DorType2	风扇-装甲
DorType3	处理器-敢死
DorType4	电源-敢死
DorType5	底板-生化
DorType6	显卡-生化
OnlineInviteFriend	"{0}正在挑战{1},请求您的支援,room"
OnlineInviteLink	<a href={0}>[立即前往]</a>
OnlineKickOut	您已被踢出房间
OnlineSendWorldSuccess	发送成功
OnlineQuickStart	快速匹配已开启
OnlineQuickOver	快速匹配已关闭
OnlineCurCharacterAlreadyFight	当前角色已出战
OnlineFightSuccess	出战成功
OnlineInstanceEnterRoom	成功进入队伍
OnlineCancelReadyBeforeSelectCharacter	准备中不可修改角色
OnlineRoomOnDisconnet	与房间断开连接
BuyCountIsNotEnough	购买次数不足
SocialGiftTips	全部收取<color=#34aff8>({0}/{1})</color>
DrawTotalCount	<size=30><color=#000000FF>已研发：</color></size>{0}回
DrawCount	{0}回研发
ServerDisconnect	服务器断开连接
ServerError	连接服务器错误
HeartbeatTimeout	与服务器失去连接
LoginTimeOut	登录超时，是否重试?
FubenNotTime	副本已过期
FubenDailyIsAlreadyReset	副本已重置
FubenDailyRemainCount	剩余：{0}次   
FubenDailyOpenRemark	周{0}开放
FubenDailyOpenHint	仅在周{0}开放
FubenDailyAllDayOpen	全天开放
DailyActive	每日活跃度
WeekActive	每周活跃度
LevelActionPoint	{0}(+{1})
OnlineBossTimeOut	协同作战已刷新
FlopRewardSelect	请选择奖励
FlopRewardWait	等待确认
FlopRewardWaitClose	面板即将关闭
DrawCombination	{0}
DrawVoucherNotEnough	{0}不足
DrawBuyVoucherQuery	是否使用<color=#0f70bc>{0}</color>【{1}】购买<color=#0f70bc>{2}</color>张【{3}】
DrawOwnVoucherAmount	<size=34><color=#838383FF>拥有：</color></size>{0}
DrawResetTime	<size=40><color=#FFFFFFFF>距离重置还有:</color></size>{0}
Fract	{0}<size=30>/{1}</size>
RoomHrefDisabled	支援消息已过期
GetAssistFail	支援失效：当前未遇到其他小队。
ChatManagerNotSendCoinToNotFriend	不能给非好友发送螺母
ChatManagerGiveGiftFailedHaveGiven	已经给好友发过礼物
RoomQuit	已退出联机队伍
CharacterExpItemsUse	使用成功
CharacterPartUpGrade	突破成功
CharacterActivation	激活成功
ExpAdd	经验+{0}
BountyTaskRefreshCountNotEnough	刷新次数不足
BountyTaskAccetpTaskSuccess	接受赏金任务成功
BountyTaskRewardTipTitle	赏金任务奖励
BountyTaskTipTitle	赏金任务提示
BountyRankDescContent	每周一5:00，通过邮件发送奖励
BountyTaskTipContent	任务与段位每周1凌晨5点刷新。\n接取任务后周期内无法删除。\n每日可刷新心仪任务7次。
UiFubenCoinSkillName	{0} <color=#{1}>{2}</color>
UiFubenCoinSkillReward	上次收益 <size=42><color=#{0}>{1}</color></size>
UiFubenCoinSkillChallenge	<color=#{0}>{1}</color>
UiFubenCoinSkillDesc1	第一行文本
UiFubenCoinSkillDesc2	第二行文本
UiFubenCoinSkillDesc3	第三行文本
MissionSendSuccess	派遣成功
MissionConditionMemberLimit	派遣队伍人数不足
MissionConditionNotEnough	派遣条件不足
MissionGiveupSuccess	放弃派遣任务成功
MissionRefreshSuccess	刷新成功
MissionAutoSelectFail	当前没有符合派遣条件的构造体
MissionTeamCountTipTile	提示
MissionGiveupTaskContent	确认放弃当前任务？
MissionRefreshTaskContent	确认花费%s%s刷新任务
MissionCurContent	(当前)
MissionTaskTeamMember	要求上阵%s个角色
MissionTaskCountContent	任务数上限提升至%s
MissionTaskTeamCountContent	派遣队伍上限提升至%s
UiPanelCreateTxtExplain	投入越多货币，产出高品质家具概率越高
UiPanelCreateTxtFurnitureCoin	可投入货币     ：
UiPanelRefitConsume	消耗家具币
UiPanelRefitSelectDrawing	选择图纸
BfrtFightEchelonTitle	作战梯队【{0}】
BfrtLogisticEchelonTitle	后勤梯队【{0}】
BfrtLogisticEchelonTitleSimple	后勤 {0}
BfrtFightEchelonTitleSimple	作战 {0}
BfrtRequireCharacterNum	作战人数：{0}
BaseEquipRecycleNotSelected	请先选择装备
FightTeamConditionLimit	作战队伍不符合要求
LogisticsTeamConditionLimit	后勤队伍不符合要求
BfrtInfoTeamName	梯队{0}
BfrtRequireNum	作战梯队：{0}
BfrtRequireNum1	后勤梯队：{0} 
BfrtRequireNum2	总人数：{0}
BfrtTaskOrder	任务{0}
BfrtDeployTipContent	是否让{0}从{1}更换至{2}。
BfrtDeployTipTitle	编队提示
BfrtCharacterAbilityLimit	出战成员战斗力不符合要求
BfrtChapterProgress	{0}/{1}
BfrtChpaterLocked	未开启
BfrtChapterUnlockCondition	通关上一章节后开启
BfrtAutoTeamNoMember	当前没有符合条件的队员
WeaponLevel	{0}(共鸣+{1})
CharGradeUseItem	需要{0}:{1}
CharQuiltyLevelUp	{0}成长
CharUnlockTips	构造体： {0}
FavorabilityGetReward	获得奖励
FavorabilityGetRewardWithArgs	获得奖励{0} X {1}
FavorabilityUnlockPlotSucc	剧情【{0}】解锁成功!
FavorabilityUnlockInfoSucc	资料【{0}】解锁成功!
FavorabilityUnlockStrangeNewsSucc	异闻【{0}】解锁成功!
FavorabilityUnlockAudioSucc	语音【{0}】解锁成功!
FavorabilityAddExp	【{0}】增加{1}点信赖度!
FavorabilityPlotTitle	EP{0}
FavorabilityCurrSelected	当前
FavorabilityCast	配音：{0}
FavorabilityAudioUnlock	语音【{0}】未解锁!
FavorabilityInfoUnlock	资料【{0}】未解锁!
FavorabilityNotOwnChar	当前选中的角色未拥有!
FavorabilityStroyUnlcok	剧情【{0}】未解锁!
FavorabilityStrangeNewsUnlcok	异闻【{0}】未解锁!
FavorabilityChooseAGift	请选择一种礼物!
FavorabilityGiftNumberZero	当前要赠送的礼物数量为0!
FavorabilityRewardCollected	奖励【{0}】已经领取!
FavorabilityRewardUnlock	奖励【{0}】未解锁!
FavorabilitySetAssistSucc	设定【{0}】为助理成功!
FavorabilitySetAssistAlready	已设定【{0}】为助理!
EquipStrengthenMaxLevel	已达上限等级
EquipStrengthenCurLevel	{0}/<color=#28CFFFFF>{1}</color>
EquipLevelText	<color=#0E70BDFF>{0}</color><size=30>/{1}</size>
EquipStrengthenSuc	装备强化成功
EquipPutOnSuc	装备穿戴成功
EquipTakeOffSuc	装备脱下成功
EquipResonanceSelectCharacterTip	选择一位构造体进行同调
EquipResonanceSelectWeaponTip	消耗一件同星级武器
EquipResonanceSelectAwarenessTip	消耗一件同名意识
EquipResonanceNoWeaponTip	暂无武器选择
EquipResonanceNoAwarenessTip	暂无意识选择
CustomUiTip	<color=#ffffff>点击需要调整的按钮，拖动调整位置</color>
CustomUiConflict	<color=#ffffff>有按钮重叠，请重新检查</color>
CustomUiSaved	<color=#ffffff>方案保存成功</color>
CustomUiUnsave	按键方案尚未保存，确定要退出吗？
CustomUiSchemeCustomName	自定义方案
AwarenessDetailTitle	意识属性
WeaponDetailTitle	武器属性
WeaponSkillBtn	武 器 技 能
SuitSkillBtn	套 装 技 能
WeaponStrengthenTitle	选择消耗武器
AwarenessStrengthenTitle	选择消耗意识
EquipIsLock	装备处于锁定状态
EquipIsBindCharacter	专属装备角色不可替换
EquipResonanceSelectSlot	共鸣技能槽{0}
EquipPutOnSpecialCharacterIdNotEqual	此装备为{0}·{1}专属
ArenaTeamKickOutMemberConfirm	是否将【{0}】请离队伍？
ArenaTeamLeveTeamConfirm	是否退出当前队伍？
ArenaTeamAlreadyHaveTeam	您已有队伍，无法申请
ArenaTeamCanNotInvite	您没有队伍，无法邀请
ArenaTeamIsFull	本队伍已满3人，无法在邀请
ArenaTeamIsNotCaptain	只有队长能邀请别人
ArenaActivityBeginCountDown	距离开启时间
ArenaActivityResultCountDown	距离下次活动时间
ArenaActivityEndCountDown	进行中：{0}
ArenaOverDescription	结算期
ArenaTeamDescription	组队期
ArenaFightNotJoinDescription	任务奖励已刷新
ArenaFightJoinDescription	战斗期
ArenaWaveRate	波动指数{0}
ArenaPlayerLevelRange	等级段：{0}-{1}
ArenaActivityUpRegion	晋级区
ArenaActivityKeepRegion	保级区
ArenaActivityDownRegion	降级区
ArenaActivityUpRegionColor	<color=#20bb61>晋级区</color>
ArenaActivityKeepRegionColor	<color=#2086bb>保级区</color>
ArenaActivityDownRegionColor	<color=#bb204f>降级区</color>
ArenaActivityNotUpRegionDesc	该组小队不会晋级
ArenaActivityNotDownRegionDesc	该组小队不会降级
ArenaActivityNotKeepRegionDesc	该组小队不会保级
ArenaActivityUpRegionDesc	该组{0}-{1}名晋升至高一级小队
ArenaActivityKeepRegionDesc	该组{0}-{1}名保留在当前小队
ArenaActivityDownRegionDesc	该组{0}-{1}名降低至低一级小队
ArenaActivityConfirmUnlockArea	是否解锁【{0}】？\n今日剩余解锁次数：{1}（每日重置）
ArenaActivityUnlockCountNotEnough	今日已经没有解锁次数，请明天再试
ArenaActivityLordIsEmpty	虚位以待
ArenaActivityStage	第{0}区域
ArenaActivityResultUp	恭喜你在纷争战区提升到 <color=#0f70bc><size=60>{0}小队</size></color>
ArenaActivityResultDown	很遗憾你在纷争战区下降至 <color=#0f70bc><size=60>{0}小队</size></color>
ArenaActivityResultKeep	你在纷争战区英勇奋战保留在 <color=#0f70bc><size=60>{0}小队</size></color>
ArenaActivityStrategyContent	活动时间：\n第一期：周日18点30分~周三18点整\n第二期：周三18点30分~周日18点整\n\n玩法说明：纷争战区是在不同战区中通关区域获得积分的玩法，每期都会更换区域的敌人种类和属性\n\n区域说明：每个战区3个区域均可重复挑战，前2个区域通关时间越短、己方剩余生命越多，则积分越高；第3个区域无限刷怪，限时内对敌人造成的伤害越高，己方剩余生命越多，则积分越高。\n\n段位说明：每期活动数名指挥官会匹配在一起，根据积分进行排名，排名前几名的指挥官会在下期晋升到更高一级段位\n\n组队说明：准备时间可自由组队，战斗开始后不满3人的队伍会自由分配，队员积分总和能争夺队伍排名。
ArenaActivityAreaIsNotOpen	此战区本周期内锁定，无法挑战
ArenaActivityPoint	 {0}
ArenaMaxSingleScore	最高可获取{0}分
ArenaMaxSingleNoScore	最高分无上限
ArenaMaxAllScore	{0}<size=40>MAX</size>
ArenaMaxAllHistoryScore	{0}<size=30>MAX</size>
ArenaGrouplScore	第 {0} 波
ArenaTeamInvitError	组队需等级区与段位相同
ArenaTeamInvitTip	状态刷新可能存在延迟
ArenaTeamLevelError	组队需等级区与段位相同
ArenaTeamChallengeError	该玩家尚未进入本期战区
ComeAcrossTips	每天可偶遇3次，24点重置次数
ComeAcrossStart	开始！
ComeAcrossRight	<color=#8cfa7a>正确！</color>
ComeAcrossWrong	<color=#fd6e6e>错误！</color>
ComeAcrossEnd	%s秒后自动退出
ComeAcrossTimeout	<color=#fd6e6e>时间到！</color>
NewbieDayTab1	第0{0}天
NewbieDayTab2	第{0}天
NewbieDayUnlock	目标尚未开启
ComeAcrossNext	%s秒后开始下一题
ComeAcrossGameEnd	<color=#2abdfc>游戏结束</color>
FavorabilityStorySectionName	第{0}章
EquipCapacityDes	拥有的武器
AwarenessCapacityDes	拥有的意识
SuitCapacityDes	拥有的套装
MaterialCapacityDes	拥有的道具
FragmentCapacityDes	拥有的碎片
DecomposeTitle	分解预览
ConverseTitle	转化预览
SellTitle	出售预览
DecomposeConfirmTip	分解返还70%左右所有培养材料（返还不包括共鸣材料）
DecomposeConfirmTitle	装备分解二次确认
SellConfirmTip	选中物品为高品质物品
SellConfirmTitle	物品出售二次确认
ItemDeadLine	（{0}后过期）
SelectGiftCount	可自由选择{0}个奖励
SelectGiftMaxCount	可选礼包选满了
PrequelChapterTimes	次数：{0}
