Id	ModelPath	LowModelPath	ControllerPath	DisplayControllerPath	UiDefaultAnimationPath
Mb1OrphanMd030001	Assets/Product/Role/CharaterPrefab/Mb1OrphanMd030001.prefab		Assets/Product/Role/Animation/Mb1OrphanMd030001/Mb1OrphanMd030001/Mb1OrphanMd030001.controller	Assets/Product/Role/Animation/Mb1OrphanMd030001/Mb1OrphanMd030001Display/Mb1OrphanMd030001Display.controller	Assets/Product/Role/Animation/Mb1OrphanMd030001/Mb1OrphanMd030001Display/UiStand1.anim
Mb1OrphanMd030002	Assets/Product/Role/CharaterPrefab/Mb1OrphanMd030002.prefab		Assets/Product/Role/Animation/Mb1OrphanMd030002/Mb1OrphanMd030002/Mb1OrphanMd030002.controller		
Mb1OsirisMd000001	Assets/Product/Role/CharaterPrefab/Mb1OsirisMd000001.prefab		Assets/Product/Role/Animation/Mb1OsirisMd000001/Mb1OsirisMd000001/Mb1OsirisMd000001.controller		Assets/Product/Role/Animation/Mb1OsirisMd000001/Mb1OsirisMd000001Display/UiStand1.anim
Mb1OsirisMd000002	Assets/Product/Role/CharaterPrefab/Mb1OsirisMd000002.prefab		Assets/Product/Role/Animation/Mb1OsirisMd000002/Mb1OsirisMd000002/Mb1OsirisMd000002.controller		
Mb1OsirisMd000003	Assets/Product/Role/CharaterPrefab/Mb1OsirisMd000003.prefab		Assets/Product/Role/Animation/Mb1OsirisMd000003/Mb1OsirisMd000003/Mb1OsirisMd000003.controller		
Mb1RobotarmorMd030001	Assets/Product/Role/CharaterPrefab/Mb1RobotarmorMd030001.prefab		Assets/Product/Role/Animation/Mb1RobotarmorMd030001/Mb1RobotarmorMd030001/Mb1RobotarmorMd030001.controller	Assets/Product/Role/Animation/Mb1RobotarmorMd030001/Mb1RobotarmorMd030001Display/Mb1RobotarmorMd030001Display.controller	Assets/Product/Role/Animation/Mb1RobotarmorMd030001/Mb1RobotarmorMd030001Display/UiStand1.anim
Mb1SandwormMd030001	Assets/Product/Role/CharaterPrefab/Mb1SandwormMd030001.prefab		Assets/Product/Role/Animation/Mb1SandwormMd030001/Mb1SandwormMd030001/Mb1SandwormMd030001.controller		Assets/Product/Role/Animation/Mb1SandwormMd030001/Mb1SandwormMd030001Display/UiStand1.anim
Mb1SwordMd030001	Assets/Product/Role/CharaterPrefab/Mb1SwordMd030001.prefab	Assets/Product/Role/CharaterPrefab/Mb1SwordMd030001Low.prefab	Assets/Product/Role/Animation/Mb1SwordMd030001/Mb1SwordMd030001/Mb1SwordMd030001.controller		Assets/Product/Role/Animation/Mb1SwordMd030001/Mb1SwordMd030001Display/UiStand1.anim
Mb1SwordMd030002	Assets/Product/Role/CharaterPrefab/Mb1SwordMd030002.prefab	Assets/Product/Role/CharaterPrefab/Mb1SwordMd030002Low.prefab	Assets/Product/Role/Animation/Mb1SwordMd030002/Mb1SwordMd030002/Mb1SwordMd030002.controller		
Mb1TankarmorMd030001	Assets/Product/Role/CharaterPrefab/Mb1TankarmorMd030001.prefab		Assets/Product/Role/Animation/Mb1TankarmorMd030001/Mb1TankarmorMd030001/Mb1TankarmorMd030001.controller		Assets/Product/Role/Animation/Mb1TankarmorMd030001/Mb1TankarmorMd030001Display/UiStand1.anim
Mb1TankarmorMd030002	Assets/Product/Role/CharaterPrefab/Mb1TankarmorMd030002.prefab		Assets/Product/Role/Animation/Mb1TankarmorMd030002/Mb1TankarmorMd030002/Mb1TankarmorMd030002.controller		
Mb1TankarmorMd030011	Assets/Product/Role/CharaterPrefab/Mb1TankarmorMd030011.prefab				
Mb1TrackalienMd010001	Assets/Product/Role/CharaterPrefab/Mb1TrackalienMd010001.prefab		Assets/Product/Role/Animation/Mb1TrackalienMd010001/Mb1TrackalienMd010001/Mb1TrackalienMd010001.controller		
Mb1VirginbioMd030001	Assets/Product/Role/CharaterPrefab/Mb1VirginbioMd030001.prefab		Assets/Product/Role/Animation/Mb1VirginbioMd030001/Mb1VirginbioMd030001/Mb1VirginbioMd030001.controller		Assets/Product/Role/Animation/Mb1VirginbioMd030001/Mb1VirginbioMd030001Display/UiStand1.anim
Mb1XiuMd010001	Assets/Product/Role/CharaterPrefab/Mb1XiuMd010001.prefab	Assets/Product/Role/CharaterPrefab/Mb1XiuMd010001Low.prefab	Assets/Product/Role/Animation/Mb1XiuMd010001/Mb1XiuMd010001/Mb1XiuMd010001.controller		Assets/Product/Role/Animation/Mb1XiuMd010001/Mb1XiuMd010001Display/UiStand1.anim
Mb1XiuMd010002	Assets/Product/Role/CharaterPrefab/Mb1XiuMd010002.prefab	Assets/Product/Role/CharaterPrefab/Mb1XiuMd010001Low.prefab	Assets/Product/Role/Animation/Mb1XiuMd010002/Mb1XiuMd010002/Mb1XiuMd010002.controller		
Me1ArmorMd010091	Assets/Product/Role/CharaterPrefab/Me1ArmorMd010091.prefab		Assets/Product/Role/Animation/Me1ArmorMd010091/Me1ArmorMd010091/Me1ArmorMd010091.controller		
Me1BioMd004010	Assets/Product/Role/CharaterPrefab/Me1BioMd004010.prefab		Assets/Product/Role/Animation/Me1BioMd004010/Me1BioMd004010/Me1BioMd004010.controller		
Me1BioMd004020	Assets/Product/Role/CharaterPrefab/Me1BioMd004020.prefab		Assets/Product/Role/Animation/Me1BioMd004020/Me1BioMd004020/Me1BioMd004020.controller		
Me1BioMd004030	Assets/Product/Role/CharaterPrefab/Me1BioMd004030.prefab		Assets/Product/Role/Animation/Me1BioMd004030/Me1BioMd004030/Me1BioMd004030.controller		
Me1BioMd004040	Assets/Product/Role/CharaterPrefab/Me1BioMd004040.prefab		Assets/Product/Role/Animation/Me1BioMd004040/Me1BioMd004040/Me1BioMd004040.controller		
Me1BioMd004050	Assets/Product/Role/CharaterPrefab/Me1BioMd004050.prefab		Assets/Product/Role/Animation/Me1BioMd004050/Me1BioMd004050/Me1BioMd004050.controller		
Me1BioMd004060	Assets/Product/Role/CharaterPrefab/Me1BioMd004060.prefab		Assets/Product/Role/Animation/Me1BioMd004060/Me1BioMd004060/Me1BioMd004060.controller		
Me1BioMd005010	Assets/Product/Role/CharaterPrefab/Me1BioMd005010.prefab		Assets/Product/Role/Animation/Me1BioMd005010/Me1BioMd005010/Me1BioMd005010.controller		
Me1BioMd005020	Assets/Product/Role/CharaterPrefab/Me1BioMd005020.prefab		Assets/Product/Role/Animation/Me1BioMd005020/Me1BioMd005020/Me1BioMd005020.controller		
Me1BioMd005021	Assets/Product/Role/CharaterPrefab/Me1BioMd005021.prefab		Assets/Product/Role/Animation/Me1BioMd005021/Me1BioMd005021/Me1BioMd005021.controller		
Me1BioMd005022	Assets/Product/Role/CharaterPrefab/Me1BioMd005022.prefab		Assets/Product/Role/Animation/Me1BioMd005022/Me1BioMd005022/Me1BioMd005022.controller		
Me1BioMd006010	Assets/Product/Role/CharaterPrefab/Me1BioMd006010.prefab		Assets/Product/Role/Animation/Me1BioMd006010/Me1BioMd006010/Me1BioMd006010.controller		
Me1BioMd006011	Assets/Product/Role/CharaterPrefab/Me1BioMd006011.prefab		Assets/Product/Role/Animation/Me1BioMd006011/Me1BioMd006011/Me1BioMd006011.controller		
Me1BioMd007010	Assets/Product/Role/CharaterPrefab/Me1BioMd007010.prefab		Assets/Product/Role/Animation/Me1BioMd007010/Me1BioMd007010/Me1BioMd007010.controller		
Me1BioMd007020	Assets/Product/Role/CharaterPrefab/Me1BioMd007020.prefab		Assets/Product/Role/Animation/Me1BioMd007020/Me1BioMd007020/Me1BioMd007020.controller		
Me1BioMd030061	Assets/Product/Role/CharaterPrefab/Me1BioMd030061.prefab		Assets/Product/Role/Animation/Me1BioMd030061/Me1BioMd030061/Me1BioMd030061.controller		
Me1BraveMd020021	Assets/Product/Role/CharaterPrefab/Me1BraveMd020021.prefab		Assets/Product/Role/Animation/Me1BraveMd020021/Me1BraveMd020021/Me1BraveMd020021.controller		
Me1CamouflageMd001002	Assets/Product/Role/CharaterPrefab/Me1CamouflageMd001002.prefab		Assets/Product/Role/Animation/Me1CamouflageMd001002/Me1CamouflageMd001002/Me1CamouflageMd001002.controller		
Me1CattleMd000002	Assets/Product/Role/CharaterPrefab/Me1CattleMd000002.prefab		Assets/Product/Role/Animation/Me1CattleMd000002/Me1CattleMd000002/Me1CattleMd000002.controller		
Me1DestroyerMd001001	Assets/Product/Role/CharaterPrefab/Me1DestroyerMd001001.prefab		Assets/Product/Role/Animation/Me1DestroyerMd001001/Me1DestroyerMd001001/Me1DestroyerMd001001.controller	Assets/Product/Role/Animation/Me1DestroyerMd001001/Me1DestroyerMd001001Display/Me1DestroyerMd001001Display.controller	Assets/Product/Role/Animation/Me1DestroyerMd001001/Me1DestroyerMd001001Display/UiStand1.anim
Me1GouzaotiMd10001	Assets/Product/Role/CharaterPrefab/Me1GouzaotiMd10001.prefab		Assets/Product/Role/Animation/Me1GouzaotiMd10001/Me1GouzaotiMd10001/Me1GouzaotiMd10001.controller		
Me1RocketMd002002	Assets/Product/Role/CharaterPrefab/Me1RocketMd002002.prefab		Assets/Product/Role/Animation/Me1RocketMd002002/Me1RocketMd002002/Me1RocketMd002002.controller		
Me1SpiderMd000001	Assets/Product/Role/CharaterPrefab/Me1SpiderMd000001.prefab		Assets/Product/Role/Animation/Me1SpiderMd000001/Me1SpiderMd000001/Me1SpiderMd000001.controller		
Me1SwordMd002001	Assets/Product/Role/CharaterPrefab/Me1SwordMd002001.prefab		Assets/Product/Role/Animation/Me1SwordMd002001/Me1SwordMd002001/Me1SwordMd002001.controller		Assets/Product/Role/Animation/Me1SwordMd002001/Me1SwordMd002001Display/UiStand1.anim
Me1SwordMd002002	Assets/Product/Role/CharaterPrefab/Me1SwordMd002002.prefab		Assets/Product/Role/Animation/Me1SwordMd002002/Me1SwordMd002002/Me1SwordMd002002.controller		Assets/Product/Role/Animation/Me1SwordMd002002/Me1SwordMd002002Display/UiStand1.anim
Mo1ArmorMd010071	Assets/Product/Role/CharaterPrefab/Mo1ArmorMd010071.prefab		Assets/Product/Role/Animation/Mo1ArmorMd010071/Mo1ArmorMd010071/Mo1ArmorMd010071.controller		
Mo1ArmorMd010081	Assets/Product/Role/CharaterPrefab/Mo1ArmorMd010081.prefab		Assets/Product/Role/Animation/Mo1ArmorMd010081/Mo1ArmorMd010081/Mo1ArmorMd010081.controller		
Mo1ArmorMd010111	Assets/Product/Role/CharaterPrefab/Mo1ArmorMd010111.prefab		Assets/Product/Role/Animation/Mo1ArmorMd010111/Mo1ArmorMd010111/Mo1ArmorMd010111.controller		
Mo1ArmorMd010112	Assets/Product/Role/CharaterPrefab/Mo1ArmorMd010112.prefab		Assets/Product/Role/Animation/Mo1ArmorMd010112/Mo1ArmorMd010112/Mo1ArmorMd010112.controller		
Mo1BioMd010041	Assets/Product/Role/CharaterPrefab/Mo1BioMd010041.prefab		Assets/Product/Role/Animation/Mo1BioMd010041/Mo1BioMd010041/Mo1BioMd010041.controller		
Mo1BioMd010042	Assets/Product/Role/CharaterPrefab/Mo1BioMd010042.prefab		Assets/Product/Role/Animation/Mo1BioMd010042/Mo1BioMd010042/Mo1BioMd010042.controller		
Mo1BioMd010121	Assets/Product/Role/CharaterPrefab/Mo1BioMd010121.prefab		Assets/Product/Role/Animation/Mo1BioMd010121/Mo1BioMd010121/Mo1BioMd010121.controller		
Mo1BioMd010141	Assets/Product/Role/CharaterPrefab/Mo1BioMd010141.prefab		Assets/Product/Role/Animation/Mo1BioMd010141/Mo1BioMd010141/Mo1BioMd010141.controller		
Mo1BioMd030051	Assets/Product/Role/CharaterPrefab/Mo1BioMd030051.prefab		Assets/Product/Role/Animation/Mo1BioMd030051/Mo1BioMd030051/Mo1BioMd030051.controller		
Mo1BioMd030052	Assets/Product/Role/CharaterPrefab/Mo1BioMd030052.prefab		Assets/Product/Role/Animation/Mo1BioMd030052/Mo1BioMd030052/Mo1BioMd030052.controller		
Mo1BraveMd010031	Assets/Product/Role/CharaterPrefab/Mo1BraveMd010031.prefab		Assets/Product/Role/Animation/Mo1BraveMd010031/Mo1BraveMd010031/Mo1BraveMd010031.controller		
Mo1BraveMd010101	Assets/Product/Role/CharaterPrefab/Mo1BraveMd010101.prefab		Assets/Product/Role/Animation/Mo1BraveMd010101/Mo1BraveMd010101/Mo1BraveMd010101.controller		
Mo1BraveMd010131	Assets/Product/Role/CharaterPrefab/Mo1BraveMd010131.prefab		Assets/Product/Role/Animation/Mo1BraveMd010131/Mo1BraveMd010131/Mo1BraveMd010131.controller		
Mo1BraveMd030011	Assets/Product/Role/CharaterPrefab/Mo1BraveMd030011.prefab		Assets/Product/Role/Animation/Mo1BraveMd030011/Mo1BraveMd030011/Mo1BraveMd030011.controller		
Mo1JgrcMd000002	Assets/Product/Role/CharaterPrefab/Mo1JgrcMd000002.prefab		Assets/Product/Role/Animation/Mo1JgrcMd000002/Mo1JgrcMd000002/Mo1JgrcMd000002.controller		
Mo1KuroMd1001	Assets/Product/Role/CharaterPrefab/Mo1KuroMd1001.prefab		Assets/Product/Role/Animation/Mo1KuroMd1001/Mo1KuroMd1001/Mo1KuroMd1001.controller		
Mo1SsjkMd000004	Assets/Product/Role/CharaterPrefab/Mo1SsjkMd000004.prefab		Assets/Product/Role/Animation/Mo1SsjkMd000004/Mo1SsjkMd000004/Mo1SsjkMd000004.controller		
Mt1BoxerMd000001	Assets/Product/Role/CharaterPrefab/Mt1BoxerMd000001.prefab				
Mt1CrossMd000004	Assets/Product/Role/CharaterPrefab/Mt1CrossMd000004.prefab				
Mt1Cube0001	Assets/Product/Role/CharaterPrefab/Mt1Cube0001.prefab				
Mt1DeliveryMd000006	Assets/Product/Role/CharaterPrefab/Mt1DeliveryMd000006.prefab				
Mt1DubiandibingfeijiMd010010	Assets/Product/Role/CharaterPrefab/Mt1DubiandibingfeijiMd010010.prefab				
Mt1DubianfeijiMd010010	Assets/Product/Role/CharaterPrefab/Mt1DubianfeijiMd010010.prefab	Assets/Product/Role/CharaterPrefab/Mt1DubianfeijiMd010010Low.prefab	Assets/Product/Role/Animation/Mt1DubianfeijiMd010010/Mt1DubianfeijiMd010010/Mt1DubianfeijiMd010010.controller		
Mt1DubianfeijiMd010011	Assets/Product/Role/CharaterPrefab/Mt1DubianfeijiMd010011.prefab	Assets/Product/Role/CharaterPrefab/Mt1DubianfeijiMd010010Low.prefab	Assets/Product/Role/Animation/Mt1DubianfeijiMd010011/Mt1DubianfeijiMd010011/Mt1DubianfeijiMd010011.controller		
Mt1DwxMd000001	Assets/Product/Role/CharaterPrefab/Mt1DwxMd000001.prefab		Assets/Product/Role/Animation/Mt1DwxMd000001/Mt1DwxMd000001/Mt1DwxMd000001.controller		
Mt1FireMd000007	Assets/Product/Role/CharaterPrefab/Mt1FireMd000007.prefab				
Mt1GunpowderMd000001	Assets/Product/Role/CharaterPrefab/Mt1GunpowderMd000001.prefab				
Mt1MineelectricMd000002	Assets/Product/Role/CharaterPrefab/Mt1MineelectricMd000002.prefab				
Mt1MinepoisonMd000003	Assets/Product/Role/CharaterPrefab/Mt1MinepoisonMd000003.prefab				
Mt1PagerMd01001	Assets/Product/Role/CharaterPrefab/Mt1PagerMd01001.prefab				
Mt1PagerMd01002	Assets/Product/Role/CharaterPrefab/Mt1PagerMd01002.prefab				
Mt1SpinesMd000001	Assets/Product/Role/CharaterPrefab/Mt1SpinesMd000001.prefab		Assets/Product/Role/Animation/Mt1SpinesMd000001/Mt1SpinesMd000001/Mt1SpinesMd000001.controller		
Mt1WrenchMd000005	Assets/Product/Role/CharaterPrefab/Mt1WrenchMd000005.prefab		Assets/Product/Role/Animation/Mt1WrenchMd000005/Mt1WrenchMd000005/Mt1WrenchMd000005.controller		
R1LifuMd010011	Assets/Product/Role/CharaterPrefab/R1LifuMd010011.prefab		Assets/Product/Role/Animation/R1LifuMd010011/R1LifuMd010011/R1LifuMd010011.controller	Assets/Product/Role/Animation/R1LifuMd010011/R1LifuMd010011Display/R1LifuMd010011Display.controller	Assets/Product/Role/Animation/R1LifuMdCommon/R1LifuMdCommonDisplay/UiStand1.anim
R1LifuMd010021	Assets/Product/Role/CharaterPrefab/R1LifuMd010021.prefab		Assets/Product/Role/Animation/R1LifuMd010021/R1LifuMd010021/R1LifuMd010021.controller	Assets/Product/Role/Animation/R1LifuMd010021/R1LifuMd010021Display/R1LifuMd010021Display.controller	Assets/Product/Role/Animation/R1LifuMdCommon/R1LifuMdCommonDisplay/UiStand1.anim
R1LifuMd010031	Assets/Product/Role/CharaterPrefab/R1LifuMd010031.prefab		Assets/Product/Role/Animation/R1LifuMd010031/R1LifuMd010031/R1LifuMd010031.controller	Assets/Product/Role/Animation/R1LifuMd010031/R1LifuMd010031Display/R1LifuMd010031Display.controller	Assets/Product/Role/Animation/R1LifuMdCommon/R1LifuMdCommonDisplay/UiStand1.anim
R1LifuMd019011	Assets/Product/Role/CharaterPrefab/R1LifuMd019011.prefab		Assets/Product/Role/Animation/R1LifuMd019011/R1LifuMd019011/R1LifuMd019011.controller	Assets/Product/Role/Animation/R1LifuMd019011/R1LifuMd019011Display/R1LifuMd019011Display.controller	Assets/Product/Role/Animation/R1LifuMd019011/R1LifuMd019011Display/UiStand1.anim
R1LifuMd019091	Assets/Product/Role/CharaterPrefab/R1LifuMd019091.prefab		Assets/Product/Role/Animation/R1LifuMd019091/R1LifuMd019091/R1LifuMd019091.controller	Assets/Product/Role/Animation/R1LifuMd019091/R1LifuMd019091Display/R1LifuMd019091Display.controller	Assets/Product/Role/Animation/R1LifuMd019091/R1LifuMd019091Display/UiStand1.anim
R1LifuMd019101	Assets/Product/Role/CharaterPrefab/R1LifuMd019101.prefab		Assets/Product/Role/Animation/R1LifuMd019101/R1LifuMd019101/R1LifuMd019101.controller	Assets/Product/Role/Animation/R1LifuMd019101/R1LifuMd019101Display/R1LifuMd019101Display.controller	Assets/Product/Role/Animation/R1LifuMd019101/R1LifuMd019101Display/UiStand1.anim
R1LifuMd019111	Assets/Product/Role/CharaterPrefab/R1LifuMd019111.prefab		Assets/Product/Role/Animation/R1LifuMd019111/R1LifuMd019111/R1LifuMd019111.controller	Assets/Product/Role/Animation/R1LifuMd019111/R1LifuMd019111Display/R1LifuMd019111Display.controller	Assets/Product/Role/Animation/R1LifuMd019111/R1LifuMd019111Display/UiStand1.anim
R1LifuMd019151	Assets/Product/Role/CharaterPrefab/R1LifuMd019151.prefab		Assets/Product/Role/Animation/R1LifuMd019151/R1LifuMd019151/R1LifuMd019151.controller	Assets/Product/Role/Animation/R1LifuMd019151/R1LifuMd019151Display/R1LifuMd019151Display.controller	Assets/Product/Role/Animation/R1LifuMdCommon/R1LifuMdCommonDisplay/UiStand1.anim
R1LuxiyaMd010011	Assets/Product/Role/CharaterPrefab/R1LuxiyaMd010011.prefab	Assets/Product/Role/CharaterPrefab/R1LuxiyaMd010011Low.prefab	Assets/Product/Role/Animation/R1LuxiyaMd010011/R1LuxiyaMd010011/R1LuxiyaMd010011.controller	Assets/Product/Role/Animation/R1LuxiyaMd010011/R1LuxiyaMd010011Display/R1LuxiyaMd010011Display.controller	Assets/Product/Role/Animation/R1LuxiyaMdCommon/R1LuxiyaMdCommonDisplay/UiStand1.anim
R1LuxiyaMd010021	Assets/Product/Role/CharaterPrefab/R1LuxiyaMd010021.prefab	Assets/Product/Role/CharaterPrefab/R1LuxiyaMd010011Low.prefab	Assets/Product/Role/Animation/R1LuxiyaMd010021/R1LuxiyaMd010021/R1LuxiyaMd010021.controller	Assets/Product/Role/Animation/R1LuxiyaMd010021/R1LuxiyaMd010021Display/R1LuxiyaMd010021Display.controller	Assets/Product/Role/Animation/R1LuxiyaMdCommon/R1LuxiyaMdCommonDisplay/UiStand1.anim
R1LuxiyaMd010031	Assets/Product/Role/CharaterPrefab/R1LuxiyaMd010031.prefab	Assets/Product/Role/CharaterPrefab/R1LuxiyaMd010011Low.prefab	Assets/Product/Role/Animation/R1LuxiyaMd010031/R1LuxiyaMd010031/R1LuxiyaMd010031.controller	Assets/Product/Role/Animation/R1LuxiyaMd010031/R1LuxiyaMd010031Display/R1LuxiyaMd010031Display.controller	Assets/Product/Role/Animation/R1LuxiyaMdCommon/R1LuxiyaMdCommonDisplay/UiStand1.anim
R1LuxiyaMd019011	Assets/Product/Role/CharaterPrefab/R1LuxiyaMd019011.prefab	Assets/Product/Role/CharaterPrefab/R1LuxiyaMd010011Low.prefab	Assets/Product/Role/Animation/R1LuxiyaMd019011/R1LuxiyaMd019011/R1LuxiyaMd019011.controller	Assets/Product/Role/Animation/R1LuxiyaMd019011/R1LuxiyaMd019011Display/R1LuxiyaMd019011Display.controller	Assets/Product/Role/Animation/R1LuxiyaMd019011/R1LuxiyaMd019011Display/UiStand1.anim
R1LuxiyaMd019031	Assets/Product/Role/CharaterPrefab/R1LuxiyaMd019031.prefab	Assets/Product/Role/CharaterPrefab/R1LuxiyaMd010011Low.prefab	Assets/Product/Role/Animation/R1LuxiyaMd019031/R1LuxiyaMd019031/R1LuxiyaMd019031.controller	Assets/Product/Role/Animation/R1LuxiyaMd019031/R1LuxiyaMd019031Display/R1LuxiyaMd019031Display.controller	Assets/Product/Role/Animation/R1LuxiyaMd019031/R1LuxiyaMd019031Display/UiStand1.anim
R1LuxiyaMd019091	Assets/Product/Role/CharaterPrefab/R1LuxiyaMd019091.prefab	Assets/Product/Role/CharaterPrefab/R1LuxiyaMd010011Low.prefab	Assets/Product/Role/Animation/R1LuxiyaMd019091/R1LuxiyaMd019091/R1LuxiyaMd019091.controller	Assets/Product/Role/Animation/R1LuxiyaMd019091/R1LuxiyaMd019091Display/R1LuxiyaMd019091Display.controller	Assets/Product/Role/Animation/R1LuxiyaMd019091/R1LuxiyaMd019091Display/UiStand1.anim
R2AilaMd010011	Assets/Product/Role/CharaterPrefab/R2AilaMd010011.prefab	Assets/Product/Role/CharaterPrefab/R2AilaMd010031Low.prefab	Assets/Product/Role/Animation/R2AilaMd010011/R2AilaMd010011/R2AilaMd010011.controller	Assets/Product/Role/Animation/R2AilaMd010011/R2AilaMd010011Display/R2AilaMd010011Display.controller	Assets/Product/Role/Animation/R2AilaMdCommon/R2AilaMdCommonDisplay/UiStand1.anim
R2AilaMd010021	Assets/Product/Role/CharaterPrefab/R2AilaMd010021.prefab	Assets/Product/Role/CharaterPrefab/R2AilaMd010031Low.prefab	Assets/Product/Role/Animation/R2AilaMd010021/R2AilaMd010021/R2AilaMd010021.controller	Assets/Product/Role/Animation/R2AilaMd010021/R2AilaMd010021Display/R2AilaMd010021Display.controller	Assets/Product/Role/Animation/R2AilaMdCommon/R2AilaMdCommonDisplay/UiStand1.anim
