StageId	Title	Description	Icon	PhaseDescription
30100817	矢量色块	任意三消后，再次消除蓝色信号球时，艾拉会原地蓄力牵引附近敌人，并使自己获得最大生命值8%的护盾，持续7秒，随后重击前方目标，造成大量的物理伤害。在艾拉蓄力过程中受到的伤害减少70%。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Aila01.png	角色教学
30100818	寰宇振荡	任意三消后，再次消除红色信号球时，渡边会化为暗影对前方区域持续攻击，每次攻击都会造成暗影伤害，结束后进入暗影强化状态。在此状态中，普通攻击额外附加暗属性伤害，并且追刃也会额外附加暗属性伤害，持续5秒。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Dubian01.png	角色教学
30100155	激光束群	任意3消后下次红球技能将释放激光束群。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Lifu01.png	角色教学
30100156	EX切割风暴	任意3消后，再次消除黄球时，七实将释放EX-切割风暴，对周围的敌人持续攻击8次，每次造成一定的物理伤害。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Qishi01.png	角色教学
30100157	超算空间中单个技能球可算三消，红球触发被动	任意3消后，4秒内再次消除红色信号时，露西亚进入爆发状态，将使用双刀术代替普通攻击。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1luxiya01.png	角色教学
30100171	蓝球QTE说明	三消蓝色信号球，可激活蓝色位置的队友，点击可触发该位置角色QTE技能	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue04A.png	QTE教学
30100172	黄球QTE说明	三消黄色信号球，可激活黄色位置的队友，点击可触发该位置角色QTE技能	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue04B.png	QTE教学
30100173	消球小技巧	玩家在拥有四个相同颜色的技能球时，点击最外的一个技能球，这样可以在只消除一颗球的情况下保留一个三消技能。如果是在超算空间中，则可以利用此技巧使用连续两次三消技能	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue05.png	消球教学
30100303	超算空间中单个技能球可算三消，红球触发被动	任意3消后，4秒内再次消除红色信号时，露西亚进入爆发状态，将使用双刀术代替普通攻击。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue02A.png	角色教学
30100304	超算空间中单个技能球可算三消，红球触发被动	任意3消后下次红球技能将释放激光束群。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue03A.png	角色教学
30100305	超算空间中单个技能球可算三消，黄球触发被动	任意3消后，再次消除黄球时，七实将释放EX-切割风暴，对周围的敌人持续攻击8次，每次造成一定的物理伤害。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue03B.png	角色教学
30100306	超算空间中单个技能球可算三消，红球触发被动	任意3消后，4秒内再次消除红色信号时，露西亚进入爆发状态，将使用双刀术代替普通攻击。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue02A.png	角色教学
