Id	Type	Title	Desc	Time
1000000001	2		击败所有感染体	
1000000002	2		移动到目标区域	
1000000003	2		顺着方向指示移动	
1000000004	2		倒计时结束前到达目标区域	
1000000005	2		倒计时结束前击败所有敌人	
1001010101	1		守护目标血量低于50%！	3
1001010102	1		守护目标血量低于30%！	3
1001010103	1		守护目标血量低于10%！	3
1001010104	1		守护失败！\n守护目标已被摧毁。	3
1001010105	2		解救被围攻的构造体	
1001010106	2		向构造体了解情况	
1001010107	2		击败所有感染体	
1001010201	2		击败所有感染体	
1001010202	2		利用“双刀”状态击败敌人	
1001010211	1		尝试触发【红莲双刀】	3
1001010212	1		再次使用【红莲双刀】\n击败敌人	3
1001010213	1		尝试灵活组合【3消+红】\n触发双刀	3
1001010214	1		<size=50>里·异火加入了战斗！</size>	3
1001010301	1		搜索物资箱！\n<size=27>收集浮游炮部件</size>	3
1001010302	1		收集成功！\n<size=27>已收集浮游炮部件（1/3）</size>	3
1001010303	1		收集成功！\n<size=27>已收集浮游炮部件（2/3）</size>	3
1001010304	1		收集成功！\n<size=27>已收集浮游炮部件（3/3）</size>	3
1001010305	2		和丽芙对话确认情况	
1001010306	2		击败所有感染体	
1001010307	2		搜索周围	
1001010308	2		搜索周围的补给箱	
1001010309	2		和丽芙一起击败敌人	
1001010310	2		把部件交给丽芙完成组装	
1001010401	2		击败所有感染体残像	
1001020101	2		<size=27>击败阻挡的敌人，追上涂鸦者</size>	
1001020201	1		用红色信号击败敌人！	3
1001020202	2		和里对话	
1001020203	2		击败所有敌人	
1001020204	2		去坡上看看	
1001020301	2		击败沿途敌人	
1001020302	2		周围搜索一下	
1001020303	2		回去找玩偶	
1001020304	2		击败玩偶旁的感染体	
1001020305	2		看看玩偶吧	
1001020311	1		使用【激光束群】击败敌人	2
1001020401	2		找里了解情况	
1001020402	2		潜行到目标点	
1001020403	2		击败所有感染体	
1001020404	2		去结束点吧	
1001030101	2		解决拦路的感染体	
1001030102	2		接近画家	
1001030201	2		<size=27>解决拦路敌人并躲避喷罐炸弹</size>	
1001030202	1		画家开始变得暴躁！\n<size=27>注意躲避画家的攻击</size>	3
1001030401	2		击败喷涂机械	
1002010101	1		收集隔离装置！	3
1002010102	1		收集成功！\n<size=27>隔离装置（1/3）</size>	3
1002010103	1		收集成功！\n<size=27>隔离装置（2/3）</size>	3
1002010104	1		收集成功！\n<size=27>隔离装置（3/3）</size>	3
1002010105	2		调查隔离装置	
1002010106	2		击败干扰的敌人	
1002010107	2		询问里	
1002010108	2		再次和里对话	
1002010109	2		再次调查隔离装置	
1002010201	2		保护我方隔离装置	
1002010301	1		保护隔离装置！\n<size=27>阻止感染体攻击隔离装置！</size>	3
1002010302	1		协助里架设隔离装置！	3
1002010303	1		成功架设隔离装置！\n<size=27>架设隔离装置（1/3）</size>	3
1002010304	1		成功架设隔离装置！\n<size=27>架设隔离装置（2/3）</size>	3
1002010305	1		成功架设隔离装置！\n<size=27>架设隔离装置（3/3）</size>	3
1002010306	2		找里了解情况	
1002010307	2		去光点处调查	
1002010308	2		帮助里牵制敌人	
1002010309	2		借助隔离装置击败敌人	
1002010401	1		协助里架设隔离装置！	3
1002010402	1		成功架设隔离装置！\n<size=27>架设隔离装置（1/3）</size>	3
1002010403	1		成功架设隔离装置！\n<size=27>架设隔离装置（2/3）</size>	3
1002010404	1		成功架设隔离装置！\n<size=27>架设隔离装置（3/3）</size>	3
1002010405	2		调查前方光柱处	
1002020101	2		击败所有感染体	
1002020102	2		调查被感染的构造体	
1002020201	2		击败来妨碍的感染体	
1002020202	2		调查光点处	
1002020203	2		和里一起击败敌人	
1002020204	2		击败攻击构造体的感染体	
1002020205	2		询问构造体士兵	
1002020206	2		保护构造体士兵	
1002020207	2		查看构造体士兵的情况	
1002020208	2		看看构造体怎么样了	
1002020211	1		成功架设隔离装置！\n<size=27>架设隔离装置（1/2）</size>	3
1002020212	1		成功架设隔离装置！\n<size=27>架设隔离装置（2/2）</size>	3
1002020301	2		利用隔离装置击败感染体	
1002020311	1		隔离装置部署完毕！	3
1002020312	1		隔离装置开始工作！\n<size=27>将感染体引导至隔离装置附近</size>	3
1002020401	2		查看构造体情况	
1002020402	2		击退干扰治疗的敌人	
1002020403	2		击退剩下的敌人	
1002020404	2		看看构造体怎么样了	
1002020405	2		把提法的逆元装置交给她	
1002020406	2		跟随构造体继续前进	
1002020411	1		帮助受伤构造体恢复！\n<size=27>不要让感染体影响丽芙的治疗！</size>	3
1002020412	1		构造体已恢复成功！\n<size=27>击败完敌人就去看看吧</size>	3
1002020413	1		成功击败所有敌人！\n<size=27>看看受伤的构造体怎么样了</size>	3
1002020414	1		神秘感染体下令突进！\n<size=27>不要让感染体影响丽芙的治疗</size>	3
1002030101	2		躲避裂变原虫的爆炸	
1002030102	2		移动到下个区域	
1002030103	2		击败阻挡的敌人	
1002030111	1		构造体已经死亡！\n<size=27>远离提法</size>	3
1002030201	2		破坏障碍找到通路	
1002030211	1		通路打开了！	3
1002030301	2		击败苦刑之女提法	
1002030302	1		构造体已恢复成功！\n<size=27>击败完敌人就去看看吧</size>	3
1002030303	1		成功击败所有敌人！\n<size=27>看看受伤的构造体怎么样了</size>	3
1002030401	2		找露西亚了解情况	
1002030402	2		潜行到目标点	
1002030403	2		潜行到终点	
1002030404	2		击败所有守卫	
1002030405	2		去目标点	
1002030406	2		去终点	
1002030411	1		里的伤势变的更重了！\n<size=27>小队的移动速度变慢了</size>	3
1002040101	1		检查隔离装置！	3
1002040102	1		检查隔离装置成功！\n<size=27>检查隔离装置（1/3）</size>	3
1002040103	1		检查隔离装置成功！\n<size=27>检查隔离装置（2/3）</size>	3
1002040104	1		检查隔离装置成功！\n<size=27>检查隔离装置（3/3）</size>	3
1003010101	2		回收构造体	
1003010102	2		<size=27>先击败阻止回收行动的敌人</size>	
1003010103	2		击败庄园的自律警卫	
1003010201	2		<size=27>击败感染体，与陌生人对话</size>	
1003010301	2		和神威对话	
1003010302	2		和神威一起击败敌人	
1003010303	2		前往目标方向	
1003010304	2		击败自律警卫	
1003010401	2		击败所有被激活的敌人	
1003010402	2		击败所有敌人	
1003010403	2		前往目标点	
1003020101	2		击败敌人，穿过大门	
1003020102	2		打开大门	
1003020201	2		<size=27>避免被敌人发现，穿过大门</size>	
1003020202	2		击败所有敌人	
1003020203	2		破解门禁	
1003020301	2		<size=27>保护丽芙，直到力场屏障过载</size>	
1003020302	2		过载进度（{0}/10）	
1003020303	1		<size=27>附近暂时安全了，等待丽芙完成对屏障的过载</size>	2
1003020401	2		击败所有敌人	
1003030101	2		击败所有感染体	
1003030102	2		从感染体背后摧毁它们	
1003030201	2		查看可疑的构造体	
1003030202	2		击败所有敌人	
1003030301	2		击败蔷薇之剑	
1003030401	2		击退罗兰	
1004010101	2		到达目标点	
1004010102	2		回收监测装置	
1004010111	1		回收监测装置！	3
1004010112	1		回收成功！\n<size=27>监测装置（1/3）</size>	3
1004010113	1		回收成功！\n<size=27>监测装置（2/3）</size>	3
1004010114	1		回收成功！\n<size=27>监测装置（3/3）</size>	3
1004010201	2		离开这里	
1004010211	1		离开这里！\n<size=27>到达指示位置</size>	3
1004010301	2		<size=28>找到适合放置EMP的地方</size>	
1004010401	2		趁乱击败重型收割机	
1004010402	2		击败重型收割机	
1004010403	2		击败剩下感染体	
1004010411	1		击败重型收割机\n<size=27>趁着重型收割机被感染体吸引注意，击败他</size>	3
1004010412	1		看来感染体全灭了	3
1004010413	1		已击败敌人。\n<size=27>扫荡一下剩下的感染体吧</size>	3
1004020201	2		击败守护者瓦沙克	
1004020301	2		击败遗忘者领袖	
1004020401	2		问问神威情况	
1004020402	2		和神威一起击败敌人	
1004030101	2		防守停车点不被突破	
1004030201	2		和营地的同伴谈话	
1004030202	2		离开营地	
1004030301	2		战胜各自的对手吧！	
1004030401	2		和神威携手战胜强敌	
1004030411	1		瓦沙克召唤了手下！	3
1004040201	1		和渡边一起击退感染体！	3
1004040401	1		<size=27>这里交给神威，先离开这里吧！</size>	
1005010101	2		别被发现到达目标点	
1005010102	2		击败所有敌人	
1005010201	2		和里对话	
1005010202	2		击败所有敌人	
1005010301	2		跟随里关闭投影设备	
1005010302	2		击败所有敌人	
1005010303	1		里关闭了投影设备（1/3）	2
1005010304	1		里关闭了投影设备（2/3）	2
1005010305	1		所有投影设备已被关闭	2
1005010401	2		关闭投影设备	
1005010402	2		击败所有敌人	
1005020101	2		和里一起抵御进攻	
1005020201	2		前往目标方向	
1005020202	2		击败所有敌人	
1005020301	2		击败所有敌人	
1005020302	2		击败禁卫	
1005020303	1		失去手下的禁卫发怒了	2
1005020401	2		击败所有敌人	
1005030101	2		摆脱七实的纠缠	
1005030201	2		击败所有敌人	
1005030202	2		前往目标方向	
1005030301	2		击败暴动	
1005030401	2		与目标点交互	
1005030402	2		击败所有敌人	
1005030403	2		前往目标方向	
1005030404	2		击败丽芙和感染体	
1006010101	2		和渡边对话	
1006010102	2		和渡边一起战斗	
1006010201	2		找到七实	
1006010202	2		看看七实的情况	
1006010301	2		击败消防卫士	
1006010401	2		去看看七实会说什么	
1006010402	2		和七实一起战斗	
1006020201	2		和露西亚对话	
1006020202	2		潜行到终点	
1006020203	2		击败所有守卫	
1006020204	2		移动到终点	
1006020301	2		询问露西亚情况	
1006020302	2		<size=27>不要让感染体干扰丽芙关门</size>	
1006020303	2		击败剩下的感染体	
1006020304	2		一起击败消防卫士	
1006020311	1		坚持60秒！\n<size=27>协助丽芙顺利关闭隔离门</size>	2
1006020312	1		成功关闭隔离门！	2
1006020401	2		击败来干扰的感染体	
1006020402	2		找到适合引爆的地方	
1006030101	2		击败修女	
1006030102	1		调查终端（1/3）	3
1006030103	1		调查终端（2/3）	3
1006030104	1		调查终端（3/3）	3
1006030301	2		<size=27>击败阻挡的敌人到达目标点</size>	
1006030401	2		协助神威	
1007010101	2		和比安卡一起击败敌人	
1007010102	2		前往目标点	
1007010201	2		击败所有敌人	
1007010202	2		前往目标方向	
1007010301	2		击败所有敌人	
1007010302	2		到达岔路口	
1007010303	2		选择一条路线前进	
1007010304	2		击败所有敌人	
1007010401	2		与七实对话	
1007010402	2		与七实一起击败所有敌人	
1007020101	2		击败所有敌人	
1007020102	2		是否放置干扰器？	
1007020103	2		前往目标地点	
1007020104	1		被发现了\n勘探者支援正在赶来	2
1007020105	1		成功干扰勘探者	2
1007020201	2		击败所有敌人	
1007020202	2		调查地上的感染体	
1007020301	2		击败所有敌人	
1007020302	2		前往目标地点	
1007020401	2		击败所有敌人	
1007020402	2		前往目标方向	
1007020403	2		击败卡列尼娜	
1007030101	2		<size=28>继续前往思维信标所在地点</size>	
1007030102	2		击败所有敌人	
1007030103	1		思维信标同步完毕	2
1007030104	2		前往思维信标所在地点	
1007030105	2		<size=28>前往下一处思维信标所在点</size>	
1007030106	2		同步思维信标	
1007030107	2		<size=28>前往最后一处思维信标所在</size>	
1007030201	2		坚持两分钟!	
1007030202	1		首领出现	2
1007030203	1		支援火力准备就绪	2
1007030301	2		击败武藏玖型	
1007030401	2		击败罗兰	
1008010101	2		<size=28>击败所有敌人以保护空投箱</size>	
1008010102	2		搜索空投箱	
1008010103	1		获得了支援的装备	
1008010201	2		击败所有敌人	
1008010202	2		前往目标方向	
1008010203	1		突入设施\n<color=#fffff><size=27> 前进并击败所有敌人</size></color>	3
1008010301	2		潜行到达目标点	
1008010302	2		击败所有敌人	
1008010303	1		潜行到达指示目标点\n<color=#fffff><size=27> 被发现将进入战斗</size></color>	3
1008010304	2		到达目标点	
1008010401	2		击败喷涂机械	
1008020101	2		击败蔷薇之剑	
1008020201	2		追上“苦刑之女”	
1008020202	2		击败所有敌人	
1008020203	1		“苦刑之女”逃掉了\n<color=#fffff><size=27>击败敌人后继续追赶吧 </size></color>	3
1008020301	2		<size=27>在不误伤里的情况下击败所有敌人</size>	
1008020302	1		击败感染体！\n<color=#fffff><size=27>保证里的安全</size></color>	3
1008020303	1		里似乎陷入了混乱\n<color=#fffff><size=27>现在正是攻击感染体的好时机</size></color>	3
1008020401	2		击败“苦刑之女”	
1008030101	1		击败所有感染体	3
1008030102	2		击败所有敌人	
1008030103	2		前往目标方向	
1008030201	1		构造体小队来袭\n<color=#fffff><size=27>击退他们</size></color>	3
1008030202	2		击退所有构造体	
1008030301	2		击败卡穆	
1008030401	2		击败卡穆	
1107010101	2		复现机关开启的正确顺序	
1107010102	2		击败被机关触发的敌人	
1107010103	1		顺序错误\n<size=27>似乎触动了遗迹内的其他机关</size>	2
1107010104	2		调查光圈	
1107010201	2		击败蔷薇之剑	
1107010301	2		击败遗迹勘探者	
1107010302	2		击败感染体	
1107010303	2		寻找与自身一样的机体	
1107010401	2		摆脱七实的纠缠	
1107010501	2		击败精英感染体	
1107010601	2		击败所有遗迹勘探者	
1107010602	2		查看记忆	
1108010101	2		击败所有感染体	
1108010102	2		做好准备，开始战斗	
1108010201	2		击败精英感染体	
1108010202	2		转移战场	
1108010301	2		击败所有感染体	
1108010401	2		击败所有感染体	
1108010402	2		击败所有感染体	
1108010403	1		卡穆现身	2
1108010404	2		前往目标方向	
1108010501	2		击败所有敌人，突破重围	
1108010601	2		打败卡穆	
1301011601	2		清出一条离开大教堂的路	
1301011602	2		返回宿舍营救露娜！	
1301011603	1		露娜，我马上就回来！	3
1301011604	1		一起，离开这个地方！	3
1301011605	1		修女大人……	3
1301011606	1		露娜，我马上就回来！	3
1301011607	1		一起，离开这个地方！	3
1301021401	2		去妈妈房间找连衣裙	
1301021402	2		去姐姐房间找连衣裙	
1301021403	2		击败感染体！	
1301031501	2		击败所有感染体	
1301031502	2		去发光处查看。	
1301031511	1		击败所有感染体	3
1301031512	1		手传来的触感异常柔软\n<size=27>你心中满斥着不妙的异样感</size>	3
1301031513	1		人……不！一定不是的！	3
1301031514	1		终于……结束了……	3
1301031515	1		全跑走了，去看看吧	3
1301041501	2		移动到目标点	
1301041502	2		调查周围房间	
1301041503	2		把部件组装成机器人	
1301041504	2		尝试启动大机器人	
1301041505	2		击败所有敌人！	
1301041511	1		获得【机器人的上肢】	3
1301041512	1		获得【机器人的下肢】	3
1301041513	1		获得【机器人的头部】	3
1301041514	1		成功组装【战斗型机器人】	3
1301041515	1		组装机器人失败	3
1301041516	1		使用【芯片:编号421】成功	3
1301041517	1		机器人变得不稳定起来	3
1301051401	2		<size=27>在附近翻找，看看有什么收获</size>	
1301051402	2		<size=27>在附近翻找，看看有什么收获</size>	
1301051403	2		击败出现的感染体	
1301051404	2		操控爆破机械装置	
1301051411	1		搜索前方垃圾堆	3
1301051412	1		接收信号用装置\n可接受图像和音频信号\n可播放录音和视频	5
1301051413	1		遥控成功！\n<size=27>控制爆破机械装置</size>	3
1301051414	1		爆破装置因撞击爆炸！	3
1301051415	1		引爆爆破装置！	3
1301051416	1		信号接收装置被炸毁了	3
1301051417	1		爆炸让卡列尼娜陷入昏迷	3
1301051601	2		坚持90秒！	
1301051602	2		击败所有敌人	
1301051611	1		可恶的感染体……\n我要把你们全都轰烂！	3
1301051612	1		再多来一些啊！\n再靠近一些啊！\n哈哈哈！	3
1301051613	1		爆炸吧！哈哈哈哈！\n好久没有这么爽快了！	3
1301051614	1		爷爷……呜呜呜……	3
1301051615	1		巨大扳手机械向你袭来！	3
1301051616	1		一阵机械音传入卡列耳中\n<size=27>附近的设备中播放着爷爷模糊的录音\n安抚了卡列的情绪</size>	3
1301061501	2		快速解决所有敌人	
1301061502	2		击败所有敌人	
1301061503	2		阻止感染体接近少女	
1301061504	2		调查感染体	
1301061505	2		击败接近少女的感染体	
1301061511	1		击败所有敌人	3
1301061512	1		不被发现的解决所有敌人	3
1301061513	1		感染体，敌人，摧毁……	3
1301061514	1		感染体的身影出现了\n<size=27>感染体朝着修女姑娘方向过去了</size>	3
1301061515	1		感染体停下了移动\n<size=27>看看怎么回事吧</size>	3
1301061516	1		少女面前出现了感染体\n<size=27>击败感染体保护少女</size>	3
1301061517	1		感染体走近了少女\n<size=27>击败感染体保护少女</size>	3
1301071601	2		找出并击败隐藏的感染体	
1301071602	2		击败感染体(<color=#ff0000>{0}</color>/15)	
1301071603	2		击败感染体(<color=#00ff00>15</color>/15)	
1301071604	2		去目标区域调查	
1301071605	2		击败所有感染体	
1301071606	2		和渡边一起击败敌人	
1301071611	1		击败隐藏的感染体！	3
1301071612	1		<size=27>埋伏在雪下的敌人向你袭来</size>	3
1301071613	1		应该击败的足够多了\n<size=27>去前方看看吧！</size>	5
1301071614	1		我会守护大家的！	3
1301071615	1		获得【雪下的十字架】	3
1301071616	1		<size=50> 渡边加入了战斗！</size>	3
1301071617	1		愿天堂没有痛苦，阿门	3
1301081501	1		坚持20秒！\n<size=27>躲避爆炸</size>	3
1301081502	1		硝烟散去，显出了1个身影\n<size=27>去看看吧</size>	3
1301081503	1		硝烟散去，又恢复了平静\n<size=27>没什么东西了，走吧</size>	3
1301081504	1		吼！嗷呜！！！\n<size=27>神威疯狂了！</size>	3
1301081505	2		探索神殿，击败所有感染体	
1301091401	1		依稀可以看出反抗过的痕迹\n<size=27>已经丧失了全部机能反应</size>	3
1301091402	1		构造体装甲严重受损\n<size=27>只剩下部分残骸</size>	3
1301091403	1		看来你也努力反抗过了\n<size=27>主脑毁损，已经无法救回了</size>	3
1301091404	2		<size=27>突破感染体的拦截，离开这里</size>	
1301091411	1		远处传来重物倒下的声音	3
1301091501	2		击败突击堡垒	
1301091502	2		和瑞恩一起击败突击堡垒	
1301091503	2		跟随调查员瑞恩	
1301091504	2		和瑞恩交谈	
1301091511	1		击败突击壁垒	3
1301091512	1		<size=50> 调查员瑞恩加入战斗！</size>	3
1301101301	1		构造体们对你警戒起来了\n<size=27>继续接近露西亚就会引发冲突</size>	3
1301101302	1		构造体们发现了异样\n<size=27>击败他们！</size>	3
1301101303	2		<color=#ff0000>回收露西亚</color>	
1301101304	2		<size=27>帮助构造体击败所有感染体</size>	
1301101305	2		<color=#ff0000>击败阻碍回收的构造体</color>	
1301101501	2		不被发现的移动到终点	
1301101502	2		击败所有守卫	
1301101503	2		击败罗兰的手下	
1301101504	2		快速离开此处	
1301101505	2		击败罗兰	
1301101506	2		移动到终点	
1301101511	1		罗兰发现了你！	3
1301101512	1		你被守卫发现了！	3
1301101513	1		开始战斗！	3
1301101514	1		士兵的意识已经消失	3
1301101515	1		露西亚……快回据点……	3
1301101516	1		只要露西亚还活着的话……我们就还有希望……	3
1301102001	2		<color=#ff0000>击败另一个露西亚</color>	
1301102011	1		<color=#ff0000>击败另一个露西亚！</color>	3
1301102012	1		<color=#ff0000>眼前的露西亚激起了你的怒火！</color>	3
1301111401	2		击败拦路敌人	
1301111402	2		接近飞行装置	
1301111403	2		启动飞行装置	
1301111411	1		感染体的数量增多了！	3
1301111601	2		追上西里尔	
1301111602	2		击败西里尔的同党	
1301111603	2		击败西里尔	
1301111611	1		追上西里尔！	3
1301111612	1		上	3
1301111613	1		左	3
1301111614	1		下	3
1301111615	1		右	3
1301111616	1		口令验证完毕！	3
1301111617	1		全能量开启防护罩！	3
1301111618	1		输入失败！	3
1301111619	1		击败西里尔的同党！	3
1301111620	1		击败西里尔！	3
1301111621	1		防护罩已被摧毁！	3
1301121201	2		选择叙事视角	
1301121202	2		开启剧本故事	
1301121203	2		和斐迪南一起探索岛屿	
1301121204	2		击败来袭的敌人	
1301121205	2		继续探索岛屿深处	
1301121206	2		接近并调查怪物	
1301121207	2		击败怪物“凯列班”	
1301121208	2		和斐迪南王子汇合	
1301121211	1		选择叙事视角\n<size=27>斐迪南/米兰迪</size>	3
1301121212	1		和斐迪南王子对话	3
1301121213	1		几只怪物拦住了去路！	3
1301121214	1		成功击败敌人！	3
1301121215	1		回去的路被堵住了……	3
1301121216	1		远处出现了新的怪物！	3
1301121217	1		抵御“凯列班”的攻击	3
1301121218	1		斐迪南王子继续前进\n<size=27>远处似乎有个身影</size>	3
1301121219	1		打通了去深处的通路！	3
1301121220	1		斐迪南冲向了前方\n<size=27>远处的身影开始移动！</size>	3
1301121221	1		打通了去深处的通路！\n<size=27>远处的身影开始移动！</size>	3
1301121222	1		远处传来震动感\n<size=27>似乎打开了什么通路</size>	3
1301121231	1		孤岛中的歌声\n<size=27>点击右侧按钮确认斐迪南视角</size>	
1301121232	1		孤岛上的客人\n<size=27>点击右侧按钮确认米兰达视角</size>	
1301121253	2		带米兰达去调查战斗声	
1301121254	2		击败拦路的敌人	
1301121255	2		继续前进	
1301121256	2		阻止凯列班和陌生人	
1301121263	1		几只怪物拦住了去路！	3
1301121264	1		距离前方的战斗更近了！	3
1301121265	1		凯列班快要抵挡不住了！	3
1301121266	1		凯列班已经死亡！	3
1301121501	2		阻止皇弟的阴谋	
1301121502	2		击败凯列班	
1301121511	1		击败想要篡位的奸臣！	3
1301121512	1		斐迪南陷入危险！	3
1301121513	1		斐迪南战死！	3
1301121514	1		凯列班被嘴炮自闭了！\n<size=27>凯列班失去了力量！</size>	3
1301121515	1		凯列班愤怒的冲了过来！\n<size=27>凯列班浑身充满力量！</size>	3
1301121551	8	伤害UP  移速UP  巨大化	激励	2
1301121552	8	防御UP  免疫受击	守护	2
1301121553	8	生命回复	祈祷	2
300601	3		恭喜通过！\n到达第二阶段	3
801030101	3		和丽芙对话\n开始你的冒险吧	3
801030102	3		你感到体内的血液正在燃烧\n冲鸭！！！	3
800104010	1		第{0}波目标出现！	3
94000101	1		请选择进攻路线\n<color=#fffff><size=27>一旦选定则不可更改</size></color>	3
94000102	1		发现敌人，准备交战。	2
94000103	1		区域安全，可以通过。	2
94000104	1		请先击败当前的敌人。	2
94000201	2		已击败敌人10只，剩余90只。\n请继续努力	2
94000202	2		已击败敌人20只，剩余80只。\n请继续努力	2
94000203	2		已击败敌人30只，剩余70只。\n请继续努力	2
94000204	2		已击败敌人40只，剩余60只。\n干的不错。	2
94000205	2		已击败敌人50只，剩余50只。\n进度已经过半。	2
94000206	2		已击败敌人60只，剩余40只。\n请保持这个节奏。	2
94000207	2		已击败敌人70只，剩余30只。\n很好，这才是应有的样子。	2
94000208	2		已击败敌人80只，剩余20只。\n胜利就在眼前，坚持下去。	2
94000209	2		已击败敌人90只，剩余10只。\n即将完成，再加把劲。	2
94000210	1		已完成击败工作<color=#fffff><size=27>恭喜完成本次任务</size></color>	2
94000211	1		闪避技能无CD且击败敌人可以恢复生命值\n<color=#fffff><size=27>达成特定连击数有额外奖励</size></color>	3
94000212	1		获得200连击连击奖励\n<color=#fffff><size=27>增加移动速度</size></color>	3
94000213	1		获得300连击奖励\n<color=#fffff><size=27>增加攻击力</size></color>	3
94000214	1		获得400连击奖励\n<color=#fffff><size=27>增加暴击率和暴击伤害</size></color>	3
94000215	1		获得400连击奖励\n<color=#fffff><size=27>暴击伤害增加</size></color>	3
94000216	1		获得500连击奖励\n<color=#fffff><size=27>自动获得技能</size></color>	3
94000217	1		连击数归零\n<color=#fffff><size=27>清除奖励BUFF效果</size></color>	3
94000218	1		获得额外连击奖励\n<color=#fffff><size=27>战场技能支援</size></color>	3
94000219	1		获得额外连击奖励\n<color=#fffff><size=27>作战单位支援</size></color>	3
94000220	1		获得连击奖励\n轰炸支援。	3
94000221	1		获得100连击奖励\n<color=#fffff><size=27>免疫受击效果，持续15秒</size></color>	3
94000222	2		已击败敌人{0}/100名	300
94000301	1		第一阶段已完成\n<color=#fffff><size=27>进入第二阶段</size></color>	3
94000302	1		第二阶段已完成\n<color=#fffff><size=27>进入第三阶段</size></color>	3
94000303	1		第三阶段已完成\n<color=#fffff><size=27>顺利通过战斗能力测试。</size></color>	3
94000304	3		本阶段超时，未能通过试炼	3
94000501	1		本次的课题为	2
94000502	1		击败全部怪物\n<color=#fffff><size=27>带有标记的怪物会加强其他怪物</size></color>	3
94000503	1		怪物的强化效果已消除<color=#fffff><size=27></size></color>	3
94000504	1		站在光圈范围内累计60秒\n光圈内的玩家会自动获得技能	3
94000505	2		受击惩罚次数{0}/3	300
94000601	3		生存达到60秒或击败全部敌人\n注意！小心周围的场景机关！	3
94000701	1		收集螺母达到500颗\n<color=#fffff><size=27>注意：怪物会抢夺螺母</size></color>	3
94000702	2		已收集螺母{0}/500颗	3
94000703	3		本轮获得螺母30颗	3
94000704	3		本轮获得螺母20颗	3
