Id	EquipRecomend	ChipRecomend[1]	ChipRecomend[2]	ChipRecomend[3]	ChipRecomend[4]	ChipRecomend[5]	ChipRecomend[6]
3122	2036003	3015006	3025006	3035007	3045006	3055006	3065007
3123	2035001	3015006	3025006	3035007	3045006	3055006	3065007
3130	2066002	3016007	3026007	3036008	3046007	3056007	3066008
3131	2065001	3016007	3026007	3036008	3046007	3056007	3066008
3132	2066002	3015004	3025004	3035005	3045004	3055004	3065005
3133	2065001	3015004	3025004	3035005	3045004	3055004	3065005
3140	2076002	3016002	3026002	3036004	3046002	3056002	3066004
3141	2075001	3016002	3026002	3036004	3046002	3056002	3066004
3142	2076002	3015003	3025003	3035002	3045003	3055003	3065002
3143	2075001	3015003	3025003	3035002	3045003	3055003	3065002
3144	2056002	3016007	3026007	3036008	3046007	3056007	3066008
3145	2055001	3016007	3026007	3036008	3046007	3056007	3066008
3146	2056002	3015004	3025004	3035005	3045004	3055004	3065005
3147	2055001	3015004	3025004	3035005	3045004	3055004	3065005
4010	2016001	3016002	3026002	3036001	3046002	3056002	3066001
4011	2015001	3016002	3026002	3036001	3046002	3056002	3066001
4012	2016001	3015003	3025003	3035001	3045003	3055003	3065001
4013	2015001	3015003	3025003	3035001	3045003	3055003	3065001
4020	2026001	3016012	3026012	3036001	3046012	3056012	3066001
4021	2025001	3016012	3026012	3036001	3046012	3056012	3066001
4022	2026001	3015002	3025002	3035001	3045002	3055002	3065001
4023	2025001	3015002	3025002	3035001	3045002	3055002	3065001
4030	2036001	3016011	3026011	3036010	3046011	3056011	3066010
4031	2035001	3016011	3026011	3036010	3046011	3056011	3066010
4032	2036001	3015007	3025007	3035006	3045007	3055007	3065006
4033	2035001	3015007	3025007	3035006	3045007	3055007	3065006
4040	2046001	3016005	3026005	3036001	3046005	3056005	3066001
4041	2045001	3016005	3026005	3036001	3046005	3056005	3066001
4042	2046001	3015008	3025008	3035001	3045008	3055008	3065001
4043	2045001	3015008	3025008	3035001	3045008	3055008	3065001
4050	2056001	3016009	3026009	3036008	3046009	3056009	3066008
4051	2055001	3016009	3026009	3036008	3046009	3056009	3066008
4052	2056001	3015005	3025005	3035004	3045005	3055005	3065004
4053	2055001	3015005	3025005	3035004	3045005	3055005	3065004
4060	2066001	3016009	3026009	3036008	3046009	3056009	3066008
4061	2065001	3016009	3026009	3036008	3046009	3056009	3066008
4062	2066001	3015005	3025005	3035008	3045005	3055005	3065008
4063	2065001	3015005	3025005	3035008	3045005	3055005	3065008
4070	2076001	3016005	3026005	3036002	3046005	3056005	3066002
4071	2075001	3016005	3026005	3036002	3046005	3056005	3066002
4072	2076001	3015002	3025002	3035008	3045002	3055002	3065008
4073	2075001	3015002	3025002	3035008	3045002	3055002	3065008
4080	2086001	3016004	3026004	3036005	3046004	3056004	3066005
4081	2085001	3016004	3026004	3036005	3046004	3056004	3066005
4082	2086001	3015008	3025008	3035001	3045008	3055008	3065001
4083	2085001	3015008	3025008	3035001	3045008	3055008	3065001
4090	2026002	3016003	3026003	3036004	3046003	3056003	3066004
4091	2025001	3016003	3026003	3036004	3046003	3056003	3066004
4092	2026002	3015003	3025003	3035008	3045003	3055003	3065008
4093	2025001	3015003	3025003	3035008	3045003	3055003	3065008
4100	2036002	3016011	3026011	3036003	3046011	3056011	3066003
4101	2035001	3016011	3026011	3036003	3046011	3056011	3066003
4102	2036002	3015007	3025007	3035003	3045007	3055007	3065003
4103	2035001	3015007	3025007	3035003	3045007	3055007	3065003
4110	2016002	3016004	3026004	3036005	3046004	3056004	3066005
4111	2015001	3016004	3026004	3036005	3046004	3056004	3066005
4112	2016002	3015002	3025002	3035001	3045002	3055002	3065001
4113	2015001	3015002	3025002	3035001	3045002	3055002	3065001
4120	2036003	3016011	3026011	3036010	3046011	3056011	3066010
4121	2035001	3016011	3026011	3036010	3046011	3056011	3066010
4122	2036003	3015007	3025007	3035006	3045007	3055007	3065006
4123	2035001	3015007	3025007	3035006	3045007	3055007	3065006
4130	2066002	3016005	3026005	3036009	3046005	3056005	3066009
4131	2065001	3016005	3026005	3036009	3046005	3056005	3066009
4132	2066002	3015005	3025005	3035008	3045005	3055005	3065008
4133	2065001	3015005	3025005	3035008	3045005	3055005	3065008
4140	2076002	3016006	3026006	3036002	3046006	3056006	3066002
4141	2075001	3016006	3026006	3036002	3046006	3056006	3066002
4142	2076002	3015008	3025008	3035003	3045008	3055008	3065003
4143	2075001	3015008	3025008	3035003	3045008	3055008	3065003
4144	2056002	3016008	3026008	3036006	3046008	3056008	3066006
4145	2055001	3016008	3026008	3036006	3046008	3056008	3066006
4146	2056002	3015004	3025004	3035008	3045004	3055004	3065008
4147	2055001	3015004	3025004	3035008	3045004	3055004	3065008
