Key	Type	Value
TaskDailyActiveNotReach4	string	Assets/Product/Texture/Atlas/UiTask/TaskDailyActiveNotReach4.png
TaskDailyActiveNotReach5	string	Assets/Product/Texture/Atlas/UiTask/TaskDailyActiveNotReach5.png
GridBranchStageChallengeVertical	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridBranchStageChallengeVertical.prefab
GridBranchStageSquare	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridBranchStageSquare.prefab
GridBranchStageRectangle	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridBranchStageRectangle.prefab
GridStageSquare	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageSquare.prefab
GridStageRectangle	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageRectangle.prefab
GridPrequelStage	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridPrequelStage.prefab
GuideData	string	Assets/Product/Behavior/Guide/GuideData.bytes
DormitoryData	string	Assets/Product/Behavior/Dormitory/DormitoryData.bytes
UiDebuggerBehaviourTree	string	Assets/Product/Ui/Prefab/UiDebuggerBehaviourTree.prefab
UiDebuggerCheat	string	Assets/Product/Ui/Prefab/UiDebuggerCheat.prefab
UiDebuggerCheatOperation	string	Assets/Product/Ui/Prefab/UiDebuggerCheatOperation.prefab
UiDebuggerConsole	string	Assets/Product/Ui/Prefab/UiDebuggerConsole.prefab
UiDebuggerDps	string	Assets/Product/Ui/Prefab/UiDebuggerDps.prefab
UiDebuggerFubenList	string	Assets/Product/Ui/Prefab/UiDebuggerFubenList.prefab
UiDebuggerGm	string	Assets/Product/Ui/Prefab/UiDebuggerGm.prefab
UiDebuggerGraphic	string	Assets/Product/Ui/Prefab/UiDebuggerGraphic.prefab
UiDebuggerMultiplayerFight	string	Assets/Product/Ui/Prefab/UiDebuggerMultiplayerFight.prefab
UiDebuggerNpcFight	string	Assets/Product/Ui/Prefab/UiDebuggerNpcFight.prefab
UiDebuggerNpcList	string	Assets/Product/Ui/Prefab/UiDebuggerNpcList.prefab
UiDebuggerReplay	string	Assets/Product/Ui/Prefab/UiDebuggerReplay.prefab
UiDebuggerStoryList	string	Assets/Product/Ui/Prefab/UiDebuggerStoryList.prefab
IceTex	string	Assets/Product/Common/IceTex.png
Noise	string	Assets/Product/Common/Noise.png
UiDebugger	string	Assets/Product/Ui/Prefab/UiDebugger.prefab
XGridMatPath	string	Assets/Product/Common/XRoomGrid.mat
RenderConst	string	Assets/Product/Common/RenderConst.asset
FightWallCameraDitherDetector	string	Assets/Product/Common/FightWallCameraDitherDetector.prefab
FogNoiseTex	string	Assets/Product/Common/FogNoiseTex.png
CameraBlends	string	Assets/Product/Common/CameraBlends.asset
XShadowVolume	string	Assets/Product/Common/XShadowVolume.mat
UiRoot	string	Assets/Product/Ui/Prefab/UiRoot.prefab
UiMask	string	Assets/Product/Ui/Prefab/UiMask.prefab
PurchaseYKTotalCount	int	2
TextMeshProSetting	string	Assets/Product/Common/TMPSettings.asset
PurchaseYKLimtCount	int	30
DormDrawGroudId	int	6
DormDrawGroudPath	string	Assets/Product/Ui/ComponentPrefab/DrawBackGround/DrawBackGround01.prefab
DormComfortTime	int	2000
FurnitureImgS10	string	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS10.png
FurnitureImgS20	string	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS20.png
FurnitureImgS5	string	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS5.png
FurnitureImgS21	string	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS21.png
FurnitureImgS22	string	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS22.png
FurnitureImgS6	string	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS6.png
DormMainAnimationMoveTime	int	600
DormMainAnimationStaicTime	int	200
DormGroundGridMeshHighOffset	float	0.05
DormSecondAnimationDelayTime	int	600
PurchaseCardId	int	10000
PhotoSave	string	已保存到相册
CustomerServiceUrl	string	http://kf.zhengyuetech.com/Mobile/checkOption?Gid=186
FurnitureImgS8	string	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS8.png
FightPreloadRate	float	0.5
FurnitureImgS11	string	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS11.png
FavorabilitySkipSize	int	2
FavorabilitySkip1	int	10027
FavorabilitySkip2	int	10028
FavorabilitySkip3	int	4002
FavorabilitySkip4	int	4000
FightQualityStageId	int	10010001
FightKeyStageId	int	10010101
SpecialScreenOff	float	50
SelfNumSmall	int	20
SelfNumMiddle	int	30
SelfNumBig	int	45
ChannelInfoRefreshMin	int	1
ChannelChangeFadeTime	int	1
NewUserMovieId	int	1100144
IsShowChannelNumber	int	0
MedalStoryId	int	1100145
DrawLogLimit	int	10
NoticePathPrefix	string	client/notice/config/
UnloadNpcTime	int	10000
UnloadWeaponTime	int	5000
SelfNumDefault	int	100
GameLogo	string	Assets/Product/Texture/Image/Logo/CommonGameLogo.png
DormAttrFormat	string	<color=%s><size=30> %s%d</size></color>
DormSuitBgmDesc	string	房间内摆放套装不同家具达<color=#0E70BDFF>%s</color>件%s解锁bgm<color=#0E70BDFF>【%s】</color>
DormSuitBgmTitleDesc	string	<size=30><color=#0E70BDFF>套装效果</color></size>
MaxNameLength	int	8
MaxSignLength	int	15
ExhibitionLevelPoint_01	int	1
ExhibitionLevelPoint_02	int	1
ExhibitionLevelPoint_03	int	1
ExhibitionLevelPoint_04	int	1
TipBatteryLeftTime	int	259200
TipTimeLimitItemsLeftTime	int	1728000
ActivityBriefEntryIcon	string	Assets/Product/Texture/Atlas/UiFubenActivity/UiFANYA.png
