Id	Name	TaskPoolId	Quality	RandomWeight	ShowId	DropId	RewardId	Duration	Priority	ExtraRewardId	ExtraRewardConditionId	ConditionList[1]	ConditionList[2]	MemberCount
10306	3星基地装备	1	3	100	201	9011	201	21600	9975	2003	18110003	18108020	18109003	2
10307	3星基地装备	1	3	100	201	9011	201	21600	9974	2003	18105003	18108024	18110003	2
10308	3星基地装备	1	3	100	201	9011	201	21600	9973	2003	18107003	18108028	18105003	2
10309	3星基地装备	1	3	100	201	9011	201	21600	9972	2003	18105003	18108032	18107003	2
10310	3星基地装备	1	3	100	201	9011	201	21600	9971	2003	18105003	18108036	18107007	2
10401	3星基地装备	1	2	150	201	9011	201	14400	9970	2004	18106004	18108004		1
10402	3星基地装备	1	2	150	201	9011	201	14400	9969	2004	18106004	18108004		1
10403	3星基地装备	1	2	150	201	9011	201	14400	9968	2004	18106004	18108009		1
10404	3星基地装备	1	2	150	201	9011	201	14400	9967	2004	18106004	18108013		1
10405	3星基地装备	1	2	150	201	9011	201	14400	9966	2004	18109004	18108017	18106004	1
10406	3星基地装备	1	2	150	201	9011	201	14400	9965	2004	18110004	18108021	18109004	1
10407	3星基地装备	1	2	150	201	9011	201	14400	9964	2004	18105004	18108025	18110004	1
10408	3星基地装备	1	2	150	201	9011	201	14400	9963	2004	18107004	18108029	18105004	1
10409	3星基地装备	1	2	150	201	9011	201	14400	9962	2004	18105004	18108033	18107004	1
10410	3星基地装备	1	2	150	201	9011	201	14400	9961	2004	18105004	18108037	18107008	1
10501	3星基地装备	1	1	200	201	9011	201	10800	9960			18108005		1
10502	3星基地装备	1	1	200	201	9011	201	10800	9959			18108005		1
10503	3星基地装备	1	1	200	201	9011	201	10800	9958			18108005		1
10504	3星基地装备	1	1	200	201	9011	201	10800	9957			18108005		1
10505	3星基地装备	1	1	200	201	9011	201	10800	9956			18108005		1
10506	3星基地装备	1	1	200	201	9011	201	10800	9955			18108005		1
10507	3星基地装备	1	1	200	201	9011	201	10800	9954			18108005		1
10508	3星基地装备	1	1	200	201	9011	201	10800	9953			18108005		1
10509	3星基地装备	1	1	200	201	9011	201	10800	9952			18108005		1
10510	3星基地装备	1	1	200	201	9011	201	10800	9951			18108005		1
11101	5星基地装备	2	5	50	201	9011	201	32400	10000	2001	18106001	18108001		3
11102	5星基地装备	2	5	50	201	9011	201	32400	9999	2001	18106001	18108001		3
11103	5星基地装备	2	5	50	201	9011	201	32400	9998	2001	18106001	18108006		3
11104	5星基地装备	2	5	50	201	9011	201	32400	9997	2001	18106001	18108010		3
11105	5星基地装备	2	5	50	201	9011	201	32400	9996	2001	18109001	18108014	18106001	2
11106	5星基地装备	2	5	50	201	9011	201	32400	9995	2001	18110001	18108018	18109001	2
11107	5星基地装备	2	5	50	201	9011	201	32400	9994	2001	18105001	18108022	18110001	2
11108	5星基地装备	2	5	50	201	9011	201	32400	9993	2001	18107001	18108026	18105001	2
11109	5星基地装备	2	5	50	201	9011	201	32400	9992	2001	18105001	18108030	18107001	2
11110	5星基地装备	2	5	50	201	9011	201	32400	9991	2001	18105001	18108034	18107005	2
11201	4星基地装备	2	4	100	201	9011	201	28800	9990	2002	18106002	18108002		2
11202	4星基地装备	2	4	100	201	9011	201	28800	9989	2002	18106002	18108002		2
11203	4星基地装备	2	4	100	201	9011	201	28800	9988	2002	18106002	18108007		2
11204	4星基地装备	2	4	100	201	9011	201	28800	9987	2002	18106002	18108011		2
11205	4星基地装备	2	4	100	201	9011	201	28800	9986	2002	18109002	18108015	18106002	2
11206	4星基地装备	2	4	100	201	9011	201	28800	9985	2002	18110002	18108019	18109002	2
11207	4星基地装备	2	4	100	201	9011	201	28800	9984	2002	18105002	18108023	18110002	2
11208	4星基地装备	2	4	100	201	9011	201	28800	9983	2002	18107002	18108027	18105002	2
11209	4星基地装备	2	4	100	201	9011	201	28800	9982	2002	18105002	18108031	18107002	2
11210	4星基地装备	2	4	100	201	9011	201	28800	9981	2002	18105002	18108035	18107006	2
11301	3星基地装备	2	3	100	201	9011	201	21600	9980	2003	18106003	18108003		2
11302	3星基地装备	2	3	100	201	9011	201	21600	9979	2003	18106003	18108003		2
11303	3星基地装备	2	3	100	201	9011	201	21600	9978	2003	18106003	18108008		2
11304	3星基地装备	2	3	100	201	9011	201	21600	9977	2003	18106003	18108012		2
11305	3星基地装备	2	3	100	201	9011	201	21600	9976	2003	18109003	18108016	18106003	2
11306	3星基地装备	2	3	100	201	9011	201	21600	9975	2003	18110003	18108020	18109003	2
11307	3星基地装备	2	3	100	201	9011	201	21600	9974	2003	18105003	18108024	18110003	2
11308	3星基地装备	2	3	100	201	9011	201	21600	9973	2003	18107003	18108028	18105003	2
11309	3星基地装备	2	3	100	201	9011	201	21600	9972	2003	18105003	18108032	18107003	2
11310	3星基地装备	2	3	100	201	9011	201	21600	9971	2003	18105003	18108036	18107007	2
11401	3星基地装备	2	2	150	201	9011	201	14400	9970	2004	18106004	18108004		1
11402	3星基地装备	2	2	150	201	9011	201	14400	9969	2004	18106004	18108004		1
11403	3星基地装备	2	2	150	201	9011	201	14400	9968	2004	18106004	18108009		1
11404	3星基地装备	2	2	150	201	9011	201	14400	9967	2004	18106004	18108013		1
11405	3星基地装备	2	2	150	201	9011	201	14400	9966	2004	18109004	18108017	18106004	1
11406	3星基地装备	2	2	150	201	9011	201	14400	9965	2004	18110004	18108021	18109004	1
11407	3星基地装备	2	2	150	201	9011	201	14400	9964	2004	18105004	18108025	18110004	1
11408	3星基地装备	2	2	150	201	9011	201	14400	9963	2004	18107004	18108029	18105004	1
11409	3星基地装备	2	2	150	201	9011	201	14400	9962	2004	18105004	18108033	18107004	1
11410	3星基地装备	2	2	150	201	9011	201	14400	9961	2004	18105004	18108037	18107008	1
11501	3星基地装备	2	1	200	201	9011	201	10800	9960			18108005		1
11502	3星基地装备	2	1	200	201	9011	201	10800	9959			18108005		1
11503	3星基地装备	2	1	200	201	9011	201	10800	9958			18108005		1
11504	3星基地装备	2	1	200	201	9011	201	10800	9957			18108005		1
11505	3星基地装备	2	1	200	201	9011	201	10800	9956			18108005		1
11506	3星基地装备	2	1	200	201	9011	201	10800	9955			18108005		1
11507	3星基地装备	2	1	200	201	9011	201	10800	9954			18108005		1
11508	3星基地装备	2	1	200	201	9011	201	10800	9953			18108005		1
11509	3星基地装备	2	1	200	201	9011	201	10800	9952			18108005		1
11510	3星基地装备	2	1	200	201	9011	201	10800	9951			18108005		1
12101	5星基地装备	3	5	50	201	9011	201	32400	10000	2001	18106001	18108001		3
12102	5星基地装备	3	5	50	201	9011	201	32400	9999	2001	18106001	18108001		3
12103	5星基地装备	3	5	50	201	9011	201	32400	9998	2001	18106001	18108006		3
12104	5星基地装备	3	5	50	201	9011	201	32400	9997	2001	18106001	18108010		3
12105	5星基地装备	3	5	50	201	9011	201	32400	9996	2001	18109001	18108014	18106001	2
12106	5星基地装备	3	5	50	201	9011	201	32400	9995	2001	18110001	18108018	18109001	2
12107	5星基地装备	3	5	50	201	9011	201	32400	9994	2001	18105001	18108022	18110001	2
12108	5星基地装备	3	5	50	201	9011	201	32400	9993	2001	18107001	18108026	18105001	2
12109	5星基地装备	3	5	50	201	9011	201	32400	9992	2001	18105001	18108030	18107001	2
12110	5星基地装备	3	5	50	201	9011	201	32400	9991	2001	18105001	18108034	18107005	2
12201	4星基地装备	3	4	100	201	9011	201	28800	9990	2002	18106002	18108002		2
12202	4星基地装备	3	4	100	201	9011	201	28800	9989	2002	18106002	18108002		2
12203	4星基地装备	3	4	100	201	9011	201	28800	9988	2002	18106002	18108007		2
12204	4星基地装备	3	4	100	201	9011	201	28800	9987	2002	18106002	18108011		2
12205	4星基地装备	3	4	100	201	9011	201	28800	9986	2002	18109002	18108015	18106002	2
12206	4星基地装备	3	4	100	201	9011	201	28800	9985	2002	18110002	18108019	18109002	2
12207	4星基地装备	3	4	100	201	9011	201	28800	9984	2002	18105002	18108023	18110002	2
12208	4星基地装备	3	4	100	201	9011	201	28800	9983	2002	18107002	18108027	18105002	2
12209	4星基地装备	3	4	100	201	9011	201	28800	9982	2002	18105002	18108031	18107002	2
12210	4星基地装备	3	4	100	201	9011	201	28800	9981	2002	18105002	18108035	18107006	2
12301	3星基地装备	3	3	100	201	9011	201	21600	9980	2003	18106003	18108003		2
12302	3星基地装备	3	3	100	201	9011	201	21600	9979	2003	18106003	18108003		2
12303	3星基地装备	3	3	100	201	9011	201	21600	9978	2003	18106003	18108008		2
12304	3星基地装备	3	3	100	201	9011	201	21600	9977	2003	18106003	18108012		2
12305	3星基地装备	3	3	100	201	9011	201	21600	9976	2003	18109003	18108016	18106003	2
12306	3星基地装备	3	3	100	201	9011	201	21600	9975	2003	18110003	18108020	18109003	2
12307	3星基地装备	3	3	100	201	9011	201	21600	9974	2003	18105003	18108024	18110003	2
12308	3星基地装备	3	3	100	201	9011	201	21600	9973	2003	18107003	18108028	18105003	2
12309	3星基地装备	3	3	100	201	9011	201	21600	9972	2003	18105003	18108032	18107003	2
12310	3星基地装备	3	3	100	201	9011	201	21600	9971	2003	18105003	18108036	18107007	2
12401	3星基地装备	3	2	150	201	9011	201	14400	9970	2004	18106004	18108004		1
12402	3星基地装备	3	2	150	201	9011	201	14400	9969	2004	18106004	18108004		1
12403	3星基地装备	3	2	150	201	9011	201	14400	9968	2004	18106004	18108009		1
12404	3星基地装备	3	2	150	201	9011	201	14400	9967	2004	18106004	18108013		1
12405	3星基地装备	3	2	150	201	9011	201	14400	9966	2004	18109004	18108017	18106004	1
12406	3星基地装备	3	2	150	201	9011	201	14400	9965	2004	18110004	18108021	18109004	1
12407	3星基地装备	3	2	150	201	9011	201	14400	9964	2004	18105004	18108025	18110004	1
12408	3星基地装备	3	2	150	201	9011	201	14400	9963	2004	18107004	18108029	18105004	1
12409	3星基地装备	3	2	150	201	9011	201	14400	9962	2004	18105004	18108033	18107004	1
12410	3星基地装备	3	2	150	201	9011	201	14400	9961	2004	18105004	18108037	18107008	1
12501	3星基地装备	3	1	200	201	9011	201	10800	9960			18108005		1
12502	3星基地装备	3	1	200	201	9011	201	10800	9959			18108005		1
12503	3星基地装备	3	1	200	201	9011	201	10800	9958			18108005		1
12504	3星基地装备	3	1	200	201	9011	201	10800	9957			18108005		1
12505	3星基地装备	3	1	200	201	9011	201	10800	9956			18108005		1
12506	3星基地装备	3	1	200	201	9011	201	10800	9955			18108005		1
12507	3星基地装备	3	1	200	201	9011	201	10800	9954			18108005		1
12508	3星基地装备	3	1	200	201	9011	201	10800	9953			18108005		1
12509	3星基地装备	3	1	200	201	9011	201	10800	9952			18108005		1
12510	3星基地装备	3	1	200	201	9011	201	10800	9951			18108005		1
13101	5星基地装备	4	5	50	201	9011	201	32400	10000	2001	18106001	18108001		3
13102	5星基地装备	4	5	50	201	9011	201	32400	9999	2001	18106001	18108001		3
13103	5星基地装备	4	5	50	201	9011	201	32400	9998	2001	18106001	18108006		3
13104	5星基地装备	4	5	50	201	9011	201	32400	9997	2001	18106001	18108010		3
13105	5星基地装备	4	5	50	201	9011	201	32400	9996	2001	18109001	18108014	18106001	2
13106	5星基地装备	4	5	50	201	9011	201	32400	9995	2001	18110001	18108018	18109001	2
13107	5星基地装备	4	5	50	201	9011	201	32400	9994	2001	18105001	18108022	18110001	2
13108	5星基地装备	4	5	50	201	9011	201	32400	9993	2001	18107001	18108026	18105001	2
13109	5星基地装备	4	5	50	201	9011	201	32400	9992	2001	18105001	18108030	18107001	2
13110	5星基地装备	4	5	50	201	9011	201	32400	9991	2001	18105001	18108034	18107005	2
13201	4星基地装备	4	4	100	201	9011	201	28800	9990	2002	18106002	18108002		2
13202	4星基地装备	4	4	100	201	9011	201	28800	9989	2002	18106002	18108002		2
13203	4星基地装备	4	4	100	201	9011	201	28800	9988	2002	18106002	18108007		2
13204	4星基地装备	4	4	100	201	9011	201	28800	9987	2002	18106002	18108011		2
13205	4星基地装备	4	4	100	201	9011	201	28800	9986	2002	18109002	18108015	18106002	2
13206	4星基地装备	4	4	100	201	9011	201	28800	9985	2002	18110002	18108019	18109002	2
13207	4星基地装备	4	4	100	201	9011	201	28800	9984	2002	18105002	18108023	18110002	2
13208	4星基地装备	4	4	100	201	9011	201	28800	9983	2002	18107002	18108027	18105002	2
13209	4星基地装备	4	4	100	201	9011	201	28800	9982	2002	18105002	18108031	18107002	2
13210	4星基地装备	4	4	100	201	9011	201	28800	9981	2002	18105002	18108035	18107006	2
13301	3星基地装备	4	3	100	201	9011	201	21600	9980	2003	18106003	18108003		2
13302	3星基地装备	4	3	100	201	9011	201	21600	9979	2003	18106003	18108003		2
13303	3星基地装备	4	3	100	201	9011	201	21600	9978	2003	18106003	18108008		2
13304	3星基地装备	4	3	100	201	9011	201	21600	9977	2003	18106003	18108012		2
13305	3星基地装备	4	3	100	201	9011	201	21600	9976	2003	18109003	18108016	18106003	2
13306	3星基地装备	4	3	100	201	9011	201	21600	9975	2003	18110003	18108020	18109003	2
13307	3星基地装备	4	3	100	201	9011	201	21600	9974	2003	18105003	18108024	18110003	2
13308	3星基地装备	4	3	100	201	9011	201	21600	9973	2003	18107003	18108028	18105003	2
13309	3星基地装备	4	3	100	201	9011	201	21600	9972	2003	18105003	18108032	18107003	2
13310	3星基地装备	4	3	100	201	9011	201	21600	9971	2003	18105003	18108036	18107007	2
13401	3星基地装备	4	2	150	201	9011	201	14400	9970	2004	18106004	18108004		1
13402	3星基地装备	4	2	150	201	9011	201	14400	9969	2004	18106004	18108004		1
13403	3星基地装备	4	2	150	201	9011	201	14400	9968	2004	18106004	18108009		1
13404	3星基地装备	4	2	150	201	9011	201	14400	9967	2004	18106004	18108013		1
13405	3星基地装备	4	2	150	201	9011	201	14400	9966	2004	18109004	18108017	18106004	1
13406	3星基地装备	4	2	150	201	9011	201	14400	9965	2004	18110004	18108021	18109004	1
13407	3星基地装备	4	2	150	201	9011	201	14400	9964	2004	18105004	18108025	18110004	1
13408	3星基地装备	4	2	150	201	9011	201	14400	9963	2004	18107004	18108029	18105004	1
13409	3星基地装备	4	2	150	201	9011	201	14400	9962	2004	18105004	18108033	18107004	1
13410	3星基地装备	4	2	150	201	9011	201	14400	9961	2004	18105004	18108037	18107008	1
13501	3星基地装备	4	1	200	201	9011	201	10800	9960			18108005		1
13502	3星基地装备	4	1	200	201	9011	201	10800	9959			18108005		1
13503	3星基地装备	4	1	200	201	9011	201	10800	9958			18108005		1
13504	3星基地装备	4	1	200	201	9011	201	10800	9957			18108005		1
13505	3星基地装备	4	1	200	201	9011	201	10800	9956			18108005		1
13506	3星基地装备	4	1	200	201	9011	201	10800	9955			18108005		1
13507	3星基地装备	4	1	200	201	9011	201	10800	9954			18108005		1
13508	3星基地装备	4	1	200	201	9011	201	10800	9953			18108005		1
13509	3星基地装备	4	1	200	201	9011	201	10800	9952			18108005		1
13510	3星基地装备	4	1	200	201	9011	201	10800	9951			18108005		1
14101	5星基地装备	5	5	50	201	9011	201	32400	10000	2001	18106001	18108001		3
14102	5星基地装备	5	5	50	201	9011	201	32400	9999	2001	18106001	18108001		3
14103	5星基地装备	5	5	50	201	9011	201	32400	9998	2001	18106001	18108006		3
14104	5星基地装备	5	5	50	201	9011	201	32400	9997	2001	18106001	18108010		3
14105	5星基地装备	5	5	50	201	9011	201	32400	9996	2001	18109001	18108014	18106001	2
14106	5星基地装备	5	5	50	201	9011	201	32400	9995	2001	18110001	18108018	18109001	2
14107	5星基地装备	5	5	50	201	9011	201	32400	9994	2001	18105001	18108022	18110001	2
14108	5星基地装备	5	5	50	201	9011	201	32400	9993	2001	18107001	18108026	18105001	2
14109	5星基地装备	5	5	50	201	9011	201	32400	9992	2001	18105001	18108030	18107001	2
14110	5星基地装备	5	5	50	201	9011	201	32400	9991	2001	18105001	18108034	18107005	2
14201	4星基地装备	5	4	100	201	9011	201	28800	9990	2002	18106002	18108002		2
14202	4星基地装备	5	4	100	201	9011	201	28800	9989	2002	18106002	18108002		2
14203	4星基地装备	5	4	100	201	9011	201	28800	9988	2002	18106002	18108007		2
14204	4星基地装备	5	4	100	201	9011	201	28800	9987	2002	18106002	18108011		2
14205	4星基地装备	5	4	100	201	9011	201	28800	9986	2002	18109002	18108015	18106002	2
14206	4星基地装备	5	4	100	201	9011	201	28800	9985	2002	18110002	18108019	18109002	2
14207	4星基地装备	5	4	100	201	9011	201	28800	9984	2002	18105002	18108023	18110002	2
14208	4星基地装备	5	4	100	201	9011	201	28800	9983	2002	18107002	18108027	18105002	2
14209	4星基地装备	5	4	100	201	9011	201	28800	9982	2002	18105002	18108031	18107002	2
14210	4星基地装备	5	4	100	201	9011	201	28800	9981	2002	18105002	18108035	18107006	2
14301	3星基地装备	5	3	100	201	9011	201	21600	9980	2003	18106003	18108003		2
14302	3星基地装备	5	3	100	201	9011	201	21600	9979	2003	18106003	18108003		2
14303	3星基地装备	5	3	100	201	9011	201	21600	9978	2003	18106003	18108008		2
14304	3星基地装备	5	3	100	201	9011	201	21600	9977	2003	18106003	18108012		2
14305	3星基地装备	5	3	100	201	9011	201	21600	9976	2003	18109003	18108016	18106003	2
14306	3星基地装备	5	3	100	201	9011	201	21600	9975	2003	18110003	18108020	18109003	2
14307	3星基地装备	5	3	100	201	9011	201	21600	9974	2003	18105003	18108024	18110003	2
14308	3星基地装备	5	3	100	201	9011	201	21600	9973	2003	18107003	18108028	18105003	2
14309	3星基地装备	5	3	100	201	9011	201	21600	9972	2003	18105003	18108032	18107003	2
14310	3星基地装备	5	3	100	201	9011	201	21600	9971	2003	18105003	18108036	18107007	2
14401	3星基地装备	5	2	150	201	9011	201	14400	9970	2004	18106004	18108004		1
14402	3星基地装备	5	2	150	201	9011	201	14400	9969	2004	18106004	18108004		1
14403	3星基地装备	5	2	150	201	9011	201	14400	9968	2004	18106004	18108009		1
14404	3星基地装备	5	2	150	201	9011	201	14400	9967	2004	18106004	18108013		1
14405	3星基地装备	5	2	150	201	9011	201	14400	9966	2004	18109004	18108017	18106004	1
14406	3星基地装备	5	2	150	201	9011	201	14400	9965	2004	18110004	18108021	18109004	1
14407	3星基地装备	5	2	150	201	9011	201	14400	9964	2004	18105004	18108025	18110004	1
14408	3星基地装备	5	2	150	201	9011	201	14400	9963	2004	18107004	18108029	18105004	1
14409	3星基地装备	5	2	150	201	9011	201	14400	9962	2004	18105004	18108033	18107004	1
14410	3星基地装备	5	2	150	201	9011	201	14400	9961	2004	18105004	18108037	18107008	1
14501	3星基地装备	5	1	200	201	9011	201	10800	9960			18108005		1
14502	3星基地装备	5	1	200	201	9011	201	10800	9959			18108005		1
14503	3星基地装备	5	1	200	201	9011	201	10800	9958			18108005		1
14504	3星基地装备	5	1	200	201	9011	201	10800	9957			18108005		1
14505	3星基地装备	5	1	200	201	9011	201	10800	9956			18108005		1
14506	3星基地装备	5	1	200	201	9011	201	10800	9955			18108005		1
14507	3星基地装备	5	1	200	201	9011	201	10800	9954			18108005		1
14508	3星基地装备	5	1	200	201	9011	201	10800	9953			18108005		1
14509	3星基地装备	5	1	200	201	9011	201	10800	9952			18108005		1
14510	3星基地装备	5	1	200	201	9011	201	10800	9951			18108005		1
15101	5星基地装备	6	5	50	201	9011	201	32400	10000	2001	18106001	18108001		3
15102	5星基地装备	6	5	50	201	9011	201	32400	9999	2001	18106001	18108001		3
15103	5星基地装备	6	5	50	201	9011	201	32400	9998	2001	18106001	18108006		3
15104	5星基地装备	6	5	50	201	9011	201	32400	9997	2001	18106001	18108010		3
15105	5星基地装备	6	5	50	201	9011	201	32400	9996	2001	18109001	18108014	18106001	2
15106	5星基地装备	6	5	50	201	9011	201	32400	9995	2001	18110001	18108018	18109001	2
15107	5星基地装备	6	5	50	201	9011	201	32400	9994	2001	18105001	18108022	18110001	2
15108	5星基地装备	6	5	50	201	9011	201	32400	9993	2001	18107001	18108026	18105001	2
15109	5星基地装备	6	5	50	201	9011	201	32400	9992	2001	18105001	18108030	18107001	2
15110	5星基地装备	6	5	50	201	9011	201	32400	9991	2001	18105001	18108034	18107005	2
15201	4星基地装备	6	4	100	201	9011	201	28800	9990	2002	18106002	18108002		2
15202	4星基地装备	6	4	100	201	9011	201	28800	9989	2002	18106002	18108002		2
15203	4星基地装备	6	4	100	201	9011	201	28800	9988	2002	18106002	18108007		2
15204	4星基地装备	6	4	100	201	9011	201	28800	9987	2002	18106002	18108011		2
15205	4星基地装备	6	4	100	201	9011	201	28800	9986	2002	18109002	18108015	18106002	2
15206	4星基地装备	6	4	100	201	9011	201	28800	9985	2002	18110002	18108019	18109002	2
15207	4星基地装备	6	4	100	201	9011	201	28800	9984	2002	18105002	18108023	18110002	2
15208	4星基地装备	6	4	100	201	9011	201	28800	9983	2002	18107002	18108027	18105002	2
15209	4星基地装备	6	4	100	201	9011	201	28800	9982	2002	18105002	18108031	18107002	2
15210	4星基地装备	6	4	100	201	9011	201	28800	9981	2002	18105002	18108035	18107006	2
15301	3星基地装备	6	3	100	201	9011	201	21600	9980	2003	18106003	18108003		2
15302	3星基地装备	6	3	100	201	9011	201	21600	9979	2003	18106003	18108003		2
15303	3星基地装备	6	3	100	201	9011	201	21600	9978	2003	18106003	18108008		2
15304	3星基地装备	6	3	100	201	9011	201	21600	9977	2003	18106003	18108012		2
15305	3星基地装备	6	3	100	201	9011	201	21600	9976	2003	18109003	18108016	18106003	2
15306	3星基地装备	6	3	100	201	9011	201	21600	9975	2003	18110003	18108020	18109003	2
15307	3星基地装备	6	3	100	201	9011	201	21600	9974	2003	18105003	18108024	18110003	2
15308	3星基地装备	6	3	100	201	9011	201	21600	9973	2003	18107003	18108028	18105003	2
15309	3星基地装备	6	3	100	201	9011	201	21600	9972	2003	18105003	18108032	18107003	2
15310	3星基地装备	6	3	100	201	9011	201	21600	9971	2003	18105003	18108036	18107007	2
15401	3星基地装备	6	2	150	201	9011	201	14400	9970	2004	18106004	18108004		1
15402	3星基地装备	6	2	150	201	9011	201	14400	9969	2004	18106004	18108004		1
15403	3星基地装备	6	2	150	201	9011	201	14400	9968	2004	18106004	18108009		1
15404	3星基地装备	6	2	150	201	9011	201	14400	9967	2004	18106004	18108013		1
15405	3星基地装备	6	2	150	201	9011	201	14400	9966	2004	18109004	18108017	18106004	1
15406	3星基地装备	6	2	150	201	9011	201	14400	9965	2004	18110004	18108021	18109004	1
15407	3星基地装备	6	2	150	201	9011	201	14400	9964	2004	18105004	18108025	18110004	1
15408	3星基地装备	6	2	150	201	9011	201	14400	9963	2004	18107004	18108029	18105004	1
15409	3星基地装备	6	2	150	201	9011	201	14400	9962	2004	18105004	18108033	18107004	1
15410	3星基地装备	6	2	150	201	9011	201	14400	9961	2004	18105004	18108037	18107008	1
15501	3星基地装备	6	1	200	201	9011	201	10800	9960			18108005		1
15502	3星基地装备	6	1	200	201	9011	201	10800	9959			18108005		1
15503	3星基地装备	6	1	200	201	9011	201	10800	9958			18108005		1
15504	3星基地装备	6	1	200	201	9011	201	10800	9957			18108005		1
15505	3星基地装备	6	1	200	201	9011	201	10800	9956			18108005		1
15506	3星基地装备	6	1	200	201	9011	201	10800	9955			18108005		1
15507	3星基地装备	6	1	200	201	9011	201	10800	9954			18108005		1
15508	3星基地装备	6	1	200	201	9011	201	10800	9953			18108005		1
15509	3星基地装备	6	1	200	201	9011	201	10800	9952			18108005		1
15510	3星基地装备	6	1	200	201	9011	201	10800	9951			18108005		1
16101	5星基地装备	7	5	50	201	9011	201	32400	10000	2001	18106001	18108001		3
16102	5星基地装备	7	5	50	201	9011	201	32400	9999	2001	18106001	18108001		3
16103	5星基地装备	7	5	50	201	9011	201	32400	9998	2001	18106001	18108006		3
16104	5星基地装备	7	5	50	201	9011	201	32400	9997	2001	18106001	18108010		3
16105	5星基地装备	7	5	50	201	9011	201	32400	9996	2001	18109001	18108014	18106001	2
16106	5星基地装备	7	5	50	201	9011	201	32400	9995	2001	18110001	18108018	18109001	2
16107	5星基地装备	7	5	50	201	9011	201	32400	9994	2001	18105001	18108022	18110001	2
16108	5星基地装备	7	5	50	201	9011	201	32400	9993	2001	18107001	18108026	18105001	2
16109	5星基地装备	7	5	50	201	9011	201	32400	9992	2001	18105001	18108030	18107001	2
16110	5星基地装备	7	5	50	201	9011	201	32400	9991	2001	18105001	18108034	18107005	2
16201	4星基地装备	7	4	100	201	9011	201	28800	9990	2002	18106002	18108002		2
16202	4星基地装备	7	4	100	201	9011	201	28800	9989	2002	18106002	18108002		2
16203	4星基地装备	7	4	100	201	9011	201	28800	9988	2002	18106002	18108007		2
16204	4星基地装备	7	4	100	201	9011	201	28800	9987	2002	18106002	18108011		2
16205	4星基地装备	7	4	100	201	9011	201	28800	9986	2002	18109002	18108015	18106002	2
16206	4星基地装备	7	4	100	201	9011	201	28800	9985	2002	18110002	18108019	18109002	2
16207	4星基地装备	7	4	100	201	9011	201	28800	9984	2002	18105002	18108023	18110002	2
16208	4星基地装备	7	4	100	201	9011	201	28800	9983	2002	18107002	18108027	18105002	2
16209	4星基地装备	7	4	100	201	9011	201	28800	9982	2002	18105002	18108031	18107002	2
16210	4星基地装备	7	4	100	201	9011	201	28800	9981	2002	18105002	18108035	18107006	2
16301	3星基地装备	7	3	100	201	9011	201	21600	9980	2003	18106003	18108003		2
16302	3星基地装备	7	3	100	201	9011	201	21600	9979	2003	18106003	18108003		2
16303	3星基地装备	7	3	100	201	9011	201	21600	9978	2003	18106003	18108008		2
16304	3星基地装备	7	3	100	201	9011	201	21600	9977	2003	18106003	18108012		2
