Id	AttribId	PromotedId	Kind	Type	Name	MoveUseFaceDir	HasRunTilt	HeadImageName	OnlinePortrait	EnergyBar	SPPrefab	ModelId	BodyRadius	CameraCollideRadius	HitRadius	IgnoreCollisionToNpc	IgnoreCollisionFromNpc	ModelScale	EffectScale	MissileScale	BossHp	HpWdigetCount	HpWidgetHeight	HpWidgetType	RollCharHeight	HitDownTime	FallDownTime	LieOnFloorTime	StandUpTime	StandUpImmuneHitTime	MaxHitValue	BeHitInterval	Ball	RandomBall	AttackSkillId	DodgeSkillId	NoThreat	NotToThreatTarget	BornTime	DeathTime	HasRunToStand	HasRunStart	HasStandTransition	CollisionPriority	AttackIconImage	DodgeIconImage	ExSkillIconImage	UseShadowMesh	ShadowQuadScale	DeathMagic[1]	DeathMagic[2]	DeathMagic[3]	DeathMagic[4]	RobotBornMagic[1]	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	BornMagic[5]	BornMagic[6]	BornMagic[7]	BornMagic[8]	BornMagic[9]	BornMagic[10]	BornMagic[11]	BornMagic[12]	SkillId[1]	SkillId[2]	SkillId[3]	SkillId[4]	SkillId[5]	SkillId[6]	SkillId[7]	SkillId[8]	SkillId[9]	SkillId[10]	SkillId[11]	SkillId[12]	SkillId[13]	SkillId[14]	SkillId[15]	SkillId[16]	SkillId[17]	SkillId[18]	SkillId[19]	SkillId[20]	SkillId[21]	SkillId[22]	SkillId[23]	SkillId[24]	SkillId[25]	SkillId[26]	SkillId[27]	SkillId[28]	SkillId[29]	SkillId[30]	SkillId[31]	SkillId[32]	SkillId[33]	SkillId[34]	SkillId[35]	SkillId[36]	SkillId[37]	SkillId[38]	SkillId[39]	SkillId[40]	SkillId[41]	SkillId[42]	SkillId[43]	SkillId[44]	SkillId[45]	SkillId[46]	SkillId[47]	SkillId[48]	SkillId[49]	SkillId[50]	SkillId[51]	SkillId[52]	SkillId[53]	SkillId[54]	SkillId[55]	SkillId[56]	SkillId[57]	SkillId[58]	SkillId[59]	SkillId[60]	SkillId[61]	SkillId[62]	SkillId[63]	SkillId[64]	SkillId[65]	SkillId[66]	SkillId[67]	SkillId[68]	SkillId[69]	SkillId[70]	SkillId[71]	SkillId[72]	SkillId[73]	SkillId[74]	SkillId[75]	SkillId[76]	SkillId[77]	SkillId[78]	SkillId[79]	SkillId[80]	SkillId[81]	SkillId[82]	SkillId[83]	SkillId[84]	SkillId[85]	SkillId[86]	SkillId[87]	SkillId[88]	SkillId[89]	SkillId[90]	SkillId[91]	SkillId[92]	SkillId[93]	SkillId[94]	SkillId[95]	SkillId[96]	SkillId[97]	SkillId[98]	SkillId[99]	SkillId[100]
9051	14			1	飞机			Assets/Product/Texture/Image/Role/RoleHeadLi3.png				Mt1DubianfeijiMd010010	1	1	0.1			1	1		0	10	0.8	2	1.5	1	0.7	0.2	0.7	0.7	10		1#905106|2#905107|3#905108	1#1#15|2#1#15|3#1#15					1.2	1.9	1			3	Assets/Product/Texture/Image/UiFightBallBox/FightIconGun.png	Assets/Product/Texture/Image/UiFightBallBox/FightIconDoge1.png	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Li51.png		1	90510098	90510096	90510094	90510092		9051	999522	999523	999526									905101	905102	905103																																																																																																	
9052	15			1	敌方飞机-难度1							Mt1DubiandibingfeijiMd010010	1	1	0.1			1	1		0	3	0.8	2	1.5	1	0.7	0.2	0.7	0.7	10								1.2	0.1	1			3					1	90520098	90520096	90520094	90520092		9052	999522	999523	999526																																																																																																												
9053	16			1	敌方飞机-难度2							Mt1DubiandibingfeijiMd010010	1.2	1.2	0.1			1.2	1		0	3	0.8	2	1.5	1	0.7	0.2	0.7	0.7	10								1.2	0.1	1			3					1.2	90530098	90530096	90530094	90530092		9053	999522	999523	999526																																																																																																												
9054	17			1	敌方飞机-难度3							Mt1DubiandibingfeijiMd010010	1.5	1.5	0.1			1.5	1		0	3	0.8	2	1.5	1	0.7	0.2	0.7	0.7	10								1.2	0.1	1			3					1.5	90540098	90540096	90540094	90540092		9054	999522	999523	999526																																																																																																												
9055	18			1	敌方飞机-难度4							Mt1DubiandibingfeijiMd010010	2	2	0.1			2	1		0	3	0.8	2	1.5	1	0.7	0.2	0.7	0.7	10								1.2	0.1	1			3					2	90550098	90550096	90550094	90550092		9055	999522	999523	999526																																																																																																												
9056	19			1	敌方飞机-难度5							Mt1DubiandibingfeijiMd010010	3	3	0.1			3	1		0	3	0.8	2	1.5	1	0.7	0.2	0.7	0.7	10								1.2	0.1	1			3					3	90560098	90560096	90560094	90560092		9056	999522	999523	999526																																																																																																												
9057	20			1	飞机Boss							Mt1DubiandibingfeijiMd010010	2	3	0.1			1	1		0	3	0.8	2	1.5	1	0.7	0.2	0.7	0.7	10								1.2	0.1	1			3					2	90570098	90570096	90570094	90570092		9057	999522	999523	999526																																																																																																												
9058	21			1	西里尔大尉							Mt1DubianfeijiMd010011	3	1	1			0.7	1		0	10	0.8	2	1.5	1	0.7	0.2	0.7	0.7	10								1.2	1.9	1			3					3	90580098	90580096	90580094	90580092		9058	999522	999523	999526																																																																																																												
9059				1	黑曜石方块							Mb1CubeMd060003	1	1	0.1	1	1	1	1		0		0	0	1	0	0	0	0	0	99999						1	1	0	0.75	0			3					1	90590098	90590096	90590094	90590092		9059	900064	900065	900056																																																																																																												
9957				1	联机俯视角载体								0	0	0.1	1	1	1	1		0		0	0	1	0	0	0	0	0	99999						1	1	0	0	0			3					0						9957	900064	900065	900056																																																																																																												
