Id	RunSpeed	WalkSpeed	TurnRoundSpeed	Life	AttackNormal	DefenseNormal	Crit	AntiDefenseNormal	AttackMagic1	AttackMagic2	AttackMagic3	AttackMagic4	CritP	AntiDamageMagicImmunity	AntiAttackNormal	AntiAttackMagic1	AntiAttackMagic2	AntiAttackMagic3	AntiAttackMagic4	DamageChangeP	DamageNormalChangeP	DamageMagic1ChangeP	DamageMagic2ChangeP	DamageMagic3ChangeP	DamageMagic4ChangeP	AntiDamageChangeP	AntiDamageNormalChangeP	AntiDamageMagic1ChangeP	AntiDamageMagic2ChangeP	AntiDamageMagic3ChangeP	AntiDamageMagic4ChangeP	Energy	BallInterval	DamageNormalImmunity	DamageMagicImmunity	AntiDamageNormalImmunity	Damage1P	Damage2P	Damage3P	CritDamageP	AntiCritP	AntiCritDamageP	Lifesteal	LifestealP	CureChangeP	AntiCureChangeP	Endure	ThreatRateP	DodgeEnergy	DodgeEnergyAutoRecovery
7006	0	0	0	600	6	1	0	0.5	6	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0
7007	0	0	0	500	6	1	0	0.5	6	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
7008	0	0	0	500	6	1	0	0.5	6	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
7012	0	0	0	500	6	1	0	0.5	6	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
7013	0	0	0	400	5	1	0	0.5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0
8110	0	0	0	2250	10	10	0	5	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
8120	0	0	0	750	15	10	0	5	15	15	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
8130	0	0	0	300	2.5	5	0	1.875	2.5	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
8131	0	0	0	100	2.5	5	0	1.875	2.5	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
8140	0	0	0	3000	10	10	0	5	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
8141	0	0	0	300	5	3	0	1.25	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8142	0	0	0	3000	10	10	0	5	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
8143	0	0	0	300	2.5	5	0	1.875	2.5	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
8150	0	0	0	300	2.5	5	0	1.875	2.5	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
8160	0	0	0	300	2.5	5	0	1.875	2.5	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
8170	0	0	0	300	2.5	5	0	1.875	2.5	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
8180	0	0	0	300	2.5	5	0	1.875	2.5	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
8190	0	0	0	300	2.5	5	0	1.875	2.5	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8210	0	0	0	3000	10	10	0	5	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
8215	0	0	0	300	2.5	2.5	0	1.875	2.5	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
8216	0	0	0	13	4	3	0	1.5	4	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
8310	0	0	0	180	2.5	5	0	1.875	2.5	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8311	0	0	0	120	2.5	5	0	1.875	2.5	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8320	0	0	0	300	2.5	5	0	1.875	2.5	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8330	0	0	0	300	2.5	5	0	1.875	2.5	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8701	0	0	0	3000	10	10	0	5	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
8703	0	0	0	45	10	10	0	5	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
8731	0	0	0	3000	10	10	0	5	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
8733	0	0	0	2100	10	10	0	5	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
8736	0	0	0	400	2.5	5	0	1.875	2.5	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
8741	0	0	0	266	2.5	5	0	1.875	2.5	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
8742	0	0	0	0	2.5	5	0	1.875	2.5	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
81100	0	0	0	300	6.25	5	0	2.5	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
81200	0	0	0	100	6.25	5	0	2.5	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
81300	0	0	0	300	6.25	5	0	3.75	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
81310	0	0	0	100	6.25	5	0	3.75	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
81400	0	0	0	1050	6.25	5	0	3.75	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
81410	0	0	0	30	6.25	5	0	3.75	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
81420	0	0	0	300	6.25	5	0	3.75	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
81430	0	0	0	300	6.25	5	0	3.75	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
81500	0	0	0	300	6.25	5	0	3.75	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
81600	0	0	0	300	6.25	5	0	3.75	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
81700	0	0	0	300	6.25	5	0	3.75	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
81800	0	0	0	300	6.25	5	0	3.75	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
81900	0	0	0	200	6.25	5	0	3.75	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82100	0	0	0	300	6.25	5	0	3.75	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
82150	0	0	0	300	6.25	5	0	3.75	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
82160	0	0	0	13	4	5	0	2.5	7.5	7.5	7.5	7.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
83100	0	0	0	200	6.25	5	0	3.75	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83110	0	0	0	100	6.25	5	0	3.75	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87010	0	0	0	300	6.25	5	0	3.75	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
87030	0	0	0	45	6.25	5	0	3.75	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0
90000	0	0	0	0	6.2	6.2	0	3.1	6.2	6.2	6.2	6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0
9001	0	0	0	4800	15	40	0	20	15	15	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9009	0	0	0	60	3	3	0	1.5	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
9010	0	0	0	75	3.7	3.7	0	1.9	3.7	3.7	3.7	3.7	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0
9011	0	0	0	100	5	5	0	2.5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0
9012	0	0	0	100	5	5	0	2.5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0
9013	0	0	0	100	5	5	0	2.5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0
9014	0	0	0	50	2.5	2.5	0	1.3	2.5	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
9015	0	0	0	100	5	5	0	2.5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0
9016	0	0	0	60	3	3	0	1.5	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
9017	0	0	0	80	4	4	0	2	4	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0
9018	0	0	0	100	5	5	0	2.5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0
9019	0	0	0	115	5.7	5.7	0	2.9	5.7	5.7	5.7	5.7	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0
9020	0	0	0	50	2.5	2.5	0	1.3	2.5	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
9021	0	0	0	125	6.2	6.2	0	3.1	6.2	6.2	6.2	6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0
9025	0	0	0	125	6.25	7.5	0	3.8	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
9026	0	0	0	125	6.25	7.5	0	3.8	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
9033	0	0	0	125	6.25	7.5	0	3.8	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
9034	0	0	0	125	6.25	7.5	0	3.8	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
9035	0	0	0	125	6.25	7.5	0	3.8	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
9036	0	0	0	125	6.25	7.5	0	3.8	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
9037	0	0	0	125	6.25	7.5	0	3.8	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
9038	0	0	0	100	5	5	0	2.5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0
9039	0	0	0	900	10	0.5	0	0.5	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
9100	0	0	0	50	8.325	5	0	6.25	8.325	8.325	8.325	8.325	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9101	0	0	0	56.25	6.25	5	0	3.125	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9102	0	0	0	40	6.25	5	0	3.125	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9200	0	0	0	125	8.325	5	0	6.25	8.325	8.325	8.325	8.325	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9201	0	0	0	140.62	6.25	5	0	3.125	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9202	0	0	0	100	6.25	5	0	3.125	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9203	0	0	0	154.68	9.15	5.5	0	6.875	9.15	9.15	9.15	9.15	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9204	0	0	0	110	6.875	5.5	0	3.43	6.875	6.875	6.875	6.875	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9300	0	0	0	125	8.325	5	0	5	8.325	8.325	8.325	8.325	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0
9301	0	0	0	140.62	6.25	5	0	2.5	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0
9302	0	0	0	100	6.25	5	0	5	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0
9303	0	0	0	192.5	9.15	5.5	0	5.5	9.15	9.15	9.15	9.15	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0
9304	0	0	0	165	6.875	5.5	0	5.5	6.875	6.875	6.875	6.875	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0
9400	0	0	0	300	6.25	5	0	3.75	6.25	6.25	6.25	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0
9410	0	0	0	100	1.25	5	0	1	1.25	1.25	1.25	1.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9420	0	0	0	220	3.5	5	0	3.75	3.5	3.5	3.5	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9522	0	0	0	100	9	5	0	2.5	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9523	0	0	0	60	5.4	3	0	1.5	5.4	5.4	5.4	5.4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9524	0	0	0	74.9	6.8	3.8	0	1.9	6.8	6.8	6.8	6.8	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9525	0	0	0	100	9	5	0	2.5	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9526	0	0	0	100	9	5	0	2.5	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9527	0	0	0	100	9	5	0	2.5	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9528	0	0	0	49.9	4.5	2.5	0	1.3	4.5	4.5	4.5	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9529	0	0	0	100	9	5	0	2.5	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9530	0	0	0	60	5.4	3	0	1.5	5.4	5.4	5.4	5.4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9531	0	0	0	80	7.2	4	0	2	7.2	7.2	7.2	7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9532	0	0	0	100	9	5	0	2.5	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9533	0	0	0	114.9	10.4	5.8	0	2.9	10.4	10.4	10.4	10.4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
