Id	FurnitureId	ExtraAttrId	AdditionId	Quality	Name
8040007	8612023	100004	114		挂壁烛台灯
8040008	8612024	100004	114		挂壁摆钟
8040009	8511027	100002	114		欧式暖炉
8040010	8612025	100004	114		挂帘格子窗
8040011	8511028	100002	114		圣诞树
8040012	8404005	100001	114		欧式简约沙发
8040013	8612026	100004	114		油画《日出》
8040014	8406010	100001	114		欧式书柜
8040015	8407010	100001	114		圣诞长餐桌
8040016	8508007	100003	114		欧式高背椅
8040017	8508008	100003	114		坐垫矮凳
8040018	8101007	100001	114		瓷砖地板
8040019	8201007	100001	114		圣诞装饰墙
8040020	8301007	100001	114		吊灯横梁
8050002	8612027	100004	114		挂柱灯笼
8050003	8407012	100001	114		中式茶几
8050004	8508010	100003	114		中式官帽椅
8050005	8405005	100001	114		中式案台
8050006	8508011	100003	114		中式长凳
8050007	8406011	100001	114		中式五斗柜
8050008	8510007	100003	114		中式橱柜
8050009	8511037	100002	114		土陶酒坛
8050010	8511038	100002	114		中式花几
8050011	8612028	100004	114		春联
8050012	8612029	100004	114		茶馆挂旗
8050013	8612030	100004	114		茶馆窗棂
8050014	8407013	100001	114		茶馆柜台
8050015	8511039	100002	114		中式落地灯
8050016	8511040	100002	114		中式屏风
8050017	8404008	100001	114		中式卧榻
8050018	8101008	100001	114		茶馆大门
8050019	8201008	100001	114		挂檐灯笼
8050020	8301008	100001	114		中式地毯
