Id	RunSpeed	WalkSpeed	TurnRoundSpeed	Life	AttackNormal	DefenseNormal	Crit	CritP	AntiDefenseNormal	AttackMagic1	AttackMagic2	AttackMagic3	AttackMagic4	AntiDamageMagicImmunity	AntiAttackNormal	AntiAttackMagic1	AntiAttackMagic2	AntiAttackMagic3	AntiAttackMagic4	DamageChangeP	DamageNormalChangeP	DamageMagic1ChangeP	DamageMagic2ChangeP	DamageMagic3ChangeP	DamageMagic4ChangeP	AntiDamageChangeP	AntiDamageNormalChangeP	AntiDamageMagic1ChangeP	AntiDamageMagic2ChangeP	AntiDamageMagic3ChangeP	AntiDamageMagic4ChangeP	Energy	BallInterval	DamageNormalImmunity	DamageMagicImmunity	AntiDamageNormalImmunity	Damage1P	Damage2P	Damage3P	CritDamageP	AntiCritP	AntiCritDamageP	Lifesteal	LifestealP	CureChangeP	AntiCureChangeP	Endure	ThreatRateP	DodgeEnergy	DodgeEnergyAutoRecovery	CustomEnergy
1003	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
1012	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	150
1001	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
1005	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
1007	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	3
1008	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
1013	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	4
1014	5	5	3600	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	2500	2500	2500	2500	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
1022	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	120	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	120
1015	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	90	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	54
1101	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	150
