Id	AttribId	PromotedId	Kind	Type	Name	MoveUseFaceDir	HasRunTilt	HeadImageName	OnlinePortrait	EnergyBar	SPPrefab	ModelId	BodyRadius	HitRadius	IgnoreCollisionToNpc	IgnoreCollisionFromNpc	ModelScale	EffectScale	BossHp	HpWdigetCount	HpWidgetHeight	HpWidgetType	RollCharHeight	HitDownTime	FallDownTime	LieOnFloorTime	StandUpTime	StandUpImmuneHitTime	MaxHitValue	BeHitInterval	Ball	RandomBall	AttackSkillId	DodgeSkillId	NoThreat	NotToThreatTarget	BornTime	DeathTime	HasRunToStand	HasRunStart	HasStandTransition	CollisionPriority	AttackIconImage	DodgeIconImage	ExSkillIconImage	DeathMagic[1]	DeathMagic[2]	DeathMagic[3]	DeathMagic[4]	RobotBornMagic[1]	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	BornMagic[5]	BornMagic[6]	BornMagic[7]	BornMagic[8]	BornMagic[9]	BornMagic[10]	BornMagic[11]	BornMagic[12]	SkillId[1]	SkillId[2]	SkillId[3]	SkillId[4]	SkillId[5]	SkillId[6]	SkillId[7]	SkillId[8]	SkillId[9]	SkillId[10]	SkillId[11]	SkillId[12]	SkillId[13]	SkillId[14]	SkillId[15]	SkillId[16]	SkillId[17]	SkillId[18]	SkillId[19]	SkillId[20]	SkillId[21]	SkillId[22]	SkillId[23]	SkillId[24]	SkillId[25]	SkillId[26]	SkillId[27]	SkillId[28]	SkillId[29]	SkillId[30]	SkillId[31]	SkillId[32]	SkillId[33]	SkillId[34]	SkillId[35]	SkillId[36]	SkillId[37]	SkillId[38]	SkillId[39]	SkillId[40]	SkillId[41]	SkillId[42]	SkillId[43]	SkillId[44]	SkillId[45]	SkillId[46]	SkillId[47]	SkillId[48]	SkillId[49]	SkillId[50]	SkillId[51]	SkillId[52]	SkillId[53]	SkillId[54]	SkillId[55]	SkillId[56]	SkillId[57]	SkillId[58]	SkillId[59]	SkillId[60]	SkillId[61]	SkillId[62]	SkillId[63]	SkillId[64]	SkillId[65]	SkillId[66]	SkillId[67]	SkillId[68]	SkillId[69]	SkillId[70]	SkillId[71]	SkillId[72]	SkillId[73]	SkillId[74]	SkillId[75]	SkillId[76]	SkillId[77]	SkillId[78]	SkillId[79]	SkillId[80]	SkillId[81]	SkillId[82]	SkillId[83]	SkillId[84]	SkillId[85]	SkillId[86]	SkillId[87]	SkillId[88]	SkillId[89]	SkillId[90]	SkillId[91]	SkillId[92]	SkillId[93]	SkillId[94]	SkillId[95]	SkillId[96]	SkillId[97]	SkillId[98]	SkillId[99]	SkillId[100]
9960	10		2	2	构造体（改良型）							Me1GouzaotiMd10001	1	0.3			1	1	0	5	0.8	2	1.5	0.9	0.3		1.2	0.3	10								0.05	2	0			3				99600098	99600096	99600094	99600092		9960																																																																																																															
9961	3			2	弓箭手--测试							Me1BioMd004050	0.5				1	1	0	5	0.8	2	1.5	0.8	0.3		1.45	0.3	10		1#903761|2#903762|3#903763	1#1#15|2#1#15|3#1#15					1.2	2.5	0			3				99610098	99610096	99610094	99610092		9961	995203	900007	900008	100027	900011	900051																																																																																																									
9022	86		2	2	长矛手							Me1BioMd004060	0.5				1	1	0	5	0.8	2	1.5	1	0.3		1.3	0.7	10								1.2	1.9	0			3				90220098	90220096	90220094	90220092		9022																																																																																																															
9962	3			2	囚徒--测试							Me1BioMd004010	1	0.3			0.8	1	0	5	0.8	2	1.5	0.9	0.3		0.95	0.3	10								1.2	2.5	0			3				99620098	99620096	99620094	99620092		9962	900007	900008	100027	900011	900051																																																																																																										
9963	86			2	长矛手--测试							Me1BioMd004060	0.5				1	1	0	5	0.8	2	1.5	1	0.3		1.3	0.7	10								1.2	1.9	0			3				99630098	99630096	99630094	99630092		9963																																																																																																															
9043	3		2	3	剑圣							Me1SwordMd002001	1.1				1	1	0	5	1.1	2	1.5	0.9	0.3		0.85	0	10								1.25	3.5	0			3				90430098	90430096	90430094	90430092		9043	900008	100027	900011	970006																																																																																																											
9964	14			1	飞机			Assets/Product/Texture/Image/Role/RoleHeadLi3.png				Mo1BioMd010041	1	0.1			1	1	0	10	0.8	2	1.5	1	0.7	0.2	0.7	0.7	10		1#996406|2#996407|3#996408	1#1#15|2#1#15|3#1#15					1.2	1.9	1			3	Assets/Product/Texture/Image/UiFightBallBox/FightIconGun.png	Assets/Product/Texture/Image/UiFightBallBox/FightIconDoge1.png	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Li51.png	99640098	99640096	99640094	99640092		9964	999522	999523	999526									996401	996402	996403																																																																																																	
9965	15		2	1	敌方飞机-难度1							Mt1Cube0001	1	0.1			1	1	0	3	0.8	2	1.5	1	0.7	0.2	0.7	0.7	10								1.2	0.1	1			3				99650098	99650096	99650094	99650092		9965	999522	999523	999526																																																																																																												
9966	16		2	1	敌方飞机-难度2							Mt1Cube0001	1.2	0.1			1.2	1	0	3	0.8	2	1.5	1	0.7	0.2	0.7	0.7	10								1.2	0.1	1			3				99660098	99660096	99660094	99660092		9966	999522	999523	999526																																																																																																												
9967	17		2	1	敌方飞机-难度3							Mt1Cube0001	1.5	0.1			1.5	1	0	3	0.8	2	1.5	1	0.7	0.2	0.7	0.7	10								1.2	0.1	1			3				99670098	99670096	99670094	99670092		9967	999522	999523	999526																																																																																																												
9968	18		2	1	敌方飞机-难度4							Mt1Cube0001	2	0.1			2	1	0	3	0.8	2	1.5	1	0.7	0.2	0.7	0.7	10								1.2	0.1	1			3				99680098	99680096	99680094	99680092		9968	999522	999523	999526																																																																																																												
9969	19		2	1	敌方飞机-难度5							Mt1Cube0001	3	0.1			3	1	0	3	0.8	2	1.5	1	0.7	0.2	0.7	0.7	10								1.2	0.1	1			3				99690098	99690096	99690094	99690092		9969	999522	999523	999526																																																																																																												
9970	20		2	1	飞机Boss							Mt1Cube0001	3	0.1			3	1	0	3	0.8	2	1.5	1	0.7	0.2	0.7	0.7	10								1.2	0.1	1			3				99700098	99700096	99700094	99700092		9970	999522	999523	999526																																																																																																												
9956	21			1	飞机测试							Mo1BioMd010041	1	0.1			1	1	0	10	0.8	2	1.5	1	0.7	0.2	0.7	0.7	10								1.2	1.9	1			3				99560098	99560096	99560094	99560092		9956	999522	999523	999526																																																																																																												
9957				1	联机俯视角载体								0	0.1	1	1	1	1	0		0	0	1	0	0	0	0	0	99999						1	1	0	0	0			3									9957	900064	900065	900056																																																																																																												
