Id	CharacterId	Name	Icon	StoryId	UnlockLv	ConditionDescript	SectionNumber
47	1081002	渡边·夜刃·其之五	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	1140715	5	信赖度5级解锁	5
48	1081002	渡边·夜刃·其之六	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	1140716	6	信赖度6级解锁	6
49	1021002	露西亚·黎明·其之一	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	1150121	1	信赖度1级解锁	1
50	1021002	露西亚·黎明·其之二	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	1150122	2	信赖度2级解锁	2
51	1021002	露西亚·黎明·其之三	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	1150123	3	信赖度3级解锁	3
52	1021002	露西亚·黎明·其之四	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	1150124	4	信赖度4级解锁	4
53	1021002	露西亚·黎明·其之五	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	1150125	5	信赖度5级解锁	5
54	1021002	露西亚·黎明·其之六	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	1150126	6	信赖度6级解锁	6
55	1031002	丽芙·流光·其之一	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	1150221	1	信赖度1级解锁	1
56	1031002	丽芙·流光·其之二	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	1150222	2	信赖度2级解锁	2
57	1031002	丽芙·流光·其之三	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	1150223	3	信赖度3级解锁	3
58	1031002	丽芙·流光·其之四	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	1150224	4	信赖度4级解锁	4
59	1031002	丽芙·流光·其之五	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	1150225	5	信赖度5级解锁	5
60	1031002	丽芙·流光·其之六	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	1150226	6	信赖度6级解锁	6
61	1071003	卡列尼娜·烬燃·其之一	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1SS.png	1150531	1	信赖度1级解锁	1
62	1071003	卡列尼娜·烬燃·其之二	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1SS.png	1150532	2	信赖度2级解锁	2
63	1071003	卡列尼娜·烬燃·其之三	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1SS.png	1150533	3	信赖度3级解锁	3
64	1071003	卡列尼娜·烬燃·其之四	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1SS.png	1150534	4	信赖度4级解锁	4
65	1071003	卡列尼娜·烬燃·其之五	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1SS.png	1150535	5	信赖度5级解锁	5
66	1071003	卡列尼娜·烬燃·其之六	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1SS.png	1150536	6	信赖度6级解锁	6
67	1031003	丽芙·仰光·其之一	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1SS.png	1150231	1	信赖度1级解锁	1
68	1031003	丽芙·仰光·其之二	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1SS.png	1150232	2	信赖度2级解锁	2
69	1031003	丽芙·仰光·其之三	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1SS.png	1150233	3	信赖度3级解锁	3
70	1031003	丽芙·仰光·其之四	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1SS.png	1150234	4	信赖度4级解锁	4
71	1031003	丽芙·仰光·其之五	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1SS.png	1150235	5	信赖度5级解锁	5
72	1031003	丽芙·仰光·其之六	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1SS.png	1150236	6	信赖度6级解锁	6
73	1061003	神威·暗能·其之一	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	1150721	1	信赖度1级解锁	1
74	1061003	神威·暗能·其之二	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	1150722	2	信赖度2级解锁	2
75	1061003	神威·暗能·其之三	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	1150723	3	信赖度3级解锁	3
76	1061003	神威·暗能·其之四	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	1150724	4	信赖度4级解锁	4
77	1061003	神威·暗能·其之五	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	1150725	5	信赖度5级解锁	5
78	1061003	神威·暗能·其之六	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	1150726	6	信赖度6级解锁	6
79	1011003	里·乱数·其之一	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	1150821	1	信赖度1级解锁	1
80	1011003	里·乱数·其之二	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	1150822	2	信赖度2级解锁	2
81	1011003	里·乱数·其之三	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	1150823	3	信赖度3级解锁	3
82	1011003	里·乱数·其之四	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	1150824	4	信赖度4级解锁	4
83	1011003	里·乱数·其之五	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	1150825	5	信赖度5级解锁	5
84	1011003	里·乱数·其之六	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	1150826	6	信赖度6级解锁	6
85	1051003	七实·脉冲·其之一	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png	1150321	1	信赖度1级解锁	1
86	1051003	七实·脉冲·其之二	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png	1150322	2	信赖度2级解锁	2
87	1051003	七实·脉冲·其之三	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png	1150323	3	信赖度3级解锁	3
88	1051003	七实·脉冲·其之四	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png	1150324	4	信赖度4级解锁	4
89	1051003	七实·脉冲·其之五	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png	1150325	5	信赖度5级解锁	5
90	1051003	七实·脉冲·其之六	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png	1150326	6	信赖度6级解锁	6
