Id	Model	Action	ContentId	Weight
61	R2LuxiyaMd010011	Attack11	102100201	10
62	R2LuxiyaMd010011	Attack11	102100202	10
63	R2LuxiyaMd010011	Attack11	102100203	10
64	R2LuxiyaMd010011	Attack21	102100204	10
65	R2LuxiyaMd010011	Attack21	102100205	10
66	R2LuxiyaMd010011	Attack21	102100206	10
67	R2LuxiyaMd010011	Attack11	102100207	10
68	R2LuxiyaMd010011	Attack11	102100208	20
69	R2LuxiyaMd010011	Attack11	102100209	30
70	R2LuxiyaMd010011	Attack21	102100210	40
71	R2KalieninaMd010011	Attack11	107100201	10
72	R2KalieninaMd010011	Attack11	107100202	10
73	R2KalieninaMd010011	Attack11	107100203	10
74	R2KalieninaMd010011	Attack21	107100204	10
75	R2KalieninaMd010011	Attack21	107100205	10
76	R2KalieninaMd010011	Attack21	107100206	10
77	R2KalieninaMd010011	Attack11	107100207	10
78	R2KalieninaMd010011	Attack11	107100208	20
79	R2KalieninaMd010011	Attack11	107100209	30
80	R2KalieninaMd010011	Attack21	107100210	40
81	R2DubianMd010011	Attack11	108100101	10
82	R2DubianMd010011	Attack11	108100102	10
83	R2DubianMd010011	Attack11	108100103	10
84	R2DubianMd010011	Attack21	108100104	10
85	R2DubianMd010011	Attack21	108100105	10
86	R2DubianMd010011	Attack21	108100106	10
87	R2DubianMd010011	Attack11	108100107	10
88	R2DubianMd010011	Attack11	108100108	20
89	R2DubianMd010011	Attack11	108100109	30
90	R2DubianMd010011	Attack21	108100110	40
91	R2ShenweiMd010011	Attack11	106100101	10
92	R2ShenweiMd010011	Attack11	106100102	10
93	R2ShenweiMd010011	Attack11	106100103	10
94	R2ShenweiMd010011	Attack21	106100104	10
95	R2ShenweiMd010011	Attack21	106100105	10
96	R2ShenweiMd010011	Attack21	106100106	10
97	R2ShenweiMd010011	Attack11	106100107	10
98	R2ShenweiMd010011	Attack11	106100108	20
99	R2ShenweiMd010011	Attack11	106100109	30
100	R2ShenweiMd010011	Attack21	106100110	40
101	R3LifuMd010011	Attack11	103100301	10
102	R3LifuMd010011	Attack11	103100302	10
103	R3LifuMd010011	Attack11	103100303	10
104	R3LifuMd010011	Attack21	103100304	10
105	R3LifuMd010011	Attack21	103100305	10
106	R3LifuMd010011	Attack21	103100306	10
107	R3LifuMd010011	Attack11	103100307	10
108	R3LifuMd010011	Attack11	103100308	20
109	R3LifuMd010011	Attack11	103100309	30
110	R3LifuMd010011	Attack21	103100310	40
111	R3KalieninaMd010011	Attack11	107100301	10
112	R3KalieninaMd010011	Attack11	107100302	10
113	R3KalieninaMd010011	Attack11	107100303	10
114	R3KalieninaMd010011	Attack21	107100304	10
115	R3KalieninaMd010011	Attack21	107100305	10
116	R3KalieninaMd010011	Attack21	107100306	10
117	R3KalieninaMd010011	Attack11	107100307	10
118	R3KalieninaMd010011	Attack11	107100308	20
119	R3KalieninaMd010011	Attack11	107100309	30
120	R3KalieninaMd010011	Attack21	107100310	40
