Id	IndexId	UiName	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ	ScaleX	ScaleY	ScaleZ
42	2	UiEquipResonanceSkill	18.7	-13.4	-15.1	20	-842	189	1	1	1
43	3	UiEquipResonanceSkill	18.5	-13.4	-14.8	-201	18	-122	1	1	1
44	4	UiEquipResonanceSkill	18.5	-13.6	-14.6	2	64	303	1	1	1
45	5	UiEquipResonanceSkill	18.7	-13.4	-14.5	-1	-272	-215	1	1	1
46	6	UiEquipResonanceSkill	18.2	-12.7	-15	-5	-95	115	1	1	1
47	7	UiEquipResonanceSkill	18.2	-13.1	-14.5	-43	-140	47	1	1	1
48	8	UiEquipResonanceSkill	19.2	-13.8	-15	1	109	-208	1	1	1
49	9	UiEquipResonanceSkill	19.2	-13.8	-15	1	109	-208	1	1	1
50	99	UiEquipResonanceSkill	18	-12.3	-13.8	-68	-166	120	1	1	1
51	1	UiEquipStrengthen	19.5	-14.3	-14.6	-11	3	-54	1	1	1
52	2	UiEquipStrengthen	19.1	-14.3	-13.5	20	-131	25	1	1	1
53	3	UiEquipStrengthen	19	-14	-13.6	-42	-73	-0.7	1	1	1
54	4	UiEquipStrengthen	19.1	-13.7	-13.1	-50	-193	230	1	1	1
55	5	UiEquipStrengthen	19.4	-14.3	-13.5	30	-203	-125	1	1	1
56	6	UiEquipStrengthen	18.8	-14.2	-12.4	-26	-57	-52	1	1	1
57	7	UiEquipStrengthen	18.9	-13.8	-13.1	-3	10	-58	1	1	1
58	8	UiEquipStrengthen	19.4	-14.3	-14	31	148	-110	1	1	1
59	9	UiEquipStrengthen	19.4	-14.3	-14	31	148	-110	1	1	1
60	99	UiEquipStrengthen	19.3	-13	-11	-68	-166	120	1	1	1
61	1	UiDrawShow	0.05	0.2	1.2	0	0	0	1	1	1
62	2	UiDrawShow	0.4	0.35	3	110	-90	0	1	1	1
63	3	UiDrawShow	0.05	0.2	3	10	-90	0	1	1	1
64	4	UiDrawShow	-0.1	0.25	3.6	-80	-90	0	1	1	1
65	5	UiDrawShow	0.4	0.4	2.8	180	0	-20	1	1	1
66	6	UiDrawShow	0.6	0.45	4.8	0	0	20	1	1	1
67	7	UiDrawShow	0.1	0.2	5	0	0	20	1	1	1
68	8	UiDrawShow	0.15	0.38	2	180	0	-20	1	1	1
69	9	UiDrawShow	18.7	-14.1	-15.4	23	-847	182	1	1	1
70	99	UiDrawShow	1.2	0.2	4	50	0	20	1	1	1
