SentenceId	OptionId	PlayTime	BackgroundMusic	DialogSoundEffect	DialogSoundMusic	RoleName	NewRoleId	PositionType	RoleId[1]	RoleId[2]	RoleId[3]	RoleFace[1]	RoleFace[2]	RoleFace[3]	RoleEffect[1]	RoleEffect[2]	RoleEffect[3]	BackgroundEffect	BackgroundImg	ContentType	Content
111081302						神威		2		1081001									BgStory.BgStory45	1	在更多感染体跑来袭击我前，我把寻获的最后一部分暗能，汇入体内。
111081303						库洛姆		2		500007									BgStory.BgStory45	1	在神威的报告里，提到暗能可以排斥帕弥什。
111081304						阿西莫夫		2		500004									BgStory.BgStory45	1	我的取样报告也证实了这一点。排斥现象只会发生在神威的机体里，至今我仍然无法解释背后的原理。
111081305						阿西莫夫		2		500004									BgStory.BgStory45	1	理论上，神威成为了空中花园第一个对帕弥什免疫的构造体——前提是能顺利使用暗能形态。
111081306						哈桑		2		500011									BgStory.BgStory45	1	这不是挺了不起的吗，小子！
111081401			203			哈桑		2		500011									BgStory.BgStory45	1	嗯，所以，神威的另一个人格的情况是？
111081402						哈桑		2		500011									BgStory.BgStory45	1	阿西莫夫，我记得你跟我保证过他不会出问题。
111081403						阿西莫夫		2		500004									BgStory.BgStory45	1	嗯……最初不是这样的。
111081404						阿西莫夫		2		500004									BgStory.BgStory45	1	神威最初对卡穆持反感态度，认为对方是自己思维的错误，要求我们替他消除。
111081405						阿西莫夫		2		500004									BgStory.BgStory45	1	我认为他的意志坚定，压制卡穆没有什么问题。
111081406						阿西莫夫		2		500004									BgStory.BgStory45	1	不过帕弥什的感染似乎削弱了他的掌控力。
111081407						阿西莫夫		2		500004									BgStory.BgStory45	1	当时我的团队竭尽所能，才确保神威能占据主动支配权。
111081408						神威		2		1081001									BgStory.BgStory45	1	但是卡穆对外来感染的防御力要更胜一筹。
111081409						阿西莫夫		2		500004									BgStory.BgStory45	1	说到底，擅自对卡穆进行定位，说不定就是个错误。
111081410						哈桑		2		500011									BgStory.BgStory45	1	哈哈，听到了吗，神威？
111081411						神威		2		1081001									BgStory.BgStory45	1	我，我知道啦！不要再提了……
111082101			203			丽芙		2		1031001									BgStory.BgStory45	1	我们在神威意识海里，我们确实看到卡穆被神威“吸收了”。
111082102						阿西莫夫		2		500004									BgStory.BgStory45	1	在意识海的科技里，许多原本被人类认为是缥缈虚无的概念，比如记忆回路、梦、人格，都会得到具象化。
111082103						阿西莫夫		2		500004									BgStory.BgStory45	1	一场梦，在意识海里可能是一座可以爬的山坡。不过梦到底是山坡，还是洼地，还是取决于意识海主人。
111082104						丽芙		2		1031001									BgStory.BgStory45	1	…………………………
111082105						哈桑		2		500011									BgStory.BgStory45	1	……
111082106						阿西莫夫		2		500004									BgStory.BgStory45	1	我的形容太超出常理了吗？
111082107						库洛姆		2		500007									BgStory.BgStory45	1	阿西莫夫的意思是，吸收只是一个意向。表示神威和卡穆的意识达成了一致。
111082108						神威		2		1081001									BgStory.BgStory45	1	嗯嗯！
111082109						库洛姆		2		500007									BgStory.BgStory45	1	你要是早点完成这个融合灰鸦就不会这么辛苦了。
111082110						神威		2		1081001									BgStory.BgStory45	1	啊哈哈哈哈……
111082111						库洛姆		2		500007									BgStory.BgStory45	1	哎。
111082201			203			哈桑		2		500011									BgStory.BgStory45	1	他们随时会拉我出去开会……所以我最后问一个问题。
111082202						阿西莫夫		2		500004									BgStory.BgStory45	1	你想问暗能究竟是什么。
111082203						哈桑		2		500011									BgStory.BgStory45	1	教授很懂我嘛。
111082204						阿西莫夫		2		500004									BgStory.BgStory45	1	你的提词板有写。
111082205						哈桑		2		500011									BgStory.BgStory45	1	…………………………
111082206						阿西莫夫		2		500004									BgStory.BgStory45	1	目前可公开的情报是，暗能是一种流体状态的能量，
111082207						阿西莫夫		2		500004									BgStory.BgStory45	1	它入侵意识海后，会立即抢夺意识海的主导权。在这一点上，暗能对意识海的影响力比帕弥什强大。
111082208						哈桑		2		500011									BgStory.BgStory45	1	……嗯，可是它究竟是什么东西？怎么会出现在地球上？
111082209						阿西莫夫		2		500004									BgStory.BgStory45	1	我和团队仍在研究。
111082210						哈桑		2		500011									BgStory.BgStory45	1	哈啊！
