Id	CharacterId	UnlockLv	Title	Content	ConditionDescript
25	1051001	1	编号001	\n七实，装甲型。\n空中花园相关档案缺失，无法确认来源。只有她确实是构造体这一点可以肯定。\n虽然体型娇小，但全力挥舞的电锯威力不可忽视。	信赖度1级解锁
26	1051001	2	编号002	\n想法与行动完全无法揣测，拥有超乎想象，强烈的好奇心，是作战中的强大助力，也常常成为危机的引爆点。\n是行事十分随心所欲的构造体。	信赖度2级解锁
27	1051001	3	编号003	\n“七实可是很强的哦。”\n\n拥有骇入任何系统的能力，甚至能与机械体、感染体进行沟通。\n曾与空中花园的执行者部队——地狱犬小队发生过冲突，冲突原因不明，但确实存有七实只身与一支精英队伍对战不落下风的作战记录。	信赖度3级解锁
28	1051001	4	编号004	\n对一切人类有关的事物都抱有浓厚的兴趣。\n不知道是不是因为灰鸦小队的指挥官身为人类的原因，对灰鸦小队的指挥官异常地执著。\n但对其他小队的人类指挥官似乎并不会特别感兴趣。	信赖度4级解锁
29	1051001	5	编号005	\n曾经有名叫“七实”的少女留下过记录其人生的电子日记。\n构造体七实同样拥有着一本电子日记。\n除此之外，关于七实的一切相关记录空白，七实到底是从何而来，经历过什么，至今是个未解之谜。	信赖度5级解锁
30	1051001	6	编号006	\n喜恶分明，行事上随意成性，比起其他构造体，七实平日的行为表现甚至更趋近于人类。\n在情感的表达上直截了当，十分积极，但本身是否真的了解所言说的情感的真实涵义，有待考证。	信赖度6级解锁
31	1061002	1	编号001	\n突击鹰小队成员，装甲型。\n使用大剑的构造体，拥有极高的防御力。不以攻速取胜，攻击力道厚重，十分喜欢冲锋陷阵，常常活跃在战场的第一线。	信赖度1级解锁
32	1061002	2	编号002	\n脸上常常挂着笑容，个性乐观且光明磊落，思考回路非常直接。\n与事事深思熟虑的里不同，想什么说什么的神威经常会与里有言语上的冲突。\n但奇怪的是，神威与里之间的针锋相对的局面，似乎并非关系恶劣的信号。	信赖度2级解锁
33	1061002	3	编号003	\n“这可真是个伤脑筋的问题……归属啊……”\n神威是属于突击鹰小队的一员，但由于任务的原因几乎成为灰鸦小队的常驻人员。\n神威曾难得认真地说，他是突击鹰的队员，但是也可以为了灰鸦而死。	信赖度3级解锁
34	1061002	4	编号004	\n机体是空中花园最新批次，但根据系统记录，神威是最早投入使用的构造体之一。\n关于神威的意识数据资料，是空中花园系统二级加密的档案。\n在系统上检索神威，只有机体性能、战斗特性等相关资料。\n	信赖度4级解锁
35	1061002	5	编号005	\n神威与卡穆的意识海相连，但无从得知神威是否一开始就知晓卡穆的存在。\n而关于卡穆的一切，关于卡穆与神威之间的联系，应该只有等到档案解锁那一天才能真正了解。	信赖度5级解锁
36	1061002	6	编号006	\n神威笑容的背后是否隐藏着什么。\n那些温暖且直接，不着调的言语之下，埋藏着的矛盾与挣扎，一直以来与自我的斗争，忘却的记忆，或许重要的指挥官，可以为他解开。	信赖度6级解锁
37	1071002	1	编号001	\n清理部队外援，进攻型。\n挥舞着沉重的的手炮，精通各种爆炸物和强破坏力的武器。即使被限制了手炮的性能，但她依然有着不亚于任何执行者部队精英构造体的战斗力。	信赖度1级解锁
38	1071002	2	编号002	\n曾经惨败在露西亚手下，对露西亚有着强烈的竞争心，瞄准任何机会想与露西亚一决高下，但总是因各种原因被露西亚避过。	信赖度2级解锁
39	1071002	3	编号003	\n作为比安卡所在的清理部队的固定支援者，经常与她一起搭档行动。\n一同参与了神威的追捕行动。	信赖度3级解锁
40	1071002	4	编号004	\n卡列尼娜莽撞暴烈的个性，对胜利的执着，常常引起不必要的冲突。\n实际上极其容易被安抚与转移注意。\n比安卡基本掌握了熄灭卡列尼娜怒火的诀窍。	信赖度4级解锁
41	1071002	5	编号005	\n意识来源在城下贫民区生活，备受欺凌的孤儿。\n是由从城上区来到贫民区的“疯子爷爷”抚养与照顾长大的。\n爷爷在城上区的生活与爷爷的死亡，似乎隐藏着秘密。\n帕弥什病毒爆发时，卡列尼娜奇迹般地生还，被营救后接受了构造体改造。	信赖度5级解锁
42	1071002	6	编号006	\n尽管说着讨厌露西亚和灰鸦小队，但在看着他们陷入困境时，却不会袖手旁观的卡列尼娜。\n从嘴里冒出的讨厌言语，正是证明了她有多么重视这群难得的好友。	信赖度6级解锁
43	1081002	1	编号001	\n遗忘者领袖，进攻型。\n使用双刀，掌握高超的战斗技巧，高速且隐蔽的步法，使得渡边能够悄无声息地接近敌人，击杀敌人。\n	信赖度1级解锁
44	1081002	2	编号002	\n深受遗忘者众信任与爱戴。\n遗忘者阵营据点地，渡边将其命名为“绿洲”。\n视遗忘者所有成员为同伴与家人，以自身行动捍卫着地球上遗忘者的一方家园。	信赖度2级解锁
45	1081002	3	编号003	\n原是隶属空中花园的构造体，是执行者部队的精英。\n由于与空中花园高层的部分理念产生冲突，自行暴力拆除了代表空中花园的逆元装置，仅使用简单的病毒防护技术，只身前往地球。\n集合被遗留在地球上的人类以及构造体，建立了遗忘者。	信赖度3级解锁
46	1081002	4	编号004	\n“我想要的世界，是平等和平的。”\n\n对空中花园的部分决策抱有意见，体会到被遗留在地面上的人类与构造体生活后，这份成见越发深了。\n直至遇到灰鸦小队，他对空中花园才有了一定程度的改观。	信赖度4级解锁
47	1081002	5	编号005	\n意识来源为地面预备军成员，在帕弥什爆发之时，与尚为人类的比安卡有一面之缘。\n在拯救遗留在雪原的民众时，对似乎尚存理智的感染体神父，心存犹疑。\n是造成比安卡亲手射杀重要之人众多不得已原因之一。	信赖度5级解锁
48	1081002	6	编号006	\n相较于人类时期，构造体时期的渡边更加成熟，也更加坚定。\n拥有斩断一切的果敢与决绝，也继承了守护的意志。\n他将带领着遗忘者，坚定地走向所追求的未来。	信赖度6级解锁
49	1021002	1	编号001	\n为了营救神威，向空中花园申请调配的全新机体。\n灰鸦小队将在焕然一新的队长带领下，一往直前。	信赖度1级解锁
50	1021002	2	编号002	\n相对红莲机体，新的机体减轻了10%的机身重量，提升了爆发力，并追加了便捷的武器收纳方式。	信赖度2级解锁
51	1021002	3	编号003	\n随身携带两个压缩电容装置，可以在露西亚攻击时提供辅助的电能攻击，并灵活利用大气中的电粒子。	信赖度3级解锁
52	1021002	4	编号004	\n可以制造给全员提供能量供应的电场。	信赖度4级解锁
53	1021002	5	编号005	\n逐渐感觉到自己对指挥官有超越上司和下属关系的依赖，却难以对此开口询问。	信赖度5级解锁
54	1021002	6	编号006	\n“我适合双马尾吗？”\n更换机体的露西亚，对自己的发型耿耿于怀。\n她所缺少并渴求的，恐怕只是指挥官的一句认可。	信赖度6级解锁
55	1031002	1	编号001	\n在入编灰鸦小队之前，丽芙曾是清庭白鹭小队的成员，新机体原本是由之前的指挥官所定制的。	信赖度1级解锁
56	1031002	2	编号002	\n丽芙的长发是由自己斩断的，为了表明告别过去的自己的决心，是要以灰鸦小队丽芙的崭新身姿出现在大家面前的宣告。	信赖度2级解锁
57	1031002	3	编号003	\n更换新机体后，改变的并不是丽芙的性格，而是丽芙的心态。	信赖度3级解锁
58	1031002	4	编号004	\n为了让自己更能派上用场，开始了对自己和指挥官都更加严格的特训。\n但是过分一丝不苟的行为与态度却似乎给指挥官带来了困扰。	信赖度4级解锁
59	1031002	5	编号005	\n想要更加努力，想要成为对指挥官更有帮助的存在，想要一直留在灰鸦小队，留在灰鸦小队指挥官身边。这样的心情，在更换新机体后，变得越发强烈。	信赖度5级解锁
60	1031002	6	编号006	\n一直硬撑直至倒下那一刻，是指挥官让她明白，她并不需要自己一个人背负一切。\n指挥官和队友一直都在她身边。	信赖度6级解锁
61	1071003	1	编号001	\n通过灰鸦小队指挥官的权限，申请获得的新机体。更换了卡列尼娜的外观，并解放了手炮隐藏的攻击模式。	信赖度1级解锁
62	1071003	2	编号002	\n从炮口可持续发出高热光波，作为刀刃使用拥有斩断一切的能力。	信赖度2级解锁
63	1071003	3	编号003	\n机体采用最新新型的光反射材质，内置光能接收器，可以非常方便充能，炮筒也升级为高速浮游炮。	信赖度3级解锁
64	1071003	4	编号004	\n虽然卡列尼娜并不承认，但她对新机体的外观其实十分满意。	信赖度4级解锁
65	1071003	5	编号005	\n曾协助灰鸦小队建设地面基地。\n过程中发挥了很大的作用，虽然嘴上不停地抱怨，但大家都看得出她其实乐在其中。	信赖度5级解锁
66	1071003	6	编号006	\n升级新机体后，越加争强好胜。对露西亚的执着一刻都没有放下，在此之上，甚至增加了对指挥官的独占欲。	信赖度6级解锁
67	1031003	1	编号001	\n结合丽芙记忆和遗迹数据复现所制造的全新机体，纯白犹如圣女的装束吸引了众多的目光。	信赖度1级解锁
68	1031003	2	编号002	\n足部机体使用了特殊的悬浮机体，配合后背的喷射装置，令丽芙可以灵活地使用游击战术。	信赖度2级解锁
69	1031003	3	编号003	\n两发浮游炮的火力都得到加强。在特殊模式下可以进行自我复制，给敌人造成双倍的攻击。	信赖度3级解锁
70	1031003	4	编号004	\n从裙摆散播的纳米粒子会自动修复队友受到的损伤。	信赖度4级解锁
71	1031003	5	编号005	\n因为太受瞩目，丽芙一度不愿意长时间以新机体出现在大家的眼前。	信赖度5级解锁
72	1031003	6	编号006	\n与灰鸦小队、指挥官一起执行教堂任务时，末日中的婚礼事情，使丽芙放下了心结，再也不掩饰对新机体的喜爱，并向指挥官诉说了真正的心声。	信赖度6级解锁
73	1061003	1	编号001	\n因暗能而改变的机体。\n厚重的外部装甲除了能提供可靠的防御，更为了压制体内危险的力量。	信赖度1级解锁
74	1061003	2	编号002	\n能自由切换重能和暗能两个状态，变化不同的攻击模式。	信赖度2级解锁
75	1061003	3	编号003	\n应用暗能可使出威力更大的攻击，但身体并不能长时间承受能量带来的反噬伤害。	信赖度3级解锁
76	1061003	4	编号004	\n与暗能融合的力量，一直在默默强化并改变着神威自身。	信赖度4级解锁
77	1061003	5	编号005	\n关于卡穆的存在，真实的神威，神威的意识来源，神威身上谜团尚未全部揭开。	信赖度5级解锁
78	1061003	6	编号006	\n偶尔，会和卡穆一起讨论指挥官到底在他身上看到了谁这样的话题。	信赖度6级解锁
79	1011003	1	编号001	\n为了更为高效地利用里的运算能力专门设计的机体，与神威的机体是同一生产批次。	信赖度1级解锁
80	1011003	2	编号002	\n感知模块升级，使得里可以自由地控制射击弹道，进行更为精准的射击。	信赖度2级解锁
81	1011003	3	编号003	\n新增了锚点定位功能，结合里的精密运算能力，可以对敌人进行高速识别，标记及追踪。	信赖度3级解锁
82	1011003	4	编号004	\n新机体着重强化了里的运算模块功率，运算模块更为高效，使得里可以微秒内进行最为复杂的数据演算与验证。	信赖度4级解锁
83	1011003	5	编号005	\n里在维修、组装方面的兴趣才能得到更大程度的发挥，曾成功改造过构造机体。	信赖度5级解锁
84	1011003	6	编号006	\n为指挥官制造过小型机器人，充当闹钟，并不断更新迭代中。	信赖度6级解锁
85	1051003	1	编号001	\n七实自行设计的机动性能强化型机体。\n质量进一步减轻，并加装了IR-005高速推进轮，在速度上几乎无可超越。	信赖度1级解锁
86	1051003	2	编号002	\n灵感来源于七实在资料库中意外检索到人类文化中滑轮比赛影像。\n人类轮滑选手轻盈的身姿吸引了七实。	信赖度2级解锁
87	1051003	3	编号003	\n七实以脉冲机体在战场上驰骋的身姿，也牢牢吸引着大家的目光。	信赖度3级解锁
88	1051003	4	编号004	\n新机体强化了机械臂的灵活性与抓力，最高功率的效用引擎，前所未见的推进轮设计，脉冲机体的性能远超一般机体。	信赖度4级解锁
89	1051003	5	编号005	\n在腿部设计了非嵌入式插槽，是为了随身携带重要的电子日记本。	信赖度5级解锁
90	1051003	6	编号006	\n以重要开头的电子日记记录中，指挥官的名字的编号是第一个。	信赖度6级解锁
91	1021003	1	编号001	\n只会参与比较重要的行动。\n平日里经常脱离其他升格者成员独自行动。	信赖度1级解锁
92	1021003	2	编号002	\n目前的实力仅仅只是被帕弥什病毒小幅强化后的结果。	信赖度2级解锁
93	1021003	3	编号003	\n对太弱的对手或者多余的杀戮没有兴趣。\n杂活或者打扫战场的工作经常交给罗兰或加百列执行。	信赖度3级解锁
94	1021003	4	编号004	\n腰后的刀鞘在特殊情况下可以起攻击或支撑作用。\n并且可以根据刀的形状进行尺寸调整。	信赖度4级解锁
95	1021003	5	编号005	\n一直在观察灰鸦小队的现任指挥官。\n对待灰鸦小队的露西亚，主张已经发生了变化。	信赖度5级解锁
96	1021003	6	编号006	\n重逢后的姐妹之间，时常流动着一丝尴尬的气氛。\n现在的露娜已经并不能完全了解姐姐的想法。	信赖度6级解锁
