Name	Type
DoMulIntEx	2|2|2
DoNegativeInt	2|2
DoQueryBall	2|2|2|2|2
DoRandom	2|2|2
DoRemoveBall	2|2|2|2
DoRemoveBalls	2|2
DoRemoveFightTarget	2
DoRemoveFocusTarget	2
DoRemoveNote	2
DoReturnTrue	
DoSearchNpc	2|2|2|4|2|2|2
DoSetBallWeight	2|2|2
DoSetFightResultState	2
DoSetFightTarget	2|2
DoSetFocusTarget	2|2
DoSetInt	2|2
DoSetIntByNoteKey	2|2|2
DoSetFix	2|4
DoSetNpcId	2|2
DoSetMissileId	2|2
DoSetMagicId	2|2
DoSetGuideId	2|2
DoPreloadFightGuide	2|2
DoSetPosition	2|4|4|4|4|1
DoShowFightGuide	2
DoShowFightGuideEx	2
DoGetStar	2|2
DoStopMove	2
DoUseWalk	2|1
DoUseWalkEx	2|2
DoSwitch	2|2
DoActiveExSkill	2
DoSetCustomEnergyBarActive	2|1
DoSetShieldOperation	1
DoGetAllPlayerDeath	
DoSetAreaToObstacle	0|1
DoShowSceneEffect	0|1
DoAddMissile	2|2|4|4|4|4|2|2
DoAddMissileEx	2|2|4|4|4|4|2|2
DoRandomInCircle	2|2|2|2|4|4
DoGetThreatNpcByOrder	2|2|2
DoGetMaxThreatNpc	2|2
DoTransferThreat	2|2
DoNpcExit	2
DoNpcJoin	2|2|2|2|2|2
DoCalcNpcCount	4|4|2|2|2|4|2|2
DoCalcNpcCountEx	4|4|2|2|2|4|2|2
DoGetNpcClickKey	2
DoActiveQte	2
DoIndicateRoleToNpc	2|2|0|1
DoIndicateRoleToLocation	2|0|0|1
DoIndicateNpcToNpc	2|2|0|1
DoIndicateNpcToLocation	2|0|0|1
DoSetMoveDirection	2|2
DoAddNpcByNote	2|2|4|4|4|4|2|2|2
DoAddNpcByNoteEx	2|2|4|4|4|4|2|2|2
DoGetNpcLevel	2|2
DoTipsShow	2|2
DoTipsClose	2
DoShowFightUi	1
DoSetLowSaturation	2|1|1
DoSearchNpcEx	2|2|2|2|4|2|2|2|2|2
DoSetUiButtonState	2|2|2
DoShowCountDown	2
DoSetDodgeState	2
DoShowDynamicHpWidget	2|1|1
DoGetRange	2|2|2|2|2
DoGetRangeSquare	2|2|2|2|2
DoSetCameraAllowPlayCameraTrack	1
DoAbortBeHit	2
DoGetBehaviorOriginNpc	2
DoRemoveCurrentBehavior	
DoSetTurnDirection	2|2
DoSetFightTime	2
DoSetFightLeftTime	2
DoGetFightMonsterLevel	2|2
DoRemoveBuffByKind	2|2|2
DoGetObstacleDistance	2|2|4
DoGetObstacleDistanceEx	2|4|4|4|4
DoCopyNoteByNpcNote	2|2|2
DoSettleFight	
DoShowSummary	
DoReboot	2
DoShowSingleReboot	
DoSetUiActive	2|2|1
DoShowRescueingTip	2|1
DoShowWaitingRescueTip	2|1|4
DoShowWaitingRescue	2|1
DoGetOnlineRebootConfig	2|4|4|4
CheckLevelAutoReboot	
DoSetNpcNote	2|2|2
CheckNpcSkill	2|2
DoGetCureBehaviorContext	2|2|2|2
DoSetSOSActive	2|1
DoSetWatchTarget	2|2
DoStartFightTime	
CheckNormalEvent	2
DoTriggerEvent	2
DoGetSummonNpcArgs	2|2|2|2|2|2|2
DoControlNpc	2|2
DoSetNpcCamp	2|2
CheckNpcCamp	2|2
DoGetCheatOperation	2|2
DoSetSceneAnimatorEnabled	0|1
DoLoadCameraConfig	2|1|2
DoGetFightControlData	2|2|2|2|2|2
DoGetNpcRadius	2|2
DoPlayUiEffect	2|2|2|0
DoRemoveUiEffect	2|2
DoMagicWithAllNpc	2|2|2|2|1|1
DoSetSPValue	2|2
DoSetSPActive	2|1
DoGetSkillLevel	2|2|2
DoSetSkillLevel	2|2|2
DoCopyAttrib	2|2|2
DoGetLevelTime	2
DoSetCameraInputEnable	1
DoSetCameraEnable	1
DoSetCameraOrthographic	1
DoActivateVCam	0|3|3|2|3|3|3|3|3|3|2|2
DoDeactivateVCam	0
DoOpenButtonSettings	
DoFixPlus	4|4|4
DoFixMinus	4|4|4
DoFixMul	4|4|4
DoFixDiv	4|4|4
DoFixMod	4|4|4
DoFixSin	4|4
DoFixCos	4|4
DoFixCompareFix	4|4|1
DoVectorPlus	4|4|4|4|4|4
DoVectorMinus	4|4|4|4|4|4
DoVectorMul	4|4|4|4|4
DoVectorDiv	4|4|4|4|4
DoVectorDot	4|4|4|4|4
DoVectorCross	4|4|4|4|4
DoVectorNormalize	4|4|4|4
DoVectorRotate	4|4|4|4|4
GetVectorSqrMagnitude	4|4|4
GetVectorMagnitude	4|4|4
DoSetSceneObjectAnimatorEnabled	2|2|1
DoPlaySceneObjectAnimation	2|2
DoSetIntToIntRecord	2|2
DoSetStringToIntRecord	0|2
DoShowTopHp	2
DoRecordRebootByPay	
