Id	StageId	Name	Desc	SmallRoleIcon	RoleIcon	StageIcon	EnterAnimation[1]	EnterAnimation[2]	EnterAnimation[3]	DifficultLevel	TextColor	DifficultLevelIcon	DifficultLevelIconX	RewardId	RandomWeightList[0]	RandomWeightList[1]	RandomWeightList[2]	RandomWeightList[3]
15	30060903	危险度S信使	检测到高浓度帕弥什反应，请前往指定区域调查。	Assets/Product/Texture/Image/Role/RoleHeadMoney03.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead03.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	3	<color=#ffaa50>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3x.png	40014	413	165	275	275
16	30061201	危险度B武藏陆型	游荡的武藏陆型会成为作战的隐患，请及时击败它。	Assets/Product/Texture/Image/Role/RoleHeadMoney06.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead06.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	1	<color=#60c1ff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality1.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality1x.png	40015	503	503	503	503
17	30061202	危险度A武藏陆型	游荡的武藏陆型会成为作战的隐患，请及时击败它。	Assets/Product/Texture/Image/Role/RoleHeadMoney06.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead06.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	2	<color=#a16dff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2x.png	40016	335	268	268	268
18	30061203	危险度S武藏陆型	游荡的武藏陆型会成为作战的隐患，请及时击败它。	Assets/Product/Texture/Image/Role/RoleHeadMoney06.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead06.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	3	<color=#ffaa50>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3x.png	40017	413	165	275	275
19	30061301	危险度B酸液工蚁	酸液工蚁的出现严重影响了工程部队的进度，请击败它。	Assets/Product/Texture/Image/Role/RoleHeadMoney08.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead08.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	1	<color=#60c1ff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality1.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality1x.png	40018	503	503	503	503
20	30061302	危险度A酸液工蚁	酸液工蚁的出现严重影响了工程部队的进度，请击败它。	Assets/Product/Texture/Image/Role/RoleHeadMoney08.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead08.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	2	<color=#a16dff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2x.png	40019	335	268	268	268
21	30061303	危险度S酸液工蚁	酸液工蚁的出现严重影响了工程部队的进度，请击败它。	Assets/Product/Texture/Image/Role/RoleHeadMoney08.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead08.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	3	<color=#ffaa50>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3x.png	40020	413	165	275	275
22	30060502	危险度A自律警卫	大量感染体出现,利用自律警卫击败他们。	Assets/Product/Texture/Image/Role/RoleHeadMoney13.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead13.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	2	<color=#a16dff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2x.png	40021	335	268	268	268
23	30060503	危险度S自律警卫	大量感染体出现,利用自律警卫击败他们。	Assets/Product/Texture/Image/Role/RoleHeadMoney13.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead13.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	3	<color=#ffaa50>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3x.png	40022	413	165	275	275
24	30060801	危险度B布道者	布道者聚集了一定规模的感染体集团，请击败他们。	Assets/Product/Texture/Image/Role/RoleHeadMoney16.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead16.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	1	<color=#60c1ff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality1.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality1x.png	40023	503	503	503	503
25	30060802	危险度A布道者	布道者聚集了一定规模的感染体集团，请击败他们。	Assets/Product/Texture/Image/Role/RoleHeadMoney16.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead16.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	2	<color=#a16dff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2x.png	40024	335	268	268	268
26	30060803	危险度S布道者	布道者聚集了一定规模的感染体集团，请击败他们。	Assets/Product/Texture/Image/Role/RoleHeadMoney16.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead16.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	3	<color=#ffaa50>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3x.png	40025	413	165	275	275
27	30061001	危险度B仿生斗牛	机械感染体因不明原因聚集在一起,请查明他们的目的。	Assets/Product/Texture/Image/Role/RoleHeadMoney15.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead15.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	1	<color=#60c1ff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality1.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality1x.png	40026	503	503	503	503
28	30061002	危险度A仿生斗牛	机械感染体因不明原因聚集在一起,请查明他们的目的。	Assets/Product/Texture/Image/Role/RoleHeadMoney15.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead15.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	2	<color=#a16dff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2x.png	40027	335	268	268	268
29	30061003	危险度S仿生斗牛	机械感染体因不明原因聚集在一起,请查明他们的目的。	Assets/Product/Texture/Image/Role/RoleHeadMoney15.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead15.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	3	<color=#ffaa50>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3x.png	40028	413	165	275	275
30	30060701	危险度B分解者	目标区域出现大量分解者，请击败他们。	Assets/Product/Texture/Image/Role/RoleHeadMoney14.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead14.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	1	<color=#60c1ff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality1.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality1x.png	40029	503	503	503	503
31	30060702	危险度A分解者	目标区域出现大量分解者，请击败他们。	Assets/Product/Texture/Image/Role/RoleHeadMoney14.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead14.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	2	<color=#a16dff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2x.png	40030	335	268	268	268
32	30060703	危险度S分解者	目标区域出现大量分解者，请击败他们。	Assets/Product/Texture/Image/Role/RoleHeadMoney14.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead14.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	3	<color=#ffaa50>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3x.png	40031	413	165	275	275
