Id	Type	Name	Description	Part	Star	Level	Quality	Priority	BigSuccessProbability	BigSuccessBottomId	PoolId[1]	PoolId[2]	BigSuccessPoolId[1]	BigSuccessPoolId[2]	RecoveryRewardId	NotEvaluatedDesc[1]	NotEvaluatedDesc[2]	Icon	BigIcon
7010001	1	45级高速进攻散热A	基地装备，高级的A型构造体强化风扇，能够提升所有【进攻】类构造体：生命+？？？      会心+？？？	2	1	45	4		1500	20	2	2	3	3	700001	攻击+？？？	防御+？？？		
7010002	1	45级极速进攻散热A	基地装备，特制的A型构造体强化风扇，能够提升所有【进攻】类构造体：生命+？？？      会心+？？？	2	1	45	5		1500	20	1	1	2	2	700002	攻击+？？？	防御+？？？		
7010003	1	55级低速进攻散热B	基地装备，简单的B型构造体强化风扇，能够提升所有【进攻】类构造体：生命+？？？      会心+？？？	2	2	55	3		1500	20	2	2	3	3	700003	攻击+？？？	防御+？？？		
7010004	1	55级高速进攻散热B	基地装备，高级的B型构造体强化风扇，能够提升所有【进攻】类构造体：生命+？？？      会心+？？？	2	2	55	4		1500	20	1	1	2	2	700004	攻击+？？？	防御+？？？		
7010005	1	55级极速进攻散热B	基地装备，特制的B型构造体强化风扇，能够提升所有【进攻】类构造体：生命+？？？      会心+？？？	2	2	55	5		1500	20	2	2	3	3	700005	攻击+？？？	防御+？？？		
7010006	1	65级低速进攻散热C	基地装备，简单的C型构造体强化风扇，能够提升所有【进攻】类构造体：生命+？？？      会心+？？？	2	3	65	3		1500	20	1	1	2	2	700006	攻击+？？？	防御+？？？		
7010007	1	65级高速进攻散热C	基地装备，高级的C型构造体强化风扇，能够提升所有【进攻】类构造体：生命+？？？      会心+？？？	2	3	65	4		1500	20	2	2	3	3	700007	攻击+？？？	防御+？？？		
7010008	1	65级极速进攻散热C	基地装备，特制的C型构造体强化风扇，能够提升所有【进攻】类构造体：生命+？？？      会心+？？？	2	3	65	5		1500	20	1	1	2	2	700008	攻击+？？？	防御+？？？		
7010009	1	75级低速进攻散热D	基地装备，简单的D型构造体强化风扇，能够提升所有【进攻】类构造体：生命+？？？      会心+？？？	2	4	75	3		1500	20	2	2	3	3	700009	攻击+？？？	防御+？？？		
7010010	1	75级高速进攻散热D	基地装备，高级的D型构造体强化风扇，能够提升所有【进攻】类构造体：生命+？？？      会心+？？？	2	4	75	4		1500	20	1	1	2	2	700010	攻击+？？？	防御+？？？		
7010011	1	75级极速进攻散热D	基地装备，特制的D型构造体强化风扇，能够提升所有【进攻】类构造体：生命+？？？      会心+？？？	2	4	75	5		1500	20	2	2	3	3	700011	攻击+？？？	防御+？？？		
7010012	1	85级低速进攻散热E	基地装备，简单的E型构造体强化风扇，能够提升所有【进攻】类构造体：生命+？？？      会心+？？？	2	5	85	3		1500	20	1	1	2	2	700012	攻击+？？？	防御+？？？		
7010013	1	85级高速进攻散热E	基地装备，高级的E型构造体强化风扇，能够提升所有【进攻】类构造体：生命+？？？      会心+？？？	2	5	85	4		1500	20	2	2	3	3	700013	攻击+？？？	防御+？？？		
7010014	1	85级极速进攻散热E	基地装备，特制的E型构造体强化风扇，能够提升所有【进攻】类构造体：生命+？？？      会心+？？？	2	5	85	5		1500	20	1	1	2	2	700014	攻击+？？？	防御+？？？		
7010015	1	95级低速进攻散热F	基地装备，简单的F型构造体强化风扇，能够提升所有【进攻】类构造体：生命+？？？      会心+？？？	2	6	95	3		1500	20	2	2	3	3	700015	攻击+？？？	防御+？？？		
7010016	1	95级高速进攻散热F	基地装备，高级的F型构造体强化风扇，能够提升所有【进攻】类构造体：生命+？？？      会心+？？？	2	6	95	4		1500	20	1	1	2	2	700016	攻击+？？？	防御+？？？		
7010017	1	95级极速进攻散热F	基地装备，特制的F型构造体强化风扇，能够提升所有【进攻】类构造体：生命+？？？      会心+？？？	2	6	95	5		1500	20	2	2	3	3	700017	攻击+？？？	防御+？？？		
7020000	2	50级低频装甲超算A	基地装备，简单的A型构造体强化处理器，能够提升所有【装甲】类构造体：攻击+？？？      防御+？？？	3	1	50	3		1500	20	1	1	2	2	700000	攻击+？？？	防御+？？？		
7020001	2	50级高频装甲超算A	基地装备，高级的A型构造体强化处理器，能够提升所有【装甲】类构造体：攻击+？？？      防御+？？？	3	1	50	4		1500	20	2	2	3	3	700001	攻击+？？？	防御+？？？		
7020002	2	50级超频装甲超算A	基地装备，特制的A型构造体强化处理器，能够提升所有【装甲】类构造体：攻击+？？？      防御+？？？	3	1	50	5		1500	20	1	1	2	2	700002	攻击+？？？	防御+？？？		
7020003	2	60级低频装甲超算B	基地装备，简单的B型构造体强化处理器，能够提升所有【装甲】类构造体：攻击+？？？      防御+？？？	3	2	60	3		1500	20	2	2	3	3	700003	攻击+？？？	防御+？？？		
7020004	2	60级高频装甲超算B	基地装备，高级的B型构造体强化处理器，能够提升所有【装甲】类构造体：攻击+？？？      防御+？？？	3	2	60	4		1500	20	1	1	2	2	700004	攻击+？？？	防御+？？？		
7020005	2	60级超频装甲超算B	基地装备，特制的B型构造体强化处理器，能够提升所有【装甲】类构造体：攻击+？？？      防御+？？？	3	2	60	5		1500	20	2	2	3	3	700005	攻击+？？？	防御+？？？		
7020006	2	70级低频装甲超算C	基地装备，简单的C型构造体强化处理器，能够提升所有【装甲】类构造体：攻击+？？？      防御+？？？	3	3	70	3		1500	20	1	1	2	2	700006	攻击+？？？	防御+？？？		
7020007	2	70级高频装甲超算C	基地装备，高级的C型构造体强化处理器，能够提升所有【装甲】类构造体：攻击+？？？      防御+？？？	3	3	70	4		1500	20	2	2	3	3	700007	攻击+？？？	防御+？？？		
7020008	2	70级超频装甲超算C	基地装备，特制的C型构造体强化处理器，能够提升所有【装甲】类构造体：攻击+？？？      防御+？？？	3	3	70	5		1500	20	1	1	2	2	700008	攻击+？？？	防御+？？？		
7020009	2	80级低频装甲超算D	基地装备，简单的D型构造体强化处理器，能够提升所有【装甲】类构造体：攻击+？？？      防御+？？？	3	4	80	3		1500	20	2	2	3	3	700009	攻击+？？？	防御+？？？		
7020010	2	80级高频装甲超算D	基地装备，高级的D型构造体强化处理器，能够提升所有【装甲】类构造体：攻击+？？？      防御+？？？	3	4	80	4		1500	20	1	1	2	2	700010	攻击+？？？	防御+？？？		
7020011	2	80级超频装甲超算D	基地装备，特制的D型构造体强化处理器，能够提升所有【装甲】类构造体：攻击+？？？      防御+？？？	3	4	80	5		1500	20	2	2	3	3	700011	攻击+？？？	防御+？？？		
7020012	2	90级低频装甲超算E	基地装备，简单的E型构造体强化处理器，能够提升所有【装甲】类构造体：攻击+？？？      防御+？？？	3	5	90	3		1500	20	1	1	2	2	700012	攻击+？？？	防御+？？？		
7020013	2	90级高频装甲超算E	基地装备，高级的E型构造体强化处理器，能够提升所有【装甲】类构造体：攻击+？？？      防御+？？？	3	5	90	4		1500	20	2	2	3	3	700013	攻击+？？？	防御+？？？		
7020014	2	90级超频装甲超算E	基地装备，特制的E型构造体强化处理器，能够提升所有【装甲】类构造体：攻击+？？？      防御+？？？	3	5	90	5		1500	20	1	1	2	2	700014	攻击+？？？	防御+？？？		
7020015	2	100级低频装甲超算F	基地装备，简单的F型构造体强化处理器，能够提升所有【装甲】类构造体：攻击+？？？      防御+？？？	3	6	100	3		1500	20	2	2	3	3	700015	攻击+？？？	防御+？？？		
7020016	2	100级高频装甲超算F	基地装备，高级的F型构造体强化处理器，能够提升所有【装甲】类构造体：攻击+？？？      防御+？？？	3	6	100	4		1500	20	1	1	2	2	700016	攻击+？？？	防御+？？？		
7020017	2	100级超频装甲超算F	基地装备，特制的F型构造体强化处理器，能够提升所有【装甲】类构造体：攻击+？？？      防御+？？？	3	6	100	5		1500	20	2	2	3	3	700017	攻击+？？？	防御+？？？		
7030000	2	45级低载装甲供能A	基地装备，简单的A型构造体强化电源，能够提升所有【装甲】类构造体：生命+？？？      会心+？？？	4	1	45	3		1500	20	1	1	2	2	700000	攻击+？？？	防御+？？？		
7030001	2	45级高载装甲供能A	基地装备，高级的A型构造体强化电源，能够提升所有【装甲】类构造体：生命+？？？      会心+？？？	4	1	45	4		1500	20	2	2	3	3	700001	攻击+？？？	防御+？？？		
7030002	2	45级超载装甲供能A	基地装备，特制的A型构造体强化电源，能够提升所有【装甲】类构造体：生命+？？？      会心+？？？	4	1	45	5		1500	20	1	1	2	2	700002	攻击+？？？	防御+？？？		
7030003	2	55级低载装甲供能B	基地装备，简单的B型构造体强化电源，能够提升所有【装甲】类构造体：生命+？？？      会心+？？？	4	2	55	3		1500	20	2	2	3	3	700003	攻击+？？？	防御+？？？		
7030004	2	55级高载装甲供能B	基地装备，高级的B型构造体强化电源，能够提升所有【装甲】类构造体：生命+？？？      会心+？？？	4	2	55	4		1500	20	1	1	2	2	700004	攻击+？？？	防御+？？？		
7030005	2	55级超载装甲供能B	基地装备，特制的B型构造体强化电源，能够提升所有【装甲】类构造体：生命+？？？      会心+？？？	4	2	55	5		1500	20	2	2	3	3	700005	攻击+？？？	防御+？？？		
7030006	2	65级低载装甲供能C	基地装备，简单的C型构造体强化电源，能够提升所有【装甲】类构造体：生命+？？？      会心+？？？	4	3	65	3		1500	20	1	1	2	2	700006	攻击+？？？	防御+？？？		
7030007	2	65级高载装甲供能C	基地装备，高级的C型构造体强化电源，能够提升所有【装甲】类构造体：生命+？？？      会心+？？？	4	3	65	4		1500	20	2	2	3	3	700007	攻击+？？？	防御+？？？		
7030008	2	65级超载装甲供能C	基地装备，特制的C型构造体强化电源，能够提升所有【装甲】类构造体：生命+？？？      会心+？？？	4	3	65	5		1500	20	1	1	2	2	700008	攻击+？？？	防御+？？？		
7030009	2	75级低载装甲供能D	基地装备，简单的D型构造体强化电源，能够提升所有【装甲】类构造体：生命+？？？      会心+？？？	4	4	75	3		1500	20	2	2	3	3	700009	攻击+？？？	防御+？？？		
7030010	2	75级高载装甲供能D	基地装备，高级的D型构造体强化电源，能够提升所有【装甲】类构造体：生命+？？？      会心+？？？	4	4	75	4		1500	20	1	1	2	2	700010	攻击+？？？	防御+？？？		
7030011	2	75级超载装甲供能D	基地装备，特制的D型构造体强化电源，能够提升所有【装甲】类构造体：生命+？？？      会心+？？？	4	4	75	5		1500	20	2	2	3	3	700011	攻击+？？？	防御+？？？		
7030012	2	85级低载装甲供能E	基地装备，简单的E型构造体强化电源，能够提升所有【装甲】类构造体：生命+？？？      会心+？？？	4	5	85	3		1500	20	1	1	2	2	700012	攻击+？？？	防御+？？？		
7030013	2	85级高载装甲供能E	基地装备，高级的E型构造体强化电源，能够提升所有【装甲】类构造体：生命+？？？      会心+？？？	4	5	85	4		1500	20	2	2	3	3	700013	攻击+？？？	防御+？？？		
7030014	2	85级超载装甲供能E	基地装备，特制的E型构造体强化电源，能够提升所有【装甲】类构造体：生命+？？？      会心+？？？	4	5	85	5		1500	20	1	1	2	2	700014	攻击+？？？	防御+？？？		
7030015	2	95级低载装甲供能F	基地装备，简单的F型构造体强化电源，能够提升所有【装甲】类构造体：生命+？？？      会心+？？？	4	6	95	3		1500	20	2	2	3	3	700015	攻击+？？？	防御+？？？		
7030016	2	95级高载装甲供能F	基地装备，高级的F型构造体强化电源，能够提升所有【装甲】类构造体：生命+？？？      会心+？？？	4	6	95	4		1500	20	1	1	2	2	700016	攻击+？？？	防御+？？？		
7030017	2	95级超载装甲供能F	基地装备，特制的F型构造体强化电源，能够提升所有【装甲】类构造体：生命+？？？      会心+？？？	4	6	95	5		1500	20	2	2	3	3	700017	攻击+？？？	防御+？？？		
7040000	3	50级初阶辅助基板A	基地装备，简单的A型构造体强化底板，能够提升所有【辅助】类构造体：攻击+？？？      防御+？？？	5	1	50	3		1500	20	1	1	2	2	700000	攻击+？？？	防御+？？？		
7040001	3	50级组合辅助基板A	基地装备，高级的A型构造体强化底板，能够提升所有【辅助】类构造体：攻击+？？？      防御+？？？	5	1	50	4		1500	20	2	2	3	3	700001	攻击+？？？	防御+？？？		
7040002	3	50级多元化辅助基板A	基地装备，特制的A型构造体强化底板，能够提升所有【辅助】类构造体：攻击+？？？      防御+？？？	5	1	50	5		1500	20	1	1	2	2	700002	攻击+？？？	防御+？？？		
7040003	3	60级初阶辅助基板B	基地装备，简单的B型构造体强化底板，能够提升所有【辅助】类构造体：攻击+？？？      防御+？？？	5	2	60	3		1500	20	2	2	3	3	700003	攻击+？？？	防御+？？？		
7040004	3	60级组合辅助基板B	基地装备，高级的B型构造体强化底板，能够提升所有【辅助】类构造体：攻击+？？？      防御+？？？	5	2	60	4		1500	20	1	1	2	2	700004	攻击+？？？	防御+？？？		
7040005	3	60级多元化辅助基板B	基地装备，特制的B型构造体强化底板，能够提升所有【辅助】类构造体：攻击+？？？      防御+？？？	5	2	60	5		1500	20	2	2	3	3	700005	攻击+？？？	防御+？？？		
7040006	3	70级初阶辅助基板C	基地装备，简单的C型构造体强化底板，能够提升所有【辅助】类构造体：攻击+？？？      防御+？？？	5	3	70	3		1500	20	1	1	2	2	700006	攻击+？？？	防御+？？？		
7040007	3	70级组合辅助基板C	基地装备，高级的C型构造体强化底板，能够提升所有【辅助】类构造体：攻击+？？？      防御+？？？	5	3	70	4		1500	20	2	2	3	3	700007	攻击+？？？	防御+？？？		
7040008	3	70级多元化辅助基板C	基地装备，特制的C型构造体强化底板，能够提升所有【辅助】类构造体：攻击+？？？      防御+？？？	5	3	70	5		1500	20	1	1	2	2	700008	攻击+？？？	防御+？？？		
7040009	3	80级初阶辅助基板D	基地装备，简单的D型构造体强化底板，能够提升所有【辅助】类构造体：攻击+？？？      防御+？？？	5	4	80	3		1500	20	2	2	3	3	700009	攻击+？？？	防御+？？？		
7040010	3	80级组合辅助基板D	基地装备，高级的D型构造体强化底板，能够提升所有【辅助】类构造体：攻击+？？？      防御+？？？	5	4	80	4		1500	20	1	1	2	2	700010	攻击+？？？	防御+？？？		
7040011	3	80级多元化辅助基板D	基地装备，特制的D型构造体强化底板，能够提升所有【辅助】类构造体：攻击+？？？      防御+？？？	5	4	80	5		1500	20	2	2	3	3	700011	攻击+？？？	防御+？？？		
7040012	3	90级初阶辅助基板E	基地装备，简单的E型构造体强化底板，能够提升所有【辅助】类构造体：攻击+？？？      防御+？？？	5	5	90	3		1500	20	1	1	2	2	700012	攻击+？？？	防御+？？？		
7040013	3	90级组合辅助基板E	基地装备，高级的E型构造体强化底板，能够提升所有【辅助】类构造体：攻击+？？？      防御+？？？	5	5	90	4		1500	20	2	2	3	3	700013	攻击+？？？	防御+？？？		
7040014	3	90级多元化辅助基板E	基地装备，特制的E型构造体强化底板，能够提升所有【辅助】类构造体：攻击+？？？      防御+？？？	5	5	90	5		1500	20	1	1	2	2	700014	攻击+？？？	防御+？？？		
7040015	3	100级初阶辅助基板F	基地装备，简单的F型构造体强化底板，能够提升所有【辅助】类构造体：攻击+？？？      防御+？？？	5	6	100	3		1500	20	2	2	3	3	700015	攻击+？？？	防御+？？？		
7040016	3	100级组合辅助基板F	基地装备，高级的F型构造体强化底板，能够提升所有【辅助】类构造体：攻击+？？？      防御+？？？	5	6	100	4		1500	20	1	1	2	2	700016	攻击+？？？	防御+？？？		
7040017	3	100级多元化辅助基板F	基地装备，特制的F型构造体强化底板，能够提升所有【辅助】类构造体：攻击+？？？      防御+？？？	5	6	100	5		1500	20	2	2	3	3	700017	攻击+？？？	防御+？？？		
7050000	3	45级低性能辅助视算A	基地装备，简单的A型构造体强化显卡，能够提升所有【辅助】类构造体：生命+？？？      会心+？？？	6	1	45	3		1500	20	1	1	2	2	700000	攻击+？？？	防御+？？？		
7050001	3	45级高性能辅助视算A	基地装备，高级的A型构造体强化显卡，能够提升所有【辅助】类构造体：生命+？？？      会心+？？？	6	1	45	4		1500	20	2	2	3	3	700001	攻击+？？？	防御+？？？		
7050002	3	45级超算辅助视算A	基地装备，特制的A型构造体强化显卡，能够提升所有【辅助】类构造体：生命+？？？      会心+？？？	6	1	45	5		1500	20	1	1	2	2	700002	攻击+？？？	防御+？？？		
7050003	3	55级低性能辅助视算B	基地装备，简单的B型构造体强化显卡，能够提升所有【辅助】类构造体：生命+？？？      会心+？？？	6	2	55	3		1500	20	2	2	3	3	700003	攻击+？？？	防御+？？？		
7050004	3	55级高性能辅助视算B	基地装备，高级的B型构造体强化显卡，能够提升所有【辅助】类构造体：生命+？？？      会心+？？？	6	2	55	4		1500	20	1	1	2	2	700004	攻击+？？？	防御+？？？		
7050005	3	55级超算辅助视算B	基地装备，特制的B型构造体强化显卡，能够提升所有【辅助】类构造体：生命+？？？      会心+？？？	6	2	55	5		1500	20	2	2	3	3	700005	攻击+？？？	防御+？？？		
7050006	3	65级低性能辅助视算C	基地装备，简单的C型构造体强化显卡，能够提升所有【辅助】类构造体：生命+？？？      会心+？？？	6	3	65	3		1500	20	1	1	2	2	700006	攻击+？？？	防御+？？？		
7050007	3	65级高性能辅助视算C	基地装备，高级的C型构造体强化显卡，能够提升所有【辅助】类构造体：生命+？？？      会心+？？？	6	3	65	4		1500	20	2	2	3	3	700007	攻击+？？？	防御+？？？		
7050008	3	65级超算辅助视算C	基地装备，特制的C型构造体强化显卡，能够提升所有【辅助】类构造体：生命+？？？      会心+？？？	6	3	65	5		1500	20	1	1	2	2	700008	攻击+？？？	防御+？？？		
7050009	3	75级低性能辅助视算D	基地装备，简单的D型构造体强化显卡，能够提升所有【辅助】类构造体：生命+？？？      会心+？？？	6	4	75	3		1500	20	2	2	3	3	700009	攻击+？？？	防御+？？？		
7050010	3	75级高性能辅助视算D	基地装备，高级的D型构造体强化显卡，能够提升所有【辅助】类构造体：生命+？？？      会心+？？？	6	4	75	4		1500	20	1	1	2	2	700010	攻击+？？？	防御+？？？		
7050011	3	75级超算辅助视算D	基地装备，特制的D型构造体强化显卡，能够提升所有【辅助】类构造体：生命+？？？      会心+？？？	6	4	75	5		1500	20	2	2	3	3	700011	攻击+？？？	防御+？？？		
7050012	3	85级低性能辅助视算E	基地装备，简单的E型构造体强化显卡，能够提升所有【辅助】类构造体：生命+？？？      会心+？？？	6	5	85	3		1500	20	1	1	2	2	700012	攻击+？？？	防御+？？？		
7050013	3	85级高性能辅助视算E	基地装备，高级的E型构造体强化显卡，能够提升所有【辅助】类构造体：生命+？？？      会心+？？？	6	5	85	4		1500	20	2	2	3	3	700013	攻击+？？？	防御+？？？		
7050014	3	85级超算辅助视算E	基地装备，特制的E型构造体强化显卡，能够提升所有【辅助】类构造体：生命+？？？      会心+？？？	6	5	85	5		1500	20	1	1	2	2	700014	攻击+？？？	防御+？？？		
7050015	3	95级低性能辅助视算F	基地装备，简单的F型构造体强化显卡，能够提升所有【辅助】类构造体：生命+？？？      会心+？？？	6	6	95	3		1500	20	2	2	3	3	700015	攻击+？？？	防御+？？？		
7050016	3	95级高性能辅助视算F	基地装备，高级的F型构造体强化显卡，能够提升所有【辅助】类构造体：生命+？？？      会心+？？？	6	6	95	4		1500	20	1	1	2	2	700016	攻击+？？？	防御+？？？		
7050017	3	95级超算辅助视算F	基地装备，特制的F型构造体强化显卡，能够提升所有【辅助】类构造体：生命+？？？      会心+？？？	6	6	95	5		1500	20	2	2	3	3	700017	攻击+？？？	防御+？？？		
