Id	PoolId	Weight	SkillId	Icon	Description	Name
36	1	100	105101	Assets/Product/Texture/Image/IconSkill/R2yongyechaohong1.png	红球等级+1	锯刃斩击
37	1	100	105106	Assets/Product/Texture/Image/IconSkill/R2yongyechaohuang1.png	黄球等级+1	切割风暴
38	1	100	105111	Assets/Product/Texture/Image/IconSkill/R2yongyechaolan1.png	蓝球等级+1	意识共振
39	1	100	105116	Assets/Product/Texture/Image/IconSkill/yongyechaopugong1.png	普通攻击等级+1	锯刃切割
40	2	100	105117	Assets/Product/Texture/Image/IconSkill/R2yongyechaodazhao1.png	必杀技等级+1	必杀-琉晶壁垒
41	2	100	105118	Assets/Product/Texture/Image/IconSkill/QTE1.png	qte等级+1	断！空！哔——！
42	2	100	105121	Assets/Product/Texture/Image/IconSkill/R2yongyechaohexin1.png	核心被动+1	EX-切割风暴
43	2	100	105123	Assets/Product/Texture/Image/IconSkill/R2yongyechaohexin1.png	职业技等级+1	装甲型
44	1	100	106201	Assets/Product/Texture/Image/IconSkill/R2shenweihong1.png	红球等级+1	大切断
45	1	100	106206	Assets/Product/Texture/Image/IconSkill/R2shenweihuang1.png	黄球等级+1	逆流反击
46	1	100	106211	Assets/Product/Texture/Image/IconSkill/R2shenweilan1.png	蓝球等级+1	突击模式
47	1	100	106216	Assets/Product/Texture/Image/IconSkill/shenweipugong1.png	普通攻击等级+1	挥击
48	2	100	106217	Assets/Product/Texture/Image/IconSkill/R2shenweidazhao1.png	必杀技等级+1	必杀-绝杀重压
49	2	100	106218	Assets/Product/Texture/Image/IconSkill/QTE1.png	qte等级+1	重压之风
50	2	100	106221	Assets/Product/Texture/Image/IconSkill/R2shenweihexin1.png	核心被动+1	攻防律动
51	2	100	106223	Assets/Product/Texture/Image/IconSkill/R2shenweihexin1.png	职业技等级+1	装甲型
52	1	100	107201	Assets/Product/Texture/Image/IconSkill/R2kalieninahong1.png	红球等级+1	散弹
53	1	100	107206	Assets/Product/Texture/Image/IconSkill/R2kalieninahuang1.png	黄球等级+1	引信弹
54	1	100	107211	Assets/Product/Texture/Image/IconSkill/R2kalieninalan1.png	蓝球等级+1	旋火弹
55	1	100	107216	Assets/Product/Texture/Image/IconSkill/kalieninapugong1.png	普通攻击等级+1	炮斗术
56	2	100	107217	Assets/Product/Texture/Image/IconSkill/R2kalieninadazhao1.png	必杀技等级+1	必杀-破碎轰鸣
57	2	100	107218	Assets/Product/Texture/Image/IconSkill/QTE1.png	qte等级+1	歼灭弹
58	2	100	107221	Assets/Product/Texture/Image/IconSkill/R2kalieninahexin1.png	核心被动+1	炮斗战术
59	2	100	107223	Assets/Product/Texture/Image/IconSkill/R2kalieninahexin1.png	职业技等级+1	进攻型
60	1	100	108201	Assets/Product/Texture/Image/IconSkill/R2dubianhong1.png	红球等级+1	黑樱
61	1	100	108206	Assets/Product/Texture/Image/IconSkill/R2dubianhuang1.png	黄球等级+1	影刺
62	1	100	108211	Assets/Product/Texture/Image/IconSkill/R2dubianlan1.png	蓝球等级+1	喋血
63	1	100	108216	Assets/Product/Texture/Image/IconSkill/dubianpugong1.png	普通攻击等级+1	切割
64	2	100	108217	Assets/Product/Texture/Image/IconSkill/R2dubiandazhao1.png	必杀技等级+1	必杀-黑夜刀锋
65	2	100	108218	Assets/Product/Texture/Image/IconSkill/QTE1.png	qte等级+1	闪坠
66	2	100	108221	Assets/Product/Texture/Image/IconSkill/R2dubianhexin1.png	核心被动+1	疾驰幻影
67	2	100	108223	Assets/Product/Texture/Image/IconSkill/R2dubianhexin1.png	职业技等级+1	进攻型
68	1	100	102101	Assets/Product/Texture/Image/IconSkill/R1luxiyahong1.png	红球等级+1	红莲-起手式
69	1	100	102106	Assets/Product/Texture/Image/IconSkill/R1luxiyahuang1.png	黄球等级+1	红莲-闪击
70	1	100	102111	Assets/Product/Texture/Image/IconSkill/R1luxiyalan1.png	蓝球等级+1	红莲-波动斩
71	1	100	102116	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png	普通攻击等级+1	红莲-迅刀式
72	2	100	102117	Assets/Product/Texture/Image/IconSkill/R1luxiyadazhao1.png	必杀技等级+1	必杀-红莲乱舞
73	2	100	102118	Assets/Product/Texture/Image/IconSkill/QTE1.png	qte等级+1	莲华快斩
74	2	100	102121	Assets/Product/Texture/Image/IconSkill/R1luxiyahexin1.png	核心被动+1	红莲-双刀术
75	2	100	102123	Assets/Product/Texture/Image/IconSkill/R1luxiyahexin1.png	职业技等级+1	进攻型
76	1	100	103101	Assets/Product/Texture/Image/IconSkill/R1lifuhong1.png	红球等级+1	激光炮击
77	1	100	103106	Assets/Product/Texture/Image/IconSkill/R1lifuhuang1.png	黄球等级+1	虚无黑洞
78	1	100	103111	Assets/Product/Texture/Image/IconSkill/R1lifulan1.png	蓝球等级+1	不稳定粒子
79	1	100	103116	Assets/Product/Texture/Image/IconSkill/lifupugong1.png	普通攻击等级+1	光束轰击
80	2	100	103117	Assets/Product/Texture/Image/IconSkill/R1lifudazhao1.png	必杀技等级+1	必杀-苍穹星降
81	2	100	103118	Assets/Product/Texture/Image/IconSkill/QTE1.png	qte等级+1	纳米场绽放
82	2	100	103121	Assets/Product/Texture/Image/IconSkill/R1lifuhexin1.png	核心被动+1	核心激光
83	2	100	103123	Assets/Product/Texture/Image/IconSkill/R1lifuhexin1.png	职业技等级+1	辅助型
84	1	100	103301	Assets/Product/Texture/Image/IconSkill/R3lifuhong1.png	红球等级+1	相斥光束
85	1	100	103306	Assets/Product/Texture/Image/IconSkill/R3lifuhuang1.png	黄球等级+1	转移充能
86	1	100	103311	Assets/Product/Texture/Image/IconSkill/R3lifulan1.png	蓝球等级+1	灰鸦领域
87	1	100	103316	Assets/Product/Texture/Image/IconSkill/lifupugong1.png	普通攻击等级+1	自适应射线
88	2	100	103317	Assets/Product/Texture/Image/IconSkill/R3lifudazhao1.png	必杀技等级+1	阿卡迪亚之门
89	2	100	103318	Assets/Product/Texture/Image/IconSkill/QTE1.png	qte等级+1	英灵之舞
90	2	100	103321	Assets/Product/Texture/Image/IconSkill/R3lifuhexin1.png	核心被动+1	女神连接系统
91	2	100	103323	Assets/Product/Texture/Image/IconSkill/R3lifuhexin1.png	职业技等级+1	辅助型
92	1	100	106301	Assets/Product/Texture/Image/IconSkill/R3shenweihong1.png	红球等级+1	逆反剑技
93	1	100	106306	Assets/Product/Texture/Image/IconSkill/R3shenweihuang1.png	黄球等级+1	突击冲锋
94	1	100	106311	Assets/Product/Texture/Image/IconSkill/R3shenweilan1.png	蓝球等级+1	崩剑
95	1	100	106316	Assets/Product/Texture/Image/IconSkill/shenweipugong1.png	普通攻击等级+1	大刃切割
96	2	100	106317	Assets/Product/Texture/Image/IconSkill/R3shenweidazhao1.png	必杀技等级+1	必杀-一体双心
97	2	100	106318	Assets/Product/Texture/Image/IconSkill/QTE1.png	qte等级+1	连锁回旋
98	2	100	106321	Assets/Product/Texture/Image/IconSkill/R3Shenweihexin1.png	核心被动+1	战意
99	2	100	106323	Assets/Product/Texture/Image/IconSkill/R3Shenweihexin1.png	职业技等级+1	装甲型
100	1	100	101301	Assets/Product/Texture/Image/IconSkill/R3lihong1.png	红球等级+1	连续射击
101	1	100	101306	Assets/Product/Texture/Image/IconSkill/R3lihuang1.png	黄球等级+1	后跳射击
102	1	100	101311	Assets/Product/Texture/Image/IconSkill/R3lilan1.png	蓝球等级+1	电力感应
103	1	100	101316	Assets/Product/Texture/Image/IconSkill/lipugong1.png	普通攻击等级+1	连射模式
104	2	100	101317	Assets/Product/Texture/Image/IconSkill/R3lidazhao1.png	必杀技等级+1	必杀-轨道打击
105	2	100	101318	Assets/Product/Texture/Image/IconSkill/QTE1.png	qte等级+1	死角奇袭
106	2	100	101321	Assets/Product/Texture/Image/IconSkill/R3lihexin1.png	核心被动+1	空间领主
107	2	100	101323	Assets/Product/Texture/Image/IconSkill/R3lihexin1.png	职业技等级+1	进攻型
108	1	100	107301	Assets/Product/Texture/Image/IconSkill/R3kalieninahong1.png	红球等级+1	光刃交击
109	1	100	107306	Assets/Product/Texture/Image/IconSkill/R3kalieninahuang1.png	黄球等级+1	掩护炮击
110	1	100	107311	Assets/Product/Texture/Image/IconSkill/R3kalieninalan1.png	蓝球等级+1	僚机召唤
111	1	100	107316	Assets/Product/Texture/Image/IconSkill/kalieninapugong1.png	普通攻击等级+1	膛压解放
112	2	100	107317	Assets/Product/Texture/Image/IconSkill/R3kalieninadazhao1.png	必杀技等级+1	必杀-大地伤痕
113	2	100	107318	Assets/Product/Texture/Image/IconSkill/QTE1.png	qte等级+1	重力坠落
114	2	100	107321	Assets/Product/Texture/Image/IconSkill/R3kalieninahexin1.png	核心被动+1	热能武装
115	2	100	107323	Assets/Product/Texture/Image/IconSkill/R3kalieninahexin1.png	职业技等级+1	进攻型
116	1	100	105301	Assets/Product/Texture/Image/IconSkill/R3yongyechaohong1.png	红球等级+1	律动冲击
117	1	100	105306	Assets/Product/Texture/Image/IconSkill/R3yongyechaohuang1.png	黄球等级+1	跃动之环
118	1	100	105311	Assets/Product/Texture/Image/IconSkill/R3yongyechaolan1.png	蓝球等级+1	爆碎震击
119	1	100	105316	Assets/Product/Texture/Image/IconSkill/yongyechaopugong1.png	普通攻击等级+1	锯刃风暴
120	2	100	105317	Assets/Product/Texture/Image/IconSkill/R3yongyechaodazhao1.png	必杀技等级+1	必杀-脉冲
121	2	100	105318	Assets/Product/Texture/Image/IconSkill/QTE1.png	qte等级+1	熔火圆斩
122	2	100	105321	Assets/Product/Texture/Image/IconSkill/R3yongyechaohexin1.png	核心被动+1	超频共振
123	2	100	105323	Assets/Product/Texture/Image/IconSkill/R3yongyechaohexin1.png	职业技等级+1	装甲型
124	1	100	102301	Assets/Product/Texture/Image/IconSkill/R3luxiyahong1.png	红球等级+1	赤渊-烁华
125	1	100	102306	Assets/Product/Texture/Image/IconSkill/R3luxiyahuang1.png	黄球等级+1	赤渊-缭乱
126	1	100	102311	Assets/Product/Texture/Image/IconSkill/R3luxiyalan1.png	蓝球等级+1	赤渊-碎光散
127	1	100	102316	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png	普通攻击等级+1	赤渊-居合意
128	2	100	102317	Assets/Product/Texture/Image/IconSkill/R3luxiyadazhao1.png	必杀技等级+1	必杀-渊裂之术
129	2	100	102318	Assets/Product/Texture/Image/IconSkill/QTE1.png	qte等级+1	极渊落华
130	2	100	102321	Assets/Product/Texture/Image/IconSkill/R3luxiyahexin1.png	核心被动+1	赤渊-刀光意
131	2	100	102323	Assets/Product/Texture/Image/IconSkill/R3luxiyahexin1.png	职业技等级+1	进攻型
132	1	100	108301	Assets/Product/Texture/Image/IconSkill/R3dubianhong1.png	红球等级+1	彗尾散
133	1	100	108306	Assets/Product/Texture/Image/IconSkill/R3dubianhuang1.png	黄球等级+1	天体回旋
134	1	100	108311	Assets/Product/Texture/Image/IconSkill/R3dubianlan1.png	蓝球等级+1	曳星袭
135	1	100	108316	Assets/Product/Texture/Image/IconSkill/dubianpugong1.png	普通攻击等级+1	杀星
136	2	100	108317	Assets/Product/Texture/Image/IconSkill/R3dubiandazhao1.png	必杀技等级+1	必杀-超星爆发
137	2	100	108318	Assets/Product/Texture/Image/IconSkill/QTE1.png	qte等级+1	十字瞬影
138	2	100	108321	Assets/Product/Texture/Image/IconSkill/R3dubianhexin1.png	核心被动+1	寰宇振荡
139	2	100	108323	Assets/Product/Texture/Image/IconSkill/R3dubianhexin1.png	职业技等级+1	进攻型
140	1	100	109201	Assets/Product/Texture/Image/IconSkill/R2ailahong1.png	红球等级+1	绚烂之势
141	1	100	109206	Assets/Product/Texture/Image/IconSkill/R2ailahuang1.png	黄球等级+1	挥洒光影
142	1	100	109211	Assets/Product/Texture/Image/IconSkill/R2ailalan1.png	蓝球等级+1	原色轮回
143	1	100	109216	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png	普通攻击等级+1	绘花镰
144	2	100	109217	Assets/Product/Texture/Image/IconSkill/R2ailadazhao1.png	必杀技等级+1	必杀-绽放时刻
145	2	100	109218	Assets/Product/Texture/Image/IconSkill/QTE1.png	qte等级+1	螺旋线收割
146	2	100	109221	Assets/Product/Texture/Image/IconSkill/R2ailahexin1.png	核心被动+1	矢量色块
147	2	100	109223	Assets/Product/Texture/Image/IconSkill/R2ailahexin1.png	职业技等级+1	装甲型
