Id	Name	Level	Icon	Description
760081	弱点	1	Assets/Product/Texture/Image/IconAffix/AffixIconRuodian.png	增加30%受到的暴击伤害
760082	弱点	2	Assets/Product/Texture/Image/IconAffix/AffixIconRuodian.png	增加45%受到的暴击伤害
760083	弱点	3	Assets/Product/Texture/Image/IconAffix/AffixIconRuodian.png	增加60%受到的暴击伤害
760091	虚弱	1	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo.png	降低20%的伤害、移动速度、攻击频率和所有抗性
760092	虚弱	2	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo.png	降低35%的伤害、移动速度、攻击频率和所有抗性
760093	虚弱	3	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo.png	降低50%的伤害、移动速度、攻击频率和所有抗性
760101	畏红	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加30%受到的红消技能伤害
760102	畏红	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加45%受到的红消技能伤害
760103	畏红	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加60%受到的红消技能伤害
760111	畏黄	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加30%受到的黄消技能伤害
760112	畏黄	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加45%受到的黄消技能伤害
760113	畏黄	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加60%受到的黄消技能伤害
760121	畏蓝	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加30%受到的蓝消技能伤害
760122	畏蓝	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加45%受到的蓝消技能伤害
760123	畏蓝	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加60%受到的蓝消技能伤害
760131	强攻	1	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	增加20%造成的所有伤害
760132	强攻	2	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	增加35%造成的所有伤害
760133	强攻	3	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	增加50%造成的所有伤害
760141	抗火	1	Assets/Product/Texture/Image/IconAffix/AffixIconKanghuo.png	降低30%受到的火属性伤害
760142	抗火	2	Assets/Product/Texture/Image/IconAffix/AffixIconKanghuo.png	降低45%受到的火属性伤害
760143	抗火	3	Assets/Product/Texture/Image/IconAffix/AffixIconKanghuo.png	降低60%受到的火属性伤害
760151	抗雷	1	Assets/Product/Texture/Image/IconAffix/AffixIconKanglei.png	降低30%受到的雷属性伤害
760152	抗雷	2	Assets/Product/Texture/Image/IconAffix/AffixIconKanglei.png	降低45%受到的雷属性伤害
760153	抗雷	3	Assets/Product/Texture/Image/IconAffix/AffixIconKanglei.png	降低60%受到的雷属性伤害
760161	抗冰	1	Assets/Product/Texture/Image/IconAffix/AffixIconKangbing.png	降低30%受到的冰属性伤害
760162	抗冰	2	Assets/Product/Texture/Image/IconAffix/AffixIconKangbing.png	降低45%受到的冰属性伤害
760163	抗冰	3	Assets/Product/Texture/Image/IconAffix/AffixIconKangbing.png	降低60%受到的冰属性伤害
760171	抗暗	1	Assets/Product/Texture/Image/IconAffix/AffixIconKangan.png	降低30%受到的暗属性伤害
760172	抗暗	2	Assets/Product/Texture/Image/IconAffix/AffixIconKangan.png	降低45%受到的暗属性伤害
760173	抗暗	3	Assets/Product/Texture/Image/IconAffix/AffixIconKangan.png	降低60%受到的暗属性伤害
760181	抗物理	1	Assets/Product/Texture/Image/IconAffix/AffixIconKangwuli.png	降低30%受到的物理伤害
760182	抗物理	2	Assets/Product/Texture/Image/IconAffix/AffixIconKangwuli.png	降低45%受到的物理伤害
760183	抗物理	3	Assets/Product/Texture/Image/IconAffix/AffixIconKangwuli.png	降低60%受到的物理伤害
760191	抗元素	1	Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu.png	降低30%受到的元素伤害
760192	抗元素	2	Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu.png	降低45%受到的元素伤害
760193	抗元素	3	Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu.png	降低60%受到的元素伤害
760201	免伤	1	Assets/Product/Texture/Image/IconAffix/AffixIconMianshang.png	降低30%受到的所有伤害
760202	免伤	2	Assets/Product/Texture/Image/IconAffix/AffixIconMianshang.png	降低45%受到的所有伤害
760203	免伤	3	Assets/Product/Texture/Image/IconAffix/AffixIconMianshang.png	降低60%受到的所有伤害
760211	迅捷	1	Assets/Product/Texture/Image/IconAffix/AffixIconXunjie.png	增加15%~30%移动速度，与目标距离越远，移动速度越快
760212	迅捷	2	Assets/Product/Texture/Image/IconAffix/AffixIconXunjie.png	增加20%-35%移动速度，与目标距离越远，移动速度越快
760213	迅捷	3	Assets/Product/Texture/Image/IconAffix/AffixIconXunjie.png	增加25%-40%移动速度，与目标距离越远，移动速度越快
760221	不动	1	Assets/Product/Texture/Image/IconAffix/AffixIconBudong.png	免疫受击状态、控制效果
760231	复苏	1	Assets/Product/Texture/Image/IconAffix/AffixIconFusu.png	每秒恢复0.1%最大生命值
760232	复苏	2	Assets/Product/Texture/Image/IconAffix/AffixIconFusu.png	每秒恢复0.2%最大生命值
760233	复苏	3	Assets/Product/Texture/Image/IconAffix/AffixIconFusu.png	每秒恢复0.3%最大生命值
760241	护盾	1	Assets/Product/Texture/Image/IconAffix/AffixIconHudun.png	每隔8秒获得最大生命值25%的护盾
760242	护盾	2	Assets/Product/Texture/Image/IconAffix/AffixIconHudun.png	每隔8秒获得最大生命值35%的护盾
760243	护盾	3	Assets/Product/Texture/Image/IconAffix/AffixIconHudun.png	每隔8秒获得最大生命值45%的护盾
760251	暴走	1	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou.png	增加33%攻击频率，造成伤害时，有20%几率额外造成33%伤害
760252	暴走	2	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou.png	增加66%攻击频率，造成伤害时，有30%几率额外造成33%伤害
760253	暴走	3	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou.png	增加100%攻击频率，造成伤害时，有40%几率额外造成33%伤害
760261	炸弹	1	Assets/Product/Texture/Image/IconAffix/AffixIconZhadan.png	死亡后留下能造成35%物理伤害的炸弹
760262	炸弹	2	Assets/Product/Texture/Image/IconAffix/AffixIconZhadan.png	死亡后留下能造成45%物理伤害的炸弹
760263	炸弹	3	Assets/Product/Texture/Image/IconAffix/AffixIconZhadan.png	死亡后留下能造成60%物理伤害的炸弹
760271	刚体	1	Assets/Product/Texture/Image/IconAffix/AffixIconGangti.png	受到的伤害变为1点，受到6次伤害时移除效果，8秒后效果恢复
760272	刚体	2	Assets/Product/Texture/Image/IconAffix/AffixIconGangti.png	受到的伤害变为1点，受到9次伤害时移除效果，8秒后效果恢复
760273	刚体	3	Assets/Product/Texture/Image/IconAffix/AffixIconGangti.png	受到的伤害变为1点，受到12次伤害时移除效果，8秒后效果恢复
760281	壁垒	1	Assets/Product/Texture/Image/IconAffix/AffixIconBilei.png	获得最大生命值15%的永久护盾，护盾存在时免疫受击状态，承受足够伤害后移除护盾
760282	壁垒	2	Assets/Product/Texture/Image/IconAffix/AffixIconBilei.png	获得最大生命值25%的永久护盾，护盾存在时免疫受击状态，承受足够伤害后移除护盾
760283	壁垒	3	Assets/Product/Texture/Image/IconAffix/AffixIconBilei.png	获得最大生命值35%的永久护盾，护盾存在时免疫受击状态，承受足够伤害后移除护盾
760291	辐射	1	Assets/Product/Texture/Image/IconAffix/AffixIconFushe.png	持续对附近敌人造成3%物理伤害
760292	辐射	2	Assets/Product/Texture/Image/IconAffix/AffixIconFushe.png	持续对附近敌人造成4%物理伤害
760293	辐射	3	Assets/Product/Texture/Image/IconAffix/AffixIconFushe.png	持续对附近敌人造成5%物理伤害
760301	闭环	1	Assets/Product/Texture/Image/IconAffix/AffixIconBihuan.png	降低30%受到的远处敌人造成的伤害
760302	闭环	2	Assets/Product/Texture/Image/IconAffix/AffixIconBihuan.png	降低45%受到的远处敌人造成的伤害
760303	闭环	3	Assets/Product/Texture/Image/IconAffix/AffixIconBihuan.png	降低60%受到的远处敌人造成的伤害
760311	祝福	1	Assets/Product/Texture/Image/IconAffix/AffixIconZhufu.png	增加附近友方单位10%的伤害
760312	祝福	2	Assets/Product/Texture/Image/IconAffix/AffixIconZhufu.png	增加附近友方单位20%的伤害
760313	祝福	3	Assets/Product/Texture/Image/IconAffix/AffixIconZhufu.png	增加附近友方单位30%的伤害
760321	独狼	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou.png	增加3%伤害，可叠加10层，附近友方单位越少，叠加层数越高
760322	独狼	2	Assets/Product/Texture/Image/IconAffix/AffixIconDudou.png	增加4.5%伤害，可叠加10层，附近友方单位越少，叠加层数越高
760323	独狼	3	Assets/Product/Texture/Image/IconAffix/AffixIconDudou.png	增加6%伤害，可叠加10层，附近友方单位越少，叠加层数越高
760331	统领	1	Assets/Product/Texture/Image/IconAffix/AffixIconTongling.png	增加3%伤害，可叠加10层，附近友方单位越多，叠加层数越高
760332	统领	2	Assets/Product/Texture/Image/IconAffix/AffixIconTongling.png	增加4.5%伤害，可叠加10层，附近友方单位越多，叠加层数越高
760333	统领	3	Assets/Product/Texture/Image/IconAffix/AffixIconTongling.png	增加6%伤害，可叠加10层，附近友方单位越多，叠加层数越高
760341	贯穿	1	Assets/Product/Texture/Image/IconAffix/AffixIconGuanchuan.png	造成伤害时，减少目标3%所有抗性，可叠加10层，每层效果持续10秒
760342	贯穿	2	Assets/Product/Texture/Image/IconAffix/AffixIconGuanchuan.png	造成伤害时，减少目标4%所有抗性，可叠加10层，每层效果持续10秒
760343	贯穿	3	Assets/Product/Texture/Image/IconAffix/AffixIconGuanchuan.png	造成伤害时，减少目标5%所有抗性，可叠加10层，每层效果持续10秒
760351	电盾	1	Assets/Product/Texture/Image/IconAffix/AffixIconDiandun.png	受击时，有15%-25%的几率在攻击者的位置释放雷电，造成20%伤害，冷却时间3秒
760352	电盾	2	Assets/Product/Texture/Image/IconAffix/AffixIconDiandun.png	受击时，有15%-25%的几率在攻击者的位置释放雷电，造成25%伤害，冷却时间2.5秒
760353	电盾	3	Assets/Product/Texture/Image/IconAffix/AffixIconDiandun.png	受击时，有15%-25%的几率在攻击者的位置释放雷电，造成30%伤害，冷却时间2秒
760361	波动	1	Assets/Product/Texture/Image/IconAffix/AffixIconBodong.png	倒地起身时产生击退附近敌人的冲击波
760371	埋雷	1	Assets/Product/Texture/Image/IconAffix/AffixIconMailei.png	攻击时在目标身上留下能造成15%物理伤害的炸弹
760372	埋雷	2	Assets/Product/Texture/Image/IconAffix/AffixIconMailei.png	攻击时在目标身上留下能造成20%物理伤害的炸弹
760373	埋雷	3	Assets/Product/Texture/Image/IconAffix/AffixIconMailei.png	攻击时在目标身上留下能造成25%物理伤害的炸弹
760381	隐身	1	Assets/Product/Texture/Image/IconAffix/AffixIconYinshen.png	非隐身状态时，5秒后进入隐身状态，受到伤害时会显形，并在3秒内无法进入隐身状态
760382	隐身	2	Assets/Product/Texture/Image/IconAffix/AffixIconYinshen.png	非隐身状态时，3秒后进入隐身状态，受到伤害时会显形，并在3秒内无法进入隐身状态
760383	隐身	3	Assets/Product/Texture/Image/IconAffix/AffixIconYinshen.png	非隐身状态时，1秒进入隐身状态，受到伤害时会显形，并在3秒内无法进入隐身状态
760391	闪现	1	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	与目标距离较远时，会传送到目标附近，冷却时间8-10秒，传送距离越远，冷却时间越短
760392	闪现	2	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	与目标距离较远时，会传送到目标附近，冷却时间7-9秒，传送距离越远，冷却时间越短
760393	闪现	3	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	与目标距离较远时，会传送到目标附近，冷却时间6-8秒，传送距离越远，冷却时间越短
760394	转移	1	Assets/Product/Texture/Image/IconAffix/AffixIconZhuanyi.png	与目标距离较近时，会传送到远离目标的位置，冷却时间8秒，受到伤害时有30%概率触发相同效果，冷却时间相互独立
760395	转移	2	Assets/Product/Texture/Image/IconAffix/AffixIconZhuanyi.png	与目标距离较近时，会传送到远离目标的位置，冷却时间7秒，受到伤害时有30%概率触发相同效果，冷却时间相互独立
760396	转移	3	Assets/Product/Texture/Image/IconAffix/AffixIconZhuanyi.png	与目标距离较近时，会传送到远离目标的位置，冷却时间6秒，受到伤害时有30%概率触发相同效果，冷却时间相互独立
760401	裂解	1	Assets/Product/Texture/Image/IconAffix/AffixIconLiejie.png	死亡时召唤两个继承30%攻击和防御的同类型复制体
760402	裂解	2	Assets/Product/Texture/Image/IconAffix/AffixIconLiejie.png	死亡时召唤两个继承60%攻击和防御的同类型复制体
760403	裂解	3	Assets/Product/Texture/Image/IconAffix/AffixIconLiejie.png	死亡时召唤两个继承100%攻击和防御的同类型复制体
760411	黑洞	1	Assets/Product/Texture/Image/IconAffix/AffixIconHeidong.png	每隔一段时间在自身位置释放吸力较弱的黑洞
760412	黑洞	2	Assets/Product/Texture/Image/IconAffix/AffixIconHeidong.png	每隔一段时间在自身位置释放吸力一般的黑洞
760413	黑洞	3	Assets/Product/Texture/Image/IconAffix/AffixIconHeidong.png	每隔一段时间在自身位置释放吸力较强的黑洞
760421	射线	1	Assets/Product/Texture/Image/IconAffix/AffixIconShexian.png	每隔一段时间向八个主要方向释放造成3%持续物理伤害的激光
760422	射线	2	Assets/Product/Texture/Image/IconAffix/AffixIconShexian.png	每隔一段时间向八个主要方向释放造成4%持续物理伤害的激光
760423	射线	3	Assets/Product/Texture/Image/IconAffix/AffixIconShexian.png	每隔一段时间向八个主要方向释放造成5%持续物理伤害的激光
760431	火焰	1	Assets/Product/Texture/Image/IconAffix/AffixIconHuoyan.png	攻击附带10%火属性伤害，有10%几率造成燃烧状态，每秒造成10%火属性伤害，持续3秒
760432	火焰	2	Assets/Product/Texture/Image/IconAffix/AffixIconHuoyan.png	攻击附带15%火属性伤害，有15%几率造成燃烧状态，每秒造成15%火属性伤害，持续3秒
760433	火焰	3	Assets/Product/Texture/Image/IconAffix/AffixIconHuoyan.png	攻击附带20%火属性伤害，有20%几率造成燃烧状态，每秒造成20%火属性伤害，持续3秒
760451	冻结	1	Assets/Product/Texture/Image/IconAffix/AffixIconDongjie.png	攻击附带10%冰属性伤害，减少目标15%移动速度，有10%几率造成冻结状态，持续0.3秒
760452	冻结	2	Assets/Product/Texture/Image/IconAffix/AffixIconDongjie.png	攻击附带15%冰属性伤害，减少目标20%移动速度，有15%几率造成冻结状态，持续0.5秒
760453	冻结	3	Assets/Product/Texture/Image/IconAffix/AffixIconDongjie.png	攻击附带20%冰属性伤害，减少目标25%移动速度，有20%几率造成冻结状态，持续0.7秒
760471	暗影	1	Assets/Product/Texture/Image/IconAffix/AffixIconAnying.png	攻击附带10%暗属性伤害，有10%几率造成眩晕状态，持续0.5秒，并额外受到10%暗属性伤害
760472	暗影	2	Assets/Product/Texture/Image/IconAffix/AffixIconAnying.png	攻击附带15%暗属性伤害，有15%几率造成眩晕状态，持续0.7秒，并额外受到15%暗属性伤害
760473	暗影	3	Assets/Product/Texture/Image/IconAffix/AffixIconAnying.png	攻击附带20%暗属性伤害，有20%几率造成眩晕状态，持续0.9秒，并额外受到20%暗属性伤害
760491	雷鸣	1	Assets/Product/Texture/Image/IconAffix/AffixIconLeiming.png	攻击附带10%雷属性伤害，有10%几率造成引雷状态，每1.5秒在目标处释放一次雷电打击，持续1.5秒
760492	雷鸣	2	Assets/Product/Texture/Image/IconAffix/AffixIconLeiming.png	攻击附带15%雷属性伤害，有20%几率造成引雷状态，每1.5秒在目标处释放一次雷电打击，持续3秒
760493	雷鸣	3	Assets/Product/Texture/Image/IconAffix/AffixIconLeiming.png	攻击附带20%雷属性伤害，有30%几率造成引雷状态，每1.5秒在目标处释放一次雷电打击，持续4.5秒
760601	冰径	1	Assets/Product/Texture/Image/IconAffix/AffixIconBingjing.png	释放一个持续追踪敌人的冰冻体，接触时造成5%冰属性伤害，与目标距离越远，移动速度越快
760602	冰径	2	Assets/Product/Texture/Image/IconAffix/AffixIconBingjing.png	释放一个持续追踪敌人的冰冻体，接触时造成10%冰属性伤害，与目标距离越远，移动速度越快
760603	冰径	3	Assets/Product/Texture/Image/IconAffix/AffixIconBingjing.png	释放一个持续追踪敌人的冰冻体，接触时造成15%冰属性伤害，与目标距离越远，移动速度越快
