UiName	ParentUiName	LoadWithParent	UiType	UiResType	ClassType	PrefabUrl	SceneUrl	IgnoreFailure	CacheTime
UiFubenDailyBanner	UiFuben			Bundle		Assets/Product/Ui/Prefab/UiFubenDailyBanner.prefab			5000
UiFubenMainLineBanner	UiFuben			Bundle		Assets/Product/Ui/Prefab/UiFubenMainLineBanner.prefab			5000
UiFubenBossSingle			Normal	Bundle		Assets/Product/Ui/Prefab/UiFubenBossSingle.prefab	Assets/Product/Ui/Scene3DPrefab/UiCharacter3d.prefab		5000
UiFubenChallengeMap			Normal	Bundle		Assets/Product/Ui/Prefab/UiFubenChallengeMap.prefab			5000
UiFubenChallengeEMEX	UiFubenChallengeMap			Bundle		Assets/Product/Ui/Prefab/UiFubenChallengeEMEX.prefab			5000
UiFubenChallengeMapEmex	UiFubenChallengeMap			Bundle		Assets/Product/Ui/Prefab/UiFubenChallengeMapEmex.prefab			5000
UiFubenChallengeUrgent	UiFubenChallengeMap			Bundle		Assets/Product/Ui/Prefab/UiFubenChallengeUrgent.prefab			5000
UiFubenChallengeYSHTX	UiFubenChallengeMap			Bundle		Assets/Product/Ui/Prefab/UiFubenChallengeYSHTX.prefab			5000
UiFubenCoinSkill			Normal	Bundle		Assets/Product/Ui/Prefab/UiFubenCoinSkill.prefab			5000
UiFubenResourceDetail	UiFubenCoinSkill	1		Bundle		Assets/Product/Ui/Prefab/UiFubenResourceDetail.prefab			5000
UiFubenDaily			Normal	Bundle		Assets/Product/Ui/Prefab/UiFubenDaily.prefab			5000
UiFubenDailyDrop			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiFubenDailyDrop.prefab			5000
UiFubenDialog			Tips	Bundle		Assets/Product/Ui/Prefab/UiFubenDialog.prefab			5000
UiFubenExperiment			Normal	Bundle		Assets/Product/Ui/Prefab/UiFubenExperiment.prefab			5000
UiFubenExperimentDetail			Normal	Bundle		Assets/Product/Ui/Prefab/UiFubenExperimentDetail.prefab			5000
UiFubenExploreChapter			Normal	Bundle		Assets/Product/Ui/Prefab/UiFubenExploreChapter.prefab			5000
UiFubenExploreLevel			Normal	Bundle		Assets/Product/Ui/Prefab/UiFubenExploreLevel.prefab			5000
UiFubenFlopReward			Normal	Bundle		Assets/Product/Ui/Prefab/UiFubenFlopReward.prefab			5000
UiFubenMainLineChapter			Normal	Bundle		Assets/Product/Ui/Prefab/UiFubenMainLineChapter.prefab			5000
UiBfrtStageDetail	UiFubenMainLineChapter			Bundle		Assets/Product/Ui/Prefab/UiBfrtStageDetail.prefab			5000
UiFubenMainLineDetail	UiFubenMainLineChapter			Bundle		Assets/Product/Ui/Prefab/UiFubenMainLineDetail.prefab			5000
UiStoryStageDetail	UiFubenMainLineChapter			Bundle		Assets/Product/Ui/Prefab/UiStoryStageDetail.prefab			5000
UiFubenPractice			Normal	Bundle		Assets/Product/Ui/Prefab/UiFubenPractice.prefab			5000
UiPracticeSingleDetail	UiFubenPractice	1		Bundle		Assets/Product/Ui/Prefab/UiPracticeSingleDetail.prefab			5000
UiPracticeSkillDetail			Popup	Bundle		Assets/Product/Ui/Prefab/UiPracticeSkillDetail.prefab			5000
UiFubenStageDetail			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiFubenStageDetail.prefab			5000
UiFunctionalOpen			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiFunctionalOpen.prefab			5000
UiHintFunctional			Tips	Bundle		Assets/Product/Ui/Prefab/UiHintFunctional.prefab			5000
UiFurnitureDetail			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiFurnitureDetail.prefab			5000
UiFurnitureRecycleObtain			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiFurnitureRecycleObtain.prefab			5000
UiFurnitureTypeSelect			Popup	Bundle		Assets/Product/Ui/Prefab/UiFurnitureTypeSelect.prefab			5000
UiGuide			Guide	Bundle		Assets/Product/Ui/Prefab/UiGuide.prefab			5000
UiHomeMain			Normal	Bundle		Assets/Product/Ui/Prefab/UiHomeMain.prefab			5000
UiHostelDeviceDetail			Normal	Bundle		Assets/Product/Ui/Prefab/UiHostelDeviceDetail.prefab			5000
UiHostelMissionComplete			Popup	Bundle		Assets/Product/Ui/Prefab/UiHostelMissionComplete.prefab			5000
UiHostelRest			Normal	Bundle		Assets/Product/Ui/Prefab/UiHostelRest.prefab			5000
UiHostelRoom			Normal	Bundle		Assets/Product/Ui/Prefab/UiHostelRoom.prefab			5000
UiHud			Hud	Bundle		Assets/Product/Ui/Prefab/UiHud.prefab			5000
UiLogin			Normal	Bundle		Assets/Product/Ui/Prefab/UiLogin.prefab			5000
UiLoginNotice			Popup	Bundle		Assets/Product/Ui/Prefab/UiLoginNotice.prefab			5000
UiMail			Normal	Bundle		Assets/Product/Ui/Prefab/UiMail.prefab			5000
UiMain			Normal	Bundle		Assets/Product/Ui/Prefab/UiMain.prefab	Assets/Product/Ui/Scene3DPrefab/UiMain3d.prefab		5000
UiMainLineRoomCharacter			Normal	Bundle		Assets/Product/Ui/Prefab/UiMainLineRoomCharacter.prefab	Assets/Product/Ui/Scene3DPrefab/UiCharacter3d.prefab		5000
UiMission			Normal	Bundle		Assets/Product/Ui/Prefab/UiMission.prefab			5000
UiMissionAddSpeedTip			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiMissionAddSpeedTip.prefab			5000
UiMissionChapter			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiMissionChapter.prefab			5000
UiMissionCompleted			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiMissionCompleted.prefab			5000
UiMissionTeam			Normal	Bundle		Assets/Product/Ui/Prefab/UiMissionTeam.prefab			5000
UiMissionTeamLimit			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiMissionTeamLimit.prefab			5000
UiMissionTeamSelect			Popup	Bundle		Assets/Product/Ui/Prefab/UiMissionTeamSelect.prefab			5000
UiMoneyReward			Normal	Bundle		Assets/Product/Ui/Prefab/UiMoneyReward.prefab			5000
UiMoneyRewardFightTipFind			Tips	Bundle		Assets/Product/Ui/Prefab/UiMoneyRewardFightTipFind.prefab			5000
UiMoneyRewardFightTips			Dialog	Bundle		Assets/Product/Ui/Prefab/UiMoneyRewardFightTips.prefab			5000
UiMoneyRewardLevelUpTips			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiMoneyRewardLevelUpTips.prefab			5000
UiMoneyRewardRank			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiMoneyRewardRank.prefab			5000
UiMoneyRewardTask			Normal	Bundle		Assets/Product/Ui/Prefab/UiMoneyRewardTask.prefab			5000
UiMoneyRewardTaskCardTip			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiMoneyRewardTaskCardTip.prefab			5000
UiNewPlayerTask			Normal	Bundle		Assets/Product/Ui/Prefab/UiNewPlayerTask.prefab			5000
UiNewRoomSingle			Normal	Bundle		Assets/Product/Ui/Prefab/UiNewRoomSingle.prefab	Assets/Product/Ui/Scene3DPrefab/UiCharacter3d.prefab		5000
UiNoticeTips			Tips	Bundle		Assets/Product/Ui/Prefab/UiNoticeTips.prefab			5000
UiObtain			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiObtain.prefab			5000
UiOnlineBoss			Normal	Bundle		Assets/Product/Ui/Prefab/UiOnlineBoss.prefab	Assets/Product/Ui/Scene3DPrefab/UiOnlineBoss.prefab		5000
UiOnlineBossActivity			Normal	Bundle		Assets/Product/Ui/Prefab/UiOnlineBossActivity.prefab	Assets/Product/Ui/Scene3DPrefab/UiOnlineBoss.prefab		5000
UiOnLineMatching			Dialog	Bundle		Assets/Product/Ui/Prefab/UiOnLineMatching.prefab			5000
UiOnLineTranscript			Popup	Bundle		Assets/Product/Ui/Prefab/UiOnLineTranscript.prefab			5000
UiOnLineLoading			Dialog	Bundle		Assets/Product/Ui/Prefab/UiOnLineLoading.prefab			5000
UiPersonalInfo			Popup	Bundle		Assets/Product/Ui/Prefab/UiPersonalInfo.prefab			5000
UiPlayer			Normal	Bundle		Assets/Product/Ui/Prefab/UiPlayer.prefab			5000
UiPanelAchieve	UiPlayer			Bundle		Assets/Product/Ui/Prefab/UiPanelAchieve.prefab			5000
UiPanelPlayerInfo	UiPlayer			Bundle		Assets/Product/Ui/Prefab/UiPanelPlayerInfo.prefab			5000
UiPanelSetting	UiPlayer			Bundle		Assets/Product/Ui/Prefab/UiPanelSetting.prefab			5000
UiPlayerInfo			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiPlayerInfo.prefab			5000
UiPlayerUp			Dialog	Bundle		Assets/Product/Ui/Prefab/UiPlayerUp.prefab			5000
UiPrequel			Normal	Bundle		Assets/Product/Ui/Prefab/UiPrequel.prefab			5000
UiPrequelLineDetail	UiPrequel	1		Bundle		Assets/Product/Ui/Prefab/UiPrequelLineDetail.prefab			5000
UiPurchase			Normal	Bundle		Assets/Product/Ui/Prefab/UiPurchase.prefab			5000
UiRegister			Popup	Bundle		Assets/Product/Ui/Prefab/UiRegister.prefab			5000
UiReport			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiReport.prefab			5000
UiRoomCharacter			Normal	Bundle		Assets/Product/Ui/Prefab/UiRoomCharacter.prefab	Assets/Product/Ui/Scene3DPrefab/UiCharacter3d.prefab		5000
UiRoomTeamPrefab			Normal	Bundle		Assets/Product/Ui/Prefab/UiRoomTeamPrefab.prefab			5000
UiSet			Normal	Bundle		Assets/Product/Ui/Prefab/UiSet.prefab			5000
UiSettleLose			Normal	Bundle		Assets/Product/Ui/Prefab/UiSettleLose.prefab			5000
UiSettleUrgentEvent			Popup	Bundle		Assets/Product/Ui/Prefab/UiSettleUrgentEvent.prefab			5000
UiSettleWin			Normal	Bundle		Assets/Product/Ui/Prefab/UiSettleWin.prefab			5000
UiSettleWinMainLine			Normal	Bundle		Assets/Product/Ui/Prefab/UiSettleWinMainLine.prefab			5000
UiSettleWinSingleBoss			Normal	Bundle		Assets/Product/Ui/Prefab/UiSettleWinSingleBoss.prefab			5000
UiShop			Normal	Bundle		Assets/Product/Ui/Prefab/UiShop.prefab			5000
UiSign			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiSign.prefab			5000
UiSignBanner			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiSignBanner.prefab			5000
UiSkip			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiSkip.prefab			5000
UiSocial			Normal	Bundle		Assets/Product/Ui/Prefab/UiSocial.prefab			5000
UiTask			Normal	Bundle		Assets/Product/Ui/Prefab/UiTask.prefab			5000
UiTip			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiTip.prefab			5000
UiTipReward			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiTipReward.prefab			5000
UiTrial			Normal	Bundle		Assets/Product/Ui/Prefab/UiTrial.prefab			5000
UiLoading			TopMask	Bundle		Assets/Product/Ui/Prefab/UiLoading.prefab			5000
UiResourceViewer			Tips	Bundle	XUiResourceViewer	Assets/Product/Ui/Prefab/UiResourceViewer.prefab		1	5000
UiResourceOperationPanel	UiResourceViewer	1		SetGameObject	XUiAssetOperationPanel	UiResourceOperationPanel		1	5000
UiResourceDetailPanel	UiResourceViewer	1		SetGameObject	XUiAssetDetailPanel	UiResourceDetailPanel		1	5000
UiFight			Normal	Bundle	XUiFight	Assets/Product/Ui/Prefab/UiFight.prefab			30000
UiFightJoystick	UiFight	1		Bundle	XUiFightJoystick	Assets/Product/Ui/Prefab/UiFightJoystick.prefab			30000
UiFightLeadHead	UiFight	1		Bundle	XUiFightLeadHead	Assets/Product/Ui/Prefab/UiFightLeadHead.prefab			30000
UiFightNpcPortrait	UiFight	1		Bundle	XUiFightNpcPortrait	Assets/Product/Ui/Prefab/UiFightNpcPortrait.prefab			30000
UiGuideFight	UiFight	1		Bundle	XUiGuideFight	Assets/Product/Ui/Prefab/UiGuideFight.prefab			30000
UiFightAffix	UiFight	1		Bundle	XUiFightAffix	Assets/Product/Ui/Prefab/UiFightAffix.prefab			30000
UiFightComponent	UiFight	1		Bundle	XUiFightComponent	Assets/Product/Ui/Prefab/UiFightComponent.prefab			30000
UiFightTips	UiFight	1		Bundle	XUiFightTips	Assets/Product/Ui/Prefab/UiFightTips.prefab			30000
UiFightReboot	UiFight	1		Bundle	XUiFightReboot	Assets/Product/Ui/Prefab/UiFightReboot.prefab			30000
UiFightSetting	UiFight	1		Bundle	XUiFightSetting	Assets/Product/Ui/Prefab/UiFightSetting.prefab			5000
UiFightCustom			NormalPopup	Bundle	XUiFightCustom	Assets/Product/Ui/Prefab/UiFightCustom.prefab			5000
UiChooseLoadMode			Tips	Resources	XUiChooseLoadMode	UiChooseLoadMode		1	5000
UiMultiplayerRoom			Normal	Bundle		Assets/Product/Ui/Prefab/UiMultiplayerRoom.prefab	Assets/Product/Ui/Scene3DPrefab/UiCharacter3d.prefab		5000
UiMultiplayerFightGrade			Normal	Bundle		Assets/Product/Ui/Prefab/UiMultiplayerFightGrade.prefab			5000
UiMultiplayerInviteFriend			Normal	Bundle		Assets/Product/Ui/Prefab/UiMultiplayerInviteFriend.prefab			5000
UiDormTask			Normal	Bundle		Assets/Product/Ui/Prefab/UiDormTask.prefab			5000
UiPromotionWay			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiPromotionWay.prefab			5000
UiDebuggerGyro			Tips	Bundle	XUiDebuggerGyro	Assets/Product/Ui/Prefab/UiDebuggerGyro.prefab		1	5000
UiHelp			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiHelp.prefab			5000
UiPanelMedal	UiPlayer			Bundle		Assets/Product/Ui/Prefab/UiPanelMedal.prefab			5000
UiMedalUnlockTips			Popup	Bundle		Assets/Product/Ui/Prefab/UiMedalUnlockTips.prefab			5000
UiMedalUnlock			Popup	Bundle		Assets/Product/Ui/Prefab/UiMedalUnlock.prefab			5000
UiGuildMain			Normal	Bundle		Assets/Product/Ui/Prefab/UiGuildMain.prefab			5000
UiFightButtonSettings			Normal	Bundle		Assets/Product/Ui/Prefab/UiFightButtonSettings.prefab			5000
UiActivityBriefBase			Normal	Bundle		Assets/Product/Ui/Prefab/UiActivityBriefBase.prefab			5000
UiActivityBriefEntry	UiActivityBriefBase			Bundle		Assets/Product/Ui/Prefab/UiActivityBriefEntry.prefab			5000
UiActivityBriefTask	UiActivityBriefBase			Bundle		Assets/Product/Ui/Prefab/UiActivityBriefTask.prefab			5000
UiActivityBriefShop	UiActivityBriefBase			Bundle		Assets/Product/Ui/Prefab/UiActivityBriefShop.prefab			5000
UiFurnitureCreate			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiFurnitureCreate.prefab			5000
UiDrawLog			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiDrawLog.prefab			5000
UiSystemDialog			System	Bundle		Assets/Product/Ui/Prefab/UiDialog.prefab			5000
UiUsePackage			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiUsePackage.prefab			5000
UiStoryChristmasStageDetail	UiFubenChristmasMainLineChapter			Bundle		Assets/Product/Ui/Prefab/UiStoryChristmasStageDetail.prefab			5000
UiFubenChristmasStageDetail	UiFubenChristmasMainLineChapter			Bundle		Assets/Product/Ui/Prefab/UiFubenChristmasStageDetail.prefab			5000
UiFubenChristmasMainLineChapter			Normal	Bundle		Assets/Product/Ui/Prefab/UiFubenChristmasMainLineChapter.prefab			5000
