Id	Name	ConditionIds[1]	ConditionIds[2]	Priority	SkipId	NpcName	NpcHandIcon	NpcHalfIcon	Contents[1]	Contents[2]	Contents[3]	Contents[4]	Contents[5]	Type
4	普通商店	70004		11	21	丽芙	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	指挥官，这个战区来了新的支援小队，他们正在外面等候和你的会面。	他们除了会运输物资以外，还会做一些资源的交换。	要不要去试着和他们交换些什么呢？			1
5	教学本	70005		12	21	赛利卡	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Assets/Product/Texture/Image/RoleStory/SailikaNomal01.png	灰鸦小队的指挥官你好啊，和构造体们相处地怎样了？	嗯？对构造体们的能力还没有完全了解吗？	没关系，我特意准备了能帮助你了解每位构造体的详细教学哦。	并且，我还准备了一些黑卡作为你掌握这些知识之后的奖励哦。	那么请加油好好熟悉各位构造体的能力吧。	1
107	技能本	70107		13	21	丽芙	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	指挥官，在帮助构造体们升级技能的时候，是不是会遇到技能点的不足问题呢？	通过战技演习可以让技能点数的获得效率大大加快。	如果有这方面的需要，请多多考虑这个方法吧。			1
108	金币本	70108		14	21	丽芙	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	指挥官，这些螺母中包含有构成我们构造体身体的重要物质。	每当升级我们的机体时，就会需要大量消耗螺母，来从中提取这种物质。	螺母广泛存在于地球上，请通过螺母作战来更多地获得它们吧！			1
6	装备经验本	70006		15	21	露西亚	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Assets/Product/Texture/Image/RoleStory/LuxiyaNormal01.png	指挥官，我们的武器装备都是通过十分特殊的材料制作而成。	对装备进行升级时，同样也需要消耗这些材料。	我们可以通过后勤保养作战来获得这些材料。			1
7	装备突破本	70007		16	21	里	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	Assets/Product/Texture/Image/RoleStory/LiangNomal01.png	指挥官，装备的升级也是会出现瓶颈的。	装备被强化到一定程度时，就需要添加进装备突破材料。	这样可以帮助装备的强化到下一阶段。	军备突破作战能帮助我们获得这些珍贵的突破材料，建议尝试。		1
8	挑战-试炼副本	70008		17	21	阿西莫夫	Assets/Product/Texture/Image/RoleCharacter/AximofuNomal01.png	Assets/Product/Texture/Image/RoleStory/AximofuNomal01.png	灰鸦小队的指挥官，你应该已经不满足于那些轻松的战斗了吧。	指挥官部队当中确实有不少像你这样的人。	你可以试着加入这些挑战行动来证明自己的价值。	啊？问我为什么要给你建议？当然是为了获得更多数据了。		1
9	剧情副本-困难	70009		18	21	赛利卡	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Assets/Product/Texture/Image/RoleStory/SailikaNomal01.png	指挥官，你还记得曾经参与的那些作战吗？	作为事件的亲历者，通常只能获得一个角度的信息。	经过这段时间对各方记录的汇集……	但现在开始，你有机会用另一个角度观察曾经发生过的事情了。	那么，接下来就“重温”一下过去吧？	1
109	自动作战	70109		19	21	丽芙	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	指挥官，当我们熟悉了某一次作战的策略之后——	作战的危险性就可以大幅降低，在这种情况下就可以使用自动作战功能。	这样我们就可以不需要依赖指挥官指挥，也能完成这些重复的任务。	指挥官也可以把自己宝贵的精力放在更重要的任务上了。		1
10	高级装备掉落本	70010		20	21	露西亚	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Assets/Product/Texture/Image/RoleStory/LuxiyaNormal01.png	指挥官，高级意识对构造体作战能力的提升效果很大。	越困难的补给作战，收集到高级意识的概率越高。	接下来，请在小队能够承受的范围内不断挑战更高的难度吧。			1
11	角色-详情	70011		21	21	神威	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	Assets/Product/Texture/Image/RoleStory/ShenweiNormal01.png	灰鸦小队的指挥官，你好呀。	对刚出现的我是不是很好奇呢！	实际上我们每个构造体都有一份自己的详细档案。	偶尔翻翻的话，没准能发现什么新奇的东西也说不定！		1
112	试玩区	70112		22	21	赛利卡	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Assets/Product/Texture/Image/RoleStory/SailikaNomal01.png	灰鸦小队的指挥官，我们又见面了。	不知道你有没有注意到，你已经拥有了进入试玩区的权限哦。	试玩区中的都是一些正在开发中的非正式项目……	而不是科技人员们的搞怪创作……他们是这么说的。		1
12	构造体军团	70012		23	21	露西亚	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Assets/Product/Texture/Image/RoleStory/LuxiyaNormal01.png	指挥官，已经有不少新的构造体加入了我们的队伍。	现在可以在构造体军团的名单上查看各位构造体的加入和培养情况了。	在这里，每当对构造体的培养满足了一定条件就可以获得对应构造体的特殊物资。	我想……指挥官应该会对这类物资感兴趣吧……		1
13	协同作战	852201		24	21	哈桑	Assets/Product/Texture/Image/RoleCharacter/HasangNomal01.png	Assets/Product/Texture/Image/RoleStory/HasangNomal01.png	新兵，虽说用的是通信，但其实这只是个留言而已。	长话短说，随着战事的发展各地区都出现了非常强大的侵蚀体。	要打倒它们，需要联合更多人的力量。	我认为你应该参与一次这样的协同作战，来证明自己。	我相信灰鸦小队不会让我失望的。	1
110	支援	70110		25	21	丽芙	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	指挥官，大部分的行动都不会只有一个小队参与。	在战斗前，我们可以请求其他小队的构造体对本次行动进行支援。	那么，接下来，请指挥官尝试一下呼叫其他小队的构造体加入战斗吧。			1
14	前传副本	70014		26	21	赛利卡	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Assets/Product/Texture/Image/RoleStory/SailikaNomal01.png	指挥官，还记得哈桑先生的提醒吗？	知道了更多的事情，也就会面临更多地选择。	根据你现在和构造体们的关系，已经可以有权限查阅他们的部分过去经历了。	指挥官，在此我想要给你一个忠告，在了解到构造体们的过去之后……	请务必更加珍惜他们的现在和未来。	1
15	角色-时装	70015		27	21	露西亚	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Assets/Product/Texture/Image/RoleStory/LuxiyaNormal01.png	指挥官，总部那边送来了新的涂装方案。	涂装是一种不改变机体性能，只改变外观的装备。	指挥官……那个……我需要换上新的涂装吗？			1
16	赏金任务	70016		28	21	神威	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	Assets/Product/Texture/Image/RoleStory/ShenweiNormal01.png	来做赏金任务吧，指挥官！	……呃，需要解释吗？	据说完成之后就能够获得大——量的战队经验。	但最重要的是，这个名字真的很酷！		1
17	书房	70017		29	21	赛利卡	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Assets/Product/Texture/Image/RoleStory/SailikaNomal01.png						1
18	基建与宿舍	70018		30	21	丽芙	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	指挥官，灰鸦小队基地的宿舍终于投入正式运作了！	今后这里就可以作为我们在地球上的一个长期据点。	我开始期待和大家一起在里面的生活了……	对了，指挥官可以对宿舍进行各种改装升级。	指挥官的话，一定能把这里变得很棒吧。	1
19	挑战-纷争战区	70019		31	21	阿西莫夫	Assets/Product/Texture/Image/RoleCharacter/AximofuNomal01.png	Assets/Product/Texture/Image/RoleStory/AximofuNomal01.png	竞争和合作，你的选择会是哪个？	荣誉，资源……在纷争战区中的一切都需要通过竞争获得。	只要能在战区中取得足够高的名次，你们小队就能前往更高级的战区……	然后获取更好的奖励……	这里是最适合证明你们灰鸦小队实力的地方……让我看看你们能做到什么程度吧。	1
20	挑战-幻痛囚笼	70020		32	21	尼科拉	Assets/Product/Texture/Image/RoleCharacter/NikelaNomal01.png	Assets/Product/Texture/Image/RoleStory/NikelaNomal01.png	知道第一时间接听还算你聪明。	我通过观察你们灰鸦小队的战斗记录……	发现那些特殊侵蚀体可让你们吃了不少苦头。	我可以给你们一个权限，在模拟的空间中与这些特殊侵蚀体战斗。	赶紧熟悉和它们的作战吧，今后可是有更强大的敌人需要面对。	1
21	探索玩法	774300		33	21	阿西莫夫	Assets/Product/Texture/Image/RoleCharacter/AximofuNomal01.png	Assets/Product/Texture/Image/RoleStory/AximofuNomal01.png	灰鸦小队的指挥官，你是否和我一样对现在的这个世界感到好奇呢？	虽然我不是在地球上出生，但想要回到那里的心情是和你们一样的。	在这片废土世界中，有着太多的秘密等待发掘……	有兴趣的话，我可以介绍给你一些我们一经发现的……特别的地方。		1
22	勋章系统	852931		34	21	赛利卡	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Assets/Product/Texture/Image/RoleStory/SailikaNomal01.png	指挥官你好呀，你的勋章系统使用权限已开启了哦。	勋章是属于那些对人类阵线做出过杰出贡献之人的荣耀，快去中央数据库中查看一下吧。				1
555	勋章1	555		35	500	尼科拉	Assets/Product/Texture/Image/RoleCharacter/NikelaNomal01.png	Assets/Product/Texture/Image/RoleStory/NikelaNomal01.png	结合灰鸦小队在最近任务中的表现，这次评估的结果我要和你谈一谈。	你们起到的决定性作用是其他小队无法比拟的，特此授予你勋章“王牌指挥”。	下次可要再打个漂亮仗回来，毕竟身为“王牌”，我会对你有更高的要求和期待的。	认证链接发给你了，去领取你的勋章吧。		2
556	勋章2	556		36	500	哈桑	Assets/Product/Texture/Image/RoleCharacter/HasangNomal01.png	Assets/Product/Texture/Image/RoleStory/HasangNomal01.png	好久没看到这一幕了，在显示器上能够亮起如此多的人类据点。	多亏了你，成功完成了夺回据点的任务，没有辜负空中花园对你给予的厚望。	现在我仅代表所有人类阵线势力，为你颁发“绝境开拓”勋章，背负着它的荣耀和使命继续前进吧，我会一直注视着你的。	去吧，这枚荣耀的勋章在等着你的领取。		2
557	勋章3	557		37	500	尼科拉	Assets/Product/Texture/Image/RoleCharacter/NikelaNomal01.png	Assets/Product/Texture/Image/RoleStory/NikelaNomal01.png	哼，你还真是一直做着让人吃惊的事啊。	好久没见到讨伐值达到百万的指挥官了，虽然速度上比我年轻时要慢了一点。	不过你是自我之后第二位达成这个数据的人，光这一点就值得你骄傲了。	领取权限开放给你了，去认证一下吧。		2
558	勋章4	558		38	500	哈桑	Assets/Product/Texture/Image/RoleCharacter/HasangNomal01.png	Assets/Product/Texture/Image/RoleStory/HasangNomal01.png	这是你递交的第九份解放报告，看来你们在一起成长了不少。我仍记得你们刚入伍时的模……	说远了，同伴是军团整体实力的指标之一，我看到了构造体们凝结在你身上的意志，你已经成为那座在黑暗的风暴中最明亮的信标了。	那么现在授予你“意志灯塔”勋章，你可要扛起核心的旗帜，好好引领你的队友，不要辜负了他们的期待。	不啰嗦了，领到这枚勋章后，去好好和同伴们分享一下喜悦吧。		2
559	勋章5	559		39	500	哈桑	Assets/Product/Texture/Image/RoleCharacter/HasangNomal01.png	Assets/Product/Texture/Image/RoleStory/HasangNomal01.png	这一路经历的艰辛，我都看在眼里，辛苦你了。	不知不觉间，你也走到了“领袖”这条道路之上，也勾起了我的一些似曾相识的回忆……	总之，现在我代表人类阵线所有势力，为你颁发这枚“人类领袖”勋章。	从今天开始，比起得到他人的认可，你更需要的是为他人带去希望的方向——那么，我们舰桥指挥室见。		2
599	通关据点战第1章	70119		40		赛利卡	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Assets/Product/Texture/Image/RoleStory/SailikaNomal01.png	好久不见呀指挥官，恭喜你成功控制了015市区，工程部队稍后会进行据点建设，尝试对015号过滤塔进行重启。	但在城市外围还有残余的侵蚀体势力，可不要掉以轻心哦。				1
600	通关据点战第2章	70113		41		哈桑	Assets/Product/Texture/Image/RoleCharacter/HasangNomal01.png	Assets/Product/Texture/Image/RoleStory/HasangNomal01.png	你们如今迈出的一小步，标志着人类向帕弥什病毒反击的一大步。	多亏了灰鸦小队的活跃，升格者势力已经完全撤出了这片城市，我们终于能在地球上建立第一个大型据点，我看好你未来的表现。				1
601	通关据点战第3章	70114		42		哈桑	Assets/Product/Texture/Image/RoleCharacter/HasangNomal01.png	Assets/Product/Texture/Image/RoleStory/HasangNomal01.png	辛苦你了，这次的行动不仅夺回了一个人类据点，还保住了博物馆的遗物。	考古远征队的感谢信我先替你收着，等下次回来我们得一起好好犒劳下你这位大功臣了。				1
602	通关据点战第4章	70115		43		赛利卡	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Assets/Product/Texture/Image/RoleStory/SailikaNomal01.png	不愧是你，不仅克服了沙漠恶劣的天气还出色的完成了任务。	这片地区的收复一直都受到诸多因素的阻碍，多亏了你建立的据点，接下来空中花园在这里的工作总算能够顺利展开啦。				1
603	通关据点战第5章	70116		44		阿西莫夫	Assets/Product/Texture/Image/RoleCharacter/AximofuNomal01.png	Assets/Product/Texture/Image/RoleStory/AximofuNomal01.png	做的还不错，你从试验场获取的数据对意识海技术的发展具有巨大的……考古意义。	我代表科学理事会下属的教育中心感谢你这份杰出的贡献。				1
604	通关据点战第6章	70117		45		哈桑	Assets/Product/Texture/Image/RoleCharacter/HasangNomal01.png	Assets/Product/Texture/Image/RoleStory/HasangNomal01.png	指挥官，因为月光城军工厂的特殊性，我们不能将它的过多信息透露出去。	所以很遗憾这次的嘉奖只有我们几人参加。	但你的贡献是不可磨灭的，在此献上对你的感激。			1
605	通关据点战第7章	70118		46		阿西莫夫	Assets/Product/Texture/Image/RoleCharacter/AximofuNomal01.png	Assets/Product/Texture/Image/RoleStory/AximofuNomal01.png	壁画……机械先哲……有意思。	多亏了你们成功占领这个遗迹，让我们可以进行实地考察了，谢了。				1
700	红包任务里	400000		47	8002	里	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	Assets/Product/Texture/Image/RoleStory/LiangNomal01.png	这段时间陪着他们胡闹，辛苦你了。	也因为有你，大家在这个节日才能过得如此开心。	好好休息吧，另外我给你准备了一些礼物放在基地，稍后去看一下吧。			1
701	红包任务丽芙	400001		48	8002	丽芙	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	这是我第一次参与这种春节活动，说实话……有点不适应。	但看着大家幸福的笑脸还是很开心。	作为感谢，这是我的一点心意，希望您能够喜欢。			1
702	红包任务神威	400002		49	8002	神威	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	Assets/Product/Texture/Image/RoleStory/ShenweiNormal01.png	呦，指挥官，猜猜我给你带了什么。	算了直接告诉你好了，是我特意准备的新年礼物哦！	……咦，跑哪去了，我应该放到包里了呀。	难道已经被我寄出去了？指挥官快和我一起去看一眼！		1
703	红包任务露西亚	400003		50	8002	露西亚	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Assets/Product/Texture/Image/RoleStory/LuxiyaNormal01.png	指挥官，新年快乐。	感谢您在这一年的付出。	希望来年，我们也可以继续并肩作战。			1
704	红包任务七实	400004		51	8002	七实	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	Assets/Product/Texture/Image/RoleStory/Yongyechaonormal01.png	指挥官指挥官，新年快乐！	有没有想念可爱的七实呢？	嘿嘿，七实特意为你准备了新年礼物！	怎么样，开心吗？再夸夸七实也可以哦~		1
705	红包任务赛利卡	400005		52	8002	赛利卡	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Assets/Product/Texture/Image/RoleStory/SailikaNomal01.png	当初听你叫我一起来过春节真是吓了一跳呢。	我玩得很开心哦~	你这么有心，那我也不能什么都不做对吧。	喏，这个送你，是只属于我们两个之间的小——秘——密~		1
706	红包任务卡列	400006		53	8002	卡列尼娜	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	Assets/Product/Texture/Image/RoleStory/KalieninaNomal01.png	哼，和你们一起过春节我才没有很开心呢。	一个个都顶着傻笑抢红包，都没人注意到完全没有准备新年烟花吗？！	真是的，最后还是得靠我。	哼，一个人看烟花表演也太无聊了，就勉为其难让你和我一起吧。		1
