Id	CharacterId	Quality	NpcId	AttrId[1]	AttrId[2]	AttrId[3]	AttrId[4]	AttrId[5]	AttrId[6]	AttrId[7]	AttrId[8]	AttrId[9]	AttrId[10]
38	1051001	2	10510012	1050120	1050121	1050122	1050123	1050124	1050125	1050126	1050127	1050128	1050129
39	1051001	3	10510013	1050130	1050131	1050132	1050133	1050134	1050135	1050136	1050137	1050138	1050139
40	1051001	4	10510014	1050140	1050141	1050142	1050143	1050144	1050145	1050146	1050147	1050148	1050149
41	1051001	5	10510015	1050150	1050151	1050152	1050153	1050154	1050155	1050156	1050157	1050158	1050159
42	1051001	6	10510016										
43	1061002	2	10610022	1060220	1060221	1060222	1060223	1060224	1060225	1060226	1060227	1060228	1060229
44	1061002	3	10610023	1060230	1060231	1060232	1060233	1060234	1060235	1060236	1060237	1060238	1060239
45	1061002	4	10610024	1060240	1060241	1060242	1060243	1060244	1060245	1060246	1060247	1060248	1060249
46	1061002	5	10610025	1060250	1060251	1060252	1060253	1060254	1060255	1060256	1060257	1060258	1060259
47	1061002	6	10610026										
48	1071002	2	10710022	1070220	1070221	1070222	1070223	1070224	1070225	1070226	1070227	1070228	1070229
49	1071002	3	10710023	1070230	1070231	1070232	1070233	1070234	1070235	1070236	1070237	1070238	1070239
50	1071002	4	10710024	1070240	1070241	1070242	1070243	1070244	1070245	1070246	1070247	1070248	1070249
51	1071002	5	10710025	1070250	1070251	1070252	1070253	1070254	1070255	1070256	1070257	1070258	1070259
52	1071002	6	10710026										
53	1061003	3	10610033	1060330	1060331	1060332	1060333	1060334	1060335	1060336	1060337	1060338	1060339
54	1061003	4	10610034	1060340	1060341	1060342	1060343	1060344	1060345	1060346	1060347	1060348	1060349
55	1061003	5	10610035	1060350	1060351	1060352	1060353	1060354	1060355	1060356	1060357	1060358	1060359
56	1061003	6	10610036										
57	1081002	2	10810022	1080220	1080221	1080222	1080223	1080224	1080225	1080226	1080227	1080228	1080229
58	1081002	3	10810023	1080230	1080231	1080232	1080233	1080234	1080235	1080236	1080237	1080238	1080239
59	1081002	4	10810024	1080240	1080241	1080242	1080243	1080244	1080245	1080246	1080247	1080248	1080249
60	1081002	5	10810025	1080250	1080251	1080252	1080253	1080254	1080255	1080256	1080257	1080258	1080259
61	1081002	6	10810026										
62	1011003	3	10110033	1010330	1010331	1010332	1010333	1010334	1010335	1010336	1010337	1010338	1010339
63	1011003	4	10110034	1010340	1010341	1010342	1010343	1010344	1010345	1010346	1010347	1010348	1010349
64	1011003	5	10110035	1010350	1010351	1010352	1010353	1010354	1010355	1010356	1010357	1010358	1010359
65	1011003	6	10110036										
66	1071003	3	10710033	1070330	1070331	1070332	1070333	1070334	1070335	1070336	1070337	1070338	1070339
67	1071003	4	10710034	1070340	1070341	1070342	1070343	1070344	1070345	1070346	1070347	1070348	1070349
68	1071003	5	10710035	1070350	1070351	1070352	1070353	1070354	1070355	1070356	1070357	1070358	1070359
69	1071003	6	10710036										
70	1051003	3	10510033	1070330	1070331	1070332	1070333	1070334	1070335	1070336	1070337	1070338	1070339
71	1051003	4	10510034	1070340	1070341	1070342	1070343	1070344	1070345	1070346	1070347	1070348	1070349
72	1051003	5	10510035	1070350	1070351	1070352	1070353	1070354	1070355	1070356	1070357	1070358	1070359
73	1051003	6	10510036										
