Id	DrawId	IsUp	Name	Type	ProbShow
81	307	1	【5星】猎隼E-3320		12.00%
82	307		【6星】红莲狂士		0.50%
83	307		【6星】斩魂者		0.50%
84	307		【5星】九字之定		1.50%
85	307		【5星】石之心		1.50%
86	307		紫色武器		33.40%
87	307		蓝色武器		27.90%
88	307		螺母箱		9.35%
89	307		突破材料		9.35%
90	308	1	【6星】奇美拉-逆断		4.00%
91	308	1	【5星】电光石火		12.00%
92	308		【6星】影打—逆断		0.50%
93	308		【6星】斩魂者		0.50%
94	308		【5星】九字之定		1.50%
95	308		【5星】石之心		1.50%
96	308		紫色武器		33.40%
97	308		蓝色武器		27.90%
98	308		螺母箱		9.35%
99	308		突破材料		9.35%
100	309	1	【6星】大神威		4.00%
101	309	1	【5星】动轮大剑		12.00%
102	309		【6星】零式		0.50%
103	309		【6星】噬狼枪		0.50%
104	309		【5星】卫士挂载		1.50%
105	309		【5星】暗影紫光		1.50%
106	309		紫色武器		33.40%
107	309		蓝色武器		27.90%
108	309		螺母箱		9.35%
109	309		突破材料		9.35%
110	310	1	【6星】漆黑		4.00%
111	310	1	【5星】动轮大剑		12.00%
112	310		【6星】神赐者		0.50%
113	310		【6星】奇美拉-逆断		0.50%
114	310		【5星】卫士挂载		1.50%
115	310		【5星】电光石火		1.50%
116	310		紫色武器		33.40%
117	310		蓝色武器		27.90%
118	310		螺母箱		9.35%
119	310		突破材料		9.35%
120	311	1	【6星】狂乱融合炮		4.00%
121	311	1	【5星】熔岩之柱		12.00%
122	311		【6星】天龙之风		0.50%
123	311		【6星】影打—逆断		0.50%
124	311		【5星】卫士挂载		1.50%
125	311		【5星】九字之定		1.50%
126	311		紫色武器		33.40%
127	311		蓝色武器		27.90%
128	311		螺母箱		9.35%
129	311		突破材料		9.35%
130	312	1	【6星】斩魂者		4.00%
131	312	1	【5星】石之心		12.00%
132	312		【6星】漆黑		0.50%
133	312		【6星】零式		0.50%
134	312		【5星】动轮大剑		1.50%
135	312		【5星】卫士挂载		1.50%
136	312		紫色武器		33.40%
137	312		蓝色武器		27.90%
138	312		螺母箱		9.35%
139	312		突破材料		9.35%
140	313	1	【6星】零度定标		4.00%
141	313	1	【5星】暗影紫光		12.00%
142	313		【6星】狂乱融合炮		0.50%
143	313		【6星】神赐者		0.50%
144	313		【5星】熔岩之柱		1.50%
145	313		【5星】卫士挂载		1.50%
146	313		紫色武器		33.40%
147	313		蓝色武器		27.90%
148	313		螺母箱		9.35%
149	313		突破材料		9.35%
150	314	1	【6星】核基红龙		4.00%
151	314	1	【5星】熔岩之柱		12.00%
152	314		【6星】天龙之风		0.50%
153	314		【6星】影打—逆断		0.50%
154	314		【5星】卫士挂载		1.50%
155	314		【5星】九字之定		1.50%
156	314		紫色武器		33.40%
157	314		蓝色武器		27.90%
158	314		螺母箱		9.35%
159	314		突破材料		9.35%
160	315	1	【6星】机韵		4.00%
161	315	1	【5星】电光石火		12.00%
162	315		【6星】漆黑		0.50%
163	315		【6星】斩魂者		0.50%
164	315		【5星】动轮大剑		1.50%
165	315		【5星】石之心		1.50%
166	315		紫色武器		33.40%
167	315		蓝色武器		27.90%
168	315		螺母箱		9.35%
169	315		突破材料		9.35%
170	501		初始家具图纸		7.50%
171	501		咖啡厅家具图纸		7.50%
172	501		赛博朋克家具图纸		7.00%
173	501		家具币X5		15.00%
174	501		家具币X10		10.00%
175	501		家具币X15		8.00%
176	501		家具币X20		5.00%
177	501		咖啡厅家具		10.00%
178	501		赛博朋克家具		10.00%
179	501		涂装设计草稿		15.00%
180	501		宿舍入住凭证		5.00%
181	1001	1	【6星】噬狼枪		4.00%
182	1001	1	【5星】暗影紫光		12.00%
183	1001		【6星】狂乱融合炮		0.50%
184	1001		【6星】神赐者		0.50%
185	1001		【5星】熔岩之柱		1.50%
186	1001		【5星】卫士挂载		1.50%
187	1001		紫色武器		33.40%
188	1001		蓝色武器		27.90%
189	1001		螺母箱		9.35%
190	1001		突破材料		9.35%
191	1002		S级构造体(含保底)		1.90%
192	1002		S级构造体(基础掉落)		0.50%
193	1002		B、A级构造体		13.95%
194	1002		角色碎片		22.11%
195	1002		紫色装备		28.39%
196	1002		突破材料		14.42%
197	1002		经验材料		4.81%
198	1002		螺母箱		14.42%
199	1003		S级构造体(含保底)		1.90%
200	1003		S级构造体(基础掉落)		0.50%
201	1003		B、A级构造体		13.95%
202	1003		角色碎片		22.11%
203	1003		紫色装备		28.39%
204	1003		突破材料		14.42%
205	1003		经验材料		4.81%
206	1003		螺母箱		14.42%
207	1004		S级构造体(含保底)		1.90%
208	1004		S级构造体(基础掉落)		0.50%
209	1004		B、A级构造体		13.95%
210	1004		角色碎片		22.11%
211	1004		紫色装备		28.39%
212	1004		突破材料		14.42%
213	1004		经验材料		4.81%
214	1004		螺母箱		14.42%
215	1005		S级构造体(含保底)		1.90%
216	1005		S级构造体(基础掉落)		0.50%
217	1005		B、A级构造体		13.95%
218	1005		角色碎片		22.11%
219	1005		紫色装备		28.39%
220	1005		突破材料		14.42%
221	1005		经验材料		4.81%
222	1005		螺母箱		14.42%
223	2000		S级构造体(含保底)		1.90%
224	2000		S级构造体(基础掉落)		1.50%
225	2000		B、A级构造体		13.95%
226	2000		角色碎片		22.11%
227	2000		紫色装备		28.39%
228	2000		突破材料		14.42%
229	2000		经验材料		4.81%
230	2000		螺母箱		14.42%
