Id	Name	Description	WorldDesc	BigIcon	Icon	ItemType	Quality	Priority	MaxCount	GridCount	TimelinessType	StartTime	Duration	RecycleRewardId	SellForId	SellForCount	RecType	RecTime	RecCount	SkipIdParams[0]	SkipIdParams[1]	SkipIdParams[2]	SkipIdParams[3]	SkipIdParams[4]	SkipIdParams[5]	SubTypeParams[0]	SubTypeParams[1]	SubTypeParams[2]	SubTypeParams[3]	SubTypeParams[4]	SubTypeParams[5]	SubTypeParams[6]	SubTypeParams[7]
11	友情点	与联络人友好度的象征。		Assets/Product/Texture/Image/IconTools/ItPointFriend001.png	Assets/Product/Texture/Image/IconToolsSp/ItPointFriend001Sp.png	1	3	10	9999																								
12	技能点	加深构造体对技能了解的数据程式，可以用来提升技能的等级。	装载着各种技能数据的芯片，可以辅助构造体进行学习，提升技能强度。	Assets/Product/Texture/Image/Iconcurrency/IconConsumeSP.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeSPSp.png	1	3	10	999	99																							
13	日活跃度	完成每日任务获取的活跃度，每天早晨5点清空。		Assets/Product/Texture/Image/IconTools/ItPointNewquest01.png	Assets/Product/Texture/Image/IconToolsSp/ItPointNewquest01Sp.png	1	3	10	1000								2	18000	-9999														
14	周活跃度	完成每日任务获取的活跃度，每周一早晨5点清空。		Assets/Product/Texture/Image/IconTools/ItPointQuest01.png	Assets/Product/Texture/Image/IconToolsSp/ItPointQuest01Sp.png	1	3	10	5000								3	1#18000	-9999														
15	粒子	宿舍系统发电站产出。		Assets/Product/Texture/Image/IconTools/ItBatI010010.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010010Sp.png	1	3	10																									
16	资材	宿舍家具货币。	把产物回收整合以后的资材，根据制作工艺能变成各种有用的东西。	Assets/Product/Texture/Image/IconTools/ItExpI100010.png	Assets/Product/Texture/Image/IconToolsSp/ItExpI100010Sp.png	1	3	10																									
17	拾荒者MK-II	在协同作战中可获得更多奖励。	空中花园的特制机器人，可以短时间内活动在病毒环境中，帮助指挥官在战场上搜寻可用物资	Assets/Product/Texture/Image/Iconcurrency/IconConsumeJunkman.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeJunkmanSp.png	1	3	10	3	3							2	18000	3														
18	赏金任务EXP	可用于提升赏金等级的EXP。	提升赏金等级的特殊奖励，完成不同的任务会获得不同量的加成，“向着顶端去吧。”——某构造体。	Assets/Product/Texture/Image/Iconcurrency/IconConsumeJunkman.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeJunkmanSp.png	1	3	10																									
19	测试道具	测试道具。	测试道具	Assets/Product/Texture/Image/IconTools/IconConsumeGem02.png.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeGem02Sp.png	3	5	10																									
20	进度	完成新手目标任务获得的进度。	谢谢你，指挥官——灰鸦小队	Assets/Product/Texture/Image/IconTools/ItPointQuest01.png	Assets/Product/Texture/Image/IconToolsSp/ItPointQuest01Sp.png	1	3	10	1000																								
21	断章的碎片	用于解锁断章挑战关卡。	就算是一样的碎片，依照拼合的方式，最终也可能产生不同的结果。——阿西莫夫	Assets/Product/Texture/Image/IconTools/ItBePassport01.png	Assets/Product/Texture/Image/IconToolsSp/ItBePassport01Sp.png	1	3	10	99	99							3	0#18000|3#18000	99														
22	拾荒者MK-II	在协同作战中可获得更多奖励。	空中花园的特制机器人，可以短时间内活动在病毒环境中，帮助指挥官在战场上搜寻可用物资	Assets/Product/Texture/Image/Iconcurrency/IconConsumeJunkman.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeJunkmanSp.png	1	3	10	3	3							2	18000	3														
23	战区影响力	纷争战区代币，可在战区商店中兑换补给。	在战区竞争之间会产生各种摩擦和分歧，而最终能决定这些意外事件的结局的，往往是最有影响力的人。	Assets/Product/Texture/Image/IconTools/IconConsumeBattle001.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeBattle001Sp.png	3	5	10	99999	99999										10000													
24	4星·武器碎片	通过分解4星武器获得。	从4星武器上拆解下的零件，可以作为同规格武器的原材料进行再生产，达到资源的高效利用。	Assets/Product/Texture/Image/IconTools/IconConsumeShopWeapon01.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWeapon01Sp.png	4	4	10	99999	99999										10001													
25	5星·武器碎片	通过分解5星武器获得。	从5星武器上拆解下的零件，可以作为同规格武器的原材料进行再生产，达到资源的高效利用。	Assets/Product/Texture/Image/IconTools/IconConsumeShopWeapon02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWeapon02Sp.png	4	5	10	99999	99999										10002													
26	6星·武器碎片	通过分解6星武器获得。	从6星武器上拆解下的零件，可以作为同规格武器的原材料进行再生产，达到资源的高效利用。	Assets/Product/Texture/Image/IconTools/IconConsumeShopWeapon03.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWeapon03Sp.png	4	6	10	99999	99999										10003													
27	4星·意识碎片	通过分解4星意识获得。	从4星意识芯片上拆解下的零件，可以作为同规格意识的原材料进行再生产，达到资源的高效利用。	Assets/Product/Texture/Image/IconTools/IconConsumeShopWafer01.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWafer01Sp.png	4	4	10	99999	99999										10004													
28	5星·意识碎片	通过分解5星意识获得。	从5星意识芯片上拆解下的零件，可以作为同规格意识的原材料进行再生产，达到资源的高效利用。	Assets/Product/Texture/Image/IconTools/IconConsumeShopWafer02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWafer02Sp.png	4	5	10	99999	99999										10005													
29	6星·意识碎片	通过分解6星意识获得。	从6星意识芯片上拆解下的零件，可以作为同规格意识的原材料进行再生产，达到资源的高效利用。	Assets/Product/Texture/Image/IconTools/IconConsumeShopWafer03.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWafer03Sp.png	4	6	10	99999	99999										10006													
30	宿舍币	用以宿舍研发等工作的代币。	亮闪闪的代币，支付一定的数量可以进行宿舍相关的研发等工作。	Assets/Product/Texture/Image/IconTools/IconConsumeBase01.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeBase01Sp.png	4	5	10	99999	99999										10007													
31	家具币	从家具中拆卸下来的零件，可以重新组装成新的家具。	通过拆解现有家具即可获得生产新家具的材料，达到资源的高效利用。	Assets/Product/Texture/Image/IconTools/IconConsumeHouse01.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeHouse01Sp.png	4	4	10	99999	99999										10026													
32	涂装设计图	用以兑换涂装。	生产部门制作涂装时用到的正式涂装设计图，详细地记录着涂装的各部位设计。	Assets/Product/Texture/Image/IconTools/CloPass02.png	Assets/Product/Texture/Image/IconToolsSp/CloPass02Sp.png	4	5	10	99999	99999										10008													
33	涂装设计草稿	用以兑换涂装设计图。	画着涂装设计的草稿，能够看出设计者的想法，但是要生产部门根据草稿来制作涂装，似乎有些强人所难。	Assets/Product/Texture/Image/IconTools/CloPass01.png	Assets/Product/Texture/Image/IconToolsSp/CloPass01Sp.png	4	4	10	99999	99999										10020													
34	A级逆元材料	分解相应逆元碎片获得。	拆解冗余的逆元碎片获得的材料，具有较高的可回收价值，可以在空中花园兑换各种物资。	Assets/Product/Texture/Image/IconTools/IconCharacterPiece01.png	Assets/Product/Texture/Image/IconToolsSp/IconCharacterPiece01Sp.png	4	4	10	99999	99999										10024													
35	S级逆元材料	分解相应逆元碎片获得。	拆解冗余的逆元碎片获得的材料，具有极高的可回收价值，可以在空中花园兑换各种物资。	Assets/Product/Texture/Image/IconTools/IconCharacterPiece02.png	Assets/Product/Texture/Image/IconToolsSp/IconCharacterPiece02Sp.png	4	4	10	99999	99999										10024													
36	入住凭证	用以开启新宿舍的入住凭证。	空中花园审核通过的扩建许可，允许指挥官在基地中开启新的宿舍。	Assets/Product/Texture/Image/IconTools/IconDormPass01.png	Assets/Product/Texture/Image/IconToolsSp/IconDormPass01Sp.png	4	5	10	99999	99999					30	2				10015													
100	怪异的印记	解析雷蒙盖顿之书时得到的货币。	完全不知道是什么。——某人	Assets/Product/Texture/Image/IconTools/ItPointEvent003.png	Assets/Product/Texture/Image/IconToolsSp/ItPointEvent003Sp.png	4	3	10	99999	99999																							
200	幻痛伤痕	幻痛囚笼中能获得的代币，可用于兑换各种有用的东西。	从强力感染体身上取下的组件，科学理事会研究帕弥什的途径之一，可以换取物资。	Assets/Product/Texture/Image/IconTools/ItPointEvent001.png	Assets/Product/Texture/Image/IconToolsSp/ItPointEvent001Sp.png	4	3	10	99999	99999										10009													
300	基地残片	废弃金属制作的代币，能和支援部队换些道具。		Assets/Product/Texture/Image/IconTools/ItPointEvent002.png	Assets/Product/Texture/Image/IconToolsSp/ItPointEvent002Sp.png	4	3	10	99999	99999																							
350	挑战勋章	通关困难难度副本有几率收集到的代币，可以换些支援物资。		Assets/Product/Texture/Image/IconTools/ItPointEvent004.png	Assets/Product/Texture/Image/IconToolsSp/ItPointEvent004Sp.png	4	3	10	99999	99999																							
360	黑星高塔纪念章	巴别塔计划—黑星中获得的纪念章，可作为珍贵的收藏品，未来也许会发挥作用	用以嘉奖在巴别塔计划战略行动中成功达成深度战略模拟的指挥官们，发放数额根据其所突破的战略等级高度决定，制作工艺非常考究，具备特殊纪念价值。	Assets/Product/Texture/Image/IconTools/BabelReward1.png	Assets/Product/Texture/Image/IconToolsSp/BabelReward1Sp.png	4	5	10	99999	999																							
400	友情之印	小队之间的友好证明。		Assets/Product/Texture/Image/IconTools/ItPointFriend001.png	Assets/Product/Texture/Image/IconToolsSp/ItPointFriend001Sp.png	4	3	10	99999	99999																							
401	噩梦勋章	噩梦主线的通关证明。	那些经历过极难挑战的指挥官才能获取的荣耀证明，纪念过去的艰苦付出。	Assets/Product/Texture/Image/IconTools/IconStagePass01.png	Assets/Product/Texture/Image/IconToolsSp/IconStagePass01Sp.png	4	3	10	99999	99999																							
402	终解·异火	构造体终阶解放后，将会在每一场战斗中，首次登场时获取3个同色信号球。	科学理事会研发，根据机体单独配备的光环型装置，内含动能驱动的纳米机器人，可以辅助构造体进行高频计算，立刻产生信号球。	Assets/Product/Texture/Image/IconTools/IconSkillRelease01.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease01Sp.png	1	5	50	999	999					1	10																	
403	终解·红莲	构造体终阶解放后，将会在每一场战斗中，首次登场时获取3个同色信号球。	科学理事会研发，根据机体单独配备的光环型装置，内含动能驱动的纳米机器人，可以辅助构造体进行高频计算，立刻产生信号球。	Assets/Product/Texture/Image/IconTools/IconSkillRelease03.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease03Sp.png	1	5	50	999	999					1	10																	
404	终解·蚀暗	构造体终阶解放后，将会在每一场战斗中，首次登场时获取3个同色信号球。	科学理事会研发，根据机体单独配备的光环型装置，内含动能驱动的纳米机器人，可以辅助构造体进行高频计算，立刻产生信号球。	Assets/Product/Texture/Image/IconTools/IconSkillRelease02.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease02Sp.png	1	5	50	999	999					1	10																	
405	终解·风暴	构造体终阶解放后，将会在每一场战斗中，首次登场时获取3个同色信号球。	科学理事会研发，根据机体单独配备的光环型装置，内含动能驱动的纳米机器人，可以辅助构造体进行高频计算，立刻产生信号球。	Assets/Product/Texture/Image/IconTools/IconSkillRelease04.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease04Sp.png	1	5	50	999	999					1	10																	
406	终解·内核	构造体终阶解放后，将会在每一场战斗中，首次登场时获取3个同色信号球。	科学理事会研发，根据机体单独配备的光环型装置，内含动能驱动的纳米机器人，可以辅助构造体进行高频计算，立刻产生信号球。	Assets/Product/Texture/Image/IconTools/IconSkillRelease02.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease02Sp.png	1	5	50	999	999					1	10																	
407	终解·黎明	构造体终阶解放后，将会在每一场战斗中，首次登场时获取3个同色信号球。	科学理事会研发，根据机体单独配备的光环型装置，内含动能驱动的纳米机器人，可以辅助构造体进行高频计算，立刻产生信号球。	Assets/Product/Texture/Image/IconTools/IconSkillRelease03.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease03Sp.png	1	5	50	999	999					1	10																	
408	终解·仰光	构造体终阶解放后，将会在每一场战斗中，首次登场时获取3个同色信号球。	科学理事会研发，根据机体单独配备的光环型装置，内含动能驱动的纳米机器人，可以辅助构造体进行高频计算，立刻产生信号球。	Assets/Product/Texture/Image/IconTools/IconSkillRelease02.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease02Sp.png	1	5	50	999	999					1	10																	
409	终解·暗能	构造体终阶解放后，将会在每一场战斗中，首次登场时获取3个同色信号球。	科学理事会研发，根据机体单独配备的光环型装置，内含动能驱动的纳米机器人，可以辅助构造体进行高频计算，立刻产生信号球。	Assets/Product/Texture/Image/IconTools/IconSkillRelease04.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease04Sp.png	1	5	50	999	999					1	10																	
410	终解·夜刃	构造体终阶解放后，将会在每一场战斗中，首次登场时获取3个同色信号球。	科学理事会研发，根据机体单独配备的光环型装置，内含动能驱动的纳米机器人，可以辅助构造体进行高频计算，立刻产生信号球。	Assets/Product/Texture/Image/IconTools/IconSkillRelease04.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease04Sp.png	1	5	50	999	999					1	10																	
411	终解·爆裂	构造体终阶解放后，将会在每一场战斗中，首次登场时获取3个同色信号球。	科学理事会研发，根据机体单独配备的光环型装置，内含动能驱动的纳米机器人，可以辅助构造体进行高频计算，立刻产生信号球。	Assets/Product/Texture/Image/IconTools/IconSkillRelease04.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease04Sp.png	1	5	50	999	999					1	10																	
412	终解·重能	构造体终阶解放后，将会在每一场战斗中，首次登场时获取3个同色信号球。	科学理事会研发，根据机体单独配备的光环型装置，内含动能驱动的纳米机器人，可以辅助构造体进行高频计算，立刻产生信号球。	Assets/Product/Texture/Image/IconTools/IconSkillRelease05.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease05Sp.png	1	5	50	999	999					1	10																	
413	终解·零度	构造体终阶解放后，将会在每一场战斗中，首次登场时获取3个同色信号球。	科学理事会研发，根据机体单独配备的光环型装置，内含动能驱动的纳米机器人，可以辅助构造体进行高频计算，立刻产生信号球。	Assets/Product/Texture/Image/IconTools/IconSkillRelease01.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease01Sp.png	1	5	50	999	999					1	10																	
414	终解·烬燃	构造体终阶解放后，将会在每一场战斗中，首次登场时获取3个同色信号球。	科学理事会研发，根据机体单独配备的光环型装置，内含动能驱动的纳米机器人，可以辅助构造体进行高频计算，立刻产生信号球。	Assets/Product/Texture/Image/IconTools/IconSkillRelease04.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease04Sp.png	1	5	50	999	999					1	10																	
415	终解·乱数	构造体终阶解放后，将会在每一场战斗中，首次登场时获取3个同色信号球。	科学理事会研发，根据机体单独配备的光环型装置，内含动能驱动的纳米机器人，可以辅助构造体进行高频计算，立刻产生信号球。	Assets/Product/Texture/Image/IconTools/IconSkillRelease01.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease01Sp.png	1	5	50	999	999					1	10																	
416	终解·脉冲	构造体终阶解放后，将会在每一场战斗中，首次登场时获取3个同色信号球。	科学理事会研发，根据机体单独配备的光环型装置，内含动能驱动的纳米机器人，可以辅助构造体进行高频计算，立刻产生信号球。	Assets/Product/Texture/Image/IconTools/IconSkillRelease04.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease04Sp.png	1	5	50	999	999					1	10																	
417	终解·深红之渊	构造体终阶解放后，将会在每一场战斗中，首次登场时获取3个同色信号球。	科学理事会研发，根据机体单独配备的光环型装置，内含动能驱动的纳米机器人，可以辅助构造体进行高频计算，立刻产生信号球。	Assets/Product/Texture/Image/IconTools/IconSkillRelease03.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease03Sp.png	1	5	50	999	999					1	10																	
418	终解·夙星	构造体终阶解放后，将会在每一场战斗中，首次登场时获取3个同色信号球。	科学理事会研发，根据机体单独配备的光环型装置，内含动能驱动的纳米机器人，可以辅助构造体进行高频计算，立刻产生信号球。	Assets/Product/Texture/Image/IconTools/IconSkillRelease04.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease04Sp.png	1	5	50	999	999					1	10																	
419	终解·溢彩	构造体终阶解放后，将会在每一场战斗中，首次登场时获取3个同色信号球。	科学理事会研发，根据机体单独配备的光环型装置，内含动能驱动的纳米机器人，可以辅助构造体进行高频计算，立刻产生信号球。	Assets/Product/Texture/Image/IconTools/IconSkillRelease06.png	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease06Sp.png	1	5	50	999	999					1	10																	
501	逆元碎片-异火	里的逆元碎片，收集一定数量后可连接构造体。	构造体的意识可以分解为数个逆元碎片，当这些碎片聚合完整后，指挥官就可以与对应构造体产生连接。	Assets/Product/Texture/Image/IconTools/IconTools1011001.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1011001Sp.png	8	4	50	999	999					34	5				10011	10012												
502	逆元碎片-红莲	露西亚的逆元碎片，收集一定数量后可连接构造体。	构造体的意识可以分解为数个逆元碎片，当这些碎片聚合完整后，指挥官就可以与对应构造体产生连接。	Assets/Product/Texture/Image/IconTools/IconTools1021001.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1021001Sp.png	8	4	50	999	999					34	5				10011	10012												
503	逆元碎片-蚀暗	丽芙的逆元碎片，收集一定数量后可连接构造体。	构造体的意识可以分解为数个逆元碎片，当这些碎片聚合完整后，指挥官就可以与对应构造体产生连接。	Assets/Product/Texture/Image/IconTools/IconTools1031001.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1031001Sp.png	8	4	50	999	999					34	5				10011	10012												
504	逆元碎片-零度	比安卡的逆元碎片，收集一定数量后可连接构造体。	构造体的意识可以分解为数个逆元碎片，当这些碎片聚合完整后，指挥官就可以与对应构造体产生连接。	Assets/Product/Texture/Image/IconTools/IconTools1041001.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1041001Sp.png	8	4	50	999	999					34	5				10011	10012												
505	逆元碎片-风暴	七实的逆元碎片，收集一定数量后可连接构造体。	构造体的意识可以分解为数个逆元碎片，当这些碎片聚合完整后，指挥官就可以与对应构造体产生连接。	Assets/Product/Texture/Image/IconTools/IconTools1051001.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1051001Sp.png	8	4	50	999	999					34	5				10011	10012												
506	逆元碎片-重能	神威的逆元碎片，收集一定数量后可连接构造体。	构造体的意识可以分解为数个逆元碎片，当这些碎片聚合完整后，指挥官就可以与对应构造体产生连接。	Assets/Product/Texture/Image/IconTools/IconTools1061001.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1061001Sp.png	8	4	50	999	999					34	5				10011	10012												
507	逆元碎片-爆裂	卡列尼娜的逆元碎片，收集一定数量后可连接构造体。	构造体的意识可以分解为数个逆元碎片，当这些碎片聚合完整后，指挥官就可以与对应构造体产生连接。	Assets/Product/Texture/Image/IconTools/IconTools1071001.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1071001Sp.png	8	4	50	999	999					34	5				10011	10012												
508	逆元碎片-夜刃	渡边的逆元碎片，收集一定数量后可连接构造体。	构造体的意识可以分解为数个逆元碎片，当这些碎片聚合完整后，指挥官就可以与对应构造体产生连接。	Assets/Product/Texture/Image/IconTools/IconTools1081001.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1081001Sp.png	8	4	50	999	999					34	5				10011	10012												
512	逆元碎片-黎明	露西亚的逆元碎片，收集一定数量后可连接构造体。	构造体的意识可以分解为数个逆元碎片，当这些碎片聚合完整后，指挥官就可以与对应构造体产生连接。	Assets/Product/Texture/Image/IconTools/IconTools1021002.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1021002Sp.png	8	4	50	999	999					34	5				10011	10012												
513	逆元碎片-流光	丽芙的逆元碎片，收集一定数量后可连接构造体。	构造体的意识可以分解为数个逆元碎片，当这些碎片聚合完整后，指挥官就可以与对应构造体产生连接。	Assets/Product/Texture/Image/IconTools/IconTools1031002.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1031002Sp.png	8	4	50	999	999					34	5				10011	10012												
515	逆元碎片-脉冲	七实的逆元碎片，收集一定数量后可连接构造体。	构造体的意识可以分解为数个逆元碎片，当这些碎片聚合完整后，指挥官就可以与对应构造体产生连接。	Assets/Product/Texture/Image/IconTools/IconTools1051003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1051003Sp.png	8	4	50	999	999					35	5				10012													
516	逆元碎片-暗能	神威的逆元碎片，收集一定数量后可连接构造体。	构造体的意识可以分解为数个逆元碎片，当这些碎片聚合完整后，指挥官就可以与对应构造体产生连接。	Assets/Product/Texture/Image/IconTools/IconTools1061002.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1061002Sp.png	8	4	50	999	999					35	5				10012													
517	逆元碎片-烬燃	卡列尼娜的逆元碎片，收集一定数量后可连接构造体。	构造体的意识可以分解为数个逆元碎片，当这些碎片聚合完整后，指挥官就可以与对应构造体产生连接。	Assets/Product/Texture/Image/IconTools/IconTools1071002.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1071002Sp.png	8	4	50	999	999					35	5				10012													
522	逆元碎片-深红之渊	露西亚的逆元碎片，收集一定数量后可连接构造体。	构造体的意识可以分解为数个逆元碎片，当这些碎片聚合完整后，指挥官就可以与对应构造体产生连接。	Assets/Product/Texture/Image/IconTools/IconTools1021003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1021003Sp.png	8	4	50	999	999					35	5				10012													
523	逆元碎片-仰光	丽芙的逆元碎片，收集一定数量后可连接构造体。	构造体的意识可以分解为数个逆元碎片，当这些碎片聚合完整后，指挥官就可以与对应构造体产生连接。	Assets/Product/Texture/Image/IconTools/IconTools1031003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1031003Sp.png	8	4	50	999	999					35	5				10012													
521	逆元碎片-乱数	里的逆元碎片，收集一定数量后可连接构造体。	构造体的意识可以分解为数个逆元碎片，当这些碎片聚合完整后，指挥官就可以与对应构造体产生连接。	Assets/Product/Texture/Image/IconTools/IconTools1011002.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1011002Sp.png	8	4	50	999	999					35	5				10012													
528	逆元碎片-夙星	渡边的逆元碎片，收集一定数量后可连接构造体。	构造体的意识可以分解为数个逆元碎片，当这些碎片聚合完整后，指挥官就可以与对应构造体产生连接。	Assets/Product/Texture/Image/IconTools/IconTools1081003.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1081003Sp.png	8	4	50	999	999					34	5				10011	10012												
509	逆元碎片-溢彩	艾拉的逆元碎片，收集一定数量后可连接构造体。	构造体的意识可以分解为数个逆元碎片，当这些碎片聚合完整后，指挥官就可以与对应构造体产生连接。	Assets/Product/Texture/Image/IconTools/IconTools1091002.png	Assets/Product/Texture/Image/IconToolsSp/IconTools1091002Sp.png	8	4	50	999	999					34	5				10011	10012												
10000	超越武器掉落	打开后有可能获得一件超越级装备（武器或意识）。		Assets/Product/Texture/Image/IconTools/ItCaseI070010.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseI070010Sp.png	1	5	50	999	999					1	10																	
10001	特制武器掉落	打开后有可能获得一件特制级装备（武器或意识）。		Assets/Product/Texture/Image/IconTools/ItCaseI030030.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseI030030Sp.png	1	4	50	999	999					1	10																	
10002	觉醒黑盒	随机获得装备觉醒材料。	黑盒中藏有各类不明的数据，通过分析打开后或许能得知其中奥秘。	Assets/Product/Texture/Image/IconTools/ItCaseI030020.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseI030020Sp.png	1	2	50	999	999					1	10																	
10003	突破黑盒	随机获得装备突破材料。	黑盒中藏有各类不明的数据，通过分析打开后或许能得知其中奥秘。	Assets/Product/Texture/Image/IconTools/ItCaseI030010.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseI030010Sp.png	1	2	50	999	999					1	10																	
10004	5星武器掉落	可能掉落5星武器一件。		Assets/Product/Texture/Image/IconTools/ItWeaponPreview05.png	Assets/Product/Texture/Image/IconToolsSp/ItWeaponPreview05Sp.png	4	5	50	999	999					1	10																	
10005	4星武器掉落	可能掉落4星武器一件。		Assets/Product/Texture/Image/IconTools/ItWeaponPreview04.png	Assets/Product/Texture/Image/IconToolsSp/ItWeaponPreview04Sp.png	4	4	50	999	999					1	10																	
