SkipId	Origin	UiName	ParamId	Explain	FunctionalId	CustomParams[1]	CustomParams[2]	CustomParams[3]
200	3	UiFuben	11030105	前往普通剧情				
201	6	UiTask		前往任务		1	0	0
202	3	UiFuben	10050101	前往普通剧情				
203	3	UiFuben	10050102	前往普通剧情				
204	3	UiFuben	10050103	前往普通剧情				
205	3	UiFuben	10050104	前往普通剧情				
206	6	UiCharacter		前往强化	301	0		
207	7	OnOpenUiFubenDaily		前往日常关卡	10401	1000	30010302	
208	3	UiFuben	10050201	前往普通剧情				
209	3	UiFuben	10050202	前往普通剧情				
210	3	UiFuben	10050203	前往普通剧情				
211	3	UiFuben	10050204	前往普通剧情				
212	6	UiCharacter		前往突破	301	0		
213	6	UiCharacter		前往突破	301	0		
214	3	UiFuben	10050301	前往普通剧情				
215	3	UiFuben	10050302	前往普通剧情				
216	3	UiFuben	10050303	前往普通剧情				
217	6	UiTask		前往任务		1	0	0
218	6	UiCharacter		前往升级构造体	101	0		
219	6	UiCharacter		前往升级构造体	101	0		
220	3	UiFuben	11040101	前往隐藏剧情	10102			
221	3	UiFuben	11040102	前往隐藏剧情	10102			
222	3	UiFuben	11040103	前往隐藏剧情	10102			
223	3	UiFuben	11040104	前往隐藏剧情	10102			
224	6	UiCharacter		前往升级构造体	101	0		
225	6	UiCharacter		前往强化	301	0		
226	3	UiFuben	11040105	前往普通剧情				
227	6	UiTask		前往任务		1	0	0
228	3	UiFuben	10060101	前往普通剧情				
229	3	UiFuben	10060102	前往普通剧情				
230	3	UiFuben	10060103	前往普通剧情				
231	3	UiFuben	10060104	前往普通剧情				
232	6	UiCharacter		前往强化	301	0		
233	6	UiCharacter		前往强化	301	0		
234	3	UiFuben	10060201	前往普通剧情				
235	3	UiFuben	10060202	前往普通剧情				
236	3	UiFuben	10060203	前往普通剧情				
237	3	UiFuben	10060204	前往普通剧情				
238	6	UiCharacter		前往突破	301	0		
239	6	UiCharacter		前往突破	301	0		
240	3	UiFuben	10060301	前往普通剧情				
241	3	UiFuben	10060302	前往普通剧情				
242	3	UiFuben	10060303	前往普通剧情				
243	6	UiTask		前往任务		1	0	0
244	6	UiCharacter		前往升级构造体	101	0		
245	6	UiCharacter		前往升级构造体	101	0		
246	3	UiFuben	11050101	前往隐藏剧情	10102			
247	3	UiFuben	11050102	前往隐藏剧情	10102			
248	3	UiFuben	11050103	前往隐藏剧情	10102			
249	3	UiFuben	11050104	前往隐藏剧情	10102			
250	6	UiCharacter		前往升级构造体	101	0		
251	6	UiCharacter		前往强化	301	0		
252	3	UiFuben	11050105	前往普通剧情				
253	6	UiTask		前往任务		1	0	0
254	3	UiFuben	10070101	前往普通剧情				
255	3	UiFuben	10070102	前往普通剧情				
256	3	UiFuben	10070103	前往普通剧情				
257	3	UiFuben	10070104	前往普通剧情				
258	6	UiCharacter		前往强化	301	0		
259	6	UiCharacter		前往强化	301	0		
260	3	UiFuben	10070201	前往普通剧情				
261	3	UiFuben	10070202	前往普通剧情				
262	3	UiFuben	10070203	前往普通剧情				
263	3	UiFuben	10070204	前往普通剧情				
264	6	UiCharacter		前往突破	301	0		
265	6	UiCharacter		前往突破	301	0		
266	3	UiFuben	10070301	前往普通剧情				
267	3	UiFuben	10070302	前往普通剧情				
268	3	UiFuben	10070303	前往普通剧情				
269	6	UiTask		前往任务		1	0	0
270	6	UiCharacter		前往升级构造体	101	0		
271	6	UiCharacter		前往升级构造体	101	0		
272	3	UiFuben	11060101	前往隐藏剧情	10102			
273	3	UiFuben	11060102	前往隐藏剧情	10102			
274	3	UiFuben	11060103	前往隐藏剧情	10102			
275	3	UiFuben	11060104	前往隐藏剧情	10102			
276	6	UiCharacter		前往升级构造体	101	0		
277	6	UiCharacter		前往强化	301	0		
278	3	UiFuben	11060105	前往普通剧情				
279	6	UiTask		前往任务		1	0	0
280	3	UiFuben	10080101	前往普通剧情				
281	3	UiFuben	10080102	前往普通剧情				
282	3	UiFuben	10080103	前往普通剧情				
283	3	UiFuben	10080104	前往普通剧情				
284	6	UiCharacter		前往强化	301	0		
285	6	UiCharacter		前往强化	301	0		
286	3	UiFuben	10080201	前往普通剧情				
287	3	UiFuben	10080202	前往普通剧情				
288	3	UiFuben	10080203	前往普通剧情				
289	3	UiFuben	10080204	前往普通剧情				
290	6	UiCharacter		前往突破	301	0		
291	6	UiCharacter		前往突破	301	0		
292	3	UiFuben	10080301	前往普通剧情				
293	3	UiFuben	10080302	前往普通剧情				
294	3	UiFuben	10080303	前往普通剧情				
295	6	UiTask		前往任务		1	0	0
296	6	UiCharacter		前往升级构造体	101	0		
297	6	UiCharacter		前往升级构造体	101	0		
298	3	UiFuben	11070101	前往隐藏剧情	10102			
299	3	UiFuben	11070102	前往隐藏剧情	10102			
300	3	UiFuben	11070103	前往隐藏剧情	10102			
301	3	UiFuben	11070104	前往隐藏剧情	10102			
302	6	UiCharacter		前往升级构造体	101	0		
303	6	UiCharacter		前往强化	301	0		
304	3	UiFuben	11070105	前往隐藏剧情	10102			
305	6	UiTask		前往任务		1	0	0
306	3	UiFuben	11080101	前往隐藏剧情	10102			
307	3	UiFuben	11080102	前往隐藏剧情	10102			
308	3	UiFuben	11080103	前往隐藏剧情	10102			
309	3	UiFuben	11080104	前往隐藏剧情	10102			
310	6	UiCharacter		前往强化	301	0		
311	6	UiCharacter		前往强化	301	0		
312	3	UiFuben	11080105	前往隐藏剧情	10102			
313	6	UiTask		前往任务		1	0	0
320	3	UiFuben	10010304	普通1-12				
321	3	UiFuben	10020304	普通2-12				
322	3	UiFuben	10030304	普通3-12				
323	3	UiFuben	10040304	普通4-12				
324	3	UiFuben	10050304	普通5-12				
325	3	UiFuben	10060304	普通6-12				
326	3	UiFuben	10070304	普通7-12				
327	3	UiFuben	10080304	普通8-12				
328	3	UiFuben	11010106	困难1-6	10102			
329	3	UiFuben	11020106	困难2-6	10102			
330	3	UiFuben	11030106	困难3-6	10102			
331	3	UiFuben	11040106	困难4-6	10102			
332	3	UiFuben	11050106	困难5-6	10102			
333	3	UiFuben	11060106	困难6-6	10102			
334	3	UiFuben	11070106	困难7-6	10102			
335	3	UiFuben	11080106	困难8-6	10102			
350	6	UiCharacter		前往晋升	102	0		
700	3	UiFuben	12010102	前往据点模式	10103			
701	3	UiFuben	12010202	前往据点模式	10103			
702	3	UiFuben	12010402	前往据点模式	10103			
710	3	UiFuben	12010503	前往据点模式	10103			
711	3	UiFuben	12010703	前往据点模式	10103			
712	3	UiFuben	12011002	前往据点模式	10103			
720	3	UiFuben	12011102	前往据点模式	10103			
721	3	UiFuben	12011302	前往据点模式	10103			
722	3	UiFuben	12011601	前往据点模式	10103			
730	3	UiFuben	12020102	前往据点模式	10103			
731	3	UiFuben	12020402	前往据点模式	10103			
732	3	UiFuben	12020801	前往据点模式	10103			
740	3	UiFuben	12020901	前往据点模式	10103			
741	3	UiFuben	12021201	前往据点模式	10103			
742	3	UiFuben	12030402	前往据点模式	10103			
750	3	UiFuben	12030501	前往据点模式	10103			
751	3	UiFuben	12030802	前往据点模式	10103			
752	3	UiFuben	12040401	前往据点模式	10103			
760	3	UiFuben	12050102	前往据点模式	10103			
761	3	UiFuben	12060103	前往据点模式	10103			
762	3	UiFuben	12060402	前往据点模式	10103			
770	3	UiFuben	12070102	前往据点模式	10103			
771	3	UiFuben	12070402	前往据点模式	10103			
772	3	UiFuben	12080402	前往据点模式	10103			
800	3	UiFuben	12010102	前往据点模式	10103			
801	3	UiFuben	12010202	前往据点模式	10103			
802	3	UiFuben	12010302	前往据点模式	10103			
803	3	UiFuben	12010402	前往据点模式	10103			
804	3	UiFuben	12010503	前往据点模式	10103			
805	3	UiFuben	12010603	前往据点模式	10103			
806	3	UiFuben	12010703	前往据点模式	10103			
807	3	UiFuben	12010803	前往据点模式	10103			
808	3	UiFuben	12010901	前往据点模式	10103			
809	3	UiFuben	12011002	前往据点模式	10103			
810	3	UiFuben	12011102	前往据点模式	10103			
811	3	UiFuben	12011201	前往据点模式	10103			
812	3	UiFuben	12011302	前往据点模式	10103			
813	3	UiFuben	12011402	前往据点模式	10103			
814	3	UiFuben	12011503	前往据点模式	10103			
815	3	UiFuben	12011601	前往据点模式	10103			
816	3	UiFuben	12020102	前往据点模式	10103			
817	3	UiFuben	12020202	前往据点模式	10103			
818	3	UiFuben	12020302	前往据点模式	10103			
819	3	UiFuben	12020402	前往据点模式	10103			
820	3	UiFuben	12020502	前往据点模式	10103			
821	3	UiFuben	12020603	前往据点模式	10103			
822	3	UiFuben	12020702	前往据点模式	10103			
823	3	UiFuben	12020801	前往据点模式	10103			
824	3	UiFuben	12020901	前往据点模式	10103			
825	3	UiFuben	12021002	前往据点模式	10103			
826	3	UiFuben	12021103	前往据点模式	10103			
827	3	UiFuben	12021201	前往据点模式	10103			
828	3	UiFuben	12030102	前往据点模式	10103			
829	3	UiFuben	12030202	前往据点模式	10103			
830	3	UiFuben	12030302	前往据点模式	10103			
831	3	UiFuben	12030402	前往据点模式	10103			
832	3	UiFuben	12030501	前往据点模式	10103			
833	3	UiFuben	12030602	前往据点模式	10103			
834	3	UiFuben	12030703	前往据点模式	10103			
835	3	UiFuben	12030802	前往据点模式	10103			
836	3	UiFuben	12040102	前往据点模式	10103			
837	3	UiFuben	12040201	前往据点模式	10103			
838	3	UiFuben	12040303	前往据点模式	10103			
839	3	UiFuben	12040401	前往据点模式	10103			
840	3	UiFuben	12050102	前往据点模式	10103			
841	3	UiFuben	12050202	前往据点模式	10103			
842	3	UiFuben	12050303	前往据点模式	10103			
843	3	UiFuben	12050402	前往据点模式	10103			
844	3	UiFuben	12060103	前往据点模式	10103			
845	3	UiFuben	12060202	前往据点模式	10103			
846	3	UiFuben	12060303	前往据点模式	10103			
847	3	UiFuben	12060402	前往据点模式	10103			
848	3	UiFuben	12070102	前往据点模式	10103			
849	3	UiFuben	12070203	前往据点模式	10103			
850	3	UiFuben	12070303	前往据点模式	10103			
851	3	UiFuben	12070402	前往据点模式	10103			
852	3	UiFuben	12080103	前往据点模式	10103			
853	3	UiFuben	12080203	前往据点模式	10103			
854	3	UiFuben	12080303	前往据点模式	10103			
855	3	UiFuben	12080402	前往据点模式	10103			
900	1	UiFuben		前往普通剧情				
901	1	UiFuben		前往普通剧情				
902	1	UiFuben		前往隐藏剧情	10102			
903	1	UiFuben		前往普通剧情				
904	1	UiFuben		前往隐藏剧情	10102			
905	1	UiFuben		前往普通剧情				
906	1	UiFuben		前往隐藏剧情	10102			
907	1	UiFuben		前往普通剧情				
908	1	UiFuben		前往隐藏剧情	10102			
909	1	UiFuben		前往普通剧情				
910	1	UiFuben		前往隐藏剧情	10102			
911	1	UiFuben		前往普通剧情				
912	1	UiFuben		前往隐藏剧情	10102			
913	1	UiFuben		前往普通剧情				
914	1	UiFuben		前往隐藏剧情	10102			
915	1	UiFuben		前往隐藏剧情	10102			
2000	4			登录				
2001	4			电量				
2002	4			电量				
2003	1	UiFuben		前往关卡				
2004	7	OnOpenUiFubenDaily		前往日常关卡	10401			
2005	7	OnOpenUiFubenDaily		前往日常关卡	10401			
2006	7	OnOpenUiFubenDaily		前往日常关卡	10401			
2007	7	OnOpenUiOnlineBoss		前往联机副本	10302			
2008	6	UiBag		前往强化	301	1	0	0
2009	6	UiBag		前往强化	301	1	0	0
2010	6	UiBag		前往强化	301	2	0	0
2011	6	UiCharacter		前往升级构造体	101	0		
2012	6	UiShop		购买商品	1001	1	0	
2013	4			电量兑换				
2014	7	OnOpenUiFubenDaily		前往消耗电量				
2015	7	OnOpenUiFubenDaily		前往消耗电量				
2016	7	OnOpenUiFubenDaily		前往消耗电量				
2017	4			前往互动				
2018	8	SkipDormMain		前往宿舍	902			
3000	1	UiFuben		前往主线关卡				
3001	1	UiFuben		前往主线关卡				
3002	1	UiFuben		前往主线关卡				
3003	1	UiFuben		前往主线关卡				
3020	7	OnOpenUiFubenDaily		前往日常关卡	10401			
3021	7	OnOpenUiFubenDaily		前往日常关卡	10401			
3022	7	OnOpenUiFubenDaily		前往日常关卡	10401			
3023	7	OnOpenUiFubenDaily		前往日常关卡	10401			
3030	7	OnOpenUiOnlineBoss		前往活动关卡	10302			
3031	7	OnOpenUiOnlineBoss		前往活动关卡	10302			
3032	7	OnOpenUiOnlineBoss		前往活动关卡	10302			
3033	7	OnOpenUiOnlineBoss		前往活动关卡	10302			
3040	7	OnOpenUiFubenBossSingle		前往幻痛囚笼	10203			
3041	7	OnOpenUiFubenBossSingle		前往幻痛囚笼	10203			
3042	7	OnOpenUiFubenBossSingle		前往幻痛囚笼	10203			
3043	7	OnOpenUiFubenBossSingle		前往幻痛囚笼	10203			
3050	7	OnOpenUiArena		前往战区	10204			
3051	7	OnOpenUiArena		前往战区	10204			
3052	7	OnOpenUiArena		前往战区	10204			
3053	7	OnOpenUiArena		前往战区	10204			
3060	7	OnOpenUiMoneyReward		前往任务				
3061	7	OnOpenUiMoneyReward		前往任务				
3062	7	OnOpenUiMoneyReward		前往任务				
3063	7	OnOpenUiMoneyReward		前往任务				
3064	3	UiFuben	10030402	通关噩梦剧情3-2				
3065	3	UiFuben	10030403	通关噩梦剧情3-3				
3066	3	UiFuben	10030404	通关噩梦剧情3-4				
3067	3	UiFuben	10030501	通关噩梦剧情3-5				
3068	3	UiFuben	10030502	通关噩梦剧情3-6				
3069	3	UiFuben	10030503	通关噩梦剧情3-7				
3070	3	UiFuben	10030504	通关噩梦剧情3-8				
3071	3	UiFuben	10030602	通关噩梦剧情3-10				
3072	3	UiFuben	10030603	通关噩梦剧情3-11				
3073	3	UiFuben	10030604	通关噩梦剧情3-12				
3074	3	UiFuben	10040401	通关噩梦剧情4-1				
3075	3	UiFuben	10040402	通关噩梦剧情4-2				
3076	3	UiFuben	10040403	通关噩梦剧情4-3				
3077	3	UiFuben	10040404	通关噩梦剧情4-4				
3078	3	UiFuben	10040501	通关噩梦剧情4-5				
3079	3	UiFuben	10040502	通关噩梦剧情4-6				
3080	3	UiFuben	10040503	通关噩梦剧情4-7				
3081	3	UiFuben	10040504	通关噩梦剧情4-8				
3082	3	UiFuben	10040601	通关噩梦剧情4-9				
3083	3	UiFuben	10040602	通关噩梦剧情4-10				
3084	3	UiFuben	10040603	通关噩梦剧情4-11				
3085	3	UiFuben	10040604	通关噩梦剧情4-12				
3100	6	UiCharacter		前往成员功能	101	0		
3101	6	UiCharacter		前往成员功能	101	0		
3102	6	UiCharacter		前往成员功能	101	0		
3103	6	UiCharacter		前往成员功能	101	0		
3104	6	UiCharacter		前往成员功能	101	0		
3105	6	UiCharacter		前往成员功能	101	0		
3106	6	UiCharacter		前往成员功能	101	0		
3107	6	UiCharacter		前往成员功能	101	0		
3108	6	UiCharacter		前往成员功能	101	0		
3109	6	UiCharacter		前往成员功能	101	0		
3110	6	UiCharacter		前往成员功能	101	0		
3120	6	UiCharacter		前往成员功能	101	0		
3121	6	UiCharacter		前往成员功能	101	0		
3122	6	UiCharacter		前往成员功能	101	0		
3123	6	UiCharacter		前往成员功能	101	0		
3124	6	UiCharacter		前往成员功能	101	0		
3125	6	UiCharacter		前往成员功能	101	0		
3130	6	UiCharacter		前往成员功能	101	0		
3131	6	UiCharacter		前往成员功能	101	0		
3132	6	UiCharacter		前往成员功能	101	0		
3133	6	UiCharacter		前往成员功能	101	0		
3134	6	UiCharacter		前往成员功能	101	0		
3135	6	UiCharacter		前往成员功能	101	0		
3136	6	UiCharacter		前往成员功能	101	0		
3140	6	UiCharacter		前往成员功能	101	0		
3141	6	UiCharacter		前往成员功能	101	0		
3142	6	UiCharacter		前往成员功能	101	0		
3143	6	UiCharacter		前往成员功能	101	0		
3144	6	UiCharacter		前往成员功能	101	0		
3145	6	UiCharacter		前往成员功能	101	0		
3146	6	UiCharacter		前往成员功能	101	0		
3150	6	UiShop		前往涂装商店	1001	1	0	501
3151	6	UiShop		前往涂装商店	1001	1	0	501
3152	6	UiShop		前往涂装商店	1001	1	0	501
3153	6	UiShop		前往涂装商店	1001	1	0	501
3160	6	UiShop		前往涂装商店	1001	1	0	501
3161	6	UiShop		前往涂装商店	1001	1	0	501
3162	6	UiShop		前往涂装商店	1001	1	0	501
3163	6	UiShop		前往涂装商店	1001	1	0	501
3170	6	UiBag		前往背包	301	1	0	0
3171	6	UiBag		前往背包	301	1	0	0
3172	6	UiBag		前往背包	301	1	0	0
3173	6	UiBag		前往背包	301	1	0	0
3174	6	UiBag		前往背包	301	1	0	0
3175	6	UiBag		前往背包	301	1	0	0
3176	6	UiBag		前往背包	301	1	0	0
3177	6	UiBag		前往背包	301	1	0	0
3178	6	UiBag		前往背包	301	1	0	0
3180	6	UiBag		前往背包	301	2	0	0
3181	6	UiBag		前往背包	301	2	0	0
3182	6	UiBag		前往背包	301	2	0	0
3183	6	UiBag		前往背包	301	2	0	0
3184	6	UiBag		前往背包	301	2	0	0
3185	6	UiBag		前往背包	301	2	0	0
3186	6	UiBag		前往背包	301	2	0	0
3187	6	UiBag		前往背包	301	2	0	0
3188	6	UiBag		前往背包	301	2	0	0
3190	6	UiBag		前往背包	301	1	0	0
3191	6	UiBag		前往背包	301	1	0	0
3192	6	UiBag		前往背包	301	1	0	0
3193	6	UiBag		前往背包	301	1	0	0
3194	6	UiBag		前往背包	301	1	0	0
3195	6	UiBag		前往背包	301	1	0	0
3196	6	UiBag		前往背包	301	1	0	0
3197	6	UiBag		前往背包	301	1	0	0
3198	6	UiBag		前往背包	301	1	0	0
3199	6	UiBag		前往背包	301	1	0	0
3200	6	UiBag		前往背包	301	1	0	0
3201	6	UiBag		前往背包	301	1	0	0
3202	6	UiBag		前往背包	301	1	0	0
3203	6	UiBag		前往背包	301	1	0	0
3204	6	UiBag		前往背包	301	1	0	0
3210	6	UiBag		前往背包	301	2	0	0
3211	6	UiBag		前往背包	301	2	0	0
3212	6	UiBag		前往背包	301	2	0	0
3213	6	UiBag		前往背包	301	2	0	0
3214	6	UiBag		前往背包	301	2	0	0
3215	6	UiBag		前往背包	301	2	0	0
3216	6	UiBag		前往背包	301	2	0	0
3217	6	UiBag		前往背包	301	2	0	0
3218	6	UiBag		前往背包	301	2	0	0
3219	6	UiBag		前往背包	301	2	0	0
3220	6	UiBag		前往背包	301	2	0	0
3221	6	UiBag		前往背包	301	2	0	0
3222	6	UiBag		前往背包	301	2	0	0
3223	6	UiBag		前往背包	301	2	0	0
3224	6	UiBag		前往背包	301	2	0	0
3230	7	OnOpenUiFubenDaily		前往日常关卡	10101	1004		
3231	7	OnOpenUiFubenDaily		前往日常关卡	10101	1004		
3232	7	OnOpenUiFubenDaily		前往日常关卡	10101	1004		
3233	7	OnOpenUiFubenDaily		前往日常关卡	10101	1004		
3234	7	OnOpenUiFubenDaily		前往日常关卡	10101	1004		
3235	7	OnOpenUiFubenDaily		前往日常关卡	10101	1004		
3236	7	OnOpenUiFubenDaily		前往日常关卡	10101	1004		
3237	7	OnOpenUiFubenDaily		前往日常关卡	10101	1004		
3238	7	OnOpenUiFubenDaily		前往日常关卡	10101	1004		
3239	7	OnOpenUiFubenDaily		前往日常关卡	10101	1004		
3240	8	SkipDormMain		前往宿舍	902			
3241	8	SkipDormMain		前往宿舍	902			
3242	8	SkipDormMain		前往宿舍	902			
3243	8	SkipDormMain		前往宿舍	902			
3300	6	UiCharacter		前往成员功能	101	0		
3301	6	UiCharacter		前往成员功能	101	0		
3302	6	UiCharacter		前往成员功能	101	0		
3303	6	UiCharacter		前往成员功能	101	0		
3304	6	UiCharacter		前往成员功能	101	0		
3305	6	UiCharacter		前往成员功能	101	0		
3306	6	UiCharacter		前往成员功能	101	0		
3307	6	UiCharacter		前往成员功能	101	0		
3310	6	UiCharacter		前往成员功能	101	0		
3311	6	UiCharacter		前往成员功能	101	0		
3312	6	UiCharacter		前往成员功能	101	0		
3313	6	UiCharacter		前往成员功能	101	0		
3314	6	UiCharacter		前往成员功能	101	0		
3315	6	UiCharacter		前往成员功能	101	0		
3316	6	UiCharacter		前往成员功能	101	0		
3317	6	UiCharacter		前往成员功能	101	0		
3320	6	UiCharacter		前往成员功能	101	0		
3321	6	UiCharacter		前往成员功能	101	0		
3322	6	UiCharacter		前往成员功能	101	0		
3323	6	UiCharacter		前往成员功能	101	0		
3324	6	UiCharacter		前往成员功能	101	0		
3325	6	UiCharacter		前往成员功能	101	0		
3326	6	UiCharacter		前往成员功能	101	0		
3327	6	UiCharacter		前往成员功能	101	0		
3330	6	UiCharacter		前往成员功能	101	0		
3331	6	UiCharacter		前往成员功能	101	0		
3332	6	UiCharacter		前往成员功能	101	0		
3333	6	UiCharacter		前往成员功能	101	0		
3334	6	UiCharacter		前往成员功能	101	0		
3335	6	UiCharacter		前往成员功能	101	0		
3336	6	UiCharacter		前往成员功能	101	0		
3337	6	UiCharacter		前往成员功能	101	0		
3340	6	UiCharacter		前往成员功能	101	0		
3341	6	UiCharacter		前往成员功能	101	0		
3342	6	UiCharacter		前往成员功能	101	0		
3343	6	UiCharacter		前往成员功能	101	0		
3344	6	UiCharacter		前往成员功能	101	0		
3345	6	UiCharacter		前往成员功能	101	0		
3346	6	UiCharacter		前往成员功能	101	0		
3347	6	UiCharacter		前往成员功能	101	0		
3350	6	UiCharacter		前往成员功能	101	0		
3351	6	UiCharacter		前往成员功能	101	0		
3352	6	UiCharacter		前往成员功能	101	0		
3353	6	UiCharacter		前往成员功能	101	0		
3354	6	UiCharacter		前往成员功能	101	0		
3355	6	UiCharacter		前往成员功能	101	0		
3356	6	UiCharacter		前往成员功能	101	0		
3357	6	UiCharacter		前往成员功能	101	0		
3360	6	UiCharacter		前往成员功能	101	0		
3361	6	UiCharacter		前往成员功能	101	0		
3362	6	UiCharacter		前往成员功能	101	0		
3363	6	UiCharacter		前往成员功能	101	0		
3364	6	UiCharacter		前往成员功能	101	0		
3365	6	UiCharacter		前往成员功能	101	0		
3366	6	UiCharacter		前往成员功能	101	0		
3367	6	UiCharacter		前往成员功能	101	0		
3370	6	UiCharacter		前往成员功能	101	0		
3371	6	UiCharacter		前往成员功能	101	0		
3372	6	UiCharacter		前往成员功能	101	0		
3373	6	UiCharacter		前往成员功能	101	0		
3374	6	UiCharacter		前往成员功能	101	0		
3375	6	UiCharacter		前往成员功能	101	0		
