Id	Name	Desc	ConsumeId	ConsumeCount	RewardId	MailId	MailCount	DailyRewardId	DailyRewardCount	PrePurchaseId	ConditionId[1]	ConditionId[2]	TimeToEffectStr	TimeToInvalidStr	ShelvesType	ShelvesDays	BuyLimitTimes	BuyLimitType	BuyLimitParam	Icon	IsSellOutShow	Tag	UiType	Priority	LogType
21	每日技能点	每日技能点	3	10	90019												1	1	10000	UioJDay	1		6	50100	4
22	武器材料	连续7天，每天邮件领取1份	5	38		90003	7								1	"[1,2,3,4,5]"	1	1	10001	UioWMaterial	1		6	50200	3
23	意识材料	连续7天，每天邮件领取1份	5	38		90004	7								1	"[1,2,3,4,5]"	1	1	10001	UioCMaterial	1		6	50300	3
24	螺母	螺母	5	30	90020								2008/12/1 5:00	2009/12/1 5:00			1	0		UioMoney	1		6	50400	3
25	涂装设计图	涂装设计图	5	30	90021															UioSkinD	0		7	30500	3
26	家具币	家具币	5	98	90022															UioFCoin	0		7	50500	3
10000	月卡	每日签到获得<color=#ff8338>100</color>黑卡	5	30	91000			91001	30									3	30	Card	1	1	2		2
27	每周性价比礼包	每周性价比礼包	5	68	90024												1	1	10001	UioXingjia	1		5	10800	3
28	角色10连材料包	角色10连材料包	5	88	90025												1	0		UioShilian			5	10400	3
29	角色研发补给包	角色研发补给包	5	35	90026												2	0		UioYanfa			5	10100	3
30	时装自选补给包	自选时装	5	128	90027												1	0		UioZhixuan			7	30100	3
31	辉煌流星-七实·脉冲	七实·脉冲的涂装-辉煌流星	5	154	6510305								2019/12/5 10:00	2019/12/11 9:59			1	0		UioPifu31		14	7	30110	3
32	灰羽-七实·脉冲	七实·脉冲的涂装-灰羽	5	154	6510304								2019/12/5 10:00	2019/12/11 9:59			1	0		UioPifu32		14	7	30120	3
33	灰羽-卡列尼娜·爆裂	卡列尼娜·爆裂的涂装-灰羽	5	126	6710104								2018/12/5 10:00	2018/12/11 9:59			1	0		UioPifu33		14	7	30130	3
34	灰羽-里·异火	里·异火的涂装-灰羽	5	98	6110104								2018/12/5 10:00	2018/12/11 9:59			1	0		UioPifu34		14	7	30140	3
35	终焉灰烬-里·乱数	里·乱数的涂装-终焉灰烬	5	154	6110305								2018/12/11 10:00	2018/12/17 9:59			1	0		UioPifu35		14	7	30110	3
36	灰羽-里·乱数	里·乱数的涂装-灰羽	5	98	6110304								2018/12/11 10:00	2018/12/17 9:59			1	0		UioPifu36		14	7	30120	3
37	哥特机兵-露西亚·黎明	露西亚·黎明的涂装-哥特机兵	5	154	6210204								2018/12/11 10:00	2018/12/17 9:59			1	0		UioPifu37		14	7	30130	3
38	灰羽-露西亚·黎明	露西亚·黎明的涂装-灰羽	5	154	6210205								2018/12/11 10:00	2018/12/17 9:59			1	0		UioPifu38		14	7	30140	3
39	灰羽-丽芙·仰光	丽芙·仰光的涂装-灰羽	5	154	6310305								2018/12/17 10:00	2018/12/24 9:59			1	0		UioPifu39		14	7	30110	3
40	鬼装神机-卡列尼娜·烬燃	卡列尼娜·烬燃的涂装-鬼装神机	5	154	6710305								2018/12/17 10:00	2018/12/24 9:59			1	0		UioPifu40		14	7	30120	3
41	灰羽-卡列尼娜·烬燃	卡列尼娜·烬燃的涂装-灰羽	5	126	6710304								2018/12/17 10:00	2018/12/24 9:59			1	0		UioPifu41		14	7	30130	3
42	灰羽-丽芙·流光	丽芙·流光的涂装-灰羽	5	154	6310204								2018/12/17 10:00	2018/12/24 9:59			1	0		UioPifu42		14	7	30140	3
43	灰羽-露西亚·深红之渊	露西亚·深红之渊的涂装-灰羽	5	154	6210304								2020/1/1 10:00	2020/1/31 9:59			1	0		UioPifu43		14	7	30150	3
44	终末之旅-露西亚·深红之渊	露西亚·深红之渊的涂装-终末之旅	5	154	6210305								2020/1/1 10:00	2020/1/31 9:59			1	0		UioPifu44		14	7	30160	3
45	圣诞之约-丽芙·蚀暗	丽芙·蚀暗的涂装-圣诞之约	5	68	6310107								2018/12/24 10:00	2018/12/24 10:00			1	0		UioPifu45		14	7	30140	3
1000	极地活动角色研发券	极地活动角色研发券	5	128	90030								2020/1/1 10:00	2020/1/31 9:59			1	0		UioCDMouth2		1	5	10550	3
1001	圣诞家具补给包	圣诞家具补给包	5	98	90031								2019/12/24 11:00	2020/1/31 9:59			1	0		UioJiaju46		14	7	30170	3
