Id	AttribPoolId[1]	AttribPoolWeight[1]	AttribPoolId[2]	AttribPoolWeight[2]	AttribPoolId[3]	AttribPoolWeight[3]	CharacterSkillPoolId[1]	CharacterSkillPoolWeight[1]	CharacterSkillPoolId[2]	CharacterSkillPoolWeight[2]	WeaponSkillPoolId[1]	WeaponSkillPoolWeight[1]	WeaponSkillPoolId[2]	WeaponSkillPoolWeight[2]	WeaponSkillPoolId[3]	WeaponSkillPoolWeight[3]
3035002	6	100	6	100												
3035003	6	100	6	100												
3035004	6	100	6	100												
3035005	6	100	6	100												
3035006	6	100	6	100												
3035007	6	100	6	100												
3035008	6	100	6	100												
3036001	7	100	7	100			1	100	2	100						
3036002	7	100	7	100			1	100	2	100						
3036003	7	100	7	100			1	100	2	100						
3036004	7	100	7	100			1	100	2	100						
3036005	7	100	7	100			1	100	2	100						
3036006	7	100	7	100			1	100	2	100						
3036007	7	100	7	100			1	100	2	100						
3036008	7	100	7	100			1	100	2	100						
3036009	7	100	7	100			1	100	2	100						
3036010	7	100	7	100			1	100	2	100						
3036011	7	100	7	100			1	100	2	100						
3036012	7	100	7	100			1	100	2	100						
3045001	6	100	6	100												
3045002	6	100	6	100												
3045003	6	100	6	100												
3045004	6	100	6	100												
3045005	6	100	6	100												
3045006	6	100	6	100												
3045007	6	100	6	100												
3045008	6	100	6	100												
3046001	7	100	7	100			1	100	2	100						
3046002	7	100	7	100			1	100	2	100						
3046003	7	100	7	100			1	100	2	100						
3046004	7	100	7	100			1	100	2	100						
3046005	7	100	7	100			1	100	2	100						
3046006	7	100	7	100			1	100	2	100						
3046007	7	100	7	100			1	100	2	100						
3046008	7	100	7	100			1	100	2	100						
3046009	7	100	7	100			1	100	2	100						
3046010	7	100	7	100			1	100	2	100						
3046011	7	100	7	100			1	100	2	100						
3046012	7	100	7	100			1	100	2	100						
3055001	6	100	6	100												
3055002	6	100	6	100												
3055003	6	100	6	100												
3055004	6	100	6	100												
3055005	6	100	6	100												
3055006	6	100	6	100												
3055007	6	100	6	100												
3055008	6	100	6	100												
3056001	7	100	7	100			1	100	2	100						
3056002	7	100	7	100			1	100	2	100						
3056003	7	100	7	100			1	100	2	100						
3056004	7	100	7	100			1	100	2	100						
3056005	7	100	7	100			1	100	2	100						
3056006	7	100	7	100			1	100	2	100						
3056007	7	100	7	100			1	100	2	100						
3056008	7	100	7	100			1	100	2	100						
3056009	7	100	7	100			1	100	2	100						
3056010	7	100	7	100			1	100	2	100						
3056011	7	100	7	100			1	100	2	100						
3056012	7	100	7	100			1	100	2	100						
3065001	6	100	6	100												
3065002	6	100	6	100												
3065003	6	100	6	100												
3065004	6	100	6	100												
3065005	6	100	6	100												
3065006	6	100	6	100												
3065007	6	100	6	100												
3065008	6	100	6	100												
3066001	7	100	7	100			1	100	2	100						
3066002	7	100	7	100			1	100	2	100						
3066003	7	100	7	100			1	100	2	100						
3066004	7	100	7	100			1	100	2	100						
3066005	7	100	7	100			1	100	2	100						
3066006	7	100	7	100			1	100	2	100						
3066007	7	100	7	100			1	100	2	100						
3066008	7	100	7	100			1	100	2	100						
3066009	7	100	7	100			1	100	2	100						
3066010	7	100	7	100			1	100	2	100						
3066011	7	100	7	100			1	100	2	100						
3066012	7	100	7	100			1	100	2	100						
3016014	7	100	7	100			1	100	2	100						
3026014	7	100	7	100			1	100	2	100						
3036014	7	100	7	100			1	100	2	100						
3046014	7	100	7	100			1	100	2	100						
3056014	7	100	7	100			1	100	2	100						
3066014	7	100	7	100			1	100	2	100						
3015050	6	100	6	100												
3025050	6	100	6	100												
3035050	6	100	6	100												
3045050	6	100	6	100												
3055050	6	100	6	100												
3065050	6	100	6	100												
