Id	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ	Scale	ChildPosX	ChildPosY	ChildRotaionX	ChildRotaionY	ChildRotaionZ
70020709	1697	-579	-49	-45	0	0	0.45	3296	-3131			-520
70020710	1946	-579	-49	-45	0	0	0.45	3560	-3131			-520
70020711	2197	-579	-49	-45	0	0	0.45	3807	-3131			-520
70020712	2445	-579	-49	-45	0	0	0.45	4060	-3131			-520
10010001	-632.46	90.8	0	0	0	0	1					
10010002	-125	-267	0	0	0	0	1					
10010003	0	0	0	0	0	0	1					
10010004	0	0	0	0	0	0	1					
10010101	-632.46	90.8	0	0	0	0	1					
10010102	-125	-267	0	0	0	0	1					
10010103	169	277	0	0	0	0	1					
10010104	604	-239	0	0	0	0	1					
10010201	-649	-181	0	0	0	0	1					
10010202	-131	175	0	0	0	0	1					
10010203	190	-305	0	0	0	0	1					
10010204	494	171	0	0	0	0	1					
10010301	-627	180	0	0	0	0	1					
10010302	-498	-254	0	0	0	0	1					
10010303	70	-16	0	0	0	0	1					
10010304	600	-238	0	0	0	0	1					
10010401	-492	232	0	0	0	0	1					
10010402	-63	-95	0	0	0	0	1					
10010403	491	-293	0	0	0	0	1					
10010404	580	247	0	0	0	0	1					
10020101	-632.46	90.8	0	0	0	0	1					
10020102	-125	-267	0	0	0	0	1					
10020103	169	277	0	0	0	0	1					
10020104	604	-239	0	0	0	0	1					
10020201	-649	-181	0	0	0	0	1					
10020202	-131	175	0	0	0	0	1					
10020203	190	-305	0	0	0	0	1					
10020204	494	171	0	0	0	0	1					
10020301	-627	180	0	0	0	0	1					
10020302	-498	-254	0	0	0	0	1					
10020303	70	-16	0	0	0	0	1					
10020304	600	-238	0	0	0	0	1					
10020401	-492	232	0	0	0	0	1					
10020402	-63	-95	0	0	0	0	1					
10020403	491	-293	0	0	0	0	1					
10020404	580	247	0	0	0	0	1					
10030101	-632.46	90.8	0	0	0	0	1					
10030102	-125	-267	0	0	0	0	1					
10030103	169	277	0	0	0	0	1					
10030104	604	-239	0	0	0	0	1					
10030201	-649	-181	0	0	0	0	1					
10030202	-131	175	0	0	0	0	1					
10030203	190	-305	0	0	0	0	1					
10030204	494	171	0	0	0	0	1					
10030301	-627	180	0	0	0	0	1					
10030302	-498	-254	0	0	0	0	1					
10030303	70	-16	0	0	0	0	1					
10030304	600	-238	0	0	0	0	1					
10030401	-492	232	0	0	0	0	1					
10030402	-63	-95	0	0	0	0	1					
10030403	491	-293	0	0	0	0	1					
10030404	580	247	0	0	0	0	1					
10040101	-632.46	90.8	0	0	0	0	1					
10040102	-125	-267	0	0	0	0	1					
10040103	169	277	0	0	0	0	1					
10040104	604	-239	0	0	0	0	1					
10040201	-649	-181	0	0	0	0	1					
10040202	-131	175	0	0	0	0	1					
10040203	190	-305	0	0	0	0	1					
10040204	494	171	0	0	0	0	1					
10040301	-627	180	0	0	0	0	1					
10040302	-498	-254	0	0	0	0	1					
10040303	70	-16	0	0	0	0	1					
10040304	600	-238	0	0	0	0	1					
10040401	-492	232	0	0	0	0	1					
10040402	-63	-95	0	0	0	0	1					
10040403	491	-293	0	0	0	0	1					
10040404	580	247	0	0	0	0	1					
10050101	-632.46	90.8	0	0	0	0	1					
10050102	-125	-267	0	0	0	0	1					
10050103	169	277	0	0	0	0	1					
10050104	604	-239	0	0	0	0	1					
10050201	-649	-181	0	0	0	0	1					
10050202	-131	175	0	0	0	0	1					
10050203	190	-305	0	0	0	0	1					
10050204	494	171	0	0	0	0	1					
10050301	-627	180	0	0	0	0	1					
10050302	-498	-254	0	0	0	0	1					
10050303	70	-16	0	0	0	0	1					
10050304	600	-238	0	0	0	0	1					
10050401	-492	232	0	0	0	0	1					
10050402	-63	-95	0	0	0	0	1					
10050403	491	-293	0	0	0	0	1					
10050404	580	247	0	0	0	0	1					
10060101	-632.46	90.8	0	0	0	0	1					
10060102	-125	-267	0	0	0	0	1					
10060103	169	277	0	0	0	0	1					
10060104	604	-239	0	0	0	0	1					
10060201	-649	-181	0	0	0	0	1					
10060202	-131	175	0	0	0	0	1					
10060203	190	-305	0	0	0	0	1					
10060204	494	171	0	0	0	0	1					
10060301	-627	180	0	0	0	0	1					
10060302	-498	-254	0	0	0	0	1					
10060303	70	-16	0	0	0	0	1					
10060304	600	-238	0	0	0	0	1					
10060401	-492	232	0	0	0	0	1					
10060402	-63	-95	0	0	0	0	1					
10060403	491	-293	0	0	0	0	1					
10060404	580	247	0	0	0	0	1					
10070101	-632.46	90.8	0	0	0	0	1					
10070102	-125	-267	0	0	0	0	1					
10070103	169	277	0	0	0	0	1					
10070104	604	-239	0	0	0	0	1					
10070201	-649	-181	0	0	0	0	1					
10070202	-131	175	0	0	0	0	1					
10070203	190	-305	0	0	0	0	1					
10070204	494	171	0	0	0	0	1					
10070301	-627	180	0	0	0	0	1					
10070302	-498	-254	0	0	0	0	1					
10070303	70	-16	0	0	0	0	1					
10070304	600	-238	0	0	0	0	1					
10070401	-492	232	0	0	0	0	1					
10070402	-63	-95	0	0	0	0	1					
10070403	491	-293	0	0	0	0	1					
10070404	580	247	0	0	0	0	1					
10080101	-632.46	90.8	0	0	0	0	1					
10080102	-125	-267	0	0	0	0	1					
10080103	169	277	0	0	0	0	1					
10080104	604	-239	0	0	0	0	1					
10080201	-649	-181	0	0	0	0	1					
10080202	-131	175	0	0	0	0	1					
10080203	190	-305	0	0	0	0	1					
10080204	494	171	0	0	0	0	1					
10080301	-627	180	0	0	0	0	1					
10080302	-498	-254	0	0	0	0	1					
10080303	70	-16	0	0	0	0	1					
10080304	600	-238	0	0	0	0	1					
10080401	-492	232	0	0	0	0	1					
10080402	-63	-95	0	0	0	0	1					
10080403	491	-293	0	0	0	0	1					
10080404	580	247	0	0	0	0	1					
11010101	-574	179	0	0	0	0	1					
11010102	-490	-257	0	0	0	0	1					
11010103	32	33	0	0	0	0	1					
11010104	517	-238	0	0	0	0	1					
11010201	-593	-194	0	0	0	0	1					
11010202	-174	229	0	0	0	0	1					
11010203	123	-330	0	0	0	0	1					
11010204	499	97	0	0	0	0	1					
11010301	-579	72	0	0	0	0	1					
11010302	-179	-298	0	0	0	0	1					
11010303	446	-222	0	0	0	0	1					
11010304	337	264	0	0	0	0	1					
11010401	-483	-243	0	0	0	0	1					
11010402	-352	201	0	0	0	0	1					
11010403	76	-139	0	0	0	0	1					
11010404	622	159	0	0	0	0	1					
11020101	-574	179	0	0	0	0	1					
11020102	-490	-257	0	0	0	0	1					
11020103	32	33	0	0	0	0	1					
11020104	517	-238	0	0	0	0	1					
11020201	-593	-194	0	0	0	0	1					
11020202	-174	229	0	0	0	0	1					
11020203	123	-330	0	0	0	0	1					
11020204	499	97	0	0	0	0	1					
11020301	-579	72	0	0	0	0	1					
11020302	-179	-298	0	0	0	0	1					
11020303	446	-222	0	0	0	0	1					
11020304	337	264	0	0	0	0	1					
11020401	-483	-243	0	0	0	0	1					
11020402	-352	201	0	0	0	0	1					
11020403	76	-139	0	0	0	0	1					
11020404	622	159	0	0	0	0	1					
11030101	-574	179	0	0	0	0	1					
11030102	-490	-257	0	0	0	0	1					
11030103	32	33	0	0	0	0	1					
11030104	517	-238	0	0	0	0	1					
11030201	-593	-194	0	0	0	0	1					
11030202	-174	229	0	0	0	0	1					
11030203	123	-330	0	0	0	0	1					
11030204	499	97	0	0	0	0	1					
11030301	-579	72	0	0	0	0	1					
11030302	-179	-298	0	0	0	0	1					
11030303	446	-222	0	0	0	0	1					
11030304	337	264	0	0	0	0	1					
11030401	-483	-243	0	0	0	0	1					
11030402	-352	201	0	0	0	0	1					
11030403	76	-139	0	0	0	0	1					
11030404	622	159	0	0	0	0	1					
11040101	-574	179	0	0	0	0	1					
11040102	-490	-257	0	0	0	0	1					
11040103	32	33	0	0	0	0	1					
11040104	517	-238	0	0	0	0	1					
11040201	-593	-194	0	0	0	0	1					
11040202	-174	229	0	0	0	0	1					
11040203	123	-330	0	0	0	0	1					
11040204	499	97	0	0	0	0	1					
11040301	-579	72	0	0	0	0	1					
11040302	-179	-298	0	0	0	0	1					
11040303	446	-222	0	0	0	0	1					
11040304	337	264	0	0	0	0	1					
11040401	-483	-243	0	0	0	0	1					
11040402	-352	201	0	0	0	0	1					
11040403	76	-139	0	0	0	0	1					
11040404	622	159	0	0	0	0	1					
11050101	-574	179	0	0	0	0	1					
11050102	-490	-257	0	0	0	0	1					
11050103	32	33	0	0	0	0	1					
11050104	517	-238	0	0	0	0	1					
11050201	-593	-194	0	0	0	0	1					
11050202	-174	229	0	0	0	0	1					
11050203	123	-330	0	0	0	0	1					
11050204	499	97	0	0	0	0	1					
11050301	-579	72	0	0	0	0	1					
11050302	-179	-298	0	0	0	0	1					
11050303	446	-222	0	0	0	0	1					
11050304	337	264	0	0	0	0	1					
11050401	-483	-243	0	0	0	0	1					
11050402	-352	201	0	0	0	0	1					
11050403	76	-139	0	0	0	0	1					
11050404	622	159	0	0	0	0	1					
11060101	-574	179	0	0	0	0	1					
11060102	-490	-257	0	0	0	0	1					
11060103	32	33	0	0	0	0	1					
11060104	517	-238	0	0	0	0	1					
11060201	-593	-194	0	0	0	0	1					
11060202	-174	229	0	0	0	0	1					
11060203	123	-330	0	0	0	0	1					
11060204	499	97	0	0	0	0	1					
11060301	-579	72	0	0	0	0	1					
11060302	-179	-298	0	0	0	0	1					
11060303	446	-222	0	0	0	0	1					
11060304	337	264	0	0	0	0	1					
11060401	-483	-243	0	0	0	0	1					
11060402	-352	201	0	0	0	0	1					
11060403	76	-139	0	0	0	0	1					
11060404	622	159	0	0	0	0	1					
11070101	-574	179	0	0	0	0	1					
11070102	-490	-257	0	0	0	0	1					
11070103	32	33	0	0	0	0	1					
11070104	517	-238	0	0	0	0	1					
11070201	-593	-194	0	0	0	0	1					
11070202	-174	229	0	0	0	0	1					
11070203	123	-330	0	0	0	0	1					
11070204	499	97	0	0	0	0	1					
11070301	-579	72	0	0	0	0	1					
11070302	-179	-298	0	0	0	0	1					
11070303	446	-222	0	0	0	0	1					
11070304	337	264	0	0	0	0	1					
11070401	-483	-243	0	0	0	0	1					
11070402	-352	201	0	0	0	0	1					
11070403	76	-139	0	0	0	0	1					
11070404	622	159	0	0	0	0	1					
11080101	-574	179	0	0	0	0	1					
11080102	-490	-257	0	0	0	0	1					
11080103	32	33	0	0	0	0	1					
11080104	517	-238	0	0	0	0	1					
11080201	-593	-194	0	0	0	0	1					
11080202	-174	229	0	0	0	0	1					
11080203	123	-330	0	0	0	0	1					
11080204	499	97	0	0	0	0	1					
11080301	-579	72	0	0	0	0	1					
11080302	-179	-298	0	0	0	0	1					
11080303	446	-222	0	0	0	0	1					
11080304	337	264	0	0	0	0	1					
11080401	-483	-243	0	0	0	0	1					
11080402	-352	201	0	0	0	0	1					
11080403	76	-139	0	0	0	0	1					
11080404	622	159	0	0	0	0	1					
12010101	-641	32	0	0	0	0	1					
12010102	-169	-275	0	0	0	0	1					
12010103	47	210	0	0	0	0	1					
12010104	503	-53	0	0	0	0	1					
12010201	-570	38	0	0	0	0	1					
12010202	-161	-359	0	0	0	0	1					
12010203	141	172	0	0	0	0	1					
12010204	554	-158	0	0	0	0	1					
12010301	-548	-146	0	0	0	0	1					
12010302	-143	276	0	0	0	0	1					
12010303	125	-210	0	0	0	0	1					
12010304	639	227	0	0	0	0	1					
12010401	-636	140	0	0	0	0	1					
12010402	-179	-248	0	0	0	0	1					
12010403	371	62	0	0	0	0	1					
12010404	562	-381	0	0	0	0	1					
12020101	-641	32	0	0	0	0	1					
12020102	-169	-275	0	0	0	0	1					
12020103	47	210	0	0	0	0	1					
12020104	503	-53	0	0	0	0	1					
12020201	-570	38	0	0	0	0	1					
12020202	-161	-359	0	0	0	0	1					
12020203	141	172	0	0	0	0	1					
12020204	554	-158	0	0	0	0	1					
12020301	-548	-146	0	0	0	0	1					
12020302	-143	276	0	0	0	0	1					
12020303	125	-210	0	0	0	0	1					
12020304	639	227	0	0	0	0	1					
12020401	-636	140	0	0	0	0	1					
12020402	-179	-248	0	0	0	0	1					
12020403	371	62	0	0	0	0	1					
12020404	562	-381	0	0	0	0	1					
12030101	-641	32	0	0	0	0	1					
12030102	-169	-275	0	0	0	0	1					
12030103	47	210	0	0	0	0	1					
12030104	503	-53	0	0	0	0	1					
12030201	-570	38	0	0	0	0	1					
12030202	-161	-359	0	0	0	0	1					
12030203	141	172	0	0	0	0	1					
12030204	554	-158	0	0	0	0	1					
12030301	-548	-146	0	0	0	0	1					
12030302	-143	276	0	0	0	0	1					
12030303	125	-210	0	0	0	0	1					
12030304	639	227	0	0	0	0	1					
12030401	-636	140	0	0	0	0	1					
12030402	-179	-248	0	0	0	0	1					
12030403	371	62	0	0	0	0	1					
12030404	562	-381	0	0	0	0	1					
12040101	-641	32	0	0	0	0	1					
12040102	-169	-275	0	0	0	0	1					
12040103	47	210	0	0	0	0	1					
12040104	503	-53	0	0	0	0	1					
12040201	-570	38	0	0	0	0	1					
12040202	-161	-359	0	0	0	0	1					
12040203	141	172	0	0	0	0	1					
12040204	554	-158	0	0	0	0	1					
12040301	-548	-146	0	0	0	0	1					
12040302	-143	276	0	0	0	0	1					
12040303	125	-210	0	0	0	0	1					
12040304	639	227	0	0	0	0	1					
12040401	-636	140	0	0	0	0	1					
12040402	-179	-248	0	0	0	0	1					
12040403	371	62	0	0	0	0	1					
12040404	562	-381	0	0	0	0	1					
12050101	-641	32	0	0	0	0	1					
12050102	-169	-275	0	0	0	0	1					
12050103	47	210	0	0	0	0	1					
12050104	503	-53	0	0	0	0	1					
12050201	-570	38	0	0	0	0	1					
12050202	-161	-359	0	0	0	0	1					
12050203	141	172	0	0	0	0	1					
12050204	554	-158	0	0	0	0	1					
12050301	-548	-146	0	0	0	0	1					
12050302	-143	276	0	0	0	0	1					
12050303	125	-210	0	0	0	0	1					
12050304	639	227	0	0	0	0	1					
12050401	-636	140	0	0	0	0	1					
12050402	-179	-248	0	0	0	0	1					
12050403	371	62	0	0	0	0	1					
12050404	562	-381	0	0	0	0	1					
12060101	-641	32	0	0	0	0	1					
12060102	-169	-275	0	0	0	0	1					
12060103	47	210	0	0	0	0	1					
12060104	503	-53	0	0	0	0	1					
12060201	-570	38	0	0	0	0	1					
12060202	-161	-359	0	0	0	0	1					
12060203	141	172	0	0	0	0	1					
12060204	554	-158	0	0	0	0	1					
12060301	-548	-146	0	0	0	0	1					
12060302	-143	276	0	0	0	0	1					
12060303	125	-210	0	0	0	0	1					
12060304	639	227	0	0	0	0	1					
12060401	-636	140	0	0	0	0	1					
12060402	-179	-248	0	0	0	0	1					
12060403	371	62	0	0	0	0	1					
12060404	562	-381	0	0	0	0	1					
12070101	-641	32	0	0	0	0	1					
12070102	-169	-275	0	0	0	0	1					
12070103	47	210	0	0	0	0	1					
12070104	503	-53	0	0	0	0	1					
12070201	-570	38	0	0	0	0	1					
12070202	-161	-359	0	0	0	0	1					
12070203	141	172	0	0	0	0	1					
12070204	554	-158	0	0	0	0	1					
12070301	-548	-146	0	0	0	0	1					
12070302	-143	276	0	0	0	0	1					
12070303	125	-210	0	0	0	0	1					
12070304	639	227	0	0	0	0	1					
12070401	-636	140	0	0	0	0	1					
12070402	-179	-248	0	0	0	0	1					
12070403	371	62	0	0	0	0	1					
12070404	562	-381	0	0	0	0	1					
12080101	-641	32	0	0	0	0	1					
12080102	-169	-275	0	0	0	0	1					
12080103	47	210	0	0	0	0	1					
12080104	503	-53	0	0	0	0	1					
12080201	-570	38	0	0	0	0	1					
12080202	-161	-359	0	0	0	0	1					
12080203	141	172	0	0	0	0	1					
12080204	554	-158	0	0	0	0	1					
12080301	-548	-146	0	0	0	0	1					
12080302	-143	276	0	0	0	0	1					
12080303	125	-210	0	0	0	0	1					
12080304	639	227	0	0	0	0	1					
12080401	-636	140	0	0	0	0	1					
12080402	-179	-248	0	0	0	0	1					
12080403	371	62	0	0	0	0	1					
12080404	562	-381	0	0	0	0	1					
20010101	-92	518	0	0	0	0	0.8					
20010102	-501	245	0	0	0	0	0.85					
20010103	339	-91	0	0	0	0	0.9					
20010104	73	-376	0	0	0	0	1					
20010201	-92	518	0	0	0	0	0.8					
20010202	-501	245	0	0	0	0	0.85					
20010203	339	-91	0	0	0	0	0.9					
20010204	73	-376	0	0	0	0	1					
20010301	-92	518	0	0	0	0	0.8					
20010302	-501	245	0	0	0	0	0.85					
20010303	339	-91	0	0	0	0	0.9					
20010304	73	-376	0	0	0	0	1					
20020101	-92	518	0	0	0	0	0.8					
20020102	-501	245	0	0	0	0	0.85					
20020103	339	-91	0	0	0	0	0.9					
20020104	73	-376	0	0	0	0	1					
20020201	-92	518	0	0	0	0	0.8					
20020202	-501	245	0	0	0	0	0.85					
20020203	339	-91	0	0	0	0	0.9					
20020204	73	-376	0	0	0	0	1					
20020301	-92	518	0	0	0	0	0.8					
20020302	-501	245	0	0	0	0	0.85					
20020303	339	-91	0	0	0	0	0.9					
20020304	73	-376	0	0	0	0	1					
30010101	-92	518	0	0	0	0	0.8					
30010102	-501	245	0	0	0	0	0.85					
30010103	339	-91	0	0	0	0	0.9					
30010104	73	-376	0	0	0	0	1					
30010105	-92	518	0	0	0	0	0.8					
30010106	-501	245	0	0	0	0	0.85					
30010107	339	-91	0	0	0	0	0.9					
30010201	73	-376	0	0	0	0	1					
30010202	-92	518	0	0	0	0	0.8					
30010203	-501	245	0	0	0	0	0.85					
30010204	339	-91	0	0	0	0	0.9					
30010205	73	-376	0	0	0	0	1					
30010206	-92	518	0	0	0	0	0.8					
30010207	-501	245	0	0	0	0	0.85					
30010301	339	-91	0	0	0	0	0.9					
30010302	73	-376	0	0	0	0	1					
30010303	-92	518	0	0	0	0	0.8					
30010304	-501	245	0	0	0	0	0.85					
30010305	339	-91	0	0	0	0	0.9					
30010306	73	-376	0	0	0	0	1					
30010307	-92	518	0	0	0	0	0.8					
30010401	-501	245	0	0	0	0	0.85					
30010402	339	-91	0	0	0	0	0.9					
30010403	73	-376	0	0	0	0	1					
30010404	-92	518	0	0	0	0	0.8					
30010405	-501	245	0	0	0	0	0.85					
30010406	339	-91	0	0	0	0	0.9					
30010407	73	-376	0	0	0	0	1					
30020101	-92	518	0	0	0	0	0.8					
30020102	-501	245	0	0	0	0	0.85					
30020103	339	-91	0	0	0	0	0.9					
