StageId	Name	Description	Icon	BgmId	LoadingType	RewardTipId	EventId	NormalEventIdOnPassed	UnlockEventId	NormalEventId[1]	NormalEventId[2]	PreEventId[1]	PreEventId[2]	OrderId	RecommandLevel	IsMultiplayer	HaveAssist	StandardUseTimeSec	RequireLevel	RequireActionPoint	PassTimeLimit	PreStageId[1]	PreStageId[2]	PreStageId[3]	FlopRewardId	FinishRewardShow	FirstRewardShow	FinishDropId	FirstRewardId	StarRewardId[2]	StarRewardId[3]	StarRewardId	TeamExp	CardExp	MaxChallengeNums	BuyChallengeCost	BuyChallengeCount	KeepPlayingStory	BeginStoryId	EndStoryId	OnlinePlayerLeast	OnlinePlayerLimit	StarDesc[1]	StarDesc[2]	StarDesc[3]	SuggestedConditionId[1]	SuggestedConditionId[2]	SuggestedConditionId[3]	ForceConditionId[1]	ForceConditionId[2]	ForceConditionId[3]	HaveFirstPass	FirstGotoSkipId	FunctionLeftBtn	FunctionRightBtn	RobotId[1]	RobotId[2]	RobotId[3]	UrgentEventId[1]	UrgentEventId[2]	UrgentEventId[3]	RebootId	AutoFightId	StageType	StageGridStyle	FightControlId	DisableJoystick	NeedJobType[1]	NeedJobType[2]	NeedJobType[3]
10020102	奇异信号源	桥上徘徊着不少失去控制的感染体，得先把他们赶出这里才能建立驱赶感染体的“隔离装置”。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab04.png	102				1						2	15		1		5	10	300	10020101				100201020	10020102	100202	10020102				10	20	10				1100212			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1							1	1		Rectangle	14		1	2	3
10020103	旧识	这个区域中还有另外的执行者部队在进行作战，因为他们“粗心”灰鸦小队不得不应付逃过来的感染体。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						3	15		1		5	10	300	10020102				100201030	10020103	100203	10020103				10	20	10				1100213			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1							1	1		Square	15		1	2	3
10020104	遗物	里是战事工程的能手，虽然桥上还有危险，但如今还是尽快掩护他架起隔离装置为上。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	111				1						4	15		1		5	10	300	10020103				100201040	10020104	100204	10020104				10	20	10				1100214			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1							1	1		Square	16		1	2	3
10020201	语言游戏	城市也是通往传送门所在地的必经之路，但这里也徘徊着不少感染体，和上次一样清理这片区域。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0201.png	101				1						5	18		1		5	10	300	10020104				100201050	10020105	100205	10020105				10	20	10				1100221			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1							1	1		Rectangle	17		1	2	3
10020202	执着的意志	经过努力，丽芙在战斗上的表现得到了其余两人的认可，靠这股势头把接下来的区域也清空吧。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						6	18		1		5	10	300	10020201				100201060	10020106	100206	10020106				10	20	10				1100222			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1							1	1		Square	18		1	2	3
10020203	感染体的新能力	雨突然下了起来，在雨变得更大之前保护里并将隔离装置架好。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0202.png	101				1						7	18		1		5	10	300	10020202				100201070	10020107	100207	10020107				10	20	10				1100223			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1							1	1		Rectangle	19		1	2	3
10020204	突现救援信号	在建设隔离装置的途中收到了构造体的救援信号，得赶紧过去救人。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	102				1						8	18		1		5	10	300	10020203				100201080	10020108	100208	10020108				10	20	10				1100224			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1							1	1		Square	20		1	2	3
10020301	钢铁意志	上次的构造体因伤重只能重启，构造体的重启即是清除其所有记忆，虽然悲伤，但灰鸦小队还是要继续前进。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						9	20		1		5	10	300	10020204				100201090	10020109	100209	10020109				10	20	10				1100231			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1							1	1		Square	21		1	2	3
10020302	“安全”出口	这个区域即是通往传送门的最后一个区域，保护里在这建设安全路线。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab02.png	111				1						10	20		1		5	10	300	10020301				100201100	10020110	100210	10020110				10	20	10				1100232			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1							1	1		Square	22		1	2	3
10020303	高傲者们	灰鸦小队再一次接收到了救援信号，这次一定要把构造体救下来。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0203.png	111				1						11	20		1		5	10	300	10020302				100201110	10020111	100211	10020111				10	20	10				1100233			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1							1	1		Rectangle	23		1	2	3
10020304	苦刑结束	救下来的感染体似乎十分慌张，灰鸦小队决定先掩护他撤出这里。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0204.png	112				1						12	20		1		5	10	300	10020303				100201120	10020112	100212	10020112				10	20	10				1100234	3100234		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1							1	1		Rectangle	24		1	2	3
10030101	选种	虽然不知帕弥什的公主到底是何人，但从突击鹰小队的神威口中得知“传送门作战”以后，灰鸦小队向庄园出发。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0301.png	101				1						1	30		1		20	10	300	11010106				100301010	10030101	100301	10030101				10	30	10				1100311			3	全员存活通过关卡	死亡次数不超过1次	死亡次数不超过2次							1	21	2	1	1001							1		Rectangle			1	2	3
10030102	终点站	哈桑直接向你发布了优先级的任务，在和突击鹰小队会合之前，得和灰鸦一起回收地铁站的构造体。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						2	30		1		20	10	300	10030101				100301020	10030102	100302	10030102				10	30	10				1100312			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1								1		Square	26		1	2	3
10030103	直觉系	提法也是“新种”之一，虽然不知道为什么感染体突然获得思考的能力，但她不在以后，感染体占据了地铁站。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						3	30		1		20	10	300	10030102				100301030	10030103	100303	10030103				10	30	10				1100313			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1								1		Square	27		1	2	3
10030104	乐于助人	感染体严重妨碍了回收构造体的进度，按照露西亚的指示，灰鸦小队决定分为回收组跟迎击组。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab05.png	111				1						4	30		1		20	10	300	10030103				100301040	10030104	100304	10030104				10	30	10				1100314			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Rectangle	28		1	2	3
10030201	擅闯私宅	传送门作战由突击鹰主导，和他们会合的灰鸦小队得到了到放着传送门的庄园侦察的任务。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						5	32		1		20	10	300	10030104				100301050	10030105	100305	10030105				10	30	10				1100321			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Square	29		1	2	3
10030202	机关密布	侦察完毕以后，灰鸦小队收到了巡夜的任务。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	102				1						6	32		1		20	10	300	10030201				100301060	10030106	100306	10030106				10	30	10				1100322			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Square	30		1	2	3
10030203	最后警告	传送门作战即将开始，灰鸦小队将和突击鹰小队一起向庄园发起攻击。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab02.png	101				1						7	32		1		20	10	300	10030202				100301070	10030107	100307	10030107				10	30	10				1100323			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Square	31		1	2	3
10030204	谨慎行事	庄园内突然出现了新种和大量感染体的援军，尽快打倒新种撤离这里。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0302.png	111				1						8	32		1		20	10	300	10030203				100301080	10030108	100308	10030108				10	30	10				1100324			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1								1		Rectangle	32		1	2	3
10030301	特种任务	虽然第一次作战失败，但突击鹰部队没有打算放弃，为了明天作战，灰鸦被交代了巡夜的任务。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						9	34		1		20	10	300	10030204				100301090	10030109	100309	10030109				10	30	10				1100331			3	全员存活通过关卡	死亡次数不超过1次	死亡次数不超过2次							1		2	1	1002							1		Square			1	2	3
10030302	扭曲的爱好	作战重新开始，灰鸦小队将作为诱饵吸引敌人注意力好让突击鹰潜入庄园。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						10	34		1		20	10	300	10030301				100301100	10030110	100310	10030110				10	30	10				1100332			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1								1		Square	34		1	2	3
10030303	忠诚	为了尽可能的吸引火力，灰鸦小队决定进入庄园建筑内部。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	111				1						11	34		1		20	10	300	10030302				100301110	10030111	100311	10030111				10	30	10				1100333			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Square	35		1	2	3
10030304	新的种子	由于未知的原因，灰鸦小队和突击鹰小队失去了联络，当务之急是先撤离这里。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0303.png	112				1						12	34		1		20	10	300	10030303				100301120	10030112	100312	10030112				10	30	10				1100334	3100334		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Rectangle	36		1	2	3
10040101	白夜出逃	因为突击鹰部队受到重创，神威被重新分派成灰鸦的队员，而灰鸦在这里的最后工作就是建立安全区。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0401.png	101				1						1	40		1		28	10	300	11020106				100401010	10040101	100401	10040101				10	40	10				1100411	3100411		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Rectangle	37		1	2	3
10040102	剿	掩护里在庄园外部建立隔离装置，完成最后的这步就能确保一条安全来往基地和传送门的道路了。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						2	40		1		28	10	300	10040101				100401020	10040102	100402	10040102				10	40	10				1100412	3100412		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1								1		Square	38		1	2	3
10040103	断链	庄园内部突然响起了警报声，得尽快前往确保传送门的安全。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						3	40		1		28	10	300	10040102				100401030	10040103	100403	10040103				10	40	10				1100413	3100413		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Square	39		1	2	3
10040104	查克	警报的原因是感染体误触了保安的启动装置，消灭感染体和保安机械人。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0402.png	111				1						4	40		1		28	10	300	10040103				100401040	10040104	100404	10040104				10	40	10				1100414	3100414		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Rectangle	40		1	2	3
10040201	怒沙	由于罗兰动过手脚的关系，传送门没能到达指定的地点，经过讨论，你们决定用走的去统治局。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						5	42		1		28	10	300	10040104				100401050	10040105	100405	10040105				10	40	10				1100421	3100421		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Square	41		1	2	3
10040202	颤栗深潜	神威似乎有这片沙漠的相关资料，为了确保行军中的补给和机体保养，灰鸦向沙漠基地出发。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						6	42		1		28	10	300	10040201				100401060	10040106	100406	10040106				10	40	10				1100422	3100422		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Square	42		1	2	3
10040203	遗忘者	沙漠基地正在被感染体攻击，击败感染体保护基地吧。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0403.png	101				1						7	42		1		28	10	300	10040202				100401070	10040107	100407	10040107				10	40	10				1100423	3100423		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Rectangle	43		1	2	3
10040204	补强	基地已经先有来客，他们自称是“遗忘者”，其中一个男性构造体向灰鸦发起了攻击。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	111				1						8	42		1		28	10	300	10040203				100401080	10040108	100408	10040108				10	40	10				1100424	3100424		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1								1		Square	44		1	2	3
10040301	一夫当关	“遗忘者”构造体似乎认识露西亚跟神威，为了取得基地和搞清真相，灰鸦再度出发。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab04.png	101				1						9	44		1		28	10	300	10040204				100401090	10040109	100409	10040109				10	40	10				1100431	3100431		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Rectangle	45		1	2	3
10040302	寂夜	神秘构造体再度出现，讨厌人类的他对于受你指挥的灰鸦小队感到不爽，战斗一触即发。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	102				1						10	44		1		28	10	300	10040301				100401100	10040110	100410	10040110				10	40	10				1100432			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Square	46		1	2	3
10040303	噪尘	男性构造体利用感染体的习性让它们袭击灰鸦，在战斗的中间，露西亚似乎想起了什么……？	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						11	44		1		28	10	300	10040302				100401110	10040111	100411	10040111				10	40	10				1100433			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Square	47		1	2	3
10040304	庙宇搏杀	露西亚似乎知道敌方构造体的名字叫渡边，但没能回想更多，一种名叫“守护者”的敌人就袭击了过来。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0404.png	112				1						12	44		1		28	10	300	10040303				100401120	10040112	100412	10040112				10	40	10				1100434	3100434		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Rectangle	48		1	2	3
10050101	寻迹	执行官尼科拉派出清理部队追捕逃兵丽芙，虽然要找丽芙但也不能放着晕倒的露西亚不管，时间不多了。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	102				1						1	52		1		35	12	300	11030106				100501010	10050101	100501	10050101				12	50	10				1100511			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Square	49		1	2	3
10050102	入盲	里和神威就现在这个队伍分散的状况争执了起来，而这之中冲撞的愤怒引来了感染体。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	102				1						2	52		1		35	12	300	10050101				100501020	10050102	100502	10050102				12	50	10				1100512	3100512		3	全员存活通过关卡	死亡次数不超过1次	死亡次数不超过2次							1		2	1	1003							1		Square			1	2	3
10050103	斩影	虽然各自有各自的想法，但现在还是治疗露西亚为重，你决定向神威提供的绿洲地点出发。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	102				1						3	52		1		35	12	300	10050102				100501030	10050103	100503	10050103				12	50	10				1100513			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Square	51		1	2	3
10050104	巧入谜潭	沙漠之中的绿洲让你们松了一口气，但感染体们在妨碍你们寻找能治疗露西亚的终端。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0501.png	111				1						4	52		1		35	12	300	10050103				100501040	10050104	100504	10050104				12	50	10				1100514			3	全员存活通过关卡	死亡次数不超过1次	死亡次数不超过2次							1		2	1	1004							1		Rectangle			1	2	3
10050201	真容	沙漠的终端正在为露西亚的意识海“减压”，在治疗完成之前，指挥里和神威迎击敌人。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						5	54		1		35	12	300	10050104				100501050	10050105	100505	10050105				12	50	10				1100521	3100521		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Square	53		1	2	3
10050202	幻象压制	露西亚醒来以后表示想要一个人呆着，回忆起“第一部队的惨剧”似乎对她有不少影响，你决定跟过去看看。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	112				1						6	54		1		35	12	300	10050201				100501060	10050106	100506	10050106				12	50	10				1100522	3100522		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Square	54		1	2	3
10050203	梦影	对于露西亚来说，她期望的只有安好而已，面对过去的无力，突然出现的新种表示能让她“解脱”。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab02.png	111				1						7	54		1		35	12	300	10050202				100501070	10050107	100507	10050107				12	50	10				1100523	3100523		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1	21	2	1								1		Square	55		1	2	3
10050204	监工	不能让露西亚被过去的罪恶感和现在无力感杀死，和赶来的神威一起击破袭击过来的新种吧。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	112				1						8	54		1		35	12	300	10050203				100501080	10050108	100508	10050108				12	50	10				1100524	3100524		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Square	56		1	2	3
10050301	七之光	虽然灰鸦的大家还没有收拾好心情，但从现在开始，就是和清理部队赛跑的时候了。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0503.png	101				1						9	56		1		35	12	300	10050204				100501090	10050109	100509	10050109				12	50	10				1100531	3100531		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Rectangle	57		1	2	3
10050302	遗剑	得赶在清理部队之前找到丽芙，考虑到遗忘者可能收留她的灰鸦小队决定到沙漠基地看看。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						10	56		1		35	12	300	10050301				100501100	10050110	100510	10050110				12	50	10				1100532	3100532		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Square	58		1	2	3
10050303	逆转败局	基地虽然空无一人，但基地内部的搜索雷达为灰鸦找到了丽芙的所在地，这时候大地突然开始了震动…	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						11	56		1		35	12	300	10050302				100501110	10050111	100511	10050111				12	50	10				1100533			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Square	59		1	2	3
10050304	归来	守护者也因为未知震源的影响而来到了基地前面，保护基地，然后突破到丽芙的所在地吧！	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0502.png	111				1						12	56		1		35	12	300	10050303				100501120	10050112	100512	10050112				12	50	10				1100534	3100534		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Rectangle	60		1	2	3
10060101	追踪升格	带着回归的丽芙和自己跟来的七实，灰鸦小队向着渡边说的能通往统治局的路出发。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0601.png	101				1						1	60		1		40	12	300	11040106				100601010	10060101	100601	10060101				12	60	10				1100611			3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Rectangle	61		1	2	3
10060102	地下奇观	在沙漠之下是一个地图上也没有记载的巨大都市，你们决定先到处走走看。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						2	60		1		40	12	300	10060101				100601020	10060102	100602	10060102				12	60	10				1100612	3100612		3	全员存活通过关卡	死亡次数不超过1次	通关时间小于150秒							1		2	1								1		Square	62		1	2	3
