Id	StageId	MaxLevel	RecommendationLevel	FinishRewardShow	FirstRewardShow	FinishDropId	FirstRewardId	MonsterLevel[1]	MonsterLevel[2]	MonsterLevel[3]
4117	21010702	69	58					222	253	149
4118	21010703	69	61					279	279	164
4119	21010704	69	64					325	289	169
4120	21010705	69	67					374	299	175
4121	21010701	100	70					232	309	181
4122	21010702	100	73					320	365	214
4123	21010703	100	76					377	377	220
4124	21010704	100	79					483	429	251
4125	21010705	100	80					562	449	263
4126	21010901	54	40					93	124	73
4127	21010902	54	43					132	151	89
4128	21010903	54	46					162	162	95
4129	21010904	54	49					190	169	99
4130	21010905	54	52					219	176	103
4131	21010901	69	55					164	219	128
4132	21010902	69	58					222	253	149
4133	21010903	69	61					279	279	164
4134	21010904	69	64					325	289	169
4135	21010905	69	67					374	299	175
4136	21010901	100	70					232	309	181
4137	21010902	100	73					320	365	214
4138	21010903	100	76					377	377	220
4139	21010904	100	79					483	429	251
4140	21010905	100	80					562	449	263
4141	21010401	54	40					93	124	73
4142	21010402	54	43					132	151	89
4143	21010403	54	46					162	162	95
4144	21010404	54	49					190	169	99
4145	21010405	54	52					219	176	103
4146	21010401	69	55					164	219	128
4147	21010402	69	58					222	253	149
4148	21010403	69	61					279	279	164
4149	21010404	69	64					325	289	169
4150	21010405	69	67					374	299	175
4151	21010401	100	70					232	309	181
4152	21010402	100	73					320	365	214
4153	21010403	100	76					377	377	220
4154	21010404	100	79					483	429	251
4155	21010405	100	80					562	449	263
4156	21010801	54	40					93	124	73
4157	21010802	54	43					132	151	89
4158	21010803	54	46					162	162	95
4159	21010804	54	49					190	169	99
4160	21010805	54	52					219	176	103
4161	21010801	69	55					164	219	128
4162	21010802	69	58					222	253	149
4163	21010803	69	61					279	279	164
4164	21010804	69	64					325	289	169
4165	21010805	69	67					374	299	175
4166	21010801	100	70					232	309	181
4167	21010802	100	73					320	365	214
4168	21010803	100	76					377	377	220
4169	21010804	100	79					483	429	251
4170	21010805	100	80					562	449	263
4171	13010101	25	25	130101010		130101		69	37	30
4172	13010101	30	30	130101010		130101		85	46	36
4173	13010101	35	35	130101010		130101		103	56	44
4174	13010101	40	40	130101010		130101		122	66	52
4175	13010101	45	45	130101010		130101		135	73	57
4176	13010101	50	50	130101010		130101		150	81	64
4177	13010101	55	55	130101010		130101		188	102	80
4178	13010101	60	60	130101010		130101		224	121	95
4179	13010101	65	65	130101010		130101		248	134	105
4180	13010101	70	70	130101010		130101		273	147	115
4181	13010101	75	75	130101010		130101		299	162	126
4182	13010101	100	80	130101010		130101		325	176	137
4183	13010102	25	25	130101020		130102		69	37	30
4184	13010102	30	30	130101020		130102		85	46	36
4185	13010102	35	35	130101020		130102		103	56	44
4186	13010102	40	40	130101020		130102		122	66	52
4187	13010102	45	45	130101020		130102		135	73	57
4188	13010102	50	50	130101020		130102		150	81	64
4189	13010102	55	55	130101020		130102		188	102	80
4190	13010102	60	60	130101020		130102		224	121	95
4191	13010102	65	65	130101020		130102		248	134	105
4192	13010102	70	70	130101020		130102		273	147	115
4193	13010102	75	75	130101020		130102		299	162	126
4194	13010102	100	80	130101020		130102		325	176	137
4195	13010103	25	25	130101030		130103		69	37	30
4196	13010103	30	30	130101030		130103		85	46	36
4197	13010103	35	35	130101030		130103		103	56	44
4198	13010103	40	40	130101030		130103		122	66	52
4199	13010103	45	45	130101030		130103		135	73	57
4200	13010103	50	50	130101030		130103		150	81	64
4201	13010103	55	55	130101030		130103		188	102	80
4202	13010103	60	60	130101030		130103		224	121	95
4203	13010103	65	65	130101030		130103		248	134	105
4204	13010103	70	70	130101030		130103		273	147	115
4205	13010103	75	75	130101030		130103		299	162	126
4206	13010103	100	80	130101030		130103		325	176	137
4207	13010201	25	25	130102010		130201		69	37	30
4208	13010201	30	30	130102010		130201		85	46	36
4209	13010201	35	35	130102010		130201		103	56	44
4210	13010201	40	40	130102010		130201		122	66	52
4211	13010201	45	45	130102010		130201		135	73	57
4212	13010201	50	50	130102010		130201		150	81	64
4213	13010201	55	55	130102010		130201		188	102	80
4214	13010201	60	60	130102010		130201		224	121	95
4215	13010201	65	65	130102010		130201		248	134	105
4216	13010201	70	70	130102010		130201		273	147	115
4217	13010201	75	75	130102010		130201		299	162	126
4218	13010201	100	80	130102010		130201		325	176	137
4219	13010202	25	25	130102020		130202		69	37	30
4220	13010202	30	30	130102020		130202		85	46	36
4221	13010202	35	35	130102020		130202		103	56	44
4222	13010202	40	40	130102020		130202		122	66	52
4223	13010202	45	45	130102020		130202		135	73	57
4224	13010202	50	50	130102020		130202		150	81	64
4225	13010202	55	55	130102020		130202		188	102	80
4226	13010202	60	60	130102020		130202		224	121	95
4227	13010202	65	65	130102020		130202		248	134	105
4228	13010202	70	70	130102020		130202		273	147	115
4229	13010202	75	75	130102020		130202		299	162	126
4230	13010202	100	80	130102020		130202		325	176	137
4231	13010203	25	25	130102030		130203		69	37	30
4232	13010203	30	30	130102030		130203		85	46	36
4233	13010203	35	35	130102030		130203		103	56	44
4234	13010203	40	40	130102030		130203		122	66	52
4235	13010203	45	45	130102030		130203		135	73	57
4236	13010203	50	50	130102030		130203		150	81	64
4237	13010203	55	55	130102030		130203		188	102	80
4238	13010203	60	60	130102030		130203		224	121	95
4239	13010203	65	65	130102030		130203		248	134	105
4240	13010203	70	70	130102030		130203		273	147	115
4241	13010203	75	75	130102030		130203		299	162	126
4242	13010203	100	80	130102030		130203		325	176	137
4243	13010301	25	25	130103010		130301		69	37	30
4244	13010301	30	30	130103010		130301		85	46	36
4245	13010301	35	35	130103010		130301		103	56	44
4246	13010301	40	40	130103010		130301		122	66	52
4247	13010301	45	45	130103010		130301		135	73	57
4248	13010301	50	50	130103010		130301		150	81	64
4249	13010301	55	55	130103010		130301		188	102	80
4250	13010301	60	60	130103010		130301		224	121	95
4251	13010301	65	65	130103010		130301		248	134	105
4252	13010301	70	70	130103010		130301		273	147	115
4253	13010301	75	75	130103010		130301		299	162	126
4254	13010301	100	80	130103010		130301		325	176	137
4255	13010302	25	25	130103020		130302		69	37	30
4256	13010302	30	30	130103020		130302		85	46	36
4257	13010302	35	35	130103020		130302		103	56	44
4258	13010302	40	40	130103020		130302		122	66	52
4259	13010302	45	45	130103020		130302		135	73	57
4260	13010302	50	50	130103020		130302		150	81	64
4261	13010302	55	55	130103020		130302		188	102	80
4262	13010302	60	60	130103020		130302		224	121	95
4263	13010302	65	65	130103020		130302		248	134	105
4264	13010302	70	70	130103020		130302		273	147	115
4265	13010302	75	75	130103020		130302		299	162	126
4266	13010302	100	80	130103020		130302		325	176	137
4267	13010303	25	25	130103030		130303		69	37	30
4268	13010303	30	30	130103030		130303		85	46	36
4269	13010303	35	35	130103030		130303		103	56	44
4270	13010303	40	40	130103030		130303		122	66	52
4271	13010303	45	45	130103030		130303		135	73	57
4272	13010303	50	50	130103030		130303		150	81	64
4273	13010303	55	55	130103030		130303		188	102	80
4274	13010303	60	60	130103030		130303		224	121	95
4275	13010303	65	65	130103030		130303		248	134	105
4276	13010303	70	70	130103030		130303		273	147	115
4277	13010303	75	75	130103030		130303		299	162	126
4278	13010303	100	80	130103030		130303		325	176	137
4279	13010401	25	25	130104010		130401		69	37	30
4280	13010401	30	30	130104010		130401		85	46	36
4281	13010401	35	35	130104010		130401		103	56	44
4282	13010401	40	40	130104010		130401		122	66	52
4283	13010401	45	45	130104010		130401		135	73	57
4284	13010401	50	50	130104010		130401		150	81	64
4285	13010401	55	55	130104010		130401		188	102	80
4286	13010401	60	60	130104010		130401		224	121	95
4287	13010401	65	65	130104010		130401		248	134	105
4288	13010401	70	70	130104010		130401		273	147	115
4289	13010401	75	75	130104010		130401		299	162	126
4290	13010401	100	80	130104010		130401		325	176	137
4291	13010402	25	25	130104020		130402		69	37	30
4292	13010402	30	30	130104020		130402		85	46	36
4293	13010402	35	35	130104020		130402		103	56	44
4294	13010402	40	40	130104020		130402		122	66	52
4295	13010402	45	45	130104020		130402		135	73	57
4296	13010402	50	50	130104020		130402		150	81	64
4297	13010402	55	55	130104020		130402		188	102	80
4298	13010402	60	60	130104020		130402		224	121	95
4299	13010402	65	65	130104020		130402		248	134	105
4300	13010402	70	70	130104020		130402		273	147	115
4301	13010402	75	75	130104020		130402		299	162	126
4302	13010402	100	80	130104020		130402		325	176	137
4303	13010403	25	25	130104030		130403		69	37	30
4304	13010403	30	30	130104030		130403		85	46	36
4305	13010403	35	35	130104030		130403		103	56	44
4306	13010403	40	40	130104030		130403		122	66	52
4307	13010403	45	45	130104030		130403		135	73	57
4308	13010403	50	50	130104030		130403		150	81	64
4309	13010403	55	55	130104030		130403		188	102	80
4310	13010403	60	60	130104030		130403		224	121	95
4311	13010403	65	65	130104030		130403		248	134	105
4312	13010403	70	70	130104030		130403		273	147	115
4313	13010403	75	75	130104030		130403		299	162	126
4314	13010403	100	80	130104030		130403		325	176	137
4315	13010501	25	25	130105010		130501		69	37	30
4316	13010501	30	30	130105010		130501		85	46	36
4317	13010501	35	35	130105010		130501		103	56	44
4318	13010501	40	40	130105010		130501		122	66	52
4319	13010501	45	45	130105010		130501		135	73	57
4320	13010501	50	50	130105010		130501		150	81	64
4321	13010501	55	55	130105010		130501		188	102	80
4322	13010501	60	60	130105010		130501		224	121	95
4323	13010501	65	65	130105010		130501		248	134	105
4324	13010501	70	70	130105010		130501		273	147	115
4325	13010501	75	75	130105010		130501		299	162	126
4326	13010501	100	80	130105010		130501		325	176	137
4327	13010502	25	25	130105020		130502		69	37	30
4328	13010502	30	30	130105020		130502		85	46	36
4329	13010502	35	35	130105020		130502		103	56	44
4330	13010502	40	40	130105020		130502		122	66	52
4331	13010502	45	45	130105020		130502		135	73	57
4332	13010502	50	50	130105020		130502		150	81	64
4333	13010502	55	55	130105020		130502		188	102	80
4334	13010502	60	60	130105020		130502		224	121	95
4335	13010502	65	65	130105020		130502		248	134	105
4336	13010502	70	70	130105020		130502		273	147	115
4337	13010502	75	75	130105020		130502		299	162	126
4338	13010502	100	80	130105020		130502		325	176	137
4339	13010503	25	25	130105030		130503		69	37	30
4340	13010503	30	30	130105030		130503		85	46	36
4341	13010503	35	35	130105030		130503		103	56	44
4342	13010503	40	40	130105030		130503		122	66	52
4343	13010503	45	45	130105030		130503		135	73	57
4344	13010503	50	50	130105030		130503		150	81	64
4345	13010503	55	55	130105030		130503		188	102	80
4346	13010503	60	60	130105030		130503		224	121	95
4347	13010503	65	65	130105030		130503		248	134	105
4348	13010503	70	70	130105030		130503		273	147	115
4349	13010503	75	75	130105030		130503		299	162	126
4350	13010503	100	80	130105030		130503		325	176	137
4351	13010601	25	25	130106010		130601		69	37	30
4352	13010601	30	30	130106010		130601		85	46	36
4353	13010601	35	35	130106010		130601		103	56	44
4354	13010601	40	40	130106010		130601		122	66	52
4355	13010601	45	45	130106010		130601		135	73	57
4356	13010601	50	50	130106010		130601		150	81	64
4357	13010601	55	55	130106010		130601		188	102	80
4358	13010601	60	60	130106010		130601		224	121	95
4359	13010601	65	65	130106010		130601		248	134	105
4360	13010601	70	70	130106010		130601		273	147	115
4361	13010601	75	75	130106010		130601		299	162	126
4362	13010601	100	80	130106010		130601		325	176	137
4363	13010602	25	25	130106020		130602		69	37	30
4364	13010602	30	30	130106020		130602		85	46	36
4365	13010602	35	35	130106020		130602		103	56	44
4366	13010602	40	40	130106020		130602		122	66	52
4367	13010602	45	45	130106020		130602		135	73	57
4368	13010602	50	50	130106020		130602		150	81	64
4369	13010602	55	55	130106020		130602		188	102	80
4370	13010602	60	60	130106020		130602		224	121	95
4371	13010602	65	65	130106020		130602		248	134	105
4372	13010602	70	70	130106020		130602		273	147	115
4373	13010602	75	75	130106020		130602		299	162	126
4374	13010602	100	80	130106020		130602		325	176	137
4375	13010603	25	25	130106030		130603		69	37	30
4376	13010603	30	30	130106030		130603		85	46	36
4377	13010603	35	35	130106030		130603		103	56	44
4378	13010603	40	40	130106030		130603		122	66	52
4379	13010603	45	45	130106030		130603		135	73	57
4380	13010603	50	50	130106030		130603		150	81	64
4381	13010603	55	55	130106030		130603		188	102	80
4382	13010603	60	60	130106030		130603		224	121	95
4383	13010603	65	65	130106030		130603		248	134	105
4384	13010603	70	70	130106030		130603		273	147	115
4385	13010603	75	75	130106030		130603		299	162	126
4386	13010603	100	80	130106030		130603		325	176	137
4387	13010701	25	25	130107010		130701		69	37	30
4388	13010701	30	30	130107010		130701		85	46	36
4389	13010701	35	35	130107010		130701		103	56	44
4390	13010701	40	40	130107010		130701		122	66	52
4391	13010701	45	45	130107010		130701		135	73	57
4392	13010701	50	50	130107010		130701		150	81	64
4393	13010701	55	55	130107010		130701		188	102	80
4394	13010701	60	60	130107010		130701		224	121	95
4395	13010701	65	65	130107010		130701		248	134	105
4396	13010701	70	70	130107010		130701		273	147	115
4397	13010701	75	75	130107010		130701		299	162	126
4398	13010701	100	80	130107010		130701		325	176	137
4399	13010702	25	25	130107020		130702		69	37	30
4400	13010702	30	30	130107020		130702		85	46	36
4401	13010702	35	35	130107020		130702		103	56	44
4402	13010702	40	40	130107020		130702		122	66	52
4403	13010702	45	45	130107020		130702		135	73	57
4404	13010702	50	50	130107020		130702		150	81	64
4405	13010702	55	55	130107020		130702		188	102	80
4406	13010702	60	60	130107020		130702		224	121	95
4407	13010702	65	65	130107020		130702		248	134	105
4408	13010702	70	70	130107020		130702		273	147	115
4409	13010702	75	75	130107020		130702		299	162	126
4410	13010702	100	80	130107020		130702		325	176	137
4411	13010703	25	25	130107030		130703		69	37	30
4412	13010703	30	30	130107030		130703		85	46	36
4413	13010703	35	35	130107030		130703		103	56	44
4414	13010703	40	40	130107030		130703		122	66	52
4415	13010703	45	45	130107030		130703		135	73	57
4416	13010703	50	50	130107030		130703		150	81	64
4417	13010703	55	55	130107030		130703		188	102	80
4418	13010703	60	60	130107030		130703		224	121	95
4419	13010703	65	65	130107030		130703		248	134	105
4420	13010703	70	70	130107030		130703		273	147	115
4421	13010703	75	75	130107030		130703		299	162	126
4422	13010703	100	80	130107030		130703		325	176	137
4423	13010801	25	25	130108010		130801		69	37	30
4424	13010801	30	30	130108010		130801		85	46	36
4425	13010801	35	35	130108010		130801		103	56	44
4426	13010801	40	40	130108010		130801		122	66	52
4427	13010801	45	45	130108010		130801		135	73	57
4428	13010801	50	50	130108010		130801		150	81	64
4429	13010801	55	55	130108010		130801		188	102	80
4430	13010801	60	60	130108010		130801		224	121	95
4431	13010801	65	65	130108010		130801		248	134	105
4432	13010801	70	70	130108010		130801		273	147	115
4433	13010801	75	75	130108010		130801		299	162	126
4434	13010801	100	80	130108010		130801		325	176	137
4435	13010802	25	25	130108020		130802		69	37	30
4436	13010802	30	30	130108020		130802		85	46	36
4437	13010802	35	35	130108020		130802		103	56	44
4438	13010802	40	40	130108020		130802		122	66	52
4439	13010802	45	45	130108020		130802		135	73	57
4440	13010802	50	50	130108020		130802		150	81	64
4441	13010802	55	55	130108020		130802		188	102	80
4442	13010802	60	60	130108020		130802		224	121	95
4443	13010802	65	65	130108020		130802		248	134	105
4444	13010802	70	70	130108020		130802		273	147	115
4445	13010802	75	75	130108020		130802		299	162	126
4446	13010802	100	80	130108020		130802		325	176	137
4447	13010803	25	25	130108030		130803		69	37	30
4448	13010803	30	30	130108030		130803		85	46	36
4449	13010803	35	35	130108030		130803		103	56	44
4450	13010803	40	40	130108030		130803		122	66	52
4451	13010803	45	45	130108030		130803		135	73	57
4452	13010803	50	50	130108030		130803		150	81	64
4453	13010803	55	55	130108030		130803		188	102	80
4454	13010803	60	60	130108030		130803		224	121	95
4455	13010803	65	65	130108030		130803		248	134	105
4456	13010803	70	70	130108030		130803		273	147	115
4457	13010803	75	75	130108030		130803		299	162	126
4458	13010803	100	80	130108030		130803		325	176	137
4459	30000101	54	40					72	52	41
4460	30000102	54	45					128	62	49
4461	30000103	54	50					202	73	57
4462	30000104	54	50					288	77	61
4463	30000105	54	50					380	79	62
4464	30000101	69	55					133	81	64
4465	30000102	69	60					237	101	80
4466	30000103	69	65					349	117	91
4467	30000104	69	65					483	128	100
4468	30000105	69	65					604	132	103
4469	30000101	100	65					198	129	101
4470	30000102	100	70					326	141	110
4471	30000103	100	75					512	165	129
4472	30000104	100	80					740	190	148
4473	30000105	100	80					919	195	152
4474	30000201	54	40					72	52	41
4475	30000202	54	45					128	62	49
4476	30000203	54	50					202	73	57
4477	30000204	54	50					288	77	61
4478	30000205	54	50					380	79	62
4479	30000201	69	55					133	81	64
4480	30000202	69	60					237	101	80
4481	30000203	69	65					349	117	91
4482	30000204	69	65					483	128	100
4483	30000205	69	65					604	132	103
4484	30000201	100	65					198	129	101
4485	30000202	100	70					326	141	110
4486	30000203	100	75					512	165	129
4487	30000204	100	80					740	190	148
4488	30000205	100	80					919	195	152
4489	30000301	54	40					72	52	41
4490	30000302	54	45					128	62	49
4491	30000303	54	50					202	73	57
4492	30000304	54	50					288	77	61
4493	30000305	54	50					380	79	62
4494	30000301	69	55					133	81	64
4495	30000302	69	60					237	101	80
4496	30000303	69	65					349	117	91
4497	30000304	69	65					483	128	100
4498	30000305	69	65					604	132	103
4499	30000301	100	65					198	129	101
4500	30000302	100	70					326	141	110
4501	30000303	100	75					512	165	129
4502	30000304	100	80					740	190	148
4503	30000305	100	80					919	195	152
4504	30000401	54	40					72	52	41
4505	30000402	54	45					128	62	49
4506	30000403	54	50					202	73	57
4507	30000404	54	50					288	77	61
4508	30000405	54	50					380	79	62
4509	30000401	69	55					133	81	64
4510	30000402	69	60					237	101	80
4511	30000403	69	65					349	117	91
4512	30000404	69	65					483	128	100
4513	30000405	69	65					604	132	103
4514	30000401	100	65					198	129	101
4515	30000402	100	70					326	141	110
4516	30000403	100	75					512	165	129
4517	30000404	100	80					740	190	148
4518	30000405	100	80					919	195	152
4519	30000501	54	40					72	52	41
4520	30000502	54	45					128	62	49
4521	30000503	54	50					202	73	57
4522	30000504	54	50					288	77	61
4523	30000505	54	50					380	79	62
4524	30000501	69	55					133	81	64
4525	30000502	69	60					237	101	80
4526	30000503	69	65					349	117	91
4527	30000504	69	65					483	128	100
4528	30000505	69	65					604	132	103
4529	30000501	100	65					198	129	101
4530	30000502	100	70					326	141	110
4531	30000503	100	75					512	165	129
4532	30000504	100	80					740	190	148
4533	30000505	100	80					919	195	152
4534	30000601	54	40					72	52	41
4535	30000602	54	45					128	62	49
4536	30000603	54	50					202	73	57
4537	30000604	54	50					288	77	61
4538	30000605	54	50					380	79	62
4539	30000601	69	55					133	81	64
4540	30000602	69	60					237	101	80
4541	30000603	69	65					349	117	91
4542	30000604	69	65					483	128	100
4543	30000605	69	65					604	132	103
4544	30000601	100	65					198	129	101
4545	30000602	100	70					326	141	110
4546	30000603	100	75					512	165	129
4547	30000604	100	80					740	190	148
4548	30000605	100	80					919	195	152
4549	30000701	54	40					72	52	41
4550	30000702	54	45					128	62	49
4551	30000703	54	50					202	73	57
4552	30000704	54	50					288	77	61
4553	30000705	54	50					380	79	62
4554	30000701	69	55					133	81	64
4555	30000702	69	60					237	101	80
4556	30000703	69	65					349	117	91
4557	30000704	69	65					483	128	100
4558	30000705	69	65					604	132	103
4559	30000701	100	65					198	129	101
4560	30000702	100	70					326	141	110
4561	30000703	100	75					512	165	129
4562	30000704	100	80					740	190	148
4563	30000705	100	80					919	195	152
4564	30000801	54	40					72	52	41
4565	30000802	54	45					128	62	49
4566	30000803	54	50					202	73	57
4567	30000804	54	50					288	77	61
4568	30000805	54	50					380	79	62
4569	30000801	69	55					133	81	64
4570	30000802	69	60					237	101	80
4571	30000803	69	65					349	117	91
4572	30000804	69	65					483	128	100
4573	30000805	69	65					604	132	103
4574	30000801	100	65					198	129	101
4575	30000802	100	70					326	141	110
4576	30000803	100	75					512	165	129
4577	30000804	100	80					740	190	148
4578	30000805	100	80					919	195	152
4579	30000901	54	40					72	52	41
4580	30000902	54	45					128	62	49
4581	30000903	54	50					202	73	57
4582	30000904	54	50					288	77	61
4583	30000905	54	50					380	79	62
4584	30000906	69	55					133	81	64
4585	30000907	69	60					237	101	80
4586	30000908	69	65					349	117	91
4587	30000909	69	65					483	128	100
4588	30000910	69	65					604	132	103
4589	30000911	100	65					198	129	101
4590	30000912	100	70					326	141	110
4591	30000913	100	75					512	165	129
4592	30000914	100	80					740	190	148
4593	30000915	100	80					919	195	152
4594	30060101	28	28					6	21	14
4595	30060102	28	28					7	25	16
4596	30060103	28	28					8	29	19
4597	30060201	28	28					6	21	14
4598	30060202	28	28					7	25	16
4599	30060203	28	28					8	29	19
4600	30060301	28	28					6	21	14
4601	30060302	28	28					7	25	16
4602	30060303	28	28					8	29	19
4603	30060401	28	28					6	21	14
4604	30060402	28	28					7	25	16
4605	30060403	28	28					8	29	19
4606	30060501	28	28					6	21	14
4607	30060502	28	28					7	25	16
4608	30060503	28	28					8	29	19
4609	30060601	28	28					6	21	14
4610	30060602	28	28					7	25	16
4611	30060603	28	28					8	29	19
4612	30060701	28	28					6	21	14
4613	30060702	28	28					7	25	16
4614	30060703	28	28					8	29	19
4615	30060801	28	28					6	21	14
4616	30060802	28	28					7	25	16
4617	30060803	28	28					8	29	19
4618	30060901	28	28					6	21	14
4619	30060902	28	28					7	25	16
4620	30060903	28	28					8	29	19
4621	30061001	28	28					6	21	14
4622	30061002	28	28					7	25	16
4623	30061003	28	28					8	29	19
4624	30061101	28	28					6	21	14
4625	30061102	28	28					7	25	16
4626	30061103	28	28					8	29	19
4627	30061201	28	28					6	21	14
4628	30061202	28	28					7	25	16
4629	30061203	28	28					8	29	19
4630	30061301	28	28					6	21	14
4631	30061302	28	28					7	25	16
4632	30061303	28	28					8	29	19
4633	30060101	30	30					9	36	23
4634	30060102	30	30					11	43	27
4635	30060103	30	30					13	49	32
4636	30060201	30	30					9	36	23
4637	30060202	30	30					11	43	27
4638	30060203	30	30					13	49	32
4639	30060301	30	30					9	36	23
4640	30060302	30	30					11	43	27
4641	30060303	30	30					13	49	32
4642	30060401	30	30					9	36	23
4643	30060402	30	30					11	43	27
4644	30060403	30	30					13	49	32
4645	30060501	30	30					9	36	23
4646	30060502	30	30					11	43	27
4647	30060503	30	30					13	49	32
4648	30060601	30	30					9	36	23
4649	30060602	30	30					11	43	27
4650	30060603	30	30					13	49	32
4651	30060701	30	30					9	36	23
4652	30060702	30	30					11	43	27
4653	30060703	30	30					13	49	32
4654	30060801	30	30					9	36	23
4655	30060802	30	30					11	43	27
4656	30060803	30	30					13	49	32
4657	30060901	30	30					9	36	23
4658	30060902	30	30					11	43	27
4659	30060903	30	30					13	49	32
4660	30061001	30	30					9	36	23
4661	30061002	30	30					11	43	27
4662	30061003	30	30					13	49	32
4663	30061101	30	30					9	36	23
4664	30061102	30	30					11	43	27
4665	30061103	30	30					13	49	32
4666	30061201	30	30					9	36	23
4667	30061202	30	30					11	43	27
4668	30061203	30	30					13	49	32
4669	30061301	30	30					9	36	23
4670	30061302	30	30					11	43	27
4671	30061303	30	30					13	49	32
4672	30060101	40	40					13	50	32
4673	30060102	40	40					15	59	38
4674	30060103	40	40					17	68	43
4675	30060201	40	40					13	50	32
4676	30060202	40	40					15	59	38
4677	30060203	40	40					17	68	43
4678	30060301	40	40					13	50	32
4679	30060302	40	40					15	59	38
4680	30060303	40	40					17	68	43
4681	30060401	40	40					13	50	32
4682	30060402	40	40					15	59	38
4683	30060403	40	40					17	68	43
4684	30060501	40	40					13	50	32
4685	30060502	40	40					15	59	38
4686	30060503	40	40					17	68	43
4687	30060601	40	40					13	50	32
4688	30060602	40	40					15	59	38
4689	30060603	40	40					17	68	43
4690	30060701	40	40					13	50	32
4691	30060702	40	40					15	59	38
4692	30060703	40	40					17	68	43
4693	30060801	40	40					13	50	32
4694	30060802	40	40					15	59	38
4695	30060803	40	40					17	68	43
4696	30060901	40	40					13	50	32
4697	30060902	40	40					15	59	38
4698	30060903	40	40					17	68	43
4699	30061001	40	40					13	50	32
4700	30061002	40	40					15	59	38
4701	30061003	40	40					17	68	43
4702	30061101	40	40					13	50	32
4703	30061102	40	40					15	59	38
4704	30061103	40	40					17	68	43
4705	30061201	40	40					13	50	32
4706	30061202	40	40					15	59	38
4707	30061203	40	40					17	68	43
4708	30061301	40	40					13	50	32
4709	30061302	40	40					15	59	38
4710	30061303	40	40					17	68	43
4711	30060101	50	50					19	73	47
4712	30060102	50	50					22	86	54
4713	30060103	50	50					25	98	62
4714	30060201	50	50					19	73	47
4715	30060202	50	50					22	86	54
4716	30060203	50	50					25	98	62
4717	30060301	50	50					19	73	47
4718	30060302	50	50					22	86	54
4719	30060303	50	50					25	98	62
4720	30060401	50	50					19	73	47
4721	30060402	50	50					22	86	54
4722	30060403	50	50					25	98	62
4723	30060501	50	50					19	73	47
4724	30060502	50	50					22	86	54
4725	30060503	50	50					25	98	62
4726	30060601	50	50					19	73	47
4727	30060602	50	50					22	86	54
4728	30060603	50	50					25	98	62
4729	30060701	50	50					19	73	47
